Date,Open,High,Low,Close,Adj Close,Volume
2000-07-03,2.1875,2.34375,2.1875,2.34375,2.191094,48800
2000-07-05,2.25,2.34375,2.25,2.3125,2.161879,94800
2000-07-06,2.3125,2.34375,2.3125,2.3125,2.161879,24800
2000-07-07,2.3125,2.34375,2.3125,2.3125,2.161879,55600
2000-07-10,2.3125,2.359375,2.3125,2.34375,2.191094,45200
2000-07-11,2.3125,2.359375,2.3125,2.3125,2.161879,30800
2000-07-12,2.3125,2.375,2.3125,2.328125,2.176487,17200
2000-07-13,2.34375,2.34375,2.3125,2.328125,2.176487,45600
2000-07-14,2.328125,2.328125,2.328125,2.328125,2.176487,8000
2000-07-17,2.375,2.375,2.3125,2.3125,2.161879,128800
2000-07-18,2.328125,2.328125,2.328125,2.328125,2.176487,17200
2000-07-19,2.328125,2.328125,2.328125,2.328125,2.176487,0
2000-07-20,2.328125,2.328125,2.328125,2.328125,2.176487,0
2000-07-21,2.328125,2.328125,2.328125,2.328125,2.176487,9200
2000-07-24,2.328125,2.359375,2.328125,2.34375,2.191094,6000
2000-07-25,2.328125,2.359375,2.328125,2.34375,2.191094,11600
2000-07-26,2.328125,2.34375,2.328125,2.34375,2.191094,43600
2000-07-27,2.34375,2.34375,2.328125,2.328125,2.176487,10800
2000-07-28,2.34375,2.34375,2.328125,2.328125,2.176487,2400
2000-07-31,2.328125,2.328125,2.3125,2.328125,2.176487,5200
2000-08-01,2.359375,2.359375,2.34375,2.34375,2.191094,10800
2000-08-02,2.375,2.40625,2.359375,2.375,2.220308,27600
2000-08-03,2.375,2.375,2.375,2.375,2.220308,14000
2000-08-04,2.375,2.40625,2.375,2.375,2.220308,35600
2000-08-07,2.375,2.375,2.375,2.375,2.220308,8000
2000-08-08,2.375,2.421875,2.34375,2.375,2.220308,36800
2000-08-09,2.375,2.390625,2.375,2.375,2.220308,9200
2000-08-10,2.375,2.375,2.375,2.375,2.220308,0
2000-08-11,2.375,2.4375,2.375,2.4375,2.278737,4000
2000-08-14,2.4375,2.53125,2.4375,2.53125,2.366381,20800
2000-08-15,2.5,2.5,2.5,2.5,2.337167,400
2000-08-16,2.453125,2.5,2.4375,2.5,2.337167,10000
2000-08-17,2.46875,2.46875,2.40625,2.40625,2.249523,49600
2000-08-18,2.4375,2.4375,2.40625,2.40625,2.249523,6400
2000-08-21,2.40625,2.40625,2.40625,2.40625,2.249523,400
2000-08-22,2.46875,2.46875,2.40625,2.40625,2.249523,10000
2000-08-23,2.40625,2.46875,2.40625,2.40625,2.249523,2400
2000-08-24,2.40625,2.46875,2.40625,2.46875,2.307952,12800
2000-08-25,2.5,2.75,2.5,2.6875,2.512454,40000
2000-08-28,2.625,2.625,2.625,2.625,2.454025,4000
2000-08-29,2.625,2.625,2.625,2.625,2.454025,0
2000-08-30,2.59375,2.59375,2.53125,2.59375,2.42481,8800
2000-08-31,2.5625,2.5625,2.5,2.515625,2.351774,4400
2000-09-01,2.5625,2.5625,2.46875,2.53125,2.366381,83200
2000-09-05,2.5,2.5,2.484375,2.5,2.337167,16800
2000-09-06,2.4375,2.4375,2.40625,2.40625,2.249523,8000
2000-09-07,2.46875,2.46875,2.4375,2.46875,2.307952,23200
2000-09-08,2.4375,2.5,2.4375,2.5,2.337167,9200
2000-09-11,2.46875,2.46875,2.453125,2.453125,2.293344,1200
2000-09-12,2.4375,2.46875,2.4375,2.4375,2.278737,13600
2000-09-13,2.4375,2.5,2.4375,2.5,2.337167,4000
2000-09-14,2.40625,2.40625,2.40625,2.40625,2.249523,1200
2000-09-15,2.40625,2.40625,2.40625,2.40625,2.249523,0
2000-09-18,2.390625,2.40625,2.390625,2.40625,2.249523,1600
2000-09-19,2.46875,2.5,2.46875,2.5,2.337167,6000
2000-09-20,2.4375,2.484375,2.4375,2.4375,2.278737,5200
2000-09-21,2.5,2.5625,2.5,2.546875,2.380988,50000
2000-09-22,2.5625,2.6875,2.5625,2.625,2.454025,24000
2000-09-25,2.65625,2.65625,2.65625,2.65625,2.48324,1600
2000-09-26,2.65625,2.65625,2.65625,2.65625,2.48324,0
2000-09-27,2.71875,2.78125,2.71875,2.78125,2.600097,17200
2000-09-28,2.75,2.75,2.75,2.75,2.570883,800
2000-09-29,2.8125,2.90625,2.8125,2.90625,2.716956,16400
2000-10-02,2.875,2.875,2.875,2.875,2.687742,1600
2000-10-03,2.890625,2.921875,2.890625,2.921875,2.731564,42800
2000-10-04,2.921875,2.921875,2.921875,2.921875,2.731564,0
2000-10-05,2.921875,2.921875,2.921875,2.921875,2.731564,400
2000-10-06,2.921875,2.921875,2.921875,2.921875,2.731564,1200
2000-10-09,2.921875,2.921875,2.921875,2.921875,2.731564,1600
2000-10-10,2.9375,3.0,2.9375,2.953125,2.760778,14400
2000-10-11,2.953125,2.953125,2.953125,2.953125,2.760778,800
2000-10-12,2.9375,3.03125,2.9375,3.03125,2.833814,20000
2000-10-13,3.015625,3.015625,2.96875,2.96875,2.775385,1200
2000-10-16,3.0625,3.0625,3.03125,3.03125,2.833814,2000
2000-10-17,3.09375,3.09375,3.09375,3.09375,2.892243,2400
2000-10-18,3.0625,3.0625,3.0625,3.0625,2.863029,400
2000-10-19,3.0625,3.15625,3.0625,3.15625,2.950673,18000
2000-10-20,3.34375,4.125,3.34375,4.0625,3.797896,105200
2000-10-23,4.09375,4.1875,4.0625,4.0625,3.797896,27200
2000-10-24,4.03125,4.0625,3.9375,4.0625,3.797896,13200
2000-10-25,4.0,4.0,3.96875,4.0,3.739467,11600
2000-10-26,4.0,4.09375,4.0,4.09375,3.82711,16000
2000-10-27,4.09375,4.15625,4.09375,4.15625,3.88554,14400
2000-10-30,4.125,4.125,4.125,4.125,3.856324,1200
2000-10-31,4.09375,4.125,4.09375,4.125,3.856324,2400
2000-11-01,4.0625,4.0625,4.03125,4.03125,3.768681,5200
