Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,4.28,4.34,4.28,4.34,4.34,1000
2008-01-03,4.34,4.4,4.3,4.33,4.33,56900
2008-01-04,4.25,4.27,4.25,4.26,4.26,2300
2008-01-07,4.15,4.2,4.0,4.05,4.05,8500
2008-01-08,4.15,4.18,3.96,4.04,4.04,16900
2008-01-09,3.95,4.99,3.85,4.1,4.1,70900
2008-01-10,4.1,4.19,4.05,4.05,4.05,68700
2008-01-11,4.14,4.14,4.01,4.03,4.03,18300
2008-01-14,4.01,4.16,4.01,4.16,4.16,62000
2008-01-15,4.18,4.18,4.0,4.0,4.0,31700
2008-01-16,3.99,4.0,3.85,3.97,3.97,24700
2008-01-17,4.06,4.06,3.9,3.96,3.96,10000
2008-01-18,3.87,3.95,3.75,3.87,3.87,36300
2008-01-22,3.4,3.62,3.33,3.5,3.5,29900
2008-01-23,3.44,3.45,3.2,3.35,3.35,24300
2008-01-24,3.39,3.78,3.39,3.75,3.75,56300
2008-01-25,3.84,3.84,3.7,3.7,3.7,20400
2008-01-28,3.7,3.7,3.65,3.65,3.65,7900
2008-01-29,3.7,3.74,3.7,3.74,3.74,700
2008-01-30,3.7,3.71,3.55,3.7,3.7,20000
2008-01-31,3.61,3.75,3.6,3.7,3.7,37400
2008-02-01,3.75,3.78,3.66,3.66,3.66,14400
2008-02-04,3.66,3.75,3.66,3.7,3.7,20200
2008-02-05,3.85,3.99,3.7,3.89,3.89,119900
2008-02-06,4.08,4.17,3.99,4.05,4.05,143000
2008-02-07,4.0,4.1,3.9,3.9,3.9,27800
2008-02-08,3.94,4.2,3.94,4.05,4.05,48900
2008-02-11,4.1,4.19,4.05,4.14,4.14,26000
2008-02-12,4.19,4.23,3.95,3.96,3.96,37400
2008-02-13,3.95,4.05,3.92,4.03,4.03,27400
2008-02-14,4.1,4.1,3.85,4.05,4.05,53300
2008-02-15,4.13,4.13,3.96,4.0,4.0,56700
2008-02-19,4.11,4.15,4.02,4.15,4.15,76800
2008-02-20,4.11,4.44,4.03,4.44,4.44,116100
2008-02-21,4.54,4.7,4.15,4.33,4.33,151000
2008-02-22,4.3,4.4,4.19,4.4,4.4,86900
2008-02-25,4.49,5.1,4.35,4.91,4.91,370100
2008-02-26,4.99,5.0,4.8,4.82,4.82,117100
2008-02-27,4.85,5.3,4.85,5.27,5.27,164900
2008-02-28,5.33,5.42,5.15,5.35,5.35,130100
2008-02-29,5.39,5.52,5.1,5.19,5.19,116700
2008-03-03,5.33,5.51,5.19,5.49,5.49,101900
2008-03-04,5.68,5.68,5.1,5.29,5.29,121300
2008-03-05,5.01,5.32,5.01,5.29,5.29,81300
2008-03-06,5.44,5.44,5.25,5.25,5.25,21800
2008-03-07,5.38,5.38,5.1,5.14,5.14,64200
2008-03-10,5.09,5.2,4.84,4.86,4.86,83300
2008-03-11,5.05,5.11,4.88,5.02,5.02,35200
2008-03-12,4.93,5.17,4.93,5.15,5.15,24600
2008-03-13,5.2,5.4,5.11,5.33,5.33,95600
2008-03-14,5.24,5.33,5.12,5.19,5.19,34500
2008-03-17,5.27,5.38,5.1,5.25,5.25,128600
2008-03-18,5.25,5.33,5.01,5.18,5.18,70300
2008-03-19,5.1,5.17,4.86,4.97,4.97,59500
2008-03-20,4.88,4.88,4.52,4.68,4.68,73800
2008-03-24,4.58,4.9,4.58,4.86,4.86,32600
2008-03-25,4.94,5.18,4.94,5.01,5.01,54100
