Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,4.5,4.75,3.39,3.58,3.495353,3501900
2021-03-10,3.72,4.79,3.7,4.79,4.676744,5115900
2021-03-11,4.9,4.95,4.6,4.72,4.608398,1185300
2021-03-12,4.8,5.0,4.73,5.0,4.881779,633200
2021-03-15,5.2,5.2,4.75,4.97,4.852487,691400
2021-03-16,4.98,4.99,4.77,4.845,4.730443,504800
2021-03-17,4.83,4.89,4.75,4.89,4.774379,335700
2021-03-18,4.89,4.9,4.72,4.76,4.647453,202900
2021-03-19,4.8,4.826,4.7,4.72,4.608398,143700
2021-03-22,4.75,4.84,4.7,4.75,4.63769,164800
2021-03-23,4.76,4.79,4.53,4.56,4.452182,263200
2021-03-24,4.55,4.65,4.52,4.55,4.442418,137700
2021-03-25,4.6,4.7,4.52,4.57,4.461946,97200
2021-03-26,4.52,4.6,4.51,4.54,4.432654,146600
2021-03-29,4.58,4.58,4.5,4.5,4.3936,313500
2021-03-30,4.51,4.56,4.47,4.51,4.403365,171400
2021-03-31,4.55,4.599,4.47,4.5,4.3936,173800
2021-04-01,4.5,4.62,4.45,4.47,4.36431,219800
2021-04-05,4.65,4.7,4.55,4.58,4.47171,225800
2021-04-06,4.6,4.68,4.55,4.59,4.481473,98700
2021-04-07,4.56,4.584,4.5,4.52,4.413127,77900
2021-04-08,4.64,4.64,4.52,4.55,4.442418,84500
2021-04-09,4.6,4.65,4.57,4.628,4.518574,55200
2021-04-12,4.63,4.68,4.5,4.5,4.3936,121800
2021-04-13,4.54,4.64,4.5,4.63,4.520527,93800
2021-04-14,4.63,4.7,4.5,4.7,4.588872,42600
2021-04-15,4.7,4.75,4.65,4.65,4.540054,61600
2021-04-16,4.6,4.66,4.5,4.62,4.510764,78200
2021-04-19,4.64,4.64,4.545,4.6,4.491237,55300
2021-04-20,4.6,4.6,4.51,4.554,4.446324,40300
2021-04-21,4.74,4.75,4.61,4.74,4.627926,97600
2021-04-22,4.74,4.75,4.51,4.63,4.520527,48100
2021-04-23,4.65,4.69,4.52,4.521,4.414104,53500
2021-04-26,4.55,4.7,4.52,4.66,4.549818,51000
2021-04-27,4.7,4.7,4.63,4.66,4.549818,23900
2021-04-28,4.66,4.68,4.56,4.665,4.554699,46500
2021-04-29,4.7,4.85,4.55,4.84,4.725562,141600
2021-04-30,4.88,5.0,4.83,4.83,4.715798,145800
2021-05-03,4.98,4.98,4.72,4.76,4.647453,77100
2021-05-04,4.73,4.85,4.69,4.83,4.715798,112200
2021-05-05,4.78,5.0,4.74,4.97,4.852487,172200
2021-05-06,4.99,4.99,4.88,4.91,4.793907,95600
2021-05-07,5.0,5.04,4.892,5.0,4.881779,282900
2021-05-10,5.1,5.35,4.96,5.0,4.881779,246100
2021-05-11,4.77,5.0,4.7,4.76,4.647453,174800
2021-05-12,4.82,4.87,4.57,4.58,4.47171,80700
2021-05-13,4.6,4.67,4.5,4.52,4.413127,92200
2021-05-14,4.51,4.75,4.5,4.72,4.608398,81700
2021-05-17,4.9,5.13,4.8,4.84,4.725562,255500
2021-05-18,4.95,5.09,4.69,4.75,4.63769,66800
2021-05-19,4.75,4.84,4.701,4.72,4.608398,61400
2021-05-20,4.85,4.94,4.74,4.78,4.66698,137300
