Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,2.035,2.2,1.34,1.35,1.35,6700.0
2021-01-11,1.64,1.73,1.53,1.665,1.665,3000.0
2021-01-12,1.6,1.6,1.6,1.6,1.6,500.0
2021-01-13,1.6,1.6,1.6,1.6,1.6,500.0
2021-01-14,1.61,1.61,1.61,1.61,1.61,800.0
2021-01-15,1.9,1.9,1.9,1.9,1.9,500.0
2021-01-19,2.61,2.61,1.32,1.54,1.54,3300.0
2021-01-20,1.63,1.63,1.615,1.615,1.615,5600.0
2021-01-21,1.63,1.64,1.6,1.64,1.64,800.0
2021-01-22,1.65,1.71,1.65,1.71,1.71,900.0
2021-01-25,1.6,1.69,1.6,1.69,1.69,600.0
2021-01-26,1.54,1.66,1.54,1.66,1.66,7400.0
2021-01-27,1.54,1.541,1.54,1.541,1.541,500.0
2021-01-28,1.8,1.8,1.8,1.8,1.8,200.0
2021-01-29,1.6,1.61,1.6,1.6,1.6,5300.0
2021-02-01,2.0,2.0,2.0,2.0,2.0,300.0
2021-02-02,2.0,2.0,1.65,2.0,2.0,10300.0
2021-02-03,1.9,2.015,1.54,1.84,1.84,147500.0
2021-02-04,3.7,4.2,3.15,3.8,3.8,33400.0
2021-02-05,3.42,3.61,2.8,2.85,2.85,1300.0
2021-02-08,3.045,3.045,2.88,2.88,2.88,3100.0
2021-02-09,3.0,3.4,2.98,3.31,3.31,20400.0
2021-02-10,3.92,3.92,3.2,3.4,3.4,16000.0
2021-02-11,3.79,3.79,3.695,3.79,3.79,3300.0
2021-02-12,3.51,3.51,3.5,3.5,3.5,1200.0
2021-02-16,4.0,4.05,3.5,3.85,3.85,34400.0
2021-02-17,4.008,4.095,3.9,3.9,3.9,1900.0
2021-02-18,5.73,5.73,3.39,3.77,3.77,15100.0
2021-02-19,4.0,4.0,3.7,3.7,3.7,3000.0
2021-02-22,3.43,3.43,3.295,3.43,3.43,1700.0
2021-02-23,3.15,3.15,3.15,3.15,3.15,600.0
2021-02-24,3.15,3.15,3.15,3.15,3.15,0.0
2021-02-25,3.15,3.15,3.15,3.15,3.15,0.0
2021-02-26,3.03,3.04,3.03,3.04,3.04,1100.0
2021-03-01,3.6,3.6,3.6,3.6,3.6,2700.0
2021-03-02,3.6,4.0,3.6,3.9,3.9,9100.0
2021-03-03,4.29,4.29,3.9,4.1,4.1,900.0
2021-03-04,3.8,3.8,3.6,3.6,3.6,2700.0
2021-03-05,3.8,3.8,3.8,3.8,3.8,1500.0
2021-03-08,4.97,4.97,3.55,3.55,3.55,6200.0
2021-03-09,3.1,3.3,3.06,3.08,3.08,2500.0
2021-03-10,3.08,3.08,3.08,3.08,3.08,0.0
2021-03-11,3.09,3.96,3.09,3.12,3.12,900.0
2021-03-12,3.12,3.12,3.12,3.12,3.12,0.0
2021-03-15,3.04,3.04,3.04,3.04,3.04,200.0
2021-03-16,3.04,3.04,3.04,3.04,3.04,100.0
2021-03-17,3.3,3.3,3.3,3.3,3.3,1000.0
2021-03-18,3.3,3.3,3.3,3.3,3.3,0.0
2021-03-19,3.3,3.3,3.3,3.3,3.3,0.0
2021-03-22,3.3,3.3,3.03,3.13,3.13,6200.0
2021-03-23,3.13,3.13,3.13,3.13,3.13,0.0
2021-03-24,3.05,3.05,2.6,2.6,2.6,4400.0
2021-03-25,2.6,2.6,2.6,2.6,2.6,0.0
2021-03-26,3.0,3.0,3.0,3.0,3.0,900.0
2021-03-29,2.89,2.89,2.88,2.88,2.88,1000.0
2021-03-30,2.88,2.88,2.88,2.88,2.88,0.0
2021-03-31,2.66,2.66,2.644,2.644,2.644,200.0
2021-04-01,2.644,2.644,2.644,2.644,2.644,0.0
2021-04-05,2.644,2.644,2.644,2.644,2.644,0.0
2021-04-06,2.68,2.68,2.68,2.68,2.68,300.0
2021-04-07,2.87,2.87,2.87,2.87,2.87,200.0
2021-04-08,2.87,2.87,2.87,2.87,2.87,0.0
2021-04-09,2.72,2.72,2.72,2.72,2.72,100.0
2021-04-12,2.72,2.72,2.72,2.72,2.72,0.0
2021-04-13,2.72,2.72,2.72,2.72,2.72,0.0
2021-04-14,2.72,2.72,2.72,2.72,2.72,0.0
2021-04-15,2.72,2.72,2.72,2.72,2.72,0.0
2021-04-16,2.72,2.72,2.72,2.72,2.72,0.0
2021-04-19,2.81,2.81,2.81,2.81,2.81,100.0
2021-04-20,2.81,2.81,2.81,2.81,2.81,0.0
2021-04-21,2.62,2.715,2.62,2.62,2.62,400.0
2021-04-22,2.62,2.62,2.62,2.62,2.62,0.0
2021-04-23,2.62,2.62,2.62,2.62,2.62,0.0
2021-04-26,2.62,2.62,2.62,2.62,2.62,0.0
2021-04-27,2.89,2.89,2.89,2.89,2.89,1000.0
2021-04-28,2.83,2.83,2.83,2.83,2.83,100.0
2021-04-29,2.87,2.87,2.85,2.85,2.85,1200.0
2021-04-30,2.85,2.85,2.85,2.85,2.85,0.0
2021-05-03,2.92,2.95,2.92,2.95,2.95,600.0
2021-05-04,3.57,3.57,3.53,3.57,3.57,1500.0
2021-05-05,3.5,3.54,3.5,3.54,3.54,400.0
2021-05-06,3.48,3.48,3.48,3.48,3.48,1300.0
2021-05-07,3.48,3.48,3.48,3.48,3.48,0.0
2021-05-10,3.48,3.48,3.48,3.48,3.48,0.0
2021-05-11,3.48,3.48,3.48,3.48,3.48,0.0
2021-05-12,3.48,3.48,3.48,3.48,3.48,0.0
2021-05-13,3.48,3.48,3.48,3.48,3.48,0.0
2021-05-14,2.89,3.05,2.85,2.85,2.85,900.0
2021-05-17,2.89,2.89,2.89,2.89,2.89,100.0
2021-05-18,2.89,2.89,2.89,2.89,2.89,0.0
2021-05-19,2.89,2.89,2.89,2.89,2.89,0.0
2021-05-20,2.89,2.89,2.89,2.89,2.89,0.0
2021-05-21,3.04,3.04,3.04,3.04,3.04,100.0
2021-05-24,3.04,3.04,3.04,3.04,3.04,0.0
2021-05-25,2.87,2.87,2.65,2.65,2.65,6700.0
2021-05-26,2.776,2.79,2.65,2.79,2.79,800.0
2021-05-27,2.79,2.79,2.79,2.79,2.79,0.0
2021-05-28,2.79,2.79,2.79,2.79,2.79,0.0
2021-06-01,2.78,2.82,2.65,2.65,2.65,1100.0
2021-06-02,2.69,2.69,2.6,2.6,2.6,4100.0
2021-06-03,2.6,2.6,2.6,2.6,2.6,0.0
2021-06-04,2.6,2.6,2.6,2.6,2.6,0.0
2021-06-07,2.62,2.62,2.62,2.62,2.62,800.0
2021-06-08,2.67,2.67,2.67,2.67,2.67,100.0
2021-06-09,2.67,2.67,2.67,2.67,2.67,0.0
2021-06-10,2.67,2.67,2.67,2.67,2.67,0.0
2021-06-11,2.67,2.67,2.67,2.67,2.67,0.0
2021-06-14,2.615,2.69,2.615,2.69,2.69,4500.0
2021-06-15,2.9,2.94,2.9,2.94,2.94,2000.0
2021-06-16,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-17,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-18,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-21,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-22,2.94,2.94,2.94,2.94,2.94,300.0
2021-06-23,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-24,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-25,2.85,2.85,2.823,2.823,2.823,600.0
2021-06-28,2.44,2.94,2.435,2.94,2.94,2100.0
2021-06-29,2.94,2.94,2.94,2.94,2.94,0.0
2021-06-30,2.94,2.94,2.94,2.94,2.94,0.0
2021-07-01,2.94,2.94,2.94,2.94,2.94,0.0
2021-07-02,2.94,2.94,2.94,2.94,2.94,0.0
2021-07-06,2.94,2.94,2.64,2.64,2.64,600.0
2021-07-07,2.64,2.64,2.64,2.64,2.64,0.0
2021-07-08,2.54,2.54,2.54,2.54,2.54,500.0
2021-07-09,2.54,2.54,2.54,2.54,2.54,0.0
2021-07-12,2.29,2.58,2.29,2.58,2.58,300.0
2021-07-13,2.58,2.58,2.58,2.58,2.58,100.0
2021-07-14,2.58,2.58,2.58,2.58,2.58,100.0
2021-07-15,2.58,2.58,2.58,2.58,2.58,0.0
2021-07-16,2.58,2.58,2.58,2.58,2.58,0.0
2021-07-19,2.58,2.58,2.58,2.58,2.58,100.0
2021-07-20,2.58,2.58,2.58,2.58,2.58,0.0
2021-07-21,2.29,2.29,2.29,2.29,2.29,100.0
2021-07-22,2.29,2.29,2.29,2.29,2.29,0.0
2021-07-23,2.29,2.29,2.29,2.29,2.29,0.0
2021-07-26,2.29,2.29,2.29,2.29,2.29,0.0
2021-07-27,3.08,3.08,2.51,2.51,2.51,400.0
2021-07-28,2.51,2.51,2.51,2.51,2.51,0.0
2021-07-29,2.51,2.51,2.51,2.51,2.51,0.0
2021-07-30,2.51,2.51,2.51,2.51,2.51,0.0
2021-08-02,2.51,2.51,2.51,2.51,2.51,0.0
2021-08-03,2.51,2.51,2.51,2.51,2.51,0.0
2021-08-04,2.51,2.51,2.51,2.51,2.51,0.0
2021-08-05,2.51,2.51,2.51,2.51,2.51,0.0
2021-08-06,2.31,2.31,2.31,2.31,2.31,100.0
2021-08-09,2.2,2.2,2.2,2.2,2.2,1000.0
2021-08-10,2.2,2.2,2.2,2.2,2.2,0.0
2021-08-11,2.2,2.2,2.2,2.2,2.2,0.0
2021-08-12,2.2,2.2,2.2,2.2,2.2,0.0
2021-08-13,2.425,2.425,2.425,2.425,2.425,1200.0
2021-08-16,2.4,2.4,2.4,2.4,2.4,200.0
2021-08-17,2.4,2.4,2.4,2.4,2.4,0.0
2021-08-18,2.4,2.4,2.4,2.4,2.4,0.0
2021-08-19,2.4,2.4,2.4,2.4,2.4,0.0
2021-08-20,2.4,2.4,2.4,2.4,2.4,11300.0
