Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,0.971,0.971,0.971,0.971,0.971,1600
2017-02-21,0.971,0.971,0.971,0.971,0.971,0
2017-02-22,0.971,0.971,0.971,0.971,0.971,0
2017-02-23,0.971,0.971,0.971,0.971,0.971,0
2017-02-24,0.971,0.971,0.971,0.971,0.971,0
2017-02-27,0.97,0.97,0.97,0.97,0.97,200
2017-02-28,0.97,0.97,0.97,0.97,0.97,0
2017-03-01,0.97,0.97,0.97,0.97,0.97,0
2017-03-02,0.97,0.97,0.97,0.97,0.97,0
2017-03-03,0.97,0.97,0.97,0.97,0.97,0
2017-03-06,0.97,0.97,0.97,0.97,0.97,0
2017-03-07,0.97,0.97,0.97,0.97,0.97,0
2017-03-08,0.888,0.888,0.888,0.888,0.888,700
2017-03-09,0.888,0.888,0.888,0.888,0.888,0
2017-03-10,0.888,0.888,0.888,0.888,0.888,0
2017-03-13,0.888,0.888,0.888,0.888,0.888,0
2017-03-14,0.888,0.888,0.888,0.888,0.888,0
2017-03-15,0.888,0.888,0.888,0.888,0.888,0
2017-03-16,0.888,0.888,0.888,0.888,0.888,0
2017-03-17,0.888,0.888,0.888,0.888,0.888,0
2017-03-20,0.888,0.888,0.888,0.888,0.888,0
2017-03-21,0.888,0.888,0.888,0.888,0.888,0
2017-03-22,0.888,0.888,0.888,0.888,0.888,0
2017-03-23,0.888,0.888,0.888,0.888,0.888,0
2017-03-24,0.888,0.888,0.888,0.888,0.888,0
2017-03-27,0.888,0.888,0.888,0.888,0.888,0
2017-03-28,0.888,0.888,0.888,0.888,0.888,0
2017-03-29,0.888,0.888,0.888,0.888,0.888,0
2017-03-30,0.888,0.888,0.888,0.888,0.888,0
2017-03-31,0.888,0.888,0.888,0.888,0.888,0
2017-04-03,0.888,0.888,0.888,0.888,0.888,0
2017-04-04,0.888,0.888,0.888,0.888,0.888,0
2017-04-05,0.888,0.888,0.888,0.888,0.888,0
2017-04-06,0.888,0.888,0.888,0.888,0.888,0
2017-04-07,0.888,0.888,0.888,0.888,0.888,0
2017-04-10,0.888,0.888,0.888,0.888,0.888,0
2017-04-11,0.888,0.888,0.888,0.888,0.888,0
2017-04-12,0.888,0.888,0.888,0.888,0.888,0
2017-04-13,0.888,0.888,0.888,0.888,0.888,0
2017-04-17,0.888,0.888,0.888,0.888,0.888,0
2017-04-18,0.888,0.888,0.888,0.888,0.888,0
2017-04-19,0.888,0.888,0.888,0.888,0.888,0
2017-04-20,0.888,0.888,0.888,0.888,0.888,0
2017-04-21,0.888,0.888,0.888,0.888,0.888,0
2017-04-24,0.888,0.888,0.888,0.888,0.888,0
2017-04-25,0.888,0.888,0.888,0.888,0.888,0
2017-04-26,0.888,0.888,0.888,0.888,0.888,0
2017-04-27,0.888,0.888,0.888,0.888,0.888,0
2017-04-28,0.888,0.888,0.888,0.888,0.888,0
2017-05-01,0.888,0.888,0.888,0.888,0.888,0
2017-05-02,0.888,0.888,0.888,0.888,0.888,0
2017-05-03,0.888,0.888,0.888,0.888,0.888,0
2017-05-04,0.888,0.888,0.888,0.888,0.888,0
2017-05-05,0.888,0.888,0.888,0.888,0.888,0
2017-05-08,0.888,0.888,0.888,0.888,0.888,0
2017-05-09,0.875,0.875,0.875,0.875,0.875,200
2017-05-10,0.875,0.875,0.875,0.875,0.875,0
2017-05-11,0.875,0.875,0.875,0.875,0.875,0
2017-05-12,0.875,0.875,0.875,0.875,0.875,0
2017-05-15,0.875,0.875,0.875,0.875,0.875,0
2017-05-16,0.875,0.875,0.875,0.875,0.875,0
2017-05-17,0.9,0.9,0.9,0.9,0.9,400
2017-05-18,0.9,0.9,0.9,0.9,0.9,0
2017-05-19,0.9,0.9,0.9,0.9,0.9,0
2017-05-22,0.9,0.9,0.9,0.9,0.9,0
2017-05-23,0.917,0.93,0.916,0.93,0.93,11000
2017-05-24,0.93,0.93,0.93,0.93,0.93,0
2017-05-25,0.93,0.93,0.93,0.93,0.93,0
2017-05-26,0.901,0.931,0.901,0.931,0.931,21700
2017-05-30,0.931,0.931,0.931,0.931,0.931,0
2017-05-31,0.931,0.931,0.931,0.931,0.931,0
2017-06-01,0.931,0.931,0.931,0.931,0.931,0
2017-06-02,0.878,0.878,0.878,0.878,0.878,7600
2017-06-05,0.878,0.878,0.878,0.878,0.878,0
2017-06-06,0.878,0.878,0.878,0.878,0.878,0
2017-06-07,0.878,0.878,0.878,0.878,0.878,0
2017-06-08,0.878,0.878,0.878,0.878,0.878,0
2017-06-09,0.878,0.878,0.878,0.878,0.878,0
2017-06-12,0.878,0.878,0.878,0.878,0.878,0
2017-06-13,0.878,0.878,0.878,0.878,0.878,0
2017-06-14,0.878,0.878,0.878,0.878,0.878,0
2017-06-15,0.878,0.878,0.878,0.878,0.878,0
2017-06-16,0.878,0.878,0.878,0.878,0.878,0
2017-06-19,0.878,0.878,0.878,0.878,0.878,0
2017-06-20,0.878,0.878,0.878,0.878,0.878,0
2017-06-21,0.878,0.878,0.878,0.878,0.878,0
2017-06-22,0.878,0.878,0.878,0.878,0.878,0
2017-06-23,1.066,1.066,1.036,1.036,1.036,4000
2017-06-26,1.038,1.038,1.015,1.016,1.016,3000
2017-06-27,1.005,1.005,1.005,1.005,1.005,10000
2017-06-28,1.022,1.038,1.022,1.038,1.038,5000
2017-06-29,0.992,1.026,0.992,1.026,1.026,30000
2017-06-30,1.026,1.026,1.026,1.026,1.026,0
2017-07-03,1.026,1.026,1.026,1.026,1.026,0
2017-07-05,1.03,1.03,1.019,1.022,1.022,13900
2017-07-06,1.01,1.01,0.976,0.976,0.976,400
2017-07-07,0.974,0.974,0.966,0.966,0.966,1500
2017-07-10,0.99,0.99,0.99,0.99,0.99,700
2017-07-11,0.99,0.99,0.964,0.964,0.964,5500
