Date,Open,High,Low,Close,Adj Close,Volume
1997-06-17,7.5,7.875,7.5,7.625,7.372934,348600
1997-06-18,7.75,8.0,7.5,7.625,7.372934,128200
1997-06-19,7.625,8.0,7.5,7.5,7.252066,111800
1997-06-20,7.75,8.0,7.625,7.625,7.372934,90200
1997-06-23,8.0,8.375,7.75,7.875,7.614669,59400
1997-06-24,7.875,8.125,7.875,7.875,7.614669,73700
1997-06-25,8.375,8.375,7.875,7.875,7.614669,80100
1997-06-26,8.375,8.375,7.875,8.25,7.977273,463300
1997-06-27,8.375,9.125,7.875,8.625,8.339876,52300
1997-06-30,9.0,9.625,8.625,9.0,8.702479,76900
1997-07-01,9.375,9.5,9.0,9.5,9.18595,55400
1997-07-02,9.5,9.5,8.75,8.875,8.581612,51200
1997-07-03,8.875,9.0,8.875,8.875,8.581612,10100
1997-07-07,8.875,9.25,8.5,8.75,8.460744,14800
1997-07-08,8.375,8.5,8.25,8.5,8.219008,13800
1997-07-09,8.25,8.5,8.25,8.5,8.219008,21000
1997-07-10,8.625,8.625,8.0,8.0,7.735537,14900
1997-07-11,8.375,8.625,8.0,8.25,7.977273,34600
1997-07-14,8.75,9.625,8.375,9.25,8.944215,91600
1997-07-15,9.25,10.625,9.25,10.5,10.152892,81000
1997-07-16,10.5,10.875,10.375,10.5,10.152892,67800
1997-07-17,10.5,10.5,10.25,10.375,10.032024,86100
1997-07-18,10.25,10.375,9.625,9.625,9.306818,50900
1997-07-21,10.0,10.0,9.625,10.0,9.669421,14800
1997-07-22,9.5,9.875,8.875,9.625,9.306818,19500
1997-07-23,9.25,9.625,9.0,9.5,9.18595,18300
1997-07-24,9.125,9.5,9.125,9.5,9.18595,600
1997-07-25,9.5,9.5,9.125,9.125,8.823347,4500
1997-07-28,9.125,9.125,9.125,9.125,8.823347,600
1997-07-29,9.125,9.125,8.875,8.875,8.581612,5600
1997-07-30,8.875,9.375,8.875,9.375,9.065083,38400
1997-07-31,9.375,9.75,9.0,9.125,8.823347,64200
1997-08-01,9.75,9.75,9.125,9.125,8.823347,19600
1997-08-04,9.75,10.0,9.5,10.0,9.669421,215200
1997-08-05,10.0,11.0,9.75,10.875,10.515495,340800
1997-08-06,10.875,12.25,10.625,11.75,11.36157,322200
1997-08-07,12.25,13.25,11.875,12.6875,12.268078,203400
1997-08-08,12.0,12.5,11.5,11.625,11.240703,63100
1997-08-11,11.75,12.0,11.5,12.0,11.603306,18500
1997-08-12,12.25,12.25,11.5,12.0,11.603306,9800
1997-08-13,12.25,12.25,11.5,11.75,11.36157,108700
1997-08-14,11.75,11.75,11.75,11.75,11.36157,0
1997-08-15,11.5,11.5,11.375,11.5,11.119835,157000
1997-08-18,11.375,11.375,10.75,11.0,10.636363,3500
1997-08-19,11.5,13.125,11.0,12.75,12.328512,303600
1997-08-20,13.25,14.25,13.0,13.75,13.295454,248200
1997-08-21,13.75,15.625,13.75,15.125,14.625,160500
1997-08-22,14.625,15.0,14.125,14.875,14.383265,24800
1997-08-25,15.25,15.25,14.5,14.5,14.020661,13700
1997-08-26,14.75,14.75,14.375,14.5,14.020661,61200
1997-08-27,15.0,15.625,14.5,15.25,14.745868,21100
1997-08-28,15.25,15.75,15.125,15.75,15.229339,15500
1997-08-29,16.0,16.5,15.5,16.5,15.954545,48500
1997-09-02,17.625,18.25,16.625,17.25,16.679752,268200
1997-09-03,17.625,18.25,17.25,17.5,16.921488,46800
1997-09-04,17.875,17.875,17.375,17.75,17.163223,10600
1997-09-05,17.75,18.375,17.75,17.75,17.163223,75600
1997-09-08,18.375,18.75,17.75,18.625,18.009296,42500
1997-09-09,18.625,18.625,18.5,18.5,17.88843,24700
1997-09-10,18.5,18.5,16.375,17.375,16.800619,40200
1997-09-11,17.125,17.125,16.5,16.5,15.954545,27500
1997-09-12,17.0,17.5,16.75,17.125,16.558884,15600
1997-09-15,17.5,17.5,17.0,17.25,16.679752,33800
1997-09-16,17.375,17.375,17.0,17.0,16.438017,1500
1997-09-17,17.5,17.5,17.0,17.5,16.921488,9700
1997-09-18,17.5,17.5,17.0,17.5,16.921488,1800
1997-09-19,17.0,17.25,17.0,17.25,16.679752,800
1997-09-22,17.0,17.5,17.0,17.125,16.558884,62000
1997-09-23,17.125,17.25,16.375,16.5,15.954545,28600
1997-09-24,16.125,16.5,15.625,15.75,15.229339,54000
1997-09-25,15.75,16.75,15.75,16.5,15.954545,16300
1997-09-26,16.75,17.25,16.5,17.25,16.679752,28600
1997-09-29,17.0,17.0,16.625,16.625,16.075413,9300
1997-09-30,16.75,17.0,16.75,17.0,16.438017,11800
1997-10-01,16.625,18.125,16.625,17.75,17.163223,80300
1997-10-02,18.25,18.25,18.25,18.25,17.646694,1300
1997-10-03,18.25,18.25,17.5,17.5,16.921488,4500
1997-10-06,17.8125,17.8125,17.5,17.5,16.921488,2900
1997-10-07,17.5,17.75,17.375,17.75,17.163223,8300
1997-10-08,17.375,18.0,17.375,17.375,16.800619,1900
1997-10-09,17.375,17.9375,17.375,17.9375,17.344524,6600
1997-10-10,17.5,18.125,17.375,17.875,17.28409,25000
1997-10-13,17.625,17.75,17.375,17.375,16.800619,26000
1997-10-14,17.5,17.625,17.25,17.375,16.800619,52500
1997-10-15,17.25,17.375,17.25,17.25,16.679752,178500
1997-10-16,17.25,17.25,17.25,17.25,16.679752,200
1997-10-17,17.125,17.25,13.75,15.125,14.625,32500
1997-10-20,15.25,15.25,13.75,14.5,14.020661,108400
1997-10-21,13.75,14.5,13.75,13.75,13.295454,8200
1997-10-22,13.75,14.5,13.75,14.5,14.020661,48500
1997-10-23,13.75,13.875,13.5,13.5,13.053719,16400
1997-10-24,13.875,13.875,13.5,13.5,13.053719,11000
1997-10-27,13.25,13.25,12.125,12.125,11.724174,7000
1997-10-28,11.0,12.125,10.25,12.125,11.724174,47300
1997-10-29,12.125,12.25,11.375,11.375,10.998967,11900
1997-10-30,11.5,11.5,11.0,11.0,10.636363,8000
1997-10-31,11.5,12.375,11.5,12.25,11.845041,19800
1997-11-03,13.0,14.25,12.625,13.75,13.295454,25100
1997-11-04,14.0,14.5,14.0,14.0,13.537189,4300
1997-11-05,14.125,15.25,14.125,14.5,14.020661,17300
1997-11-06,14.5,14.5,13.5,13.5,13.053719,8000
1997-11-07,13.5,13.5,13.5,13.5,13.053719,0
1997-11-10,13.125,13.125,12.875,12.875,12.44938,7100
1997-11-11,12.25,12.25,11.5,11.5,11.119835,4900
1997-11-12,11.0,11.5,10.25,10.5,10.152892,6700
1997-11-13,10.75,11.0,10.125,10.5,10.152892,12400
1997-11-14,10.25,10.25,10.25,10.25,9.911157,3000
1997-11-17,11.0,11.25,10.75,11.0,10.636363,37800
1997-11-18,11.125,11.125,11.0625,11.0625,10.696797,2200
1997-11-19,11.0,11.0,11.0,11.0,10.636363,200
1997-11-20,11.0,11.0,11.0,11.0,10.636363,400
1997-11-21,11.0,11.0,10.9375,11.0,10.636363,9200
1997-11-24,11.5,11.5,11.375,11.375,10.998967,1800
1997-11-25,11.125,11.125,9.25,9.25,8.944215,22800
1997-11-26,9.25,9.875,7.125,8.0,7.735537,57800
1997-11-28,8.375,8.5,8.0,8.375,8.098141,4200
1997-12-01,8.5,8.5,8.25,8.5,8.219008,165900
1997-12-02,8.5,9.125,8.25,8.75,8.460744,242700
1997-12-03,8.5,9.5,8.5,9.0,8.702479,63000
1997-12-04,8.75,9.25,8.75,8.75,8.460744,10600
1997-12-05,8.375,8.75,8.125,8.25,7.977273,19800
1997-12-08,8.25,8.5,8.25,8.375,8.098141,16100
1997-12-09,8.0,8.0,7.5,8.0,7.735537,181700
1997-12-10,7.75,7.75,7.75,7.75,7.493802,4200
1997-12-11,7.5,7.5,7.25,7.25,7.010331,6600
1997-12-12,7.5,7.5,6.5,7.0,6.768595,107100
1997-12-15,7.5,7.5,5.0,5.625,5.43905,22300
1997-12-16,6.5,6.75,5.75,6.0,5.801653,48300
1997-12-17,6.25,7.125,6.125,7.125,6.889462,95000
1997-12-18,7.125,7.125,6.625,6.75,6.526859,61400
1997-12-19,6.75,7.5,6.75,7.4375,7.191632,19200
1997-12-22,7.75,7.75,7.25,7.375,7.131198,17000
1997-12-23,7.625,8.0,7.625,7.75,7.493802,46700
1997-12-24,7.875,8.25,7.75,7.75,7.493802,7900
1997-12-26,7.75,8.375,7.75,8.375,8.098141,800
1997-12-29,8.0,8.25,7.25,7.75,7.493802,8500
1997-12-30,7.75,7.75,6.0,7.0,6.768595,13200
1997-12-31,6.75,7.25,6.0,7.0,6.768595,98900
1998-01-02,7.0,7.0,7.0,7.0,6.768595,0
1998-01-05,7.25,7.25,7.0,7.0,6.768595,1400
1998-01-06,7.0,7.5,7.0,7.5,7.252066,14500
1998-01-07,7.5,7.5,7.375,7.375,7.131198,6500
1998-01-08,7.25,7.25,7.25,7.25,7.010331,45500
1998-01-09,7.25,7.375,7.125,7.1875,6.949896,110100
1998-01-12,7.125,7.125,6.75,6.875,6.647727,3800
1998-01-13,7.5,7.5,7.25,7.25,7.010331,26900
1998-01-14,7.75,9.0,7.625,8.0,7.735537,9500
1998-01-15,8.25,8.25,7.0,7.5,7.252066,12000
