Date,Open,High,Low,Close,Volume,Change
2016-10-31,28000,28000,28000,28000,10,
2016-11-01,28000,28000,28000,28000,0,0.0
2016-11-02,28000,28000,28000,28000,0,0.0
2016-11-03,28000,28000,28000,28000,0,0.0
2016-11-04,28000,28000,28000,28000,0,0.0
2016-11-07,28000,28000,28000,28000,0,0.0
2016-11-08,28000,28000,28000,28000,0,0.0
2016-11-09,28000,28000,28000,28000,0,0.0
2016-11-10,23800,23800,23800,23800,100,-0.15000000000000002
2016-11-11,21500,21500,21500,21500,0,-0.09663865546218486
2016-11-14,19500,19500,19500,19500,0,-0.09302325581395354
2016-11-15,17600,17600,17600,17600,0,-0.09743589743589742
2016-11-16,17600,17600,17600,17600,0,0.0
2016-11-17,17600,20200,17600,20200,101,0.1477272727272727
2016-11-18,23200,23200,23200,23200,1,0.14851485148514842
2016-11-21,19800,23500,19800,23500,2,0.012931034482758674
2016-11-22,21000,21000,21000,21000,100,-0.1063829787234043
2016-11-23,18000,18000,18000,18000,1,-0.1428571428571429
2016-11-24,15500,15500,15500,15500,1,-0.13888888888888884
2016-11-25,16400,17800,16400,17800,103,0.1483870967741936
2016-11-28,20450,20450,20450,20450,100,0.148876404494382
2016-11-29,23500,23500,23500,23500,1,0.14914425427872868
2016-11-30,20000,20000,20000,20000,1,-0.14893617021276595
2016-12-01,20000,23000,20000,23000,2,0.1499999999999999
2016-12-02,22000,23000,22000,23000,101,0.0
2016-12-05,22000,22000,19600,19600,101,-0.14782608695652177
2016-12-06,19550,19550,16800,16800,2,-0.1428571428571429
2016-12-07,14500,14500,14500,14500,1,-0.13690476190476186
2016-12-08,13050,16500,13050,16500,202,0.13793103448275867
2016-12-09,18900,18900,18900,18900,1,0.1454545454545455
2016-12-12,20000,21000,16100,21000,102,0.11111111111111116
2016-12-13,18900,18900,18900,18900,0,-0.09999999999999998
2016-12-14,21000,21000,21000,21000,1,0.11111111111111116
2016-12-15,20500,21000,19000,21000,102,0.0
2016-12-16,20000,20000,19000,19000,101,-0.09523809523809523
2016-12-19,16150,16150,16150,16150,91,-0.15000000000000002
2016-12-20,14000,14000,14000,14000,1,-0.1331269349845201
2016-12-21,12000,12000,12000,12000,1,-0.1428571428571429
2016-12-22,10800,13800,10800,13800,390,0.1499999999999999
2016-12-23,15800,15800,15800,15800,1,0.14492753623188404
2016-12-26,17300,17300,17300,17300,1,0.09493670886075956
2016-12-27,14750,17250,14750,17250,2,-0.0028901734104046506
2016-12-28,14700,17250,14700,17250,11,0.0
2016-12-29,14700,14700,14700,14700,110,-0.14782608695652177
2017-01-02,13250,16750,13250,16750,108,0.1394557823129252
2017-01-03,19000,19000,19000,19000,1,0.13432835820895517
2017-01-04,16150,19950,16150,19950,101,0.050000000000000044
2017-01-05,17000,17950,17000,17950,101,-0.10025062656641603
2017-01-06,19950,19950,19950,19950,1,0.11142061281337057
2017-01-09,17000,17950,17000,17950,102,-0.10025062656641603
2017-01-10,19500,19500,19500,19500,1,0.08635097493036215
2017-01-11,16600,16600,16600,16600,100,-0.14871794871794874
2017-01-12,14300,14300,14300,14300,1,-0.13855421686746983
2017-01-13,13100,13100,13100,13100,1,-0.08391608391608396
2017-01-16,12000,12000,12000,12000,1,-0.08396946564885499
2017-01-17,11000,11000,11000,11000,1,-0.08333333333333337
2017-01-18,9900,12650,9900,12650,395,0.1499999999999999
2017-01-19,14400,14400,14400,14400,0,0.1383399209486167
2017-01-20,15000,15000,15000,15000,0,0.04166666666666674
2017-01-23,15000,15000,15000,15000,0,0.0
2017-01-24,15000,15000,15000,15000,2,0.0
2017-01-25,17000,17000,17000,17000,1,0.1333333333333333
2017-01-26,18950,18950,18950,18950,1,0.11470588235294121
2017-01-31,21000,21000,21000,21000,1,0.10817941952506605
2017-02-01,17850,21650,17850,21650,102,0.030952380952380842
2017-02-02,18450,18450,18450,18450,102,-0.14780600461893767
2017-02-03,20700,20700,20700,20700,1,0.12195121951219523
2017-02-06,23000,23000,23000,23000,1,0.11111111111111116
2017-02-07,19550,19550,19550,19550,105,-0.15000000000000002
2017-02-08,20850,20850,20850,20850,1,0.06649616368286448
2017-02-09,17750,17750,17750,17750,100,-0.14868105515587526
2017-02-10,15500,15500,15500,15500,1,-0.12676056338028174
2017-02-13,13500,13500,13500,13500,1,-0.12903225806451613
2017-02-14,11700,11700,11700,11700,1,-0.1333333333333333
2017-02-15,10500,13400,10500,13400,402,0.14529914529914523
2017-02-16,13400,13400,13400,13400,3,0.0
2017-02-17,15000,15000,15000,15000,1,0.11940298507462677
2017-02-20,16000,16000,16000,16000,0,0.06666666666666665
2017-02-21,16000,16000,16000,16000,0,0.0
2017-02-22,16000,16000,16000,16000,0,0.0
2017-02-23,18400,18400,18400,18400,60,0.1499999999999999
2017-02-24,15650,20450,15650,20450,2,0.11141304347826098
2017-02-27,19900,20000,17400,20000,103,-0.022004889975550168
2017-02-28,17000,17000,17000,17000,100,-0.15000000000000002
2017-03-02,17000,19550,17000,19550,60,0.1499999999999999
2017-03-03,22400,22400,22400,22400,1,0.1457800511508951
2017-03-06,19050,19050,19050,19050,100,-0.1495535714285714
2017-03-07,19850,21800,19850,21800,8,0.14435695538057747
2017-03-08,18550,18550,18550,18550,6,-0.1490825688073395
2017-03-09,18950,21200,18950,21200,7,0.1428571428571428
2017-03-10,18050,19050,18050,19050,108,-0.10141509433962259
2017-03-13,17150,17150,17150,17150,72,-0.09973753280839892
2017-03-14,15450,19550,15450,19550,473,0.13994169096209919
2017-03-15,21950,21950,21950,21950,1,0.1227621483375958
2017-03-16,24950,24950,24950,24950,1,0.13667425968109348
2017-03-17,21250,21250,21250,21250,5,-0.14829659318637278
2017-03-20,18100,21950,18100,21950,5,0.03294117647058825
2017-03-21,18700,24900,18700,24900,103,0.13439635535307515
2017-03-22,21200,24850,21200,24850,45,-0.002008032128514081
2017-03-23,21150,21150,21150,21150,5,-0.14889336016096577
2017-03-24,18000,18000,18000,18000,101,-0.14893617021276595
2017-03-27,20000,20000,20000,20000,1,0.11111111111111116
2017-03-28,17000,18000,17000,18000,101,-0.09999999999999998
2017-03-29,20650,20650,20650,20650,1,0.14722222222222214
2017-03-30,17600,18650,17600,18650,101,-0.09685230024213076
2017-03-31,21350,21350,21350,21350,1,0.14477211796246658
2017-04-03,18150,18150,18150,18150,91,-0.1498829039812647
2017-04-04,15500,15500,15500,15500,1,-0.1460055096418733
2017-04-05,13500,13500,13500,13500,1,-0.12903225806451613
2017-04-06,11600,11600,11600,11600,1,-0.14074074074074072
2017-04-07,13300,13300,13300,13300,1,0.14655172413793105
2017-04-10,15250,15250,15250,15250,2,0.14661654135338353
2017-04-11,13750,17500,13750,17500,490,0.14754098360655732
2017-04-12,15000,15000,15000,15000,200,-0.1428571428571429
2017-04-13,15000,15000,15000,15000,0,0.0
2017-04-14,17250,17250,17250,17250,2,0.1499999999999999
2017-04-17,19750,19750,14700,14700,2,-0.14782608695652177
2017-04-18,16850,16900,16850,16900,91,0.14965986394557818
2017-04-19,19400,19400,19400,19400,102,0.14792899408284033
2017-04-20,21700,21700,21700,21700,0,0.11855670103092786
2017-04-21,24900,24900,24900,24900,1,0.14746543778801846
2017-04-24,21200,24750,21200,24750,101,-0.0060240963855421326
2017-04-25,21050,24450,21050,24450,60,-0.012121212121212088
2017-04-26,20800,21950,20800,21950,101,-0.10224948875255624
2017-04-27,18700,18700,18700,18700,100,-0.14806378132118447
2017-04-28,15900,18000,15900,18000,2,-0.03743315508021394
2017-05-02,15300,15300,15300,15300,1,-0.15000000000000002
2017-05-04,14050,17550,14050,17550,301,0.1470588235294117
2017-05-08,20100,20150,20100,20150,300,0.14814814814814814
