Date,Open,High,Low,Close,Volume,Change
2017-06-09,11900,13650,11900,13650,692,
2017-06-12,14500,14500,11650,14350,216,0.05128205128205132
2017-06-13,14400,14400,12200,14400,205,0.0034843205574912606
2017-06-14,14250,14250,14250,14250,0,-0.01041666666666663
2017-06-15,14200,14200,14200,14200,0,-0.0035087719298245723
2017-06-16,14200,14200,14200,14200,0,0.0
2017-06-19,12100,13950,12100,13950,6,-0.017605633802816878
2017-06-20,15900,15900,11900,15900,98,0.13978494623655924
2017-06-21,13650,18000,13550,18000,223,0.13207547169811318
2017-06-22,15300,20000,15300,17750,23,-0.01388888888888884
2017-06-23,15100,19950,15100,19950,162,0.12394366197183104
2017-06-26,17000,22900,17000,17000,186,-0.1478696741854637
2017-06-27,14450,19350,14450,19350,6,0.138235294117647
2017-06-28,16450,21600,16450,21600,6,0.11627906976744184
2017-06-29,18400,18400,18400,18400,60,-0.14814814814814814
2017-06-30,15650,15650,15650,15650,5,-0.1494565217391305
2017-07-03,13450,14250,13450,14250,81,-0.08945686900958472
2017-07-04,14400,14500,14400,14500,31,0.01754385964912286
2017-07-05,12450,15000,12450,14950,192,0.03103448275862064
2017-07-06,12850,13600,12850,13600,81,-0.09030100334448166
2017-07-07,11700,12400,11700,12400,91,-0.08823529411764708
2017-07-10,11250,11250,11250,11250,0,-0.092741935483871
2017-07-11,12900,12900,12900,12900,1,0.14666666666666672
2017-07-12,14500,14500,14500,14500,50,0.12403100775193798
2017-07-13,16500,16500,16500,16500,1,0.13793103448275867
2017-07-14,14050,15900,14050,15900,4,-0.036363636363636376
2017-07-17,17850,17850,17850,17850,1,0.12264150943396235
2017-07-18,17850,20350,17850,20350,2,0.14005602240896353
2017-07-19,20350,23200,20350,23200,2,0.14004914004914015
2017-07-20,19750,26550,19750,26550,6,0.1443965517241379
2017-07-21,22600,30450,22600,30450,6,0.14689265536723162
2017-07-24,30450,34850,25900,33950,8,0.11494252873563227
2017-07-25,0,0,0,33950,0,0.0
