Date,Open,High,Low,Close,Volume,Change
2017-04-24,4140,4760,4140,4140,26269,
2017-04-25,4760,4760,4000,4760,8482,0.1497584541062802
2017-04-26,5470,5470,4500,4900,3764,0.02941176470588225
2017-04-27,4500,5100,4500,5100,3149,0.04081632653061229
2017-04-28,4510,5100,4510,5100,1999,0.0
2017-05-02,5100,5110,4800,4800,2423,-0.05882352941176472
2017-05-04,5000,5000,4800,5000,3817,0.04166666666666674
2017-05-08,4870,4870,4600,4600,1454,-0.07999999999999996
2017-05-10,4660,4660,4500,4500,1830,-0.021739130434782594
2017-05-11,4600,4600,4600,4600,1201,0.022222222222222143
2017-05-12,4600,4600,4600,4600,799,0.0
2017-05-15,4600,4600,4600,4600,2000,0.0
2017-05-16,4400,4600,4400,4600,1550,0.0
2017-05-17,4700,4700,4620,4620,775,0.004347826086956497
2017-05-18,4475,4475,4475,4475,4000,-0.031385281385281405
2017-05-19,4600,4600,4600,4600,614,0.027932960893854775
2017-05-22,4650,4650,4650,4650,1,0.010869565217391353
2017-05-23,4800,4800,4800,4800,137,0.032258064516129004
2017-05-24,4800,4800,4800,4800,390,0.0
2017-05-25,4560,5000,4560,5000,1276,0.04166666666666674
2017-05-26,5000,5000,5000,5000,2000,0.0
2017-05-29,5000,5000,5000,5000,0,0.0
2017-05-30,5000,5000,5000,5000,2000,0.0
2017-05-31,5200,5200,5200,5200,40,0.040000000000000036
2017-06-01,5200,5200,5200,5200,500,0.0
2017-06-02,5400,5400,5400,5400,41,0.03846153846153855
2017-06-05,5500,5500,5500,5500,1185,0.0185185185185186
2017-06-07,6320,6320,6300,6300,187,0.1454545454545455
2017-06-08,6400,6900,6400,6700,3205,0.06349206349206349
2017-06-09,7700,7700,6000,6000,1755,-0.10447761194029848
2017-06-12,6820,6820,6200,6200,7538,0.03333333333333344
2017-06-13,6800,6900,6800,6800,6372,0.09677419354838701
2017-06-14,6900,6900,6900,6900,1250,0.014705882352941124
2017-06-15,6900,6900,6900,6900,0,0.0
2017-06-16,7900,7900,6900,6990,4310,0.01304347826086949
2017-06-19,6000,6800,6000,6700,6318,-0.0414878397711016
2017-06-20,6790,6790,6790,6790,1,0.013432835820895495
2017-06-21,6880,6880,6880,6880,1,0.013254786450662692
2017-06-22,6890,6890,6890,6890,1,0.0014534883720929148
2017-06-23,6900,6900,6900,6900,1,0.0014513788098693414
2017-06-26,7500,7500,6500,6500,1048,-0.05797101449275366
2017-06-27,6990,6990,6990,6990,1,0.07538461538461538
2017-06-28,6900,6900,6900,6900,180,-0.012875536480686733
2017-06-29,6840,6840,6840,6840,0,-0.008695652173912993
2017-06-30,6840,6840,6840,6840,0,0.0
2017-07-03,6840,6840,6800,6800,1191,-0.005847953216374324
2017-07-04,6900,6900,6890,6890,761,0.013235294117647012
2017-07-05,6900,6900,6900,6900,490,0.0014513788098693414
2017-07-06,6900,6900,6890,6890,1877,-0.0014492753623188692
2017-07-07,6890,6890,6890,6890,0,0.0
2017-07-10,7500,7500,6850,6850,1765,-0.005805515239477477
2017-07-11,6780,6780,6780,6780,295,-0.010218978102189746
2017-07-12,6750,6750,6750,6750,148,-0.004424778761061954
2017-07-13,6000,7500,5950,6800,629,0.007407407407407307
2017-07-14,6800,7100,6000,6890,607,0.013235294117647012
2017-07-17,6690,6690,6690,6690,150,-0.029027576197387495
2017-07-18,5950,5950,5900,5900,936,-0.11808669656203286
2017-07-19,6070,6070,6070,6070,150,0.028813559322034
2017-07-20,6800,6800,6800,6800,1,0.12026359143327836
2017-07-21,5790,5790,5790,5790,5962,-0.1485294117647059
2017-07-24,6580,6580,5500,6480,612,0.11917098445595853
2017-07-25,6300,6300,5700,5700,200,-0.12037037037037035
2017-07-26,6470,6470,6470,6470,35,0.1350877192982456
2017-07-27,7000,7000,6200,6210,293,-0.040185471406491535
2017-07-28,6200,6200,6150,6150,302,-0.009661835748792313
2017-07-31,7000,7000,7000,7000,1,0.1382113821138211
2017-08-01,6300,6950,6200,6950,77,-0.0071428571428571175
2017-08-02,7200,7200,7200,7200,1,0.03597122302158273
2017-08-03,7000,7000,7000,7000,143,-0.02777777777777779
2017-08-04,6850,6850,6000,6000,5,-0.1428571428571429
2017-08-07,6900,6900,6900,6900,1,0.1499999999999999
2017-08-08,6700,6700,6700,6700,2,-0.02898550724637683
2017-08-09,6900,6900,5810,6900,4,0.029850746268656803
2017-08-10,6020,6020,6020,6020,1,-0.12753623188405794
2017-08-11,6890,6890,5800,5810,552,-0.03488372093023251
2017-08-14,6600,6600,5100,5710,4,-0.01721170395869187
2017-08-16,5810,5810,5810,5810,150,0.017513134851138368
2017-08-17,6000,6000,4940,4940,292,-0.14974182444061968
2017-08-18,4950,5670,4520,4970,2976,0.006072874493927127
2017-08-21,5700,5700,4250,5460,72,0.09859154929577474
2017-08-22,5800,5900,4650,4650,3549,-0.14835164835164838
