Date,Open,High,Low,Close,Volume,Change
1999-07-26,14760,14760,14760,14760,0,
1999-07-27,14760,14760,14760,14760,0,0.0
1999-07-28,14760,14760,14760,14760,0,0.0
1999-07-29,13005,13005,13005,13000,21,-0.1192411924119241
1999-07-30,11744,13425,11744,13420,182,0.03230769230769237
1999-08-02,13425,13425,13425,13420,0,0.0
1999-08-03,11815,11815,11815,11810,233,-0.11997019374068552
1999-08-04,10405,10405,10405,10400,477,-0.11939034716342078
1999-08-05,9164,11645,9164,10735,662,0.03221153846153846
1999-08-06,10070,10070,10070,10065,325,-0.062412668840242214
1999-08-09,10739,11245,10739,11240,358,0.1167411823149529
1999-08-10,12585,12585,12585,12580,9,0.11921708185053381
1999-08-11,13890,13890,11070,12410,268,-0.013513513513513487
1999-08-12,13720,13720,13720,13720,3,0.10556003223207089
1999-08-13,14725,14725,14725,14725,3,0.07325072886297379
1999-08-16,15064,16410,15064,16405,6,0.11409168081494059
1999-08-17,18080,18080,18080,18080,3,0.10210301737275218
1999-08-18,15940,15940,15940,15935,0,-0.11863938053097345
1999-08-19,17845,17845,14020,14020,42,-0.12017571383746473
1999-08-20,15060,15060,12345,12345,9,-0.119472182596291
1999-08-23,13385,13385,13385,13385,3,0.08424463345484012
1999-08-24,14725,14725,11790,11790,69,-0.1191632424355622
1999-08-25,13200,13200,10400,11405,271,-0.032654792196776916
1999-08-26,11579,12755,10068,12750,2549,0.11793073213502847
1999-08-27,11744,14280,11744,14275,325211,0.11960784313725492
1999-08-30,15939,15990,15769,15985,4141,0.11978984238178625
1999-08-31,17610,17745,16775,17745,1586,0.11010322177040965
1999-09-01,15639,18725,15639,18720,9,0.05494505494505497
1999-09-02,16510,16510,16510,16505,0,-0.1183226495726496
1999-09-03,14525,14525,14525,14525,3,-0.11996364737958198
1999-09-06,12805,12805,12805,12800,0,-0.11876075731497415
1999-09-07,11274,14330,11274,12750,4507,-0.00390625
1999-09-08,11744,13925,11744,13085,1812,0.026274509803921653
1999-09-09,13585,14255,12409,13585,1830,0.03821169277799008
1999-09-10,12410,14390,11960,14390,733,0.05925653294074351
1999-09-13,12919,13090,12919,13085,80,-0.09068797776233495
1999-09-14,13090,13090,13090,13085,447,0.0
1999-09-15,13089,13760,12754,13755,1374,0.05120366832250678
1999-09-16,15330,15330,14930,15095,328,0.09741912031988376
1999-09-17,13420,15095,13420,15095,1458,0.0
1999-09-20,15134,15740,15134,15735,599,0.042398145081152805
1999-09-21,16605,16605,13920,15095,110,-0.04067365745154117
1999-09-22,13760,13760,13289,13755,1180,-0.08877111626366352
1999-09-27,12410,12445,12410,12410,873,-0.09778262450018171
1999-09-28,13860,13860,13860,13855,3,0.11643835616438358
