Date,Open,High,Low,Close,Volume,Change
2020-06-22,3901,5065,3901,5065,2524383,
2020-06-23,6578,6578,6578,6578,203437,0.2987166831194472
2020-06-24,6627,7002,5014,5227,9697497,-0.20538157494679232
2020-06-25,4989,5815,4764,5340,5336503,0.021618519227090127
2020-06-26,5252,5364,4964,5077,1411621,-0.04925093632958799
2020-06-29,4826,4951,4414,4414,1273753,-0.13058893047075049
2020-06-30,4589,4639,4126,4164,1436756,-0.05663797009515181
2020-07-01,4289,5127,4239,4627,7340047,0.11119116234390014
2020-07-02,4589,4789,4376,4552,1052897,-0.016209206829479128
2020-07-03,4564,5315,4564,4990,5355841,0.09622144112478037
2020-07-06,5077,5089,4776,4952,927938,-0.007615230460921829
2020-07-07,4852,4914,4376,4527,1491383,-0.08582390953150243
2020-07-08,4526,4627,4376,4627,478725,0.022089684117517105
2020-07-09,4652,4652,4477,4477,471069,-0.032418413658958256
2020-07-10,4426,4564,4288,4364,510844,-0.02524011614920707
2020-07-13,4426,4552,4326,4502,525660,0.03162236480293301
2020-07-14,4427,4477,4364,4427,375839,-0.016659262549977738
2020-07-15,4439,5464,4401,4877,9423220,0.10164897221594749
2020-07-16,4951,5139,4839,5027,1935922,0.03075661267172447
2020-07-17,5040,5327,4902,4915,1849903,-0.02227968967575089
2020-07-20,4939,5252,4826,5227,1137300,0.06347914547304168
2020-07-21,5302,5327,5014,5115,902515,-0.021427204897646823
2020-07-22,4877,4952,4727,4865,1592546,-0.04887585532746819
2020-07-23,4852,4889,4777,4777,453122,-0.018088386433710135
2020-07-24,4739,4739,4501,4564,670389,-0.044588653966924796
2020-07-27,4626,4626,4488,4514,300578,-0.010955302366345343
2020-07-28,4551,4827,4489,4802,626084,0.06380150642445725
2020-07-29,4751,5002,4726,4877,713638,0.015618492294877218
2020-07-30,4864,4902,4751,4852,348093,-0.005126102111954078
2020-07-31,4802,4990,4677,4940,726423,0.01813685078318228
2020-08-03,4952,5002,4789,4840,453430,-0.020242914979757054
2020-08-04,4876,5114,4826,5077,1208271,0.048966942148760406
2020-08-05,5114,5302,5052,5052,1172034,-0.004924167815639202
2020-08-06,5077,5127,4789,4815,678576,-0.04691211401425177
2020-08-07,4864,5102,4827,5040,777021,0.04672897196261672
2020-08-10,5039,5064,4839,4902,489995,-0.027380952380952395
2020-08-11,4927,4977,4801,4852,241949,-0.010199918400652819
2020-08-12,4814,4864,4676,4727,325313,-0.025762572135201944
2020-08-13,4802,4814,4726,4777,168064,0.010577533319229948
2020-08-14,4677,4789,4526,4577,526948,-0.04186728072011725
2020-08-18,4664,4777,4326,4377,289424,-0.043696744592527814
2020-08-19,4451,4551,4301,4339,172665,-0.008681745487777004
2020-08-20,4301,4414,4038,4089,234069,-0.05761696243374048
2020-08-21,4101,4227,3951,4152,153111,0.015407190022010298
2020-08-24,4214,4214,4026,4127,196245,-0.0060211946050096055
2020-08-25,4189,4302,4126,4227,151352,0.024230676035861487
2020-08-26,4226,4289,4126,4164,96945,-0.014904187366926891
2020-08-27,4151,4301,4076,4089,211097,-0.018011527377521652
2020-08-28,4114,4189,4001,4027,232194,-0.015162631450232333
2020-08-31,4089,4102,4026,4077,120628,0.012416190712689401
2020-09-01,4039,4227,4039,4152,97233,0.01839587932303166
2020-09-02,4151,4426,4138,4364,270358,0.051059730250481605
2020-09-03,4414,4502,4339,4477,243024,0.02589367552703936
2020-09-04,4326,4364,4238,4314,242417,-0.03640830913558191
2020-09-07,4377,4414,4226,4252,154235,-0.014371812702828057
2020-09-08,4301,4402,4201,4327,134657,0.01763875823142058
2020-09-09,4226,4364,4188,4214,179366,-0.026115091287265968
2020-09-10,4252,4327,4226,4252,89661,0.009017560512577072
2020-09-11,4251,4489,4238,4439,327464,0.043979303857008434
2020-09-14,4489,4501,4376,4464,142949,0.005631899076368629
2020-09-15,4501,4539,4426,4464,171402,0.0
2020-09-16,4476,5027,4476,4802,2315568,0.0757168458781361
2020-09-17,4827,4902,4739,4840,643895,0.00791336942940446
2020-09-18,4839,4977,4689,4802,527260,-0.007851239669421473
2020-09-21,4739,4777,4289,4527,300974,-0.057267805081216205
2020-09-22,4476,4476,4088,4139,698530,-0.08570797437596644
2020-09-23,4164,4289,4064,4227,272873,0.021261174196665955
2020-09-24,4114,4226,4038,4039,325557,-0.0444759876981311
2020-09-25,4052,4164,3989,4027,185239,-0.002971032433770726
2020-09-28,4126,4201,4001,4039,150021,0.002979885771045465
2020-09-29,4101,4239,4051,4152,118497,0.027977222084674347
2020-10-05,4289,4352,4151,4252,200231,0.024084778420038644
2020-10-06,4364,4364,4177,4177,87286,-0.01763875823142047
2020-10-07,4139,4252,4126,4202,91831,0.00598515681110845
2020-10-08,4326,4489,4226,4489,600165,0.06830080913850556
2020-10-12,4626,4626,4376,4539,362078,0.011138338159946581
2020-10-13,4577,4577,4426,4527,115975,-0.0026437541308658163
2020-10-14,4539,4602,4414,4477,149617,-0.011044842058758553
2020-10-15,4476,4739,4439,4627,791010,0.0335045789591244
2020-10-16,4626,4826,4551,4589,556196,-0.00821266479360272
2020-10-19,4677,4677,4401,4502,297220,-0.01895837873174988
2020-10-20,4401,4489,4088,4339,495568,-0.036206130608618436
2020-10-21,4376,4439,4226,4339,145008,0.0
2020-10-22,4339,4339,4101,4202,182604,-0.03157409541368983
2020-10-23,4201,4251,4088,4139,170514,-0.01499286054259874
2020-10-26,4177,4189,4001,4027,184195,-0.027059676250302034
2020-10-27,3951,4089,3939,4002,107343,-0.0062080953563447006
2020-10-28,3988,4164,3976,4164,99675,0.040479760119940034
2020-10-29,4064,4189,4039,4177,93902,0.0031219980787704493
2020-10-30,4202,4214,4051,4102,79662,-0.01795547043332535
2020-11-02,4101,4151,4051,4089,40150,-0.0031691857630423703
2020-11-03,4176,4189,4076,4139,85063,0.012227928588897097
2020-11-04,4139,4176,4038,4114,115147,-0.006040106305870929
2020-11-05,4189,4202,4051,4202,136064,0.021390374331550888
2020-11-06,4264,4264,3839,4027,282987,-0.041646834840552094
2020-11-09,4089,4089,3926,4014,265005,-0.0032282095852992354
2020-11-10,4027,4102,4001,4027,114819,0.0032386646736422
2020-11-11,4089,4089,3989,4052,93459,0.0062080953563445895
2020-11-12,4051,4089,4013,4039,54931,-0.003208292201382079
2020-11-13,4064,4064,3976,4039,87961,0.0
2020-11-16,4001,4089,3976,4039,127773,0.0
2020-11-17,4039,4039,3963,3989,106352,-0.012379301807378118
2020-11-18,3989,4002,3964,3977,67724,-0.003008272750062657
2020-11-19,4002,4002,3927,3927,108295,-0.012572290671360342
2020-11-20,3926,3977,3914,3952,67484,0.00636618283677115
2020-11-23,3952,3964,3889,3952,150397,0.0
2020-11-24,3914,4052,3914,4027,127665,0.01897773279352233
2020-11-25,4039,4089,3926,4052,201354,0.0062080953563445895
2020-11-26,3989,4052,3989,4002,49957,-0.012339585389930852
2020-11-27,4064,4064,3976,4002,78602,0.0
2020-11-30,4002,4039,3939,3977,81381,-0.0062468765617191835
2020-12-01,3989,3989,3926,3952,75844,-0.006286145335680171
2020-12-02,3952,3964,3889,3927,135349,-0.0063259109311740724
2020-12-03,3927,3927,3876,3902,107871,-0.006366182836771039
2020-12-04,3901,3914,3838,3839,146271,-0.016145566376217335
2020-12-07,3838,3876,3750,3776,142145,-0.016410523573847313
2020-12-08,3826,3826,3663,3701,218705,-0.01986228813559321
2020-12-09,3713,3726,3550,3601,236820,-0.027019724398811173
2020-12-10,3601,3776,3576,3764,185339,0.04526520410996948
2020-12-11,3788,3801,3663,3751,115779,-0.003453772582359238
2020-12-14,3801,3839,3676,3689,101458,-0.016528925619834656
2020-12-15,3688,3751,3663,3726,105560,0.010029818378964439
2020-12-16,3738,3801,3713,3801,85399,0.020128824476650653
2020-12-17,3801,3977,3751,3852,210597,0.013417521704814472
2020-12-18,4002,4002,3877,3877,234537,0.0064901349948078835
2020-12-21,3901,3951,3788,3914,240042,0.009543461439257106
2020-12-22,3914,3989,3826,3852,234009,-0.01584057230454783
2020-12-23,3851,3964,3788,3864,97289,0.0031152647975076775
2020-12-24,3864,3901,3788,3839,105688,-0.006469979296066297
2020-12-28,3826,3876,3801,3839,86438,0.0
2020-12-29,3814,3939,3814,3927,133566,0.022922636103151817
2020-12-30,3951,3951,3876,3914,119229,-0.003310415075120976
2021-01-04,3914,3952,3839,3952,121200,0.009708737864077666
2021-01-05,3951,3976,3876,3939,122160,-0.003289473684210509
2021-01-06,4001,4339,3951,4327,1076884,0.09850215790809846
2021-01-07,4289,4377,4214,4327,509109,0.0
2021-01-08,4377,4377,4251,4327,341857,0.0
2021-01-11,4352,4352,3964,4002,472776,-0.07510977582620748
2021-01-12,4002,4114,3926,4002,247258,0.0
