Date,Open,High,Low,Close,Volume,Change
1999-07-26,10541897,10541897,9624358,9624358,0,
1999-07-27,8472558,9370567,8472558,8648257,0,-0.1014198557451832
1999-07-28,9272958,9272958,8687294,9136307,0,0.056433336798386025
1999-07-29,9429135,10151450,9136306,9761010,0,0.06837587659871769
1999-07-30,9370573,9956227,8589687,8628733,0,-0.1159999836082537
1999-08-02,8628735,8628735,7594065,7808809,0,-0.09502252532324273
1999-08-03,7418367,8101633,7223139,7613587,0,-0.025000227307390932
1999-08-04,7613583,8511601,7613583,8511601,0,0.11794887219388173
1999-08-05,9370566,9526747,8980131,9526747,0,0.1192661639097039
1999-08-06,9761011,9761011,8394463,8784910,0,-0.07786886751584776
1999-08-09,8589688,9175346,7906413,8550645,0,-0.026666750143143236
1999-08-10,8218767,8589687,7925939,8374945,0,-0.020548157478178508
1999-08-11,7886894,8589688,7418361,8101637,0,-0.032634005357647156
1999-08-12,8004031,8355426,7613588,8296860,0,0.024096735017873572
1999-08-13,8199247,8199247,7808806,7984505,0,-0.03764737503103588
1999-08-16,7808805,8004027,7418367,7613587,0,-0.04645472699935693
1999-08-17,7613587,7613587,6715569,7223148,0,-0.05128187278873941
1999-08-18,6364178,6364178,6364178,6364180,0,-0.11891878721023019
1999-08-19,5641860,7125533,5641860,7008403,0,0.10122639523080745
1999-08-20,7223146,7594060,6442263,6832707,0,-0.025069334625877016
1999-08-23,7125532,7652629,6500833,7652631,0,0.1199998770619024
1999-08-24,8570167,8570167,8550643,8570167,0,0.11989811085886681
1999-08-25,9272961,9272961,7555023,7808809,0,-0.08883817549879713
1999-08-26,7027917,8394462,7027917,8101637,0,0.03749970065857666
1999-08-27,7808810,8082119,7262189,7418369,0,-0.08433702966449863
1999-08-30,7418368,7652633,7027928,7379325,0,-0.0052631515094490045
1999-08-31,7320756,7613587,6930311,7320758,0,-0.007936633770703971
1999-09-01,7613585,7613585,6930320,7047449,0,-0.037333429133977636
1999-09-02,6637485,7027919,6227520,6227523,0,-0.11634365853516637
1999-09-03,6149436,6930318,5680906,6930318,0,0.11285305570127968
1999-09-06,6930315,7223139,6383696,7027926,0,0.014084202196782414
1999-09-07,7027922,7027922,6442262,6637485,0,-0.05555565041521493
1999-09-08,6227516,6637483,6227516,6598441,0,-0.005882348510015456
1999-09-09,7008400,7008400,6051827,6520355,0,-0.011834007457216078
1999-09-10,6813180,6813180,5954217,6305612,0,-0.03293424974560433
1999-09-13,6247043,6305608,5895644,6227523,0,-0.012384047733986825
1999-09-14,5758995,6090872,5661386,6051827,0,-0.028212822337227772
1999-09-15,6051827,6442268,5680905,6012782,0,-0.006451770680159896
1999-09-16,6012781,6344652,5856603,6149435,0,0.022727083735947895
1999-09-17,5661382,5954217,5661382,5856606,0,-0.04761884628425217
1999-09-20,6149435,6149435,5661387,5954216,0,0.016666649591930982
1999-09-21,5954217,5954217,5270939,5466166,0,-0.08196713051726712
1999-09-22,5368551,5368551,4821937,5173337,0,-0.05357118682454942
1999-09-27,5075721,5075721,4607193,4685285,0,-0.09433988158900142
1999-09-28,4782897,4782897,4294843,4665764,0,-0.004166448785932975
1999-09-29,4294841,4548624,4294841,4392452,0,-0.05857818783804758
1999-09-30,4119144,4568150,3904402,4451019,0,0.013333554925585966
1999-10-01,4411973,4411973,3923919,3923924,0,-0.11842119748309321
1999-10-04,3904399,4392454,3650618,3787272,0,-0.034825343202365744
1999-10-05,3845836,4236277,3845836,4236279,0,0.11855683985729049
1999-10-06,4294842,4314360,3904401,4002013,0,-0.05529994601394295
1999-10-07,4002008,4470539,4002008,4470541,0,0.11707308297099495
1999-10-08,4490064,4782898,4236277,4236279,0,-0.052401264187041385
1999-10-11,4294843,4743850,4294843,4743851,0,0.11981552678659746
1999-10-12,5309986,5309986,5309986,5309988,0,0.11934122720127593
1999-10-13,5934693,5934693,5309983,5934695,0,0.11764753517333748
1999-10-14,5466162,6617964,5466162,5856606,0,-0.013158047717700794
1999-10-15,5856605,6227522,5270944,5915172,0,0.00999998975515859
1999-10-18,5934693,5934693,5212377,5407599,0,-0.08580866287573718
1999-10-19,4841460,5758990,4763370,4763371,0,-0.11913383370327568
1999-10-20,4665759,5095243,4490061,4763371,0,0.0
1999-10-21,4763370,4958587,4607192,4646240,0,-0.024589938512032727
1999-10-22,4392454,4841460,4392454,4490064,0,-0.033613416439960075
1999-10-25,4490063,4782892,4294842,4509586,0,0.004347822213669916
1999-10-26,4490064,5036678,4236275,5036681,0,0.11688323495771002
1999-10-27,5368554,5622341,5075719,5622342,0,0.11627915287865154
1999-10-28,5114766,5563774,5036680,5231899,0,-0.06944490392082159
1999-10-29,4919548,5856602,4919548,5466166,0,0.044776667133673564
1999-11-01,6051820,6110388,5661380,6110390,0,0.11785664760272563
1999-11-02,6403214,6832706,5817555,6832707,0,0.11821127620331917
1999-11-03,7652629,7652629,7437890,7652631,0,0.1199998770619024
1999-11-04,8570167,8570167,8004030,8570167,0,0.11989811085886681
1999-11-05,8589690,8589690,7555019,7828331,0,-0.08656027356293061
1999-11-08,7867374,8745869,7828330,8199249,0,0.04738149166150496
1999-11-09,8199245,8199245,7223147,7223148,0,-0.11904761033601985
1999-11-10,6715564,7808799,6422739,6676529,0,-0.07567600719243184
1999-11-11,6949841,7379325,6325138,6871752,0,0.02924019351971663
1999-11-12,6871750,7027925,6051826,6051827,0,-0.11931818843287711
1999-11-15,5466162,6774139,5329513,6774141,0,0.11935470065486009
1999-11-16,7125528,7574543,6813180,7574544,0,0.11815564512164722
1999-11-17,7808799,8004023,6676527,6676529,0,-0.11855697187843917
1999-11-18,6051825,6442262,5876126,5876128,0,-0.11988280137778173
1999-11-19,5661381,6500830,5661381,6364180,0,0.08305673395814384
1999-11-22,6364177,6832704,6129911,6305612,0,-0.009202756678786561
1999-11-23,6012781,6442262,5758986,6149435,0,-0.02476793687908485
1999-11-24,6149435,6247048,5563774,5954216,0,-0.031745843317312894
1999-11-25,5856604,6149434,5661383,5934695,0,-0.0032785172724670852
1999-11-26,5680904,5837083,5231899,5231899,0,-0.11842158695602722
1999-11-29,4704803,4782894,4607190,4607196,0,-0.1194027254731026
1999-11-30,4177708,4860979,4177708,4431498,0,-0.03813556011074848
1999-12-01,4529103,4958586,4529103,4958593,0,0.11894284957366552
1999-12-02,4958586,5056201,4470536,4958593,0,0.0
1999-12-03,4958590,5466167,4509586,5173337,0,0.04330744628567018
1999-12-06,5270941,5758992,4685278,5075725,0,-0.018868285595931567
1999-12-07,4587673,5173334,4470536,4763371,0,-0.061538794950475095
1999-12-08,4529102,5056199,4197228,4470541,0,-0.061475371118478894
1999-12-09,3962970,4451019,3962970,4275323,0,-0.04366764559367642
1999-12-10,3943443,4665764,3943443,4294845,0,0.00456620470546909
1999-12-13,4119144,4119144,3787268,3845835,0,-0.10454626418415569
1999-12-14,3904398,4294843,3709181,4294845,0,0.11675227876390948
1999-12-15,4490060,4490060,3904402,3962967,0,-0.07727356866196566
1999-12-16,4002012,4216751,3650617,4216756,0,0.06404014971610916
1999-12-17,4002012,4002012,3728703,3904402,0,-0.07407447810591838
1999-12-20,3435869,4197227,3435869,3435872,0,-0.12000045077325538
1999-12-21,3025912,3025912,3025912,3025911,0,-0.1193178907712511
1999-12-22,2674516,2674516,2674516,2674516,0,-0.11612866340087336
1999-12-23,2362161,2362161,2362161,2362163,0,-0.11678860773313748
1999-12-24,2088853,2088853,2088853,2088853,0,-0.11570327703888339
1999-12-27,1854589,1854589,1854589,1854590,0,-0.11214910766817965
1999-12-28,1639847,1639847,1639847,1639846,0,-0.11579055208968025
2000-01-04,1444626,1444626,1444626,1444628,0,-0.11904654461455522
2000-01-05,1288450,1600804,1288450,1600803,0,0.10810741588838102
2000-01-06,1756978,1756978,1444628,1639846,0,0.024389634452209208
2000-01-07,1659371,1796026,1444631,1561762,0,-0.04761666644306839
2000-01-10,1386063,1464150,1386063,1386062,0,-0.11250113653680904
2000-01-11,1229883,1542236,1229883,1464150,0,0.05633802816901401
2000-01-12,1464147,1464147,1288447,1288450,0,-0.12000136598026157
2000-01-13,1347018,1425108,1190842,1425107,0,0.10606309907252909
2000-01-14,1581279,1581279,1327495,1581283,0,0.10958896419707442
2000-01-17,1561753,1756974,1444623,1678890,0,0.06172645883121497
2000-01-18,1581279,1835063,1483668,1756979,0,0.04651227894620846
2000-01-19,1952203,1952203,1561762,1561762,0,-0.11110946687467527
2000-01-20,1386063,1386063,1386063,1386062,0,-0.11250113653680904
2000-01-21,1366539,1542240,1249408,1386062,0,0.0
2000-01-24,1386061,1483674,1288454,1483673,0,0.0704232566797156
2000-01-25,1386061,1464149,1366538,1366541,0,-0.0789473152102923
2000-01-26,1366539,1464150,1366539,1386062,0,0.014284972057186707
2000-01-27,1268928,1503190,1229883,1503194,0,0.08450704225352124
