Date,Open,High,Low,Close,Volume,Change
2017-12-12,1862,1862,1797,1811,413455,
2017-12-13,1811,1820,1806,1820,18235,0.004969630038652584
2017-12-14,1815,1829,1806,1806,78868,-0.007692307692307665
2017-12-15,1811,1815,1801,1806,126491,0.0
2017-12-18,1806,1815,1801,1811,56198,0.002768549280177224
2017-12-19,1801,1811,1801,1806,34257,-0.002760905577029238
2017-12-20,1806,1806,1801,1806,42843,0.0
2017-12-21,1806,1806,1801,1806,44165,0.0
2017-12-22,1806,1806,1801,1806,20491,0.0
2017-12-26,1801,1811,1801,1806,22453,0.0
2017-12-27,1806,1811,1801,1806,30492,0.0
2017-12-28,1801,1806,1801,1806,3603,0.0
2018-01-02,1806,1806,1801,1802,2721,-0.0022148394241418012
2018-01-03,1806,1806,1801,1806,13968,0.002219755826859071
2018-01-04,1815,1815,1801,1802,234100,-0.0022148394241418012
2018-01-05,1806,1806,1801,1806,41391,0.002219755826859071
2018-01-08,1820,1820,1806,1811,55185,0.002768549280177224
2018-01-09,1811,1815,1797,1802,52284,-0.004969630038652695
2018-01-10,1815,1820,1811,1816,13980,0.007769145394006749
2018-01-11,1815,1820,1815,1820,7686,0.0022026431718060735
2018-01-12,1820,1829,1820,1825,3494,0.0027472527472527375
2018-01-15,1811,1829,1811,1830,8496,0.00273972602739736
2018-01-16,1829,1829,1815,1816,1538,-0.007650273224043769
2018-01-17,1815,1829,1815,1820,5567,0.0022026431718060735
2018-01-18,1811,1820,1811,1820,7637,0.0
2018-01-19,1815,1829,1815,1830,10356,0.005494505494505475
2018-01-22,1815,1843,1815,1834,13446,0.002185792349726823
2018-01-23,1829,1829,1820,1830,10384,-0.0021810250817884125
2018-01-24,1838,1838,1834,1834,16966,0.002185792349726823
2018-01-25,1829,1838,1829,1839,3202,0.0027262813522355156
2018-01-26,1825,1838,1825,1839,1764,0.0
2018-01-29,1834,1843,1834,1844,20860,0.002718868950516651
2018-01-30,1838,1848,1838,1848,15800,0.002169197396963085
2018-01-31,1848,1848,1829,1844,14012,-0.0021645021645021467
2018-02-01,1843,1848,1843,1848,4112,0.002169197396963085
2018-02-02,1829,1848,1829,1844,10963,-0.0021645021645021467
2018-02-05,1825,1843,1825,1844,12401,0.0
2018-02-06,1829,1848,1829,1844,6821,0.0
2018-02-07,1825,1848,1825,1848,3002,0.002169197396963085
2018-02-08,1838,1843,1838,1839,3000,-0.004870129870129913
2018-02-09,1843,1843,1838,1844,361,0.002718868950516651
2018-02-12,1834,1848,1829,1848,10051,0.002169197396963085
2018-02-13,1834,1843,1829,1844,10033,-0.0021645021645021467
2018-02-14,1843,1848,1834,1834,54,-0.005422993492407824
2018-02-19,1834,1848,1834,1848,6475,0.007633587786259444
2018-02-20,1843,1848,1843,1844,15437,-0.0021645021645021467
2018-02-21,1829,1838,1829,1839,34,-0.0027114967462038564
2018-02-22,1843,1848,1838,1839,5287,0.0
2018-02-23,1838,1843,1838,1844,22,0.002718868950516651
2018-02-26,1848,1848,1829,1834,4886,-0.005422993492407824
2018-02-27,1843,1843,1838,1839,6,0.0027262813522355156
2018-02-28,1838,1838,1834,1839,762,0.0
2018-03-02,1838,1848,1838,1848,804,0.004893964110929794
2018-03-05,1848,1852,1848,1848,13357,0.0
2018-03-06,1852,1852,1848,1848,13366,0.0
2018-03-07,1848,1852,1848,1848,6097,0.0
2018-03-08,1848,1852,1848,1853,9566,0.0027056277056276556
2018-03-09,1848,1848,1848,1848,50,-0.002698327037236936
2018-03-12,1848,1852,1825,1825,5372,-0.012445887445887482
2018-03-13,1829,1852,1829,1839,1106,0.007671232876712342
2018-03-14,1834,1848,1834,1839,8463,0.0
2018-03-15,1838,1843,1838,1844,200,0.002718868950516651
2018-03-16,1843,1848,1843,1848,1248,0.002169197396963085
2018-03-19,1848,1852,1848,1848,12023,0.0
2018-03-20,1848,1848,1848,1848,100,0.0
2018-03-21,1848,1852,1843,1844,1079,-0.0021645021645021467
2018-03-22,1843,1852,1843,1853,173,0.0048806941431669415
2018-03-23,1852,1852,1848,1848,3855,-0.002698327037236936
2018-03-26,1848,1848,1848,1848,2538,0.0
2018-03-27,1852,1852,1848,1853,2014,0.0027056277056276556
2018-03-28,1843,1852,1843,1848,1220,-0.002698327037236936
2018-03-29,1848,1848,1848,1848,2011,0.0
2018-03-30,1848,1848,1848,1848,0,0.0
2018-04-02,1843,1857,1834,1857,7655,0.004870129870129913
2018-04-03,1838,1848,1838,1848,3899,-0.004846526655896577
2018-04-04,1838,1848,1838,1848,2847,0.0
2018-04-05,1848,1852,1848,1853,1289,0.0027056277056276556
2018-04-06,1843,1852,1843,1848,5557,-0.002698327037236936
2018-04-09,1848,1852,1848,1853,3327,0.0027056277056276556
2018-04-10,1843,1852,1838,1853,3584,0.0
2018-04-11,1852,1852,1843,1853,2899,0.0
2018-04-12,1838,1852,1838,1844,1058,-0.004856988667026441
2018-04-13,1843,1857,1843,1853,5821,0.0048806941431669415
2018-04-16,1838,1848,1838,1844,1433,-0.004856988667026441
2018-04-17,1843,1852,1838,1839,11900,-0.0027114967462038564
2018-04-18,1848,1848,1838,1848,3726,0.004893964110929794
2018-04-19,1848,1848,1848,1848,1105,0.0
2018-04-20,1843,1843,1843,1844,529,-0.0021645021645021467
2018-04-23,1843,1843,1838,1844,11123,0.0
2018-04-24,1843,1848,1843,1848,3000,0.002169197396963085
2018-04-25,1848,1848,1843,1848,1618,0.0
2018-04-26,1848,1848,1838,1844,707,-0.0021645021645021467
2018-04-27,1843,1852,1843,1844,708,0.0
2018-04-30,1838,1843,1838,1844,1102,0.0
2018-05-02,1843,1852,1843,1853,1452,0.0048806941431669415
2018-05-03,1852,1852,1843,1848,2744,-0.002698327037236936
2018-05-04,1838,1838,1838,1839,663,-0.004870129870129913
2018-05-08,1843,1852,1843,1853,18786,0.0076128330614464446
2018-05-09,1852,1852,1848,1853,700,0.0
2018-05-10,1838,1843,1838,1844,1087,-0.004856988667026441
2018-05-11,1843,1852,1843,1853,5721,0.0048806941431669415
2018-05-14,1843,1852,1843,1844,11012,-0.004856988667026441
2018-05-15,1843,1843,1843,1844,2465,0.0
2018-05-16,1848,1848,1848,1848,938,0.002169197396963085
2018-05-17,1838,1843,1838,1844,4052,-0.0021645021645021467
2018-05-18,1848,1848,1843,1844,4272,0.0
2018-05-21,1848,1852,1843,1844,8070,0.0
2018-05-23,1848,1852,1848,1848,10593,0.002169197396963085
2018-05-24,1852,1852,1852,1853,5005,0.0027056277056276556
2018-05-25,1852,2214,1852,1862,784202,0.004856988667026441
2018-05-28,1889,1903,1862,1867,98236,0.0026852846401719255
2018-05-29,1880,1917,1862,1876,66884,0.0048205677557580096
2018-05-30,1889,1996,1875,1922,308047,0.024520255863539342
2018-05-31,1922,1922,1880,1913,61249,-0.004682622268470382
2018-06-01,1913,1917,1889,1908,42733,-0.002613695765812829
2018-06-04,1908,1931,1903,1918,40317,0.00524109014675056
2018-06-05,1913,1926,1889,1899,19448,-0.009906152241918709
2018-06-07,1899,1908,1894,1899,13521,0.0
2018-06-08,1894,1926,1894,1895,4624,-0.002106371774618254
2018-06-11,1913,1913,1871,1895,59528,0.0
2018-06-12,1885,1889,1875,1876,27613,-0.010026385224274459
2018-06-14,1875,1885,1871,1871,28786,-0.0026652452025586193
2018-06-15,1871,1875,1866,1876,17338,0.0026723677177979965
2018-06-18,1894,1894,1875,1876,203,0.0
2018-06-19,1871,1880,1871,1881,1838,0.0026652452025586193
2018-06-20,1889,1889,1866,1890,22840,0.004784688995215225
2018-06-21,1871,1880,1871,1881,3609,-0.004761904761904745
2018-06-22,1871,1880,1871,1881,2231,0.0
2018-06-25,1889,1889,1871,1876,8798,-0.0026581605528973595
2018-06-26,1871,1894,1871,1895,9023,0.010127931769722709
2018-06-27,1894,1894,1871,1871,828,-0.012664907651715018
2018-06-28,1875,1880,1866,1876,25003,0.0026723677177979965
2018-06-29,1875,1875,1875,1876,1527,0.0
2018-07-02,1875,1880,1875,1876,7902,0.0
2018-07-03,1880,1899,1871,1881,30748,0.0026652452025586193
2018-07-04,1889,1889,1875,1881,14363,0.0
2018-07-05,1875,1885,1871,1885,13334,0.0021265284423179764
2018-07-06,1885,1885,1875,1881,12629,-0.002122015915119402
2018-07-09,1880,1880,1875,1876,5803,-0.0026581605528973595
2018-07-10,1880,1899,1875,1881,17217,0.0026652452025586193
2018-07-11,1875,1889,1875,1890,2715,0.004784688995215225
2018-07-12,1889,1899,1889,1890,20909,0.0
2018-07-13,1880,1908,1880,1899,4979,0.004761904761904745
2018-07-16,1885,1885,1880,1881,1303,-0.009478672985781977
2018-07-17,1885,1885,1885,1885,1592,0.0021265284423179764
2018-07-18,1885,1889,1885,1890,3248,0.0026525198938991412
2018-07-19,1889,1889,1885,1885,4753,-0.002645502645502673
2018-07-20,1885,1885,1880,1885,11492,0.0
2018-07-23,1885,1889,1885,1890,5041,0.0026525198938991412
2018-07-24,1885,1889,1875,1885,8022,-0.002645502645502673
2018-07-25,1880,1899,1880,1885,1525,0.0
2018-07-26,1885,1885,1885,1885,400,0.0
2018-07-27,1885,1885,1880,1881,16338,-0.002122015915119402
2018-07-30,1880,1880,1880,1881,1470,0.0
2018-07-31,1880,1880,1880,1881,10,0.0
2018-08-01,1880,1894,1880,1890,170,0.004784688995215225
2018-08-02,1889,1889,1889,1890,0,0.0
2018-08-03,1889,1889,1871,1881,174266,-0.004761904761904745
2018-08-06,1885,1889,1880,1890,1278,0.004784688995215225
2018-08-07,1880,1880,1871,1871,35486,-0.010052910052910091
2018-08-08,1889,1889,1889,1890,1,0.010154997327632254
2018-08-09,1880,1880,1875,1876,1625,-0.007407407407407418
2018-08-10,1880,1880,1862,1862,62148,-0.007462686567164201
2018-08-13,1885,1885,1875,1876,8988,0.007518796992481258
2018-08-14,1875,1885,1871,1885,6908,0.00479744136460547
2018-08-16,1875,1875,1875,1876,500,-0.004774535809018543
2018-08-17,1875,1899,1875,1899,73987,0.012260127931769782
2018-08-20,1899,1917,1889,1918,14010,0.010005265929436513
2018-08-21,1917,1917,1903,1913,6701,-0.002606882168926017
2018-08-22,1889,1894,1889,1890,7124,-0.012023000522739191
2018-08-23,1889,1889,1889,1890,4845,0.0
2018-08-24,1885,1908,1880,1908,8010,0.00952380952380949
2018-08-27,1908,1908,1889,1890,701,-0.009433962264150941
2018-08-28,1889,1908,1889,1908,19341,0.00952380952380949
2018-08-29,1885,1885,1885,1885,100,-0.012054507337526221
2018-08-30,1889,1913,1889,1913,6718,0.01485411140583559
2018-08-31,1908,1908,1899,1908,998,-0.002613695765812829
2018-09-03,1908,2098,1908,1913,122005,0.002620545073375169
2018-09-04,1913,1963,1903,1904,32572,-0.004704652378463181
2018-09-05,1913,1931,1913,1922,7676,0.009453781512605008
2018-09-06,1926,1926,1899,1908,23267,-0.007284079084287187
2018-09-07,1908,1917,1899,1899,9516,-0.004716981132075526
2018-09-10,1917,1917,1885,1895,50179,-0.002106371774618254
2018-09-11,1894,1908,1885,1904,12021,0.004749340369393229
2018-09-12,1908,1908,1889,1904,4814,0.0
2018-09-13,1903,1908,1889,1899,6985,-0.002626050420168058
2018-09-14,1908,1908,1889,1904,8406,0.00263296471827279
2018-09-17,1894,1903,1894,1904,2118,0.0
2018-09-18,1903,1903,1889,1890,10264,-0.007352941176470562
2018-09-19,1903,1903,1903,1904,1,0.007407407407407307
2018-09-20,1908,1908,1903,1904,3604,0.0
2018-09-21,1889,1903,1889,1890,4930,-0.007352941176470562
2018-09-27,1894,1903,1894,1904,6304,0.007407407407407307
2018-09-28,1894,1903,1894,1904,1358,0.0
2018-10-01,1889,1908,1889,1904,54651,0.0
2018-10-02,1889,1894,1889,1890,415,-0.007352941176470562
2018-10-04,1903,1903,1885,1904,4649,0.007407407407407307
2018-10-05,1885,1899,1885,1899,2001,-0.002626050420168058
2018-10-08,1885,1889,1885,1885,2811,-0.007372301211163723
2018-10-10,1885,1903,1885,1895,5586,0.0053050397877985045
2018-10-11,1894,1894,1880,1895,4100,0.0
2018-10-12,1880,1885,1880,1885,5250,-0.00527704485488123
2018-10-15,1885,1885,1880,1885,501,0.0
2018-10-16,1885,1889,1885,1885,1010,0.0
2018-10-17,1885,1885,1885,1885,1000,0.0
2018-10-18,1889,1889,1889,1890,2000,0.0026525198938991412
2018-10-19,1889,1889,1889,1890,1492,0.0
2018-10-22,1889,1889,1885,1890,2080,0.0
2018-10-23,1889,1889,1889,1890,3995,0.0
2018-10-24,1889,1889,1885,1885,750,-0.002645502645502673
2018-10-25,1885,1889,1885,1885,717,0.0
2018-10-26,1885,1894,1875,1895,10528,0.0053050397877985045
2018-10-29,1885,1885,1885,1885,724,-0.00527704485488123
2018-10-30,1885,1885,1880,1885,7887,0.0
2018-10-31,1894,1899,1894,1895,25002,0.0053050397877985045
2018-11-01,1894,1894,1889,1890,1887,-0.0026385224274406704
2018-11-02,1889,1889,1889,1890,3187,0.0
2018-11-05,1889,1889,1889,1890,10,0.0
