Date,Open,High,Low,Close,Volume,Change
2001-10-16,5738937,5738937,5738937,5738481,1157,
2001-10-17,5052919,5052919,5052919,5052458,74,-0.11954783853078887
2001-10-18,4460234,4772066,4460234,4459873,5387,-0.11728647719585195
2001-10-19,4678220,4990147,4553488,4755926,5283,0.06638148664771393
2001-10-22,4678279,4725411,4428812,4459873,2345,-0.062249286469133414
2001-10-23,4616193,4678561,4117267,4319710,2351,-0.03142757652516115
2001-10-24,4257864,4678814,4179782,4428885,4474,0.025273687354012253
2001-10-25,4319546,4647192,4319546,4631499,2545,0.04574830911166128
2001-10-26,4678601,4865797,4553870,4693949,4101,0.013483755475279136
2001-10-29,4771761,5161188,4771761,4865096,5263,0.036461197171081317
2001-10-30,4771814,4818469,4397519,4553312,2335,-0.06408588854156216
2001-10-31,4630984,4787138,4459593,4677739,1756,0.02732670196990683
2001-11-01,4771599,5083430,4724945,4802646,3286,0.026702430383567677
2001-11-02,4880824,5005651,4568997,4615763,1846,-0.038912507813401165
2001-11-05,4678153,4771467,4553422,4646751,873,0.00671351627022454
2001-11-06,4724560,4771220,4506514,4537581,1025,-0.02349383472452038
2001-11-07,4554077,4585023,4429350,4428885,897,-0.02395461370276364
2001-11-08,4460311,4585048,4413180,4444142,1149,0.0034448851121671176
2001-11-09,4444807,4475758,4257235,4319710,765,-0.027999105339118313
2001-11-12,4381915,4678609,4350969,4631499,1650,0.07217822492713633
2001-11-13,4522668,4959236,4522668,4787388,2753,0.033658433263183296
2001-11-14,4881034,5083932,4709647,4755926,2731,-0.006571850871498142
2001-11-15,4678390,4881198,4397409,4475130,1534,-0.05904128869961389
2001-11-16,4522597,4584965,4366448,4459873,1198,-0.003409286434137071
2001-11-19,4491010,4678115,4475306,4677739,1412,0.04885026995163311
2001-11-20,4740758,4740758,4459782,4475130,1346,-0.04331344694520156
2001-11-21,4475277,4584300,4397195,4584300,589,0.024394822049862208
2001-11-22,4537645,4709032,4521927,4584300,905,0.0
2001-11-23,4615939,4818747,4615939,4818377,1570,0.05106057631481353
2001-11-26,4881099,4943457,4678295,4802646,1800,-0.003264792273414918
2001-11-27,4958821,5255515,4803148,4896563,2437,0.019555261828583692
2001-11-28,4849896,4927496,4490838,4553312,1009,-0.07010039490965403
2001-11-29,4663113,4896868,4631695,4787388,2215,0.0514078543266967
2001-11-30,4802892,4989987,4662918,4990002,1824,0.04232245224326925
2001-12-03,5146058,5426468,4912293,4927552,5054,-0.012515025044078087
2001-12-04,4974312,5114747,4880998,5083446,2329,0.031637210525632176
2001-12-05,5146123,5177074,4834297,4974271,1800,-0.021476573174968316
2001-12-06,4974537,5021187,4740307,4834113,1508,-0.028176591102495263
2001-12-07,4834394,4974368,4678245,4709207,1272,-0.025838452679943558
2001-12-10,4725186,4787555,4490956,4569043,1187,-0.02976382223164109
2001-12-11,4569072,4678100,4522422,4662487,931,0.020451547512247092
2001-12-12,4569072,4693809,4569072,4662487,847,0.0
2001-12-13,4646780,4818166,4646780,4740195,1264,0.016666641644255575
2001-12-14,4677905,4693614,4521746,4537581,819,-0.042743811172325175
2001-12-17,4553414,4600545,4273004,4288247,687,-0.0549486609715617
2001-12-18,4334748,4365700,3866768,3913533,1222,-0.08738162703780827
2001-12-19,3961000,4007659,3477783,3555504,1390,-0.09148485524460892
2001-12-20,3524640,3680789,3524640,3617955,821,0.017564598436677237
2001-12-21,3477416,3555011,3258893,3289960,729,-0.09065756760379828
2001-12-24,3368221,3415352,3072008,3087346,1007,-0.06158555119211173
2001-12-26,3028649,3165759,2934859,2993907,1047,-0.03026515330643209
2001-12-27,3075221,3352776,3043804,3352411,1288,0.11974453448286804
2001-12-28,3368648,3509089,3337697,3399610,1153,0.014079120966969727
2002-01-02,3462079,3633460,3414943,3555504,983,0.04585643647359561
2002-01-03,3493477,3664863,3462060,3462061,1085,-0.026281224827759964
2002-01-04,3524505,3586873,3446428,3524516,831,0.01803983234264206
2002-01-07,3540021,3571439,3321880,3383878,871,-0.03990278381485568
2002-01-08,3337377,3352614,3134573,3227984,1009,-0.04606962780573054
2002-01-09,3243931,3415317,3228217,3414866,949,0.057894339005397866
2002-01-10,3430953,3555689,3368584,3430598,1091,0.00460691576184824
2002-01-11,3431363,3556099,3212751,3306171,847,-0.03626976987685526
2002-01-14,3305995,3305995,3181258,3196521,392,-0.033165253702848396
2002-01-15,3115794,3150061,3069129,3081148,413,-0.03609330268751554
2002-01-16,3056827,3150612,3056827,3065896,348,-0.004950103013552143
2002-01-17,3025292,3050038,2966254,2971977,352,-0.030633459191048873
2002-01-18,2994852,3078642,2979143,3000580,314,0.009624233296556373
2002-01-21,2978592,3056664,2941457,3009639,252,0.003019082977291143
2002-01-22,3025264,3368512,3025264,3368147,1208,0.11911993431770385
2002-01-23,3368648,3618116,3321994,3399610,2447,0.00934133813043192
2002-01-24,3446620,3461862,3228103,3321423,1033,-0.0229988145699066
2002-01-25,3352621,3711203,3352621,3586492,2906,0.07980585429799225
2002-01-28,3742625,4007902,3695970,4007446,2509,0.11737207276636896
2002-01-29,4054280,4132357,3742444,3804838,1762,-0.05055788649429083
2002-01-30,3711091,3757740,3523991,3570756,945,-0.06152219884263144
2002-01-31,3742871,3961388,3680497,3758114,1688,0.05247012117321925
2002-02-01,3711203,3867357,3524007,3586492,997,-0.04566705533679927
2002-02-04,3493367,3587152,3337594,3383878,657,-0.05649364337073659
2002-02-05,3275246,3368561,3228115,3337159,453,-0.013806348810447622
2002-02-06,3367916,3524070,3274607,3289960,695,-0.014143467542301669
2002-02-07,3306287,3352942,3010164,3056358,663,-0.07100451069313918
2002-02-08,3058839,3243080,3058839,3211774,433,0.05085006403045722
2002-02-14,3290471,3368548,3243817,3321423,507,0.03413969974226072
2002-02-15,3259300,3305959,3212645,3227984,483,-0.028132219232539835
2002-02-18,3228103,3321888,3118985,3321423,513,0.028946549920941367
2002-02-19,3352663,3649261,3321711,3539768,1628,0.06573838984073999
2002-02-20,3477783,3617756,3446365,3555504,677,0.004445489082900433
2002-02-21,3711377,3804687,3586646,3773370,1596,0.06127570099766455
2002-02-22,3648734,3695965,3508775,3586492,661,-0.04952549047668264
2002-02-25,3711051,3929092,3648683,3820090,1612,0.06513272579445317
2002-02-26,3867477,3867477,3649436,3664674,949,-0.04068385823370657
2002-02-27,3711817,3805608,3633740,3680406,667,0.0042928784388460706
2002-02-28,3602213,3633630,3493190,3602224,829,-0.021242765064506508
2002-03-04,3711802,4023633,3696093,4023183,2149,0.1168608615122213
2002-03-05,4195117,4460295,3992309,4085633,3907,0.015522535266230708
2002-03-06,4116665,4163320,3913862,4163341,1009,0.019019818960733792
2002-03-07,4273102,4351179,3961265,4023183,1490,-0.03366478988869759
2002-03-08,3992106,4116843,3805016,3944996,897,-0.01943411472955614
2002-03-11,3945265,4148079,3836247,4148084,1314,0.05147990010636261
2002-03-12,4101108,4225845,3944960,3991715,903,-0.037696681166533796
2002-03-13,4147611,4303765,4054297,4163341,1734,0.04299555454234594
2002-03-14,4085829,4272930,3992039,4241528,1083,0.01877986934051279
2002-03-15,4428617,4584300,4397195,4584300,3270,0.08081332953595965
2002-03-18,4740273,4740273,4490810,4537581,2069,-0.010191086970747998
2002-03-19,4584300,4662377,4506694,4584300,1057,0.010296014550484012
2002-03-20,4584332,4740486,4272406,4272516,1706,-0.06801125580786593
2002-03-21,4210561,4413370,4194852,4241528,1101,-0.007252869269535833
2002-03-22,4319584,4351002,4148198,4241528,981,0.0
2002-03-25,4334861,4678115,4272493,4677739,2131,0.10284289058094154
2002-03-26,4615785,4865253,4397263,4646751,2824,-0.006624567980385354
2002-03-27,4787438,5005483,4677933,4834113,3528,0.04032107595177803
2002-03-28,4771814,4865129,4553207,4553312,1466,-0.058087388524016736
2002-03-29,4459558,4662377,4444321,4584300,1314,0.006805595575264833
2002-04-01,4538164,4865709,4522450,4631499,2073,0.010295792160198936
2002-04-02,4709335,4896440,4709335,4880832,1366,0.05383419061517669
2002-04-03,4756399,5021581,4678327,4771657,1202,-0.022368112649646665
2002-04-04,4709366,4927883,4631284,4834113,1386,0.013088954214437454
2002-04-08,4959188,5177333,4818747,4818377,1520,-0.003255199040651302
2002-04-09,4787026,4896525,4522326,4600032,1071,-0.04531505110538259
2002-04-10,4427968,4646490,4147558,4194329,819,-0.0881956908125856
2002-04-11,4272295,4318945,4007118,4194329,1087,0.0
2002-04-12,4069988,4210434,3992388,4210540,719,0.0038649805487360744
2002-04-15,4210434,4257183,4117120,4210540,585,0.0
2002-04-16,4179126,4303858,4179126,4225797,519,0.0036235257235412988
2002-04-17,4303858,4397654,4194835,4225797,653,0.0
2002-04-18,4179231,4366326,4132572,4303979,697,0.01850112534984527
2002-04-19,4304118,4304118,4070273,4069902,437,-0.05438618543445495
2002-04-22,3992173,4054536,3586561,4054171,1266,-0.003865203633895864
2002-04-23,3773955,3991996,3773955,3929739,284,-0.03069234129492815
2002-04-24,3992365,4023316,3773758,3789101,278,-0.035788127404898895
2002-04-25,3587078,3665160,3337615,3337159,789,-0.11927420250872167
2002-04-26,3275334,3431011,3212966,3399610,330,0.018713822146322556
2002-04-29,3180682,3305414,3102611,3118335,292,-0.08273743164657121
2002-04-30,3119000,3274687,3087582,3274703,587,0.050144708634575874
2002-05-02,3290440,3399463,3228072,3368147,647,0.02853510684785765
2002-05-03,3368512,3477535,3290440,3368147,661,0.0
2002-05-06,3415317,3493394,3337235,3414866,709,0.013870831647193604
2002-05-07,3353190,3384137,3275119,3306171,399,-0.03182994588953125
2002-05-08,3399710,3555388,3399710,3555504,769,0.07541442956217326
2002-05-09,3680110,3680110,3446355,3477317,699,-0.02199041261098289
2002-05-10,3399489,3508988,3321888,3321423,362,-0.0448316906396512
2002-05-13,3274757,3399489,3259520,3321423,356,0.0
2002-05-14,3368548,3415203,3274757,3321423,555,0.0
2002-05-15,3337527,3493205,3243732,3274703,2683,-0.014066260154156796
2002-05-16,3212076,3274445,3090685,3165533,1768,-0.03333737441227491
2002-05-17,3149930,3321888,3103281,3321423,1187,0.04924605113893943
2002-05-20,3306192,3384264,3243829,3337159,689,0.004737728377264716
2002-05-21,3274799,3430953,3228144,3430598,499,0.027999564899364948
2002-05-22,3430822,3649344,3352744,3602224,845,0.050028012608880346
2002-05-23,3524267,3648993,3430953,3430598,981,-0.04764445520323002
2002-05-24,3430953,3493321,3321930,3430598,633,0.0
2002-05-27,3337500,3368431,3212663,3243715,360,-0.05447534219981476
2002-05-28,3196873,3462060,3181169,3462061,625,0.06731355868194333
2002-05-29,3555823,3555823,3368633,3446329,304,-0.00454411404074051
2002-05-30,3336908,3586366,3336908,3586492,429,0.04067023200628839
2002-05-31,3555338,3711487,3508674,3508785,1169,-0.021666575584164183
2002-06-03,3571144,3586366,3446407,3586492,318,0.022146412504613355
2002-06-04,3524872,3524872,3400045,3446329,292,-0.039080806537418744
2002-06-05,3540132,3555846,3462060,3462061,220,0.004564857272767675
2002-06-07,3337033,3399402,3258952,3258972,204,-0.05866130030637817
2002-06-10,3259405,3337477,3228459,3306171,184,0.014482787823890453
2002-06-11,3243719,3337033,3243719,3258972,120,-0.014276031094580421
2002-06-12,3290830,3306063,3212663,3243715,182,-0.004681537613701492
2002-06-14,3212210,3274578,3196496,3196521,238,-0.014549367006657543
2002-06-17,3243503,3243503,3118772,3165533,262,-0.009694289510377097
2002-06-18,3181140,3290159,3165427,3165533,507,0.0
2002-06-19,3118898,3181262,2791358,2838013,455,-0.1034644086793598
2002-06-20,2650815,2806974,2650815,2775562,112,-0.02200518461331924
2002-06-21,2650913,2863241,2650913,2838013,216,0.022500308045722006
2002-06-24,2682178,2803574,2588387,2803691,198,-0.01209367258007632
2002-06-25,2800610,2834887,2616836,2650656,162,-0.05458340451925692
2002-06-26,2557354,2557354,2333024,2332673,360,-0.11996388818466075
2002-06-27,2307796,2460714,2245428,2332673,322,0.0
2002-06-28,2339712,2448830,2339712,2339346,683,0.002860666711536508
2002-07-02,2126828,2292502,2126828,2217305,405,-0.052168854030143486
2002-07-03,2217787,2289669,2167792,2236370,451,0.008598275834853508
2002-07-04,2295894,2402057,2295894,2323615,1274,0.03901188086050156
2002-07-05,2355512,2526993,2333614,2401801,2111,0.03364843143119667
2002-07-08,2464535,2508426,2352177,2401801,1486,0.0
2002-07-09,2413828,2544748,2413828,2510498,2717,0.04525645546820911
2002-07-10,2504283,2560462,2460487,2510498,1248,0.0
2002-07-11,2470771,2514095,2358412,2364136,779,-0.05829998669586667
2002-07-12,2370635,2433008,2276849,2323615,811,-0.0171398768937151
2002-07-15,2339258,2401626,2286419,2285954,971,-0.01620793461911718
2002-07-16,2339029,2354738,2173832,2186316,803,-0.04358705380773187
2002-07-18,2214910,2258706,2152447,2211581,485,0.011555969036497915
2002-07-19,2133263,2133263,1996154,2121001,733,-0.04095712524207795
2002-07-22,1871648,1965433,1868318,1868333,483,-0.11912677080303125
2002-07-23,1793579,1934115,1753114,1933644,783,0.034956830500772584
2002-07-24,1833371,1871077,1786711,1793006,495,-0.07273210580644629
2002-07-25,1871100,1911566,1793023,1808738,603,0.008774092222781249
2002-07-26,1762253,1771778,1594197,1593732,709,-0.11887072644020302
2002-07-29,1637384,1675000,1540740,1571802,585,-0.013760155408814034
2002-07-30,1637632,1697141,1590977,1674778,1258,0.06551461316374452
2002-07-31,1699926,1731343,1622326,1621860,899,-0.03159702360551664
2002-08-01,1618798,1653075,1540716,1553210,931,-0.04232794445883126
2002-08-02,1522102,1550193,1428215,1450234,745,-0.06629882630165918
2002-08-05,1394850,1419606,1326287,1338200,775,-0.07725236065352215
2002-08-06,1279089,1360020,1279089,1359655,623,0.016032730533552586
