Date,Open,High,Low,Close,Volume,Change
1999-07-26,3072115,3246952,2622537,2722440,441,
1999-07-27,2547615,2867311,2447696,2782384,316,0.022018483419285584
1999-07-28,2782382,2782382,2647521,2722440,178,-0.02154411468726103
1999-07-29,2652515,2997195,2647517,2847323,480,0.045871718017660656
1999-07-30,2897276,3022163,2672487,2722440,310,-0.04385979391870887
1999-08-02,2627539,2722465,2497674,2592562,197,-0.04770646919674992
1999-08-03,2422737,2647528,2422737,2587567,161,-0.0019266655917968833
1999-08-04,2697467,2847320,2597566,2792374,388,0.07915041426946634
1999-08-05,2747417,2797368,2682477,2682478,171,-0.039355759651106936
1999-08-06,2697480,2747430,2572592,2642515,273,-0.014897792265211485
1999-08-09,2747424,2747424,2572585,2607548,224,-0.013232469825147586
1999-08-10,2597577,2597577,2497674,2537614,234,-0.026819832271543942
1999-08-11,2502638,2547609,2397739,2467680,323,-0.02755895892755955
1999-08-12,2472690,2492680,2397753,2472675,226,0.002024168449717978
1999-08-13,2447696,2502644,2247890,2337802,233,-0.05454538101448836
1999-08-16,2302838,2597568,2157981,2397746,335,0.025641179193105268
1999-08-17,2397759,2447712,2110534,2110516,187,-0.1197916710110245
1999-08-18,1858271,1898228,1858271,1858253,236,-0.11952669394593551
1999-08-19,1708401,1948163,1698407,1843267,456,-0.00806456386724519
1999-08-20,1873255,1948172,1773333,1823286,356,-0.010839992252885788
1999-08-23,1703414,1893226,1703414,1818290,292,-0.0027401076956659054
1999-08-24,1873249,2035585,1848263,2035586,430,0.1195056894114801
1999-08-25,2277858,2277858,2277858,2277858,91,0.11901830725894169
1999-08-26,2547621,2547621,2053066,2332807,723,0.024123101615640685
1999-08-27,2242901,2327831,2172963,2207924,265,-0.05353336131107289
1999-08-30,2272876,2297843,2147988,2172957,283,-0.015837048738996495
1999-08-31,2098046,2172963,2003120,2098027,260,-0.03448296491831182
1999-09-01,1848257,2023096,1848257,1848262,840,-0.1190475623049656
1999-09-02,1848265,1923201,1663432,1783323,776,-0.035135170230194634
1999-09-03,1783330,1995638,1748370,1995624,1026,0.11904797953034874
1999-09-06,2023105,2172958,1923202,2048074,755,0.026282506123397997
1999-09-07,2048096,2048096,1853270,1873239,524,-0.08536556784569305
1999-09-08,1898224,1938180,1788327,1873239,580,0.0
1999-09-09,1873257,1873257,1873257,1873239,0,0.0
1999-09-10,1873257,1873257,1873257,1873239,0,0.0
1999-09-13,1668437,1788328,1648469,1648450,502,-0.12000017082710746
1999-09-14,1608483,1648460,1453632,1608488,783,-0.02424216688404257
1999-09-15,1643463,1773328,1538564,1718384,720,0.0683225488782011
1999-09-16,1718382,1763356,1513581,1548544,593,-0.09883704689987804
1999-09-17,1513578,1538562,1393688,1498591,461,-0.03225804368490659
1999-09-20,1483622,1553543,1393694,1423661,397,-0.050000300282064924
1999-09-21,1398683,1498586,1298781,1333746,468,-0.0631575915895708
1999-09-22,1373720,1493591,1233841,1493596,1278,0.11985040629925048
1999-09-27,1493597,1588521,1333748,1368713,556,-0.08361230212185888
1999-09-28,1363724,1373718,1213852,1228845,405,-0.10218942904757977
1999-09-29,1163901,1278796,1123945,1163906,465,-0.05284555822744119
1999-09-30,1163900,1223846,1029038,1064000,644,-0.08583682874733867
1999-10-01,1064013,1088996,939122,964093,674,-0.09389755639097741
1999-10-04,909160,1039025,909160,1019042,796,0.056995538812127045
1999-10-05,1069008,1138948,1039024,1138929,1000,0.11764677020181691
1999-10-06,1158905,1273798,1158905,1273802,1051,0.11842090244431391
1999-10-07,1298790,1423676,1248837,1423661,1297,0.11764701264403721
1999-10-08,1548547,1593520,1448644,1593502,951,0.11929876564715891
1999-10-11,1663432,1783323,1663432,1783323,404,0.11912190885232654
1999-10-12,1993140,1993140,1993140,1993126,46,0.11764722375026837
1999-10-13,2227905,2227905,1923201,2227905,4716,0.11779435921261383
1999-10-14,1998114,2297837,1963154,1963154,2854,-0.11883406159598364
1999-10-15,1898223,2197948,1823304,2197933,4123,0.1195927573690092
1999-10-18,1998125,2392757,1973159,2197933,4088,0.0
1999-10-19,2247902,2342806,1938180,1983135,2044,-0.09772727376130208
1999-10-20,2098038,2123003,1948166,1998121,1395,0.007556722058760457
1999-10-21,2073062,2138006,1948176,1973145,1111,-0.012499743509026717
1999-10-22,1898223,2123014,1873257,2028093,1791,0.027847928053944315
1999-10-25,2123008,2267884,2058066,2267868,3069,0.11822682687628228
1999-10-26,2322835,2537631,2322835,2537614,1675,0.11894254868449128
1999-10-27,2837339,2837339,2422737,2587567,3662,0.019685026958394802
1999-10-28,2572591,2717465,2447702,2537614,3075,-0.019305007367925175
1999-10-29,2692472,2837329,2572582,2837332,2961,0.11811016175036859
1999-11-01,3037149,3177010,3022159,3177013,1951,0.11971845381506285
1999-11-02,3177007,3556664,3102092,3296900,3627,0.037735759973283045
1999-11-03,3396817,3466738,3196994,3241952,3040,-0.016666565561588187
1999-11-04,3296904,3621614,3097098,3446759,2811,0.06317397666590985
1999-11-05,3471749,3621619,3097105,3371830,3029,-0.021738972756725983
1999-11-08,3426785,3776463,3396823,3671548,4479,0.08888882298336509
1999-11-09,3596623,3646575,3231955,3296900,2961,-0.10204088302808512
1999-11-10,3102091,3396820,3062116,3231961,3113,-0.01969698807971121
1999-11-11,3296894,3566635,3196993,3251942,2695,0.006182314699960889
1999-11-12,3326874,3396814,2862306,2862309,2336,-0.11981548256395713
1999-11-15,2952229,3202008,2647525,3201989,2398,0.11867342065444375
1999-11-16,3296910,3581643,3246960,3371830,2707,0.05304234336845015
1999-11-17,3371831,3371831,2967207,2967210,1579,-0.12000011862994275
1999-11-18,2697468,2832348,2612538,2677482,1288,-0.09764324061997631
1999-11-19,2742426,2997199,2742426,2997182,1500,0.11940323034851397
1999-11-22,3196992,3356841,3047139,3356844,1875,0.12000005338347819
1999-11-23,3301909,3491739,3147057,3147041,2007,-0.06250007447471495
1999-11-24,3201994,3496723,2997193,3396806,2810,0.07936502892717323
1999-11-25,3496719,3801423,3496719,3801426,1716,0.11911778299967679
1999-11-26,4046213,4186074,3346860,3371830,5030,-0.11300917076907457
1999-11-29,3446774,3616616,3122065,3446759,2637,0.02222205745841288
1999-11-30,3516695,3516695,3037154,3057126,3125,-0.1130432966157483
1999-12-01,3057141,3158857,2714470,2832258,1449,-0.07355535885665165
1999-12-02,2848327,3110683,2703760,2746594,983,-0.030245832124050853
1999-12-03,2516381,2800131,2420009,2778718,1114,0.011695940499396817
1999-12-06,2837620,3051778,2682345,2960754,1569,0.06551078590918546
1999-12-07,2966113,2966113,2628804,2639515,1063,-0.108499051255187
1999-12-08,2462839,2639510,2446768,2457479,1087,-0.06896570013809356
1999-12-09,2302229,2751967,2264743,2751948,1702,0.11982564245716842
1999-12-10,2891157,3078558,2623459,3078541,2354,0.11867702442051953
1999-12-13,3212408,3260605,2735894,2826904,1983,-0.08173904456689063
1999-12-14,2757311,3051789,2677010,2784072,1753,-0.015151558029561696
1999-12-15,2677008,2998249,2650229,2730532,1494,-0.019230824490171217
1999-12-16,2837609,2998226,2730530,2891152,1572,0.058823701754822766
1999-12-17,2891169,2891169,2548513,2548497,903,-0.11851850058385027
1999-12-20,2382532,2623471,2318283,2462833,579,-0.03361353770477271
1999-12-21,2462850,2671646,2355769,2505665,808,0.017391353778352103
1999-12-22,2505681,2805503,2355769,2805488,2250,0.11965805484771508
1999-12-23,2859034,3137439,2682344,2682347,1531,-0.043892898490387466
1999-12-24,2676998,2703757,2409301,2425355,934,-0.09580863326034994
1999-12-27,2355768,2628814,2136248,2173718,896,-0.10375264651978777
1999-12-28,2007740,2136235,1916732,1922081,716,-0.11576340629281257
2000-01-04,1691878,1922090,1691878,1820355,462,-0.052924928762107304
2000-01-05,1868549,2034533,1820374,2034514,755,0.11764683262330689
2000-01-06,2088060,2195139,1932787,2082700,920,0.023684280373592825
2000-01-07,1847123,2034522,1836415,1868541,421,-0.10282757958419364
2000-01-10,1927444,1980982,1879247,1943497,372,0.040114720522589575
2000-01-11,2136235,2136235,1980979,2007744,442,0.03305742175058679
2000-01-12,1932787,1932787,1777531,1782877,326,-0.11199983663255875
2000-01-13,1713282,1729334,1590132,1611550,430,-0.09609580470217516
2000-01-14,1713293,1766834,1632975,1681151,368,0.043188855449722396
2000-01-17,1681161,1879247,1681161,1815001,434,0.07961807119051167
2000-01-18,1820371,1873909,1723999,1788231,468,-0.01474930316842804
2000-01-19,1766831,1815006,1574088,1574072,619,-0.11976025468745366
2000-01-20,1424156,1525891,1386687,1456284,361,-0.07483012212910212
2000-01-21,1472350,1552671,1445571,1499116,283,0.02941184549167608
2000-01-24,1525882,1675792,1525882,1675797,657,0.11785679026839824
2000-01-25,1675804,1788245,1552671,1659735,499,-0.009584693134072952
2000-01-26,1659744,1745408,1584789,1686505,274,0.016129080847243626
2000-01-27,1616921,1681170,1611558,1638319,302,-0.028571513277458438
2000-01-28,1606212,1702582,1606212,1659735,280,0.013071935319067807
2000-01-31,1606203,1831069,1606203,1793585,459,0.08064540423621835
2000-02-01,1873900,2007740,1825706,2007744,1179,0.11940276039329056
2000-02-02,2114821,2248682,2066648,2168364,1766,0.0800002390743042
2000-02-03,2232523,2373675,2123476,2187610,1033,0.008875816053024232
2000-02-07,2245338,2431387,2226101,2392899,1609,0.0938416811040359
2000-02-08,2373676,2373676,2110645,2110627,1061,-0.11796235444956094
2000-02-09,2129866,2174782,1988733,2052889,1209,-0.027355852076183962
2000-02-10,2020839,2020839,1886110,1898922,951,-0.07500015831347917
2000-02-11,1911765,2123476,1860445,2123457,2201,0.11824340336253947
2000-02-14,2296668,2373669,2219687,2373653,1102,0.11782484881963695
2000-02-15,2655942,2655942,2655942,2655925,331,0.11891881416533923
2000-02-16,2970285,2970285,2341582,2373653,5427,-0.10628010956634693
2000-02-17,2373661,2534030,2251765,2418560,2378,0.018918940552810293
2000-02-18,2444220,2662335,2444220,2559696,2632,0.05835538502249271
2000-02-21,2360844,2681598,2315928,2527620,1991,-0.012531175577099818
2000-02-22,2585349,2829143,2450644,2758570,3601,0.09137053829293951
2000-02-23,2764992,2790654,2431390,2431390,1281,-0.1186049293655771
2000-02-24,2444228,2649514,2437822,2437806,2336,0.0026388197697613247
2000-02-25,2444220,2546864,2149124,2181195,1815,-0.10526309312553994
2000-02-28,2309501,2437822,2277435,2437806,612,0.11764697791806777
2000-02-29,2726512,2726512,2578954,2726493,1142,0.11842082593938974
2000-03-02,3053689,3053689,3053689,3053672,293,0.11999994131655578
2000-03-03,3419357,3419357,3342378,3419343,3629,0.11974796245307284
2000-03-06,3823524,3823524,3823524,3823506,571,0.11819902244378522
2000-03-07,3528403,3951818,3368034,3631047,5438,-0.05033573897883248
2000-03-08,3464255,4060885,3342374,4060871,2210,0.11837467264951407
2000-03-09,4542034,4542034,4227679,4542017,1367,0.11848344850156534
2000-03-10,4542028,5080915,4426557,5068070,4183,0.11581924946560096
2000-03-13,4625419,5324695,4490711,4542017,3710,-0.10379750082378503
2000-03-14,4490710,5061662,4067293,4843535,5332,0.06638416368763034
2000-03-15,4554849,5324679,4266161,4355974,5018,-0.1006622229425409
2000-03-16,4169926,4349567,3836341,4157100,4252,-0.04565546075343885
2000-03-17,4349571,4400893,3663128,3881243,2383,-0.0663580380553751
2000-03-20,3733708,3752944,3419357,3419343,1035,-0.11900826616627713
2000-03-21,3015197,3271800,3015197,3015181,2516,-0.11819872998994252
2000-03-22,3149902,3368031,3015191,3239715,2938,0.07446783460097417
2000-03-23,3303875,3361620,2854815,2854799,1652,-0.11881168559580091
2000-03-24,2893298,3060090,2662333,2886875,2493,0.011235817302724271
2000-03-27,2918958,3233306,2797058,3201224,3905,0.10888902359818142
