Date,Open,High,Low,Close,Volume,Change
2009-12-10,3212,3694,3167,3696,9347438,
2009-12-11,3987,4190,3504,3624,7881325,-0.01948051948051943
2009-12-14,3533,3621,3270,3331,1907856,-0.08084988962472406
2009-12-15,3401,3824,3401,3828,2091955,0.1492044431101771
2009-12-16,3972,4219,3666,4032,5925177,0.053291536050156685
2009-12-17,4235,4511,4088,4354,5973824,0.07986111111111116
2009-12-18,4248,4483,4162,4296,2161980,-0.013321084060633925
2009-12-21,4395,4688,4206,4427,4630572,0.030493482309124742
2009-12-22,4512,4570,4293,4427,1790646,0.0
2009-12-23,4512,4746,4410,4427,2766161,0.0
2009-12-24,4425,4469,4264,4354,1236754,-0.016489722159475972
2009-12-28,4351,4526,4175,4530,1043590,0.04042259990813046
2009-12-29,4585,4892,4498,4689,2735817,0.035099337748344395
2009-12-30,4731,5389,4644,5391,2416091,0.14971209213051817
2010-01-04,5667,6192,5622,6195,3353583,0.14913745130773504
2010-01-05,6426,6484,5813,5976,4261258,-0.03535108958837774
2010-01-06,5944,6486,5651,6487,2984125,0.08550870147255685
2010-01-07,6513,6850,5841,6253,4039876,-0.03607214428857719
2010-01-08,6456,6529,6091,6531,1414353,0.04445865984327524
2010-01-11,6807,6923,6383,6487,1920193,-0.0067370999846884105
2010-01-12,6338,7129,5988,6429,4032170,-0.008940958840758406
2010-01-13,6367,6807,6280,6793,2062017,0.056618447659045
2010-01-14,6893,7419,6733,7305,3014554,0.07537170616811428
2010-01-15,7303,7419,7112,7305,1234953,0.0
2010-01-18,7581,8397,7419,8401,2522131,0.15003422313483905
2010-01-19,8618,8633,8092,8356,2482788,-0.005356505177955051
2010-01-20,8470,8558,7828,8036,1794138,-0.038295835327908145
2010-01-21,8106,9084,8032,8781,3384650,0.0927078148332503
2010-01-22,8560,9406,8354,8941,2173899,0.01822115932126178
2010-01-25,8678,9028,7610,7611,2303344,-0.14875293591320882
2010-01-26,7682,7768,6470,6604,4551244,-0.132308500854027
2010-01-27,6777,7374,6617,7071,3112523,0.07071471835251364
2010-01-28,7244,7537,6893,7042,2201969,-0.004101258662141172
2010-01-29,6660,6850,5988,5991,2736090,-0.14924737290542456
2010-02-01,5885,6454,5842,6414,1985413,0.07060590886329488
2010-02-02,6631,6924,6413,6575,1930886,0.025101340816962914
2010-02-03,6821,6880,6486,6867,1257487,0.04441064638783265
2010-02-04,6923,6923,6542,6634,808998,-0.03393039172855683
2010-02-05,5885,6221,5872,6092,1234546,-0.08170033162496226
2010-02-08,6251,6529,6090,6253,1044667,0.026428102429415734
2010-02-09,6266,6500,6192,6429,670042,0.02814648968495126
2010-02-10,6572,6704,6294,6297,583087,-0.02053196453569761
2010-02-11,6308,6470,6250,6370,373989,0.011592821978720025
2010-02-12,6412,6454,6148,6370,436408,0.0
2010-02-16,6427,6778,6266,6778,997476,0.06405023547880684
2010-02-17,7068,7638,6952,7305,2525123,0.07775154912953663
2010-02-18,7317,7448,7142,7363,1076357,0.007939767282683086
2010-02-19,7391,7551,6967,7276,1432982,-0.011815835936438979
2010-02-22,7508,7508,7317,7320,557784,0.006047278724574001
2010-02-23,7244,7304,6981,7174,780427,-0.01994535519125684
2010-02-24,7040,7142,6981,7086,384717,-0.012266517981600278
2010-02-25,7141,7156,6470,6634,773138,-0.0637877504939317
2010-02-26,6718,6718,6295,6517,434067,-0.017636418450406977
2010-03-02,6616,6820,6426,6808,505816,0.04465244744514352
2010-03-03,6747,6981,6688,6969,506059,0.023648648648648685
2010-03-04,7040,7054,6865,6882,551038,-0.01248385708136035
2010-03-05,6980,6980,6659,6765,330088,-0.017000871839581544
2010-03-08,6923,7053,6893,6969,462856,0.03015521064301563
