Date,Open,High,Low,Close,Volume,Change
2008-07-23,26259,29201,23296,26683,1055972,
2008-07-24,27632,28186,24498,25345,190988,-0.05014428662444248
2008-07-25,24449,25609,23996,24007,67998,-0.05279147760899583
2008-07-28,24031,24404,22741,22833,68602,-0.048902403465655886
2008-07-29,22549,22549,21320,21754,43797,-0.04725616432356672
2008-07-30,21919,24358,21647,23471,104090,0.0789280132389445
2008-07-31,23441,24822,23028,24853,45817,0.05888117251075786
2008-08-01,24786,26026,24040,24162,53561,-0.027803484488794106
2008-08-04,24131,24605,23395,24524,18331,0.014982203459978471
2008-08-05,24185,24920,23026,23601,19244,-0.03763660088076981
2008-08-06,23917,24421,23504,24058,17814,0.019363586288716483
2008-08-07,24364,24414,23305,23316,10923,-0.03084213151550419
2008-08-08,23028,23491,22745,23230,13286,-0.003688454280322495
2008-08-11,23491,24126,23027,23834,6044,0.026000860955660787
2008-08-12,23910,24182,22892,23316,16642,-0.02173365779978187
2008-08-13,23117,23721,22754,23601,7738,0.012223365928975882
2008-08-14,23727,23727,23032,23506,6484,-0.004025253167238674
2008-08-18,23437,23437,22570,22591,16026,-0.038926231600442396
2008-08-19,22110,22483,20770,21667,18758,-0.04090124385817362
2008-08-20,21652,22065,21168,21754,4873,0.004015322841186997
2008-08-21,22062,22062,19109,19129,9445,-0.12066746345499679
2008-08-22,19110,19795,18525,19362,27335,0.012180458988969578
2008-08-25,19981,20031,19104,19518,4130,0.008057018903005808
2008-08-26,19705,19705,18646,19060,2981,-0.023465519008095126
2008-08-27,18410,18934,16707,17705,6145,-0.07109129066107034
2008-08-28,18283,18283,16812,17800,4738,0.00536571589946333
2008-08-29,18377,18417,17510,18024,2604,0.012584269662921255
2008-09-01,17044,17901,15361,15391,11019,-0.1460830004438527
2008-09-02,15393,15413,13075,13095,31388,-0.1491780910921967
2008-09-03,12596,13584,11730,13605,19151,0.03894616265750295
2008-09-04,13352,14491,12929,14028,16364,0.03109151047409031
2008-09-05,13290,15637,13290,14822,9520,0.05660108354719129
2008-09-08,14971,16069,14577,15314,11275,0.033193900958035316
2008-09-09,15243,16120,14789,15314,6089,0.0
