Date,Open,High,Low,Close,Volume,Change
2020-07-16,21600,28050,21600,28050,8052066,
2020-07-17,30750,31450,24025,24025,12008912,-0.14349376114082002
2020-07-20,22925,23250,21500,21500,3251094,-0.10509885535900099
2020-07-21,22050,22275,21325,21400,1746884,-0.0046511627906976605
2020-07-22,21400,21650,20575,20625,1218828,-0.03621495327102808
2020-07-23,20725,21250,19875,20575,1187256,-0.00242424242424244
2020-07-24,20125,20400,19875,19925,758818,-0.03159173754556499
2020-07-27,19625,20400,19300,19475,669020,-0.02258469259723961
2020-07-28,19850,20175,19450,19550,597346,0.0038510911424902705
2020-07-29,19850,20600,19525,20175,763358,0.03196930946291565
2020-07-30,20400,20425,19850,19850,391084,-0.01610904584882278
2020-07-31,19750,20575,19600,20200,620960,0.017632241813602123
2020-08-03,20550,21200,20225,20950,1006850,0.03712871287128716
2020-08-04,20900,20900,20250,20300,641652,-0.031026252983293534
2020-08-05,20300,20500,19900,20425,480168,0.006157635467980205
2020-08-06,20275,20575,20050,20125,411546,-0.014687882496939975
2020-08-07,20125,20275,19900,19925,304990,-0.009937888198757738
2020-08-10,19925,20500,19925,20250,395486,0.016311166875784266
2020-08-11,20325,20950,20050,20925,697516,0.03333333333333344
2020-08-12,20975,23825,20700,22225,5611954,0.06212664277180413
2020-08-13,22600,23600,21500,23300,2950358,0.04836895388076501
2020-08-14,23175,23200,21850,22450,1202960,-0.03648068669527893
2020-08-18,22025,22125,19500,19750,1455048,-0.12026726057906456
2020-08-19,19775,20150,18975,19150,836424,-0.03037974683544309
2020-08-20,19100,19125,17025,17250,1097802,-0.09921671018276768
2020-08-21,17475,18700,17250,18075,592146,0.047826086956521685
2020-08-24,17950,18150,16500,17675,345962,-0.022130013831258677
2020-08-25,17475,18550,17475,18425,341112,0.042432814710042344
2020-08-26,18550,19450,18075,19400,587844,0.052917232021709726
2020-08-27,19875,20075,19125,19125,620130,-0.014175257731958713
2020-08-28,19150,19600,19025,19025,300536,-0.005228758169934622
2020-08-31,18850,19225,18700,18800,220884,-0.01182654402102501
2020-09-01,18800,19200,18700,18725,175896,-0.003989361702127714
2020-09-02,19000,19625,18800,19150,373472,0.022696929238985364
2020-09-03,19325,19600,19225,19525,259570,0.019582245430809442
2020-09-04,18525,19375,18350,19225,257958,-0.015364916773367487
2020-09-07,19125,19575,18925,19425,253370,0.01040312093628093
2020-09-08,19625,19650,19150,19450,234832,0.0012870012870012104
2020-09-09,18900,19275,18825,18875,201540,-0.029562982005141403
2020-09-10,19175,19200,18750,18775,172964,-0.005298013245033095
2020-09-11,18875,18875,18250,18400,166114,-0.01997336884154466
2020-09-14,18675,19275,18450,19175,261704,0.04211956521739135
2020-09-15,19500,19975,19000,19700,610634,0.027379400260756137
2020-09-16,19850,20150,19575,19775,595092,0.0038071065989848663
2020-09-17,19925,21050,19250,20500,1144068,0.036662452591656125
2020-09-18,20950,21475,20050,20750,1553344,0.012195121951219523
2020-09-21,20500,21300,20100,20500,786786,-0.012048192771084376
2020-09-22,20825,21500,20100,21475,1593718,0.04756097560975614
2020-09-23,22050,22150,19850,20250,1273374,-0.057043073341094264
2020-09-24,19250,19950,18225,18550,604968,-0.08395061728395059
2020-09-25,18800,19125,18050,18600,286406,0.0026954177897573484
2020-09-28,19000,19250,18775,19000,203908,0.021505376344086002
2020-09-29,19500,20625,19450,20025,463772,0.05394736842105252
2020-10-05,20100,20325,19825,20100,211126,0.0037453183520599342
2020-10-06,20100,20450,19950,20200,214314,0.004975124378109541
2020-10-07,20150,20175,19875,20075,199572,-0.006188118811881194
2020-10-08,20100,20175,19850,19925,189584,-0.007471980074719831
2020-10-12,19700,19925,19275,19500,180278,-0.021329987452948562
2020-10-13,19425,19700,19000,19075,172142,-0.02179487179487183
2020-10-14,19000,19675,18950,19300,166388,0.011795543905635641
2020-10-15,19300,19300,18725,18775,138564,-0.02720207253886009
2020-10-16,18475,18750,18000,18325,249638,-0.023968042609853524
2020-10-19,18450,18450,17775,17850,97400,-0.02592087312414737
2020-10-20,17625,18100,17350,17575,131702,-0.01540616246498594
2020-10-21,17825,18200,17650,18050,111836,0.027027027027026973
2020-10-22,18100,18125,17625,17650,63584,-0.02216066481994461
2020-10-23,17675,17900,17450,17675,81980,0.0014164305949009304
2020-10-26,17850,17850,16775,16825,140936,-0.048090523338048086
2020-10-27,16400,16925,15800,16325,167938,-0.029717682020802383
2020-10-28,16450,16800,16250,16800,80242,0.029096477794793296
2020-10-29,16300,16700,16125,16475,125986,-0.019345238095238138
2020-10-30,16625,17200,16225,16450,139258,-0.0015174506828528056
2020-11-02,16450,16725,16250,16550,60230,0.006079027355623046
