Date,Open,High,Low,Close,Volume,Change
2016-02-02,6763,7219,5507,6645,11604779,
2016-02-03,7125,7299,6162,6364,4877453,-0.04228743416102332
2016-02-04,6229,6242,5360,5495,1978322,-0.13654934003771213
2016-02-05,5560,5614,5213,5214,1183037,-0.05113739763421288
2016-02-11,4933,5013,4585,4693,947205,-0.09992328346758728
2016-02-12,4905,5401,4625,4733,2518292,0.008523332623055602
2016-02-15,4851,4945,4438,4438,669554,-0.06232833298119589
2016-02-16,4491,5093,4464,4773,1288052,0.07548445245606139
2016-02-17,4745,5026,4678,4746,643418,-0.0056568196103079504
2016-02-18,4919,5066,4811,4813,430487,0.014117151285292895
2016-02-19,4811,4866,4545,4786,393748,-0.0056098067733222345
2016-02-22,4785,5160,4745,5107,550402,0.06707062264939401
2016-02-23,5160,5200,4905,4960,250713,-0.028784021930683412
2016-02-24,4973,5026,4799,4920,195997,-0.008064516129032251
2016-02-25,4959,4959,4732,4733,153495,-0.03800813008130077
2016-02-26,4732,5133,4598,4973,346465,0.05070779632368483
2016-02-29,5079,5347,4905,5241,472178,0.053891011461894234
2016-03-02,5133,5186,4905,5054,516306,-0.03568021369967567
2016-03-03,5039,5039,4799,4894,263050,-0.031658092599920806
2016-03-04,4892,4919,4705,4733,265945,-0.0328974254188803
2016-03-07,4745,4811,4678,4733,170459,0.0
2016-03-08,4785,4811,4625,4760,187227,0.005704627086414504
2016-03-09,4799,4839,4692,4733,129020,-0.005672268907563005
2016-03-10,4785,5052,4692,5001,505737,0.056623705894781384
2016-03-11,4999,5052,4879,4920,173944,-0.016196760647870456
2016-03-14,4973,4973,4759,4813,162108,-0.02174796747967478
2016-03-15,4945,4973,4718,4720,146825,-0.019322667774776647
2016-03-16,4732,4919,4705,4894,197920,0.036864406779661074
2016-03-17,4866,5160,4759,5067,478427,0.03534940743767878
2016-03-18,5066,5200,4959,5027,345605,-0.007894217485691746
2016-03-21,4999,5079,4945,4960,124438,-0.013328028645315348
2016-03-22,4959,4973,4785,4854,212246,-0.021370967741935476
2016-03-23,4851,5133,4718,5054,391991,0.04120313143798926
2016-03-24,5160,5427,4973,5054,693000,0.0
2016-03-25,5066,5333,4945,5322,452289,0.05302730510486753
2016-03-28,5360,5814,5347,5469,1270161,0.027621195039458923
2016-03-29,5441,5668,5320,5481,372290,0.0021941854086671153
2016-03-30,5614,5748,5547,5629,313802,0.027002371829958127
2016-03-31,5735,6002,5694,5816,620377,0.03322082074968913
2016-04-01,5814,5869,5480,5642,337310,-0.029917469050894097
2016-04-04,5614,5895,5427,5897,299845,0.04519673874512575
2016-04-05,5908,6122,5814,6124,321114,0.038494149567576796
2016-04-06,6122,6322,6042,6324,377220,0.032658393207054104
2016-04-07,6256,6670,6256,6391,524293,0.010594560404806996
2016-04-08,6390,6523,6042,6191,346686,-0.031294007197621654
2016-04-11,6282,6363,6109,6231,241304,0.0064609917622355795
2016-04-12,6109,6363,5935,6338,193192,0.017172203498635907
2016-04-14,6350,6537,6203,6244,227515,-0.014831177027453402
2016-04-15,6242,6336,6069,6284,193143,0.006406149903907643
2016-04-18,6282,6282,6082,6164,83982,-0.01909611712285164
2016-04-19,6122,6282,6109,6150,87315,-0.002271252433484805
2016-04-20,6148,6336,6122,6338,246528,0.030569105691056864
2016-04-21,6310,6456,6282,6444,238900,0.016724518775639075
