Date,Open,High,Low,Close,Volume,Change
2020-09-14,10368,11845,9509,9534,13996244,
2020-09-15,9652,9700,8985,9105,2811039,-0.044996853366897405
2020-09-16,9271,10296,9128,9272,4425404,0.018341570565623355
2020-09-17,9462,10129,9295,9510,2175606,0.025668679896462487
2020-09-18,9414,9843,9390,9725,1155136,0.02260778128286023
2020-09-21,9629,9939,9152,9176,1011469,-0.056452442159383054
2020-09-22,9176,9247,8508,8723,786247,-0.049367916303400206
2020-09-23,8890,11297,8342,9224,12609444,0.05743436890977871
2020-09-24,8938,10439,8818,10011,5056583,0.08532090199479625
2020-09-25,10200,10463,9557,9582,3458256,-0.0428528618519628
2020-09-28,9605,10034,9605,9820,1199261,0.02483823836359833
2020-09-29,10010,10844,9867,10678,3197470,0.08737270875763747
2020-10-05,10892,13013,10725,12561,7721525,0.17634388462258843
2020-10-06,12560,15230,12298,13348,10521321,0.06265424727330626
2020-10-07,13561,14181,12560,12919,2984208,-0.032139646388972154
2020-10-08,12918,14372,12655,14373,2974807,0.11254741079030883
2020-10-12,14777,17304,13824,15969,9935046,0.11104153621373403
2020-10-13,15945,16922,15373,15540,2761323,-0.02686455006575239
2020-10-14,15587,20188,15397,19140,11499492,0.23166023166023164
2020-10-15,18662,23644,18186,21213,19783280,0.10830721003134802
2020-10-16,21689,23096,20831,22405,4113868,0.05619195776174979
2020-10-19,23500,24502,19091,19521,4712017,-0.12872126757420221
2020-10-20,18996,19401,17494,19068,3988254,-0.023205778392500376
2020-10-21,18996,20402,17947,19974,2681723,0.04751415984896168
2020-10-22,19640,20450,18162,18353,1781211,-0.08115550215279865
2020-10-23,18281,18805,16970,17400,1575083,-0.05192611562142424
2020-10-26,17304,18495,17017,17423,1439400,0.0013218390804596858
2020-10-27,17185,20402,17041,19950,3915656,0.1450381679389312
2020-10-28,20021,21213,19425,20737,2675157,0.03944862155388473
2020-10-29,19878,20641,19306,20117,1369054,-0.029898249505714403
2020-10-30,20235,21117,19330,19568,1962024,-0.02729035144405234
2020-11-02,19997,22380,19782,22095,5344129,0.12913941128372852
2020-11-03,21904,24168,21761,22191,7543688,0.004344874405974197
2020-11-04,22285,23358,21355,21976,2671483,-0.009688612500563298
2020-11-05,22762,24788,22356,24788,6284820,0.12795777211503467
2020-11-06,24788,26552,22643,23382,8928778,-0.05672099402936903
2020-11-09,23096,23596,21927,22310,2928179,-0.04584723291420756
2020-11-10,21570,23167,21165,21833,2108524,-0.02138054683998203
2020-11-11,21474,22905,21451,21857,1546169,0.0010992534237164175
2020-11-12,21856,22547,21403,21404,1232331,-0.020725625657683988
2020-11-13,20974,21165,19067,19068,2331361,-0.1091384787890114
2020-11-16,19377,20473,18877,19425,1747341,0.018722466960352513
2020-11-17,19401,19401,18376,18615,1317193,-0.04169884169884175
2020-11-18,18972,19735,18805,18973,1166784,0.01923180230996513
2020-11-19,19091,20998,18853,20927,2228174,0.10298845728139994
2020-11-20,21045,22095,20521,21595,2014864,0.03192048549720461
2020-11-23,21260,21904,20855,20927,881380,-0.03093308636258396
2020-11-24,20974,22833,20545,21952,2465631,0.0489797868781956
2020-11-25,21832,23358,21498,22214,2200626,0.011935131195335291
2020-11-26,22404,23167,21451,21738,1093539,-0.021427928333483393
2020-11-27,21522,21880,20974,21070,750747,-0.0307295979390928
2020-11-30,20926,21022,20211,20236,579670,-0.039582344565733285
2020-12-01,20211,21022,20164,20522,420794,0.0141332279106543
2020-12-02,20426,21236,20307,21213,508307,0.03367118214598963
2020-12-03,21546,26075,20736,23668,12339216,0.11573091971904015
2020-12-04,23262,24168,22404,22977,2878654,-0.029195538279533584
2020-12-07,22976,27314,22976,26695,10246178,0.16181398790094437
2020-12-08,27076,32415,26981,30557,13048556,0.1446712867578197
2020-12-09,30032,30746,27886,29174,3105548,-0.04525967863337366
2020-12-10,28887,31080,27600,28888,3163836,-0.009803249468705033
2020-12-11,28649,29555,27553,28650,1567209,-0.008238715037385713
2020-12-14,28268,28601,26981,27172,1803054,-0.05158813263525308
2020-12-15,27505,28839,27266,27649,1461653,0.017554835860444484
2020-12-16,27838,28268,27266,27458,676975,-0.0069080256067127754
2020-12-17,27124,27362,25836,26123,1124092,-0.048619710102702274
2020-12-18,26218,26885,25646,26123,705312,0.0
2020-12-21,26408,28697,26027,27983,2183138,0.07120162309076283
2020-12-22,28459,29221,25932,26838,1456440,-0.04091770003216233
2020-12-23,27362,30079,26218,28602,3363568,0.06572769953051649
2020-12-24,28935,30032,28315,28793,1817801,0.006677854695475771
2020-12-28,29316,29507,28410,29174,1170590,0.013232382870836723
2020-12-29,30032,36753,29316,34275,13745652,0.17484746692260233
2020-12-30,34417,35323,32796,34656,3508820,0.011115973741794294
2021-01-04,34799,38708,33797,37898,5236615,0.09354801477377661
2021-01-05,36896,39661,36801,37516,2641204,-0.010079687582458141
2021-01-06,37420,38279,35513,35752,1607770,-0.0470199381597185
2021-01-07,36228,36562,32939,33369,1828121,-0.06665361378384427
2021-01-08,33702,34226,31986,33512,1426994,0.004285414606371107
2021-01-11,32844,34799,32415,34323,1547689,0.02420028646455008
2021-01-12,33654,34608,32415,32416,953027,-0.055560411385951136
2021-01-13,31700,33893,31509,33322,702427,0.027949160908193438
2021-01-14,32987,35371,32701,34036,1055582,0.021427285276994112
2021-01-15,34179,35275,33321,34847,844066,0.023827711834528253
2021-01-18,34846,35609,33511,33512,846931,-0.038310328005280225
2021-01-19,33797,34703,33225,34036,680145,0.015636190021484753
2021-01-20,34083,37420,33988,36658,2474972,0.07703607944529312
2021-01-21,36276,37373,35561,36420,907651,-0.006492443668503434
2021-01-22,36657,37516,36276,37278,815961,0.023558484349258668
2021-01-25,37611,40185,36753,38470,2174041,0.031975964375771326
2021-01-26,38850,39661,37945,38708,928196,0.0061866389394333865
2021-01-27,38612,38898,35609,36181,1415984,-0.06528366229203264
2021-01-28,34322,35561,33749,34036,951420,-0.05928526021945224
2021-01-29,34512,34894,31080,31558,1171805,-0.07280526501351514
2021-02-01,31128,33749,31033,33274,605340,0.05437606945940798
2021-02-02,33702,35466,33464,33846,407582,0.01719059926669475
2021-02-03,33845,34703,33225,33465,352308,-0.011256869349406173
2021-02-04,33607,33893,31843,32272,556949,-0.03564918571642017
2021-02-05,32606,32939,30842,31081,807607,-0.03690505701536939
2021-02-08,31080,31891,30032,31319,489796,0.007657411280203252
2021-02-09,31223,33845,30746,33274,817225,0.06242217184456722
2021-02-10,33369,33749,32510,33226,278577,-0.0014425677706316753
2021-02-15,33225,33607,32748,32749,279574,-0.014356227051104509
2021-02-16,32653,33082,31509,31653,423925,-0.033466670738037774
2021-02-17,31700,32510,30746,31701,395990,0.001516443938963219
2021-02-18,32176,32176,30985,31081,225390,-0.019557742657960286
2021-02-19,30890,31462,30317,30938,286701,-0.0046008815675171455
2021-02-22,31128,32415,31080,31558,323583,0.02004008016032066
2021-02-23,31175,32129,30890,31605,254104,0.0014893212497624209
2021-02-24,31605,32987,30746,30842,492393,-0.02414174972314509
2021-02-25,31414,32892,31080,32702,442028,0.060307373062706615
2021-02-26,31747,31986,31128,31510,325565,-0.036450370007950594
2021-03-02,31938,32367,31175,31319,240456,-0.006061567756267872
2021-03-03,30985,32081,30985,31653,218984,0.010664452888023312
2021-03-04,31271,31891,30985,31176,230702,-0.015069661643446142
2021-03-05,30937,31080,28887,29222,557594,-0.06267641775724919
2021-03-08,29173,29221,24931,25265,1088001,-0.1354116761344193
2021-03-09,26218,31652,26123,28697,2784702,0.13584009499307337
2021-03-10,28839,30746,28839,29079,515312,0.013311495975188992
2021-03-11,28887,30079,28887,29365,328496,0.009835276316241925
2021-03-12,29793,31843,29460,31462,540184,0.07141154435552521
2021-03-15,31557,32081,29745,29841,773860,-0.051522471552984506
2021-03-16,30079,31414,29889,30270,289091,0.014376193827284611
2021-03-17,30508,31080,29841,31081,255875,0.02679220350181688
2021-03-18,31557,32510,31128,32130,468843,0.033750522827450835
2021-03-19,31557,34226,31462,34227,1419718,0.06526610644257702
2021-03-22,34226,35466,33464,35467,719997,0.03622870832968128
2021-03-23,35227,36038,34703,35276,615423,-0.005385287732258104
2021-03-24,36228,36801,33702,33846,927726,-0.04053747590429757
2021-03-25,34179,36419,33893,35609,894029,0.05208887313124144
2021-03-26,35609,35895,33511,35276,921780,-0.009351568423713097
2021-03-29,34417,34799,32653,32940,808770,-0.06622065993876858
2021-03-30,32939,33273,31128,31319,633667,-0.049210686095932044
2021-03-31,30937,32272,30794,30795,359283,-0.016731057824323936
2021-04-01,31033,31652,30222,30604,286174,-0.006202305569085853
2021-04-02,30842,31318,30603,31176,243641,0.01869036727225204
2021-04-05,31462,31509,29173,29746,509288,-0.045868616884783164
2021-04-06,29745,29793,28459,29079,379910,-0.022423182948967946
2021-04-07,29173,29936,28601,29746,208057,0.022937515045221568
2021-04-08,29316,29555,29030,29222,171315,-0.017615813890943355
2021-04-09,29316,30032,29221,29556,187866,0.01142974471288749
2021-04-12,29555,30174,29078,29889,215442,0.011266747868453164
2021-04-13,30365,32892,30174,32130,963470,0.074977416440831
2021-04-14,32415,32701,31366,32368,298981,0.007407407407407307
2021-04-15,32606,33082,31747,31939,322227,-0.013253830944142342
2021-04-16,31557,32129,30603,31462,326608,-0.014934719308682176
2021-04-19,31462,31986,30603,31892,265763,0.013667281164579492
2021-04-20,31557,32558,31462,32177,238528,0.008936410385049554
2021-04-21,32176,32272,31462,31558,174955,-0.019237343444074906
2021-04-22,31605,31747,30985,31033,211878,-0.01663603523670698
2021-04-23,30985,31128,29936,30080,350012,-0.03070924499726102
2021-04-26,30413,31223,29984,30080,200529,0.0
2021-04-27,29793,30556,29650,29937,235999,-0.004753989361702127
2021-04-28,29936,30317,28983,29031,446668,-0.03026355346227072
2021-04-29,29889,29889,28792,28888,212944,-0.004925769005545755
2021-04-30,29078,29173,28363,28936,199926,0.0016615895873719477
2021-05-03,28983,29173,27696,27887,331010,-0.03625241913187727
2021-05-04,27886,28506,26552,28173,319562,0.01025567468713029
2021-05-06,27886,28744,27553,27696,127140,-0.016931104248748774
2021-05-07,28029,28601,27886,28221,105448,0.01895580589254764
2021-05-10,28268,28506,27505,27696,206399,-0.018603167853725955
2021-05-11,27457,27505,26218,26457,402785,-0.04473570190641252
2021-05-12,26408,27028,25312,25504,315320,-0.036020712854821
2021-05-13,25026,25836,24406,24884,280823,-0.024309912170639936
2021-05-14,25026,25551,24645,24788,165093,-0.003857900659058
2021-05-17,24883,26123,24740,25075,212007,0.01157818299177027
2021-05-18,25122,25122,24645,24788,225498,-0.011445663010967055
2021-05-20,24788,25693,24216,25504,329020,0.028884944327900675
2021-05-21,25789,28125,25598,27744,625585,0.08782936010037634
2021-05-24,27886,28792,27743,28316,376893,0.02061707035755478
2021-05-25,28839,32892,27171,27410,2087078,-0.03199604463907335
2021-05-26,28220,28363,27219,27649,301842,0.008719445457862074
2021-05-27,27648,29602,27600,29031,600607,0.04998372454699984
2021-05-28,28839,29030,27934,28078,266338,-0.032826978057938105
2021-05-31,27696,27838,26695,26933,269083,-0.040779257781893286
2021-06-01,26456,26790,25503,26743,186765,-0.007054542754241999
2021-06-02,26504,27219,26265,26933,111059,0.007104662902441827
2021-06-03,27314,27362,26599,26791,81023,-0.005272342479486158
2021-06-04,26695,26790,25980,26123,143991,-0.024933746407375557
2021-06-07,26504,26504,25503,25647,151431,-0.01822149064043177
2021-06-08,25646,26265,25646,25980,92358,0.012983974733886905
2021-06-09,26218,26218,25598,25980,86502,0.0
2021-06-10,25980,26837,25789,26505,97704,0.020207852193995457
2021-06-11,26933,27028,26456,26743,97916,0.008979437841916571
2021-06-14,26504,27838,26456,27267,157895,0.019593912425681426
2021-06-15,27266,27505,26647,27220,98517,-0.0017236953093483498
2021-06-16,27219,27409,26790,26981,69949,-0.008780308596620157
2021-06-17,26647,26981,26456,26505,82386,-0.017642044401615986
2021-06-18,26552,26742,26123,26695,76006,0.007168458781362075
2021-06-21,26837,26837,25980,26361,91189,-0.012511706312043458
2021-06-22,26218,26647,26170,26409,84624,0.0018208717423466858
2021-06-23,26456,26695,25980,25980,146976,-0.01624446211518804
2021-06-24,25980,25980,25551,25694,108909,-0.011008468052348008
2021-06-25,25693,25980,25551,25599,81127,-0.0036973612516540966
2021-06-28,25693,26361,25407,25789,119210,0.007422164928317487
2021-06-29,25741,26218,25407,26219,117438,0.0166737756407771
2021-06-30,25980,26408,25932,26123,67407,-0.0036614668751668855
2021-07-01,26027,28125,26027,27792,398657,0.06389005856907715
2021-07-02,27791,28744,27600,28030,229564,0.008563615428900384
2021-07-05,28077,28649,27362,28650,186753,0.022119158044951792
2021-07-06,28744,28839,28077,28507,117018,-0.00499127399650956
2021-07-07,28363,29078,27934,28984,152227,0.016732732311362186
2021-07-08,29030,29030,28172,28268,128617,-0.024703284570797734
2021-07-09,28029,28268,27505,27983,127773,-0.010082071600396203
2021-07-12,27743,28744,27743,28268,71611,0.01018475502983951
2021-07-13,27982,28220,27457,27696,145082,-0.020234894580444363
2021-07-14,27409,28029,27314,27649,85714,-0.0016969959560947379
2021-07-15,27648,27982,27553,27839,124137,0.0068718579333790775
2021-07-16,27696,28983,27696,28840,221825,0.03595675132009046
2021-07-19,28839,29745,28506,29317,319865,0.01653952843273232
2021-07-20,29221,29889,28839,29317,264758,0.0
2021-07-21,29412,30556,28697,28745,322045,-0.019510864003820294
2021-07-22,28839,29173,28029,28602,161777,-0.004974778222299525
2021-07-23,28935,29221,28410,28602,86292,0.0
2021-07-26,28601,29507,28220,29269,174809,0.023320047549122425
2021-07-27,29269,29650,28839,29126,106979,-0.004885715261881196
2021-07-28,29221,29221,28125,28364,106098,-0.026162191856073602
2021-07-29,28363,28649,27886,27935,93636,-0.015124806092229548
2021-07-30,27934,27934,27076,27267,137396,-0.02391265437623058
2021-08-02,27648,27934,27266,27267,71091,0.0
2021-08-03,26885,27409,26504,26791,146932,-0.017456999303187004
2021-08-04,27028,27171,26456,27077,59231,0.010675226755253675
2021-08-05,27124,27362,26885,27172,62844,0.0035085127599068233
2021-08-06,27219,27457,26742,26933,80500,-0.008795819225673518
2021-08-09,26933,26933,26218,26743,138171,-0.007054542754241999
2021-08-10,26742,26742,25980,26171,123620,-0.021388774632614127
2021-08-11,25980,26456,25932,26266,92807,0.003629972106530044
2021-08-12,26456,26742,26027,26409,72112,0.005444300616766817
2021-08-13,26408,26647,25693,25932,123694,-0.018062024309894342
2021-08-17,25741,25836,23358,24550,224854,-0.05329322844362183
2021-08-18,24550,26695,23810,25694,136796,0.046598778004073305
2021-08-19,25693,25789,24645,25075,96278,-0.024091227523935554
2021-08-20,24740,25264,23834,24264,128800,-0.03234297108673978
2021-08-23,24263,24740,23834,24216,70048,-0.001978239366963397
2021-08-24,24550,25455,24311,25456,87860,0.05120581433762794
2021-08-25,25455,25503,25026,25313,49368,-0.005617536140791968
2021-08-26,25122,25551,25122,25456,39891,0.005649271125508726
2021-08-27,25217,25503,24978,25265,44419,-0.0075031426775612475
2021-08-30,25264,25598,24788,25122,84883,-0.005660003958044779
2021-08-31,25264,25264,24263,24693,91760,-0.017076665870551677
2021-09-01,24692,24978,24406,24503,58532,-0.007694488316526971
2021-09-02,24597,24740,24168,24741,63197,0.00971309635554829
2021-09-03,24788,25360,24645,25027,62248,0.011559759104320833
2021-09-06,25026,25169,24645,25027,59969,0.0
2021-09-07,25455,26599,24978,26076,198827,0.0419147320893436
2021-09-08,26075,26456,25122,26076,98725,0.0
2021-09-09,25884,27171,25884,27124,203053,0.04019021322288685
2021-09-10,27124,27314,26456,26695,95311,-0.01581625129037012
2021-09-13,26408,26408,25503,25647,86508,-0.03925828806892673
2021-09-14,25455,25836,25217,25408,61223,-0.009318828712909899
2021-09-15,25217,25503,25074,25218,58888,-0.0074779596977330165
2021-09-16,26218,26218,25217,25265,55150,0.0018637481164247571
2021-09-17,25455,25693,25026,25694,39887,0.016980011874134116
2021-09-23,25503,25503,25026,25075,51451,-0.024091227523935554
2021-09-24,25264,25264,24550,24550,79878,-0.02093718843469594
2021-09-27,24550,24883,24168,24216,77001,-0.013604887983706737
2021-09-28,24263,24454,23810,23835,99295,-0.01573339940535179
2021-09-29,22952,23929,22905,23144,121200,-0.028990979651772553
2021-09-30,23596,26837,23310,24931,679132,0.07721223643276875
2021-10-01,25074,25884,23739,23740,216910,-0.04777185030684694
2021-10-05,23882,25264,23358,25170,192030,0.0602358887952823
2021-10-06,25693,26504,24978,25456,307368,0.011362733412793036
2021-10-07,25741,26265,25169,25504,108567,0.0018856065367693908
2021-10-08,25598,25980,24311,24550,110104,-0.03740589711417819
2021-10-12,24645,25217,23882,24741,67527,0.007780040733197602
2021-10-13,24645,25646,24454,25027,62326,0.011559759104320833
2021-10-14,25455,25503,24931,25170,59565,0.005713829064610154
2021-10-15,25646,25646,24883,25170,39378,0.0
2021-10-18,25169,25169,24788,25027,37476,-0.005681366706396518
2021-10-19,25026,26075,24883,25980,155497,0.03807887481519967
2021-10-20,26123,27600,25932,26600,389306,0.02386451116243271
2021-10-21,26361,28125,26361,27458,272821,0.032255639097744426
2021-10-22,27553,29841,27457,29079,595692,0.05903561803481683
2021-10-25,29173,29841,28506,29269,259811,0.0065339248254754345
2021-10-26,29030,30461,28315,30175,303896,0.030954251938911437
2021-10-27,30651,31366,26981,27172,668377,-0.09951946975973491
2021-10-28,27553,27743,26456,27267,268682,0.003496246135727965
2021-10-29,26313,26695,24025,25408,590437,-0.06817765063996772
2021-11-01,25360,26456,24311,25694,357813,0.01125629722921917
2021-11-02,25789,28125,25789,28125,417028,0.09461352845022186
2021-11-03,28459,29460,27934,28650,365109,0.01866666666666661
2021-11-04,28363,28983,27982,28650,183926,0.0
2021-11-05,28220,28459,27314,28030,140461,-0.0216404886561955
2021-11-08,28268,28649,26313,26314,338726,-0.061220121298608654
2021-11-09,26313,27028,25741,26933,158326,0.023523599604773127
2021-11-10,26504,26837,25693,26076,199195,-0.03181970073887053
2021-11-11,25884,26123,25503,25694,178803,-0.014649486117502719
2021-11-12,25551,26075,24406,25122,474066,-0.02226200669416989
2021-11-15,25551,26170,24883,25218,189151,0.0038213518032004234
2021-11-16,25503,25503,24502,24503,199870,-0.02835276389880248
2021-11-17,24311,24883,23310,24598,1002118,0.003877076276374236
2021-11-18,24835,25598,24073,24169,164278,-0.017440442312383175
2021-11-19,23977,24502,23882,24312,76935,0.005916670114609612
2021-11-22,24263,24406,23929,24264,121502,-0.001974333662388972
2021-11-23,24502,24788,23929,24026,147122,-0.009808770194526861
2021-11-24,24025,24406,23810,24169,106497,0.005951885457421202
2021-11-25,24025,24597,23882,24407,120703,0.009847325085853731
2021-11-26,25169,25217,24311,24550,223634,0.005858974884254575
2021-11-29,24073,24359,23668,23764,143899,-0.032016293279022445
2021-11-30,24073,24073,23405,23621,143563,-0.006017505470459539
2021-12-01,23715,23715,22881,23549,265677,-0.003048135133990937
2021-12-02,23473,23473,21647,22723,300489,-0.035075799397002005
2021-12-03,22848,23248,22172,22973,84592,0.0110020683888572
2021-12-06,22973,22973,21822,21897,155509,-0.046837591955774194
2021-12-07,21897,23273,21722,22573,192471,0.030871808923596866
2021-12-08,24675,24775,22973,23074,452514,0.02219465733398307
2021-12-09,23123,24099,23123,24075,187674,0.043382161740487035
2021-12-10,24074,25275,23874,24100,296785,0.0010384215991692258
2021-12-13,24124,24474,23248,23274,190427,-0.03427385892116186
2021-12-14,23173,23899,22723,23749,161691,0.02040904013061784
2021-12-15,23724,25025,23473,24875,216723,0.04741252263253193
2021-12-16,24900,26527,24750,26377,386985,0.0603819095477387
2021-12-17,26376,27377,25926,26927,290763,0.020851499412366747
2021-12-20,26527,26727,25275,25476,173519,-0.053886433691090696
2021-12-21,25275,25275,23999,24175,221038,-0.05106767153399283
2021-12-22,24174,24675,23774,24375,130453,0.008273009307135482
2021-12-23,24249,24249,23248,23424,172788,-0.03901538461538456
2021-12-24,23423,24024,23423,23899,128315,0.020278346994535568
2021-12-27,24224,24675,24024,24475,227488,0.02410142683794292
2021-12-28,24525,24675,24174,24475,153613,0.0
2021-12-29,24625,25275,24449,24450,211160,-0.0010214504596527396
2021-12-30,24274,24775,24049,24525,82466,0.0030674846625766694
2022-01-03,24875,24875,24424,24550,105243,0.0010193679918450993
2022-01-04,24575,25125,24149,24150,139531,-0.016293279022403295
2022-01-05,24449,24449,22923,23249,202693,-0.03730848861283642
2022-01-06,22923,23148,22673,23124,109550,-0.005376575336573652
2022-01-07,23123,23223,22748,23074,70952,-0.002162255665109858
2022-01-10,23473,23624,21922,22473,170096,-0.026046632573459294
2022-01-11,22648,23699,22422,23699,205918,0.05455435411382559
2022-01-12,23874,24124,23398,24125,102785,0.017975442001772146
2022-01-13,24149,24550,23724,24300,136307,0.007253886010362587
2022-01-14,24199,24675,24024,24500,193750,0.008230452674897082
2022-01-17,26050,27500,24550,25500,276456,0.04081632653061229
2022-01-18,25150,25500,24700,25500,74414,0.0
2022-01-19,25000,26500,24650,25850,70986,0.013725490196078383
2022-01-20,25750,26050,25450,26050,35594,0.007736943907156624
2022-01-21,25900,26500,24800,25150,82168,-0.03454894433781186
2022-01-24,22950,24300,22800,24100,372432,-0.041749502982107334
2022-01-25,24350,24650,23300,23700,110722,-0.016597510373444035
2022-01-26,23200,23650,22300,22600,151868,-0.04641350210970463
2022-01-27,22400,22450,19950,20500,374927,-0.09292035398230092
2022-01-28,20850,22200,20350,22200,103644,0.08292682926829276
2022-02-03,23000,23300,22350,22400,124758,0.009009009009008917
2022-02-04,21250,22050,20950,21600,251613,-0.0357142857142857
2022-02-07,21850,21850,21050,21300,84414,-0.01388888888888884
2022-02-08,20600,21550,20350,21050,346563,-0.011737089201877882
2022-02-09,21200,21600,20900,21150,130643,0.004750593824228044
2022-02-10,21150,21400,20750,20900,111315,-0.011820330969267157
2022-02-11,20850,20850,20100,20400,152589,-0.02392344497607657
2022-02-14,19700,19950,19150,19150,275773,-0.06127450980392157
2022-02-15,19300,19550,18900,19300,154751,0.007832898172323688
2022-02-16,20000,20200,19500,19900,156852,0.031088082901554515
2022-02-17,19800,20200,19200,19600,141103,-0.015075376884422065
2022-02-18,19750,20300,19600,19950,147064,0.017857142857142794
2022-02-21,19900,20500,19300,19950,104778,0.0
2022-02-22,19500,19900,19150,19150,133989,-0.040100250626566414
2022-02-23,19350,20500,19300,20300,201221,0.06005221932114879
2022-02-24,20100,20150,19450,19850,129952,-0.022167487684729092
2022-02-25,20350,20350,19900,20300,84260,0.02267002518891692
2022-02-28,20200,20800,19800,20500,85287,0.009852216748768461
2022-03-02,20500,21350,20100,21250,113981,0.03658536585365857
2022-03-03,21250,21650,20950,21300,91245,0.0023529411764706687
2022-03-04,21300,21600,20800,21500,97249,0.009389671361502261
2022-03-07,21400,21400,20900,21000,86981,-0.023255813953488413
2022-03-08,20650,21150,20050,20350,148148,-0.030952380952380953
2022-03-10,20650,21350,20650,20850,76132,0.024570024570024662
2022-03-11,20850,21050,20700,20750,63394,-0.004796163069544335
2022-03-14,21100,21600,20400,20800,108695,0.002409638554216942
2022-03-15,20850,21050,20600,20650,57371,-0.007211538461538436
2022-03-16,21000,21000,20600,20750,53898,0.004842615012106588
2022-03-17,21050,21500,20850,21400,94227,0.031325301204819356
2022-03-18,21600,22200,21050,22000,126360,0.028037383177569986
2022-03-21,22000,22500,21850,22150,105959,0.006818181818181834
2022-03-22,22150,22300,21850,22150,54452,0.0
2022-03-23,22250,22550,20850,21800,202327,-0.015801354401805856
2022-03-24,21800,23500,21400,22950,262251,0.05275229357798161
2022-03-25,23000,23700,22800,23200,202133,0.01089324618736387
2022-03-28,23200,23300,22800,23150,92644,-0.0021551724137931494
2022-03-29,23000,24650,22950,24200,262808,0.04535637149028071
2022-03-30,23950,25600,23950,24400,561865,0.008264462809917328
2022-03-31,24250,25750,23300,23600,950259,-0.032786885245901676
2022-04-01,23650,24550,23150,24550,231872,0.0402542372881356
2022-04-04,24500,24950,23800,24500,170245,-0.0020366598778004397
2022-04-05,24600,24750,24100,24200,94021,-0.01224489795918371
2022-04-06,24100,24100,23600,23650,137852,-0.022727272727272707
2022-04-07,23350,23650,22800,22950,235999,-0.029598308668076112
2022-04-08,23100,23750,23100,23400,78301,0.019607843137254832
2022-04-11,23500,23900,22950,23550,123392,0.0064102564102563875
2022-04-12,23550,23550,22950,23350,105660,-0.00849256900212314
2022-04-13,23350,23350,22800,23100,93084,-0.010706638115631661
2022-04-14,23150,23250,22750,22900,151407,-0.008658008658008698
2022-04-15,22900,23000,22650,22800,122644,-0.004366812227074246
2022-04-18,22700,23050,22500,22650,122178,-0.006578947368421018
2022-04-19,22650,23050,22650,22950,50716,0.013245033112582849
2022-04-20,22950,23300,22900,23300,78175,0.015250544662309462
2022-04-21,23300,23400,23100,23150,76076,-0.006437768240343367
2022-04-22,23100,23150,22850,23150,74716,0.0
2022-04-25,22600,22950,22600,22650,91092,-0.021598272138228958
2022-04-26,22750,22900,22700,22750,52811,0.004415011037527616
2022-04-27,22000,23000,21900,23000,119738,0.01098901098901095
2022-04-28,23000,23000,22500,22700,76067,-0.013043478260869601
2022-04-29,22900,22950,22550,22800,38088,0.004405286343612369
2022-05-02,22750,22750,22500,22650,41619,-0.006578947368421018
