Date,Open,High,Low,Close,Volume,Change
2017-08-22,1897,1897,1878,1884,234197,
2017-08-23,1883,1888,1883,1884,212190,0.0
2017-08-24,1883,1902,1883,1898,9574,0.007430997876857859
2017-08-25,1893,1907,1893,1902,13808,0.0021074815595363283
2017-08-28,1902,1916,1897,1907,12369,0.002628811777076745
2017-08-29,1897,1911,1897,1912,26156,0.002621919244887305
2017-08-30,1911,1972,1907,1921,65012,0.004707112970711247
2017-08-31,1972,1972,1902,1917,40111,-0.0020822488287350893
2017-09-01,1902,1935,1902,1931,73913,0.007303077725612894
2017-09-04,1930,1930,1902,1926,6680,-0.002589331952356333
2017-09-05,1911,1958,1888,1907,224099,-0.009865005192107978
2017-09-06,1907,1911,1888,1888,122229,-0.009963293130571538
2017-09-07,1902,1902,1888,1893,4293,0.0026483050847456724
2017-09-08,1902,1902,1888,1893,19479,0.0
2017-09-11,1907,1907,1888,1898,4043,0.002641310089804616
2017-09-12,1897,1897,1883,1888,23752,-0.005268703898840932
2017-09-13,1893,1893,1883,1884,19858,-0.0021186440677966045
2017-09-14,1883,1907,1883,1888,13250,0.002123142250530785
2017-09-15,1888,1907,1888,1893,15414,0.0026483050847456724
2017-09-18,1888,1902,1883,1902,20607,0.004754358161648264
2017-09-19,1897,1911,1888,1888,12484,-0.007360672975814886
2017-09-20,1893,1907,1888,1898,2480,0.005296610169491567
2017-09-21,1897,1907,1888,1907,4459,0.00474183350895685
2017-09-22,1907,1907,1878,1902,34689,-0.002621919244887305
2017-09-25,1902,1907,1888,1907,14831,0.002628811777076745
2017-09-26,1888,1907,1883,1902,2361,-0.002621919244887305
2017-09-27,1893,1902,1883,1884,29661,-0.009463722397476393
2017-09-28,1897,1897,1893,1893,3488,0.004777070063694211
2017-09-29,1888,1902,1883,1888,559,-0.002641310089804505
2017-10-10,1911,1911,1888,1902,9806,0.00741525423728806
2017-10-11,1883,1902,1883,1888,6856,-0.007360672975814886
2017-10-12,1883,1897,1883,1898,5007,0.005296610169491567
2017-10-13,1878,1893,1878,1884,831,-0.00737618545837726
2017-10-16,1888,1888,1883,1888,669,0.002123142250530785
2017-10-17,1883,1888,1878,1884,51932,-0.0021186440677966045
2017-10-18,1888,1902,1888,1898,2941,0.007430997876857859
2017-10-19,1897,1902,1897,1902,613,0.0021074815595363283
2017-10-20,1883,1902,1883,1888,716,-0.007360672975814886
2017-10-23,1883,1902,1883,1902,1241,0.00741525423728806
2017-10-24,1902,1907,1902,1907,243,0.002628811777076745
2017-10-25,1883,1902,1883,1888,837,-0.009963293130571538
2017-10-26,1878,1902,1878,1898,5768,0.005296610169491567
2017-10-27,1888,1902,1874,1879,56861,-0.01001053740779767
2017-10-30,1878,1902,1878,1879,1013,0.0
2017-10-31,1897,1897,1897,1898,1,0.010111761575305911
2017-11-01,1893,1893,1874,1879,12606,-0.01001053740779767
2017-11-02,1893,1893,1883,1893,3,0.007450771687067537
2017-11-03,1893,1893,1893,1893,0,0.0
2017-11-06,1878,1893,1878,1893,7,0.0
2017-11-07,1878,1893,1878,1893,9006,0.0
2017-11-08,1893,1893,1883,1884,5,-0.004754358161648153
2017-11-09,1897,1897,1897,1898,1,0.007430997876857859
2017-11-10,1878,1897,1878,1893,1225,-0.0026343519494204104
2017-11-13,1893,1893,1893,1893,0,0.0
2017-11-14,1874,1893,1874,1874,312,-0.010036978341257274
2017-11-15,1893,1893,1874,1874,2528,0.0
2017-11-16,1878,1893,1874,1874,11703,0.0
2017-11-17,1888,1888,1864,1884,58,0.005336179295624355
2017-11-20,1864,1883,1864,1879,7202,-0.002653927813163537
2017-11-21,1878,1883,1864,1874,9316,-0.0026609898882383742
2017-11-22,1878,1878,1855,1865,367,-0.0048025613660619415
2017-11-23,1860,1883,1860,1879,15,0.007506702412868549
2017-11-24,1878,1878,1869,1874,7038,-0.0026609898882383742
2017-11-27,1883,1963,1869,1870,40015,-0.002134471718249764
2017-11-28,1864,1883,1864,1874,776,0.002139037433155133
2017-11-29,1883,1883,1874,1874,5,0.0
2017-11-30,1874,1874,1860,1874,2295,0.0
2017-12-01,1893,1893,1869,1879,1053,0.0026680896478121774
2017-12-04,1888,1888,1883,1884,4,0.0026609898882383742
2017-12-05,1860,1864,1860,1865,1030,-0.010084925690021285
2017-12-06,1860,1883,1850,1884,7002,0.010187667560321634
2017-12-07,1869,1869,1860,1870,1436,-0.007430997876857748
2017-12-08,1888,1888,1855,1865,4206,-0.002673796791443861
2017-12-11,1860,1888,1855,1888,1005,0.012332439678284235
2017-12-12,1888,1888,1888,1888,0,0.0
2017-12-13,1860,1888,1860,1888,1001,0.0
2017-12-14,1878,1878,1878,1879,2000,-0.004766949152542388
2017-12-15,1855,1855,1855,1855,4000,-0.012772751463544396
2017-12-18,1893,1893,1855,1879,1002,0.012938005390835672
2017-12-19,1878,1897,1878,1898,7210,0.010111761575305911
2017-12-20,1878,1888,1874,1884,41013,-0.00737618545837726
2017-12-21,1888,1888,1860,1879,10591,-0.002653927813163537
2017-12-22,1883,1883,1855,1874,7762,-0.0026609898882383742
2017-12-26,1878,1878,1878,1879,1,0.0026680896478121774
2017-12-27,1878,1878,1878,1879,0,0.0
2017-12-28,1883,1883,1883,1884,2651,0.0026609898882383742
2018-01-02,1888,1888,1855,1884,224,0.0
2018-01-03,1888,1888,1860,1888,1352,0.002123142250530785
2018-01-04,1864,1888,1864,1888,4805,0.0
2018-01-05,1888,1888,1864,1888,2879,0.0
2018-01-08,1864,1888,1864,1888,5924,0.0
2018-01-09,1888,1888,1869,1888,9302,0.0
2018-01-10,1888,1907,1878,1884,30725,-0.0021186440677966045
2018-01-11,1860,1888,1860,1888,4852,0.002123142250530785
2018-01-12,1883,1888,1883,1888,6,0.0
2018-01-15,1864,1888,1864,1865,33768,-0.01218220338983056
2018-01-16,1888,1888,1860,1884,5099,0.010187667560321634
2018-01-17,1888,1888,1874,1888,13607,0.002123142250530785
2018-01-18,1860,1888,1860,1874,20793,-0.007415254237288171
2018-01-19,1864,1893,1864,1888,3730,0.007470651013874008
2018-01-22,1864,1902,1864,1888,4397,0.0
2018-01-23,1893,1893,1878,1893,835,0.0026483050847456724
2018-01-24,1893,1893,1878,1888,2920,-0.002641310089804505
2018-01-25,1893,1893,1869,1893,5102,0.0026483050847456724
2018-01-26,1893,1907,1874,1893,12862,0.0
2018-01-29,1907,1907,1860,1898,3223,0.002641310089804616
2018-01-30,1907,1907,1878,1893,3729,-0.0026343519494204104
2018-01-31,1925,1925,1897,1898,2502,0.002641310089804616
2018-02-01,1911,1911,1883,1888,10,-0.005268703898840932
2018-02-02,1921,1921,1878,1912,2584,0.012711864406779627
2018-02-05,1916,1916,1916,1917,2,0.0026150627615062483
2018-02-06,1897,1897,1897,1898,0,-0.009911319770474658
2018-02-07,1921,1921,1878,1912,2426,0.007376185458377149
2018-02-08,1911,1911,1907,1907,14,-0.0026150627615062483
