Date,Open,High,Low,Close,Volume,Change
2015-11-19,14850,15600,12500,12500,468527,
2015-11-20,12850,13650,12500,12600,212049,0.008000000000000007
2015-11-23,12950,12950,12250,12250,79981,-0.02777777777777779
2015-11-24,12400,12600,12050,12050,60563,-0.01632653061224487
2015-11-25,12150,12500,12000,12200,131088,0.012448132780082943
2015-11-26,12300,12750,12200,12500,102937,0.024590163934426146
2015-11-27,12500,13500,12450,13250,115041,0.06000000000000005
2015-11-30,13200,13300,12800,13000,54573,-0.018867924528301883
2015-12-01,13350,13650,13000,13000,69292,0.0
2015-12-02,13000,13450,12750,13250,50467,0.019230769230769162
2015-12-03,13200,13450,12950,13200,45879,-0.0037735849056603765
2015-12-04,13000,13850,12900,13800,60534,0.045454545454545414
2015-12-07,13650,13950,13550,13700,21188,-0.007246376811594235
2015-12-08,13700,13800,13000,13100,63855,-0.04379562043795615
2015-12-09,13100,13800,13000,13200,40616,0.007633587786259444
2015-12-10,13150,13500,12850,13150,45110,-0.0037878787878787845
2015-12-11,13300,13400,12850,13200,17844,0.0038022813688212143
2015-12-14,12800,13400,12800,13250,18855,0.0037878787878788955
2015-12-15,13400,13500,12900,13250,36993,0.0
2015-12-16,13050,13400,12750,12950,62811,-0.02264150943396226
2015-12-17,13050,13900,12700,13500,78337,0.042471042471042386
2015-12-18,13300,13950,13300,13950,30665,0.03333333333333344
2015-12-21,13950,14350,13850,14300,32592,0.02508960573476693
2015-12-22,14150,14250,13750,14000,27249,-0.020979020979020935
2015-12-23,14300,14300,13900,14150,8753,0.010714285714285676
2015-12-24,14000,14350,13950,14250,36261,0.007067137809187329
2015-12-28,14350,14650,14050,14250,45660,0.0
2015-12-29,13850,14050,13700,13800,15535,-0.03157894736842104
2015-12-30,13900,13900,13550,13650,6491,-0.010869565217391353
2016-01-04,13650,13650,13250,13250,31739,-0.02930402930402931
2016-01-05,13100,13400,12750,13300,21668,0.0037735849056603765
2016-01-06,13200,17000,13100,15500,818191,0.16541353383458657
2016-01-07,15000,15250,14200,14600,153640,-0.058064516129032295
2016-01-08,14300,14500,13650,13900,126904,-0.047945205479452024
2016-01-11,14100,14400,13650,14050,73076,0.010791366906474753
2016-01-12,14500,15300,14250,14400,143682,0.02491103202846978
2016-01-13,14350,14650,14200,14350,64465,-0.00347222222222221
2016-01-14,14150,14250,13850,14100,69376,-0.017421602787456414
2016-01-15,14650,14700,13900,14000,53265,-0.007092198581560294
2016-01-18,13900,14200,13650,13950,27553,-0.0035714285714285587
2016-01-19,14100,15250,14050,15250,101089,0.09318996415770608
2016-01-20,15050,15200,14300,14800,68627,-0.02950819672131144
2016-01-21,14600,15100,14600,14700,41179,-0.006756756756756799
2016-01-22,14750,15150,14500,15150,36854,0.030612244897959107
2016-01-25,15250,15300,14850,15050,30627,-0.0066006600660065695
2016-01-26,15000,15050,14550,14650,36828,-0.02657807308970095
2016-01-27,14650,14850,14350,14600,34791,-0.0034129692832765013
2016-01-28,14600,14900,14350,14800,19172,0.013698630136986356
2016-01-29,14700,15100,14700,15000,42194,0.013513513513513598
2016-02-01,15050,15200,14600,14750,17572,-0.01666666666666672
2016-02-02,14800,14900,14600,14700,29971,-0.003389830508474523
2016-02-03,14700,14800,14300,14350,30718,-0.023809523809523836
2016-02-04,14400,14550,14150,14400,15157,0.0034843205574912606
2016-02-05,14800,14800,14450,14700,22034,0.02083333333333326
2016-02-11,14200,14350,13900,13900,31552,-0.05442176870748294
2016-02-12,13600,14000,13400,13500,27091,-0.02877697841726623
2016-02-15,13600,14100,13550,13800,16818,0.022222222222222143
2016-02-16,13800,14250,13800,14200,14177,0.02898550724637672
2016-02-17,14200,14400,13750,13800,9257,-0.028169014084507005
2016-02-18,14200,14200,13650,13750,18441,-0.0036231884057971175
2016-02-19,13800,13850,13550,13800,15696,0.0036363636363636598
2016-02-22,13650,14750,13600,14600,29424,0.05797101449275366
2016-02-23,14450,15800,14450,14900,63942,0.020547945205479534
2016-02-24,15050,15050,14450,14550,29054,-0.023489932885906062
2016-02-25,14500,14850,14500,14550,21728,0.0
2016-02-26,14600,15000,14300,14400,25883,-0.010309278350515427
2016-02-29,14550,14550,13950,14200,32712,-0.01388888888888884
2016-03-02,14500,14500,14100,14100,16740,-0.007042253521126751
2016-03-03,14350,14600,14100,14550,21053,0.03191489361702127
2016-03-04,14450,14650,14300,14550,16142,0.0
2016-03-07,14500,14650,14250,14300,20516,-0.01718213058419249
2016-03-08,14300,14300,13850,14000,23423,-0.020979020979020935
2016-03-09,14000,15250,14000,14200,39478,0.014285714285714235
2016-03-10,14100,14350,14100,14200,5464,0.0
2016-03-11,14150,14350,13950,14000,20175,-0.014084507042253502
2016-03-14,14400,14450,14050,14350,21176,0.02499999999999991
2016-03-15,14350,14550,14300,14450,13114,0.006968641114982521
2016-03-16,14350,14500,14150,14250,18843,-0.01384083044982698
2016-03-17,14300,14650,14250,14400,23545,0.010526315789473717
2016-03-18,14600,15050,14300,15000,80240,0.04166666666666674
2016-03-21,15000,15400,14850,15100,64457,0.006666666666666599
2016-03-22,15200,15300,14750,14750,38093,-0.023178807947019875
2016-03-23,14900,15200,14800,14950,26368,0.013559322033898313
2016-03-24,15000,15850,14900,15450,72247,0.03344481605351168
2016-03-25,15500,15750,15300,15500,26659,0.003236245954692629
2016-03-28,15400,15650,14850,14900,53349,-0.03870967741935483
2016-03-29,15100,15150,14800,14800,25644,-0.006711409395973145
2016-03-30,14800,15150,14750,14850,19032,0.0033783783783782884
2016-03-31,14850,15600,14850,15500,66947,0.04377104377104368
2016-04-01,15600,15700,15350,15450,37386,-0.003225806451612856
2016-04-04,15450,15650,15400,15600,26316,0.009708737864077666
2016-04-05,15600,16000,15500,15900,38268,0.019230769230769162
2016-04-06,15900,15900,15700,15900,25890,0.0
2016-04-07,15800,16050,15500,16000,70953,0.0062893081761006275
2016-04-08,16000,16700,15800,16500,78633,0.03125
2016-04-11,16500,16800,16100,16550,31769,0.003030303030302939
2016-04-12,16500,16500,15600,16000,92916,-0.033232628398791486
2016-04-14,16100,16450,15900,16150,34087,0.009374999999999911
2016-04-15,16150,16350,16100,16200,13959,0.003095975232198178
2016-04-18,15900,16300,15900,16250,12937,0.0030864197530864335
2016-04-19,16350,16450,16000,16100,29834,-0.009230769230769265
2016-04-20,16100,16350,16000,16250,17938,0.009316770186335477
2016-04-21,16250,16350,16100,16150,15744,-0.006153846153846176
2016-04-22,16150,16350,16000,16000,15308,-0.009287925696594423
2016-04-25,16000,16300,15900,16150,25505,0.009374999999999911
2016-04-26,16150,16300,15950,16000,19539,-0.009287925696594423
2016-04-27,16000,16150,15900,16100,18341,0.006250000000000089
2016-04-28,16100,16250,15850,16000,29029,-0.006211180124223614
2016-04-29,16200,16200,15850,16000,27398,0.0
2016-05-02,16000,18350,16000,17300,110079,0.08125000000000004
2016-05-03,18000,21900,17450,17750,821659,0.026011560693641522
2016-05-04,17750,18500,17200,18500,110671,0.04225352112676051
2016-05-09,19300,20100,18800,19750,218137,0.06756756756756754
2016-05-10,19850,19900,18700,19600,160513,-0.0075949367088608
2016-05-11,19300,20450,19100,20150,144546,0.028061224489795977
2016-05-12,20850,23350,20400,20700,483705,0.027295285359801413
2016-05-13,20400,21450,20350,20350,114911,-0.016908212560386437
2016-05-16,21500,22900,20600,21100,313172,0.03685503685503688
2016-05-17,21300,21600,19750,20300,93997,-0.03791469194312791
2016-05-18,20000,20550,18700,18950,130146,-0.06650246305418717
2016-05-19,18950,19750,18600,19150,66521,0.01055408970976246
2016-05-20,18900,19300,18750,19200,28866,0.0026109660574411553
2016-05-23,19050,19250,18600,18600,42118,-0.03125
2016-05-24,18800,18850,17950,18600,51780,0.0
2016-05-25,18800,19150,18300,18900,26268,0.016129032258064502
2016-05-26,19350,19450,18800,18800,25900,-0.005291005291005346
2016-05-27,19200,19200,18150,18150,21838,-0.034574468085106336
2016-05-30,18250,18400,17500,18350,29428,0.011019283746556363
2016-05-31,18150,18700,18050,18300,9259,-0.0027247956403270157
2016-06-01,18300,18550,17850,18100,12774,-0.010928961748633892
2016-06-02,18400,18400,17600,17600,18501,-0.027624309392265234
2016-06-03,17600,18000,17300,17950,29849,0.019886363636363535
2016-06-07,17900,18450,17900,18350,20832,0.022284122562674202
2016-06-08,18500,18550,17850,18150,27652,-0.010899182561307952
2016-06-09,17950,18250,17900,18250,27058,0.005509641873278293
2016-06-10,18250,18500,18000,18500,18950,0.013698630136986356
2016-06-13,18300,18550,17350,17550,47118,-0.05135135135135138
2016-06-14,17350,17800,17250,17800,19320,0.014245014245014342
