Date,Open,High,Low,Close,Volume,Change
2019-09-05,12264,12414,9536,9636,3364344,
2019-09-06,9636,9786,8810,8910,985148,-0.07534246575342463
2019-09-09,9010,9335,8585,8860,981529,-0.0056116722783389195
2019-09-10,8885,9160,8785,8910,719088,0.0056433408577878375
2019-09-11,9335,9361,8935,8986,597678,0.008529741863075202
2019-09-16,9035,9110,8735,9111,356054,0.013910527487202229
2019-09-17,9060,9135,8910,9086,337437,-0.002743935901657335
2019-09-18,9185,9185,8835,8835,312413,-0.027624917455425946
2019-09-19,8735,8935,8710,8710,161120,-0.014148273910582931
2019-09-20,8660,8710,8359,8410,234659,-0.03444316877152698
2019-09-23,8434,8510,8284,8360,119902,-0.005945303210463715
2019-09-24,8384,8510,8209,8210,137114,-0.01794258373205737
2019-09-25,8209,8309,7884,7959,144996,-0.030572472594397104
2019-09-26,8059,8159,7834,8110,161202,0.018972232692549218
2019-09-27,8184,8484,8059,8285,203847,0.02157829839704073
2019-09-30,8334,8409,8034,8235,88394,-0.0060350030175014835
2019-10-01,8259,8459,8209,8435,96344,0.024286581663630846
2019-10-02,8309,8434,8159,8160,95744,-0.03260225251926496
2019-10-04,8184,8234,7884,8085,105027,-0.009191176470588203
2019-10-07,8234,8259,7959,8110,73903,0.0030921459492887493
2019-10-08,8009,8334,7984,8135,93098,0.0030826140567201676
2019-10-10,8159,8359,8059,8235,70033,0.012292562999385304
2019-10-11,8910,9085,8259,8260,274373,0.0030358227079538835
2019-10-14,8359,8359,8209,8210,105316,-0.006053268765133124
2019-10-15,8209,8459,8159,8335,69988,0.015225334957368997
2019-10-16,8334,8585,8234,8510,139445,0.0209958008398321
2019-10-17,8560,9060,8484,8685,268263,0.02056404230317277
2019-10-18,8760,9010,8685,8885,152438,0.023028209556706924
2019-10-21,9185,9436,8885,9111,273180,0.025436128306133954
2019-10-22,9160,9185,8760,8785,155674,-0.03578092415761169
2019-10-23,8860,8860,8409,8485,127117,-0.03414911781445651
2019-10-24,8560,8785,8434,8610,112604,0.014731879787860835
2019-10-25,8610,8660,8284,8385,85429,-0.026132404181184676
2019-10-28,8384,8610,8184,8585,89160,0.023852116875372698
2019-10-29,8685,8710,8510,8560,51868,-0.0029120559114734768
2019-10-30,8560,8585,8359,8460,32958,-0.011682242990654235
2019-10-31,8560,8560,8359,8460,44984,0.0
2019-11-01,8610,8660,8359,8360,57030,-0.011820330969267157
2019-11-04,8334,8434,8284,8335,38398,-0.0029904306220095433
2019-11-05,8334,8535,8259,8435,54148,0.011997600479904058
2019-11-06,8434,8585,8384,8535,48555,0.011855364552459946
2019-11-07,8585,8735,8484,8610,64875,0.008787346221441172
2019-11-08,8685,8685,8484,8485,38470,-0.014518002322880363
2019-11-11,8535,8560,8284,8460,57599,-0.0029463759575721893
2019-11-12,8459,8510,8309,8410,28423,-0.005910165484633523
2019-11-13,8484,8484,8309,8360,28688,-0.005945303210463715
2019-11-14,8309,8585,8284,8460,58476,0.011961722488038173
2019-11-15,8384,8560,8384,8510,46532,0.005910165484633634
2019-11-18,8510,8535,8334,8410,38447,-0.011750881316098694
2019-11-19,8334,8434,8184,8210,43080,-0.02378121284185497
2019-11-20,8184,8284,8009,8210,62373,0.0
2019-11-21,8209,8209,7909,8110,33614,-0.01218026796589522
2019-11-22,7959,8109,7909,7934,27358,-0.02170160295930945
2019-11-25,7934,8084,7909,8009,14205,0.009452987143937497
2019-11-26,7934,8059,7884,8059,28553,0.0062429766512672735
2019-11-27,7984,8434,7984,8260,68221,0.024941059684824518
2019-11-28,8159,8334,8009,8009,28801,-0.030387409200968496
2019-11-29,8009,8209,7909,7959,28206,-0.0062429766512672735
2019-12-02,7909,8009,7909,7959,14878,0.0
2019-12-03,7934,7959,7759,7934,27727,-0.0031410981279055283
2019-12-04,7809,8034,7784,8034,28039,0.012603982858583329
2019-12-05,7959,8009,7558,7684,66223,-0.043564849390092086
2019-12-06,7659,7859,7659,7684,24590,0.0
2019-12-09,7834,7834,7583,7809,26528,0.01626756897449244
2019-12-10,8259,8960,7959,7984,576352,0.022410039697784656
2019-12-11,8034,8084,7834,7959,46765,-0.003131262525050138
2019-12-12,7934,8009,7834,7859,41376,-0.012564392511622113
2019-12-13,7884,8059,7884,7984,37961,0.01590533146710782
2019-12-16,7984,7984,7884,7959,8099,-0.003131262525050138
2019-12-17,7959,8034,7859,7859,15250,-0.012564392511622113
2019-12-18,7859,7934,7809,7884,16594,0.0031810662934215195
2019-12-19,7884,8009,7809,7909,22140,0.0031709791983765
2019-12-20,7884,7934,7784,7784,35076,-0.01580477936528002
2019-12-23,7784,7859,7734,7809,20006,0.003211716341212645
2019-12-24,7759,7784,7659,7659,26929,-0.019208605455243943
2019-12-26,7659,7709,7583,7684,30755,0.003264133698916316
2019-12-27,7633,7759,7633,7734,15485,0.006507027589796932
2019-12-30,7734,7784,7684,7784,22150,0.006464959917248603
2020-01-02,7834,7934,7759,7834,22338,0.006423432682425512
2020-01-03,7934,7959,7809,7909,22899,0.009573653306101715
2020-01-06,7884,7884,7659,7759,41234,-0.018965735238336112
2020-01-07,7859,8109,7809,8110,94975,0.04523778837479053
2020-01-08,8059,8059,7709,7709,96762,-0.049445129469790405
2020-01-09,7884,8059,7859,7984,34887,0.035672590478661226
2020-01-10,7984,8109,7984,8059,22927,0.009393787575150192
2020-01-13,8059,8159,8009,8135,22817,0.009430450428092874
2020-01-14,8109,8209,8034,8110,43299,-0.003073140749846326
2020-01-15,8109,8334,8084,8260,58757,0.018495684340320562
2020-01-16,8259,8334,8184,8235,23695,-0.003026634382566562
2020-01-17,8284,8484,8084,8185,66689,-0.006071645415907656
2020-01-20,8184,8309,8084,8210,45971,0.0030543677458765295
2020-01-21,8209,8384,8084,8185,29605,-0.003045066991473777
2020-01-22,8184,8284,8109,8210,18555,0.0030543677458765295
2020-01-23,8159,8259,8109,8235,28599,0.003045066991473888
2020-01-28,8084,8585,8009,8335,201309,0.012143290831815312
2020-01-29,8284,8309,8034,8034,65648,-0.036112777444511135
2020-01-30,8084,8459,7784,8435,165670,0.049912870301219714
2020-01-31,8484,10036,8284,8735,2377522,0.03556609365738006
2020-02-03,8660,8985,8134,8885,325390,0.017172295363480305
2020-02-04,8860,8885,8484,8535,137486,-0.039392234102419765
2020-02-05,8510,8860,8359,8385,130371,-0.017574692442882234
2020-02-06,8384,8610,8359,8410,74367,0.0029815146094216427
2020-02-07,8459,8935,8309,8785,153806,0.04458977407847797
2020-02-10,8810,9110,8660,9036,209944,0.02857142857142847
2020-02-11,9035,9060,8810,8910,97156,-0.013944223107569709
2020-02-12,8910,9085,8635,9061,122852,0.016947250280583637
2020-02-13,9110,9160,8810,8936,76529,-0.013795386822646472
2020-02-14,8910,9010,8835,8986,52170,0.005595344673231972
2020-02-17,8985,9010,8785,8986,42055,0.0
2020-02-18,8960,9010,8635,8785,78744,-0.022368128199421355
2020-02-19,8785,8860,8459,8785,65768,0.0
2020-02-20,8760,9611,8685,8860,289226,0.008537279453614044
2020-02-21,8710,8985,8660,8961,96374,0.011399548532731396
2020-02-24,9010,9060,8610,8610,99382,-0.03916973552058922
2020-02-25,8585,8760,8459,8610,67955,0.0
2020-02-26,8484,8710,8384,8510,64586,-0.011614401858304313
2020-02-27,8560,8635,8084,8310,106213,-0.023501762632197387
2020-02-28,8109,8384,7533,7884,137852,-0.051263537906137135
2020-03-02,7759,8384,7508,8310,128445,0.054033485540334825
2020-03-03,8459,8660,8409,8460,85030,0.018050541516245522
2020-03-04,8284,8610,8284,8610,44013,0.01773049645390068
2020-03-05,8610,10011,8359,9912,1112438,0.15121951219512186
2020-03-06,9711,10312,9235,9311,433992,-0.06063357546408399
2020-03-09,9185,9961,8610,8660,430943,-0.06991730211577707
2020-03-10,8484,8685,7809,8160,333673,-0.05773672055427248
2020-03-11,8159,8334,7684,7759,158599,-0.049142156862745145
2020-03-12,7784,7809,6732,6833,395086,-0.11934527645315118
2020-03-13,6007,6157,5431,5857,268790,-0.142836235913947
2020-03-16,5957,6357,5806,5882,153332,0.004268396790165552
2020-03-17,5356,6507,5356,6257,129954,0.06375382522951378
2020-03-18,6357,6858,5606,5607,183848,-0.10388365031165092
2020-03-19,5731,5806,4965,5356,154249,-0.04476547173176382
2020-03-20,5606,5756,5206,5632,79802,0.05153099327856614
2020-03-23,5356,5456,4910,4911,83976,-0.12801846590909094
2020-03-24,5080,6107,5030,6007,180732,0.22317246996538387
2020-03-25,6407,6582,6007,6332,271932,0.054103545863159574
2020-03-26,6457,6582,6107,6157,165796,-0.02763739734680981
2020-03-27,6457,6532,6157,6433,145079,0.044827026149098614
2020-03-30,6257,6858,6182,6758,108259,0.05052075237058906
2020-03-31,7008,7283,6833,7083,147145,0.04809115122817409
2020-04-01,7333,7684,6808,6958,197287,-0.017647889312438214
2020-04-02,7133,7458,6808,7359,141951,0.05763150330554767
2020-04-03,7358,7909,7308,7809,168243,0.06114961271911934
2020-04-06,8009,8585,7809,8460,243411,0.08336534767575876
2020-04-07,8735,8860,8109,8510,136125,0.005910165484633634
2020-04-08,8510,8610,8284,8460,84004,-0.005875440658049347
2020-04-09,8635,8660,8334,8460,77282,0.0
2020-04-10,8459,8560,8084,8410,71522,-0.005910165484633523
2020-04-13,8459,8535,8209,8260,64674,-0.017835909631391256
2020-04-14,8459,8510,8184,8360,40209,0.012106537530266248
2020-04-16,8359,8459,8259,8435,42673,0.008971291866028741
2020-04-17,8510,8510,8384,8410,73993,-0.0029638411381149865
2020-04-20,8434,8535,8234,8435,67567,0.0029726516052319685
2020-04-21,8434,8560,8009,8460,126226,0.0029638411381149865
2020-04-22,8459,8635,8284,8560,126210,0.011820330969267046
2020-04-23,8635,9235,8535,9011,298198,0.05268691588785046
2020-04-24,8960,9085,8610,8735,153846,-0.030629230939962282
