Date,Open,High,Low,Close,Volume,Change
2016-06-03,59115,59115,47718,51140,1170698,
2016-06-07,51038,51979,47470,50050,443040,-0.021314039890496628
2016-06-08,50394,53912,49552,51090,354140,0.020779220779220786
2016-06-09,50791,51931,48807,49357,204483,-0.03392053239381487
2016-06-10,49502,51881,49304,51536,128627,0.04414773993557142
2016-06-13,51335,51335,49799,50050,81136,-0.028834212977336238
2016-06-14,49799,50542,48412,48811,102581,-0.02475524475524471
2016-06-15,48807,49106,47718,48315,69642,-0.010161643891745675
2016-06-16,48363,48660,44349,45985,207120,-0.04822518886474181
2016-06-17,46579,47124,45588,46977,76010,0.021572251821246002
2016-06-20,46727,47073,45588,45589,65799,-0.02954637375737068
2016-06-21,45340,45786,44398,45788,98469,0.004365088069490541
2016-06-22,45884,47025,45786,46928,84355,0.024897353018258128
2016-06-23,46876,47422,45537,47225,76269,0.006328844186839433
2016-06-24,47569,47767,43060,44550,145684,-0.05664372683959762
2016-06-27,43110,44745,42663,44698,65472,0.003322109988776578
2016-06-28,44200,45537,43952,45244,75533,0.012215311647053584
2016-06-29,45686,47173,45043,46085,87798,0.01858810007956846
2016-06-30,46579,47272,46182,47175,89843,0.023651947488336766
2016-07-01,47422,49204,46727,48811,79462,0.0346793852676206
2016-07-04,49502,49552,47668,48811,87536,0.0
2016-07-05,47867,47967,44547,45441,375168,-0.06904181434512713
2016-07-06,46529,46727,45239,45640,123727,0.0043793050328997385
2016-07-07,46032,46082,44893,44946,99452,-0.015205959684487347
2016-07-08,45191,45191,43901,44104,97082,-0.018733591420816098
2016-07-11,44150,44250,42812,43409,115526,-0.015758207872301866
2016-07-12,43308,44101,42812,42964,79667,-0.010251330369278278
2016-07-13,43159,43704,42168,42865,94429,-0.0023042547248859346
2016-07-14,42614,43704,42516,43360,64936,0.01154788288813724
2016-07-15,43407,43952,42663,43063,86127,-0.006849630996309974
2016-07-18,43060,43754,41822,42616,76428,-0.010380140724055464
2016-07-19,42564,45043,42218,45045,116165,0.05699737187910636
2016-07-20,44893,45836,44101,45739,96927,0.015406815406815433
2016-07-21,45588,45836,44299,44598,48293,-0.024945888628959967
2016-07-22,44547,45141,44250,44648,31276,0.0011211265079151822
2016-07-25,44647,45043,43853,44104,48434,-0.012184196380576995
2016-07-26,44200,44597,43555,43954,22813,-0.003401052058770171
2016-07-27,43952,44001,42465,43261,58353,-0.015766483141466114
2016-07-28,43258,44299,43258,44302,43867,0.02406324403042004
2016-07-29,43952,44597,43407,44598,51966,0.0066814139316508925
2016-08-01,44893,44893,42961,42964,48330,-0.03663841427866721
2016-08-02,43258,44001,42366,42419,52261,-0.012685038636998436
2016-08-03,42316,42961,41822,42517,26207,0.0023102854852778965
2016-08-04,42516,44101,42516,44054,47985,0.03615024578403925
2016-08-05,44101,44250,42415,42666,45215,-0.03150678712489219
2016-08-08,43011,43110,42069,42171,40063,-0.011601743777246543
2016-08-09,42168,42663,42069,42171,29518,0.0
2016-08-10,42168,43159,42069,42616,35858,0.010552275260250044
2016-08-11,42564,43605,42366,42517,31761,-0.0023230711469870435
