Date,Open,High,Low,Close,Volume,Change
1999-07-26,9301,9301,7750,7986,169988,
1999-07-27,8139,8681,8061,8528,160623,0.06786877034810912
1999-07-28,8217,8914,8217,8528,134348,0.0
1999-07-29,8681,9611,8526,8993,219028,0.05452626641651026
1999-07-30,9107,9185,8216,8451,124118,-0.060269098187479164
1999-08-02,8912,9688,8603,9691,159797,0.14672819784640878
1999-08-03,10077,10542,9845,10001,274271,0.031988442885151125
1999-08-04,10000,10077,9456,9613,101950,-0.03879612038796121
1999-08-05,9612,9612,8603,8684,62151,-0.09663996671174446
1999-08-06,8448,8914,8217,8528,89153,-0.017964071856287456
1999-08-09,8489,8798,8449,8567,66293,0.004573170731707377
1999-08-10,8760,8760,8255,8334,58302,-0.027197385315746447
1999-08-11,8333,8527,8061,8295,71106,-0.004679625629949613
1999-08-12,8294,8797,8294,8528,90894,0.028089210367691297
1999-08-13,8604,8681,7906,8062,57619,-0.05464352720450283
1999-08-16,8448,8448,7906,8295,81037,0.0289010171173405
1999-08-17,8371,9224,8217,8374,115244,0.00952380952380949
1999-08-18,8488,8526,7441,7947,58872,-0.05099116312395513
1999-08-19,7983,8370,7789,8062,59077,0.014470869510507134
1999-08-20,8216,8216,7828,8062,49790,0.0
1999-08-23,8217,8333,8100,8295,98192,0.0289010171173405
1999-08-24,8371,8448,8177,8374,95628,0.00952380952380949
1999-08-25,8333,8759,8176,8451,117295,0.009195127776450818
1999-08-26,8371,9108,8294,8722,191005,0.032067210980949
1999-08-27,8915,9069,8295,8567,180696,-0.017771153405182316
1999-08-30,8759,8759,8139,8140,98822,-0.04984241858293448
1999-08-31,7752,8140,7449,7482,206305,-0.08083538083538089
1999-09-01,7518,7713,7363,7388,90327,-0.012563485699011001
1999-09-02,7386,7386,6743,6900,105020,-0.06605305901461833
1999-09-03,6744,6976,6744,6823,51883,-0.01115942028985506
1999-09-06,6751,7208,6751,7055,58901,0.03400263813571747
1999-09-07,7209,7751,7209,7366,88081,0.044082211197732146
1999-09-08,7658,7750,7401,7442,88945,0.010317675807765436
1999-09-09,7517,7517,7208,7248,48253,-0.026068261220102085
1999-09-10,7248,7442,7248,7288,44948,0.0055187637969094094
1999-09-13,7285,7432,7014,7063,46843,-0.030872667398463283
1999-09-14,7269,7286,7076,7094,83647,0.004389069800368128
1999-09-15,7092,7363,7015,7210,49810,0.01635184663095579
1999-09-16,7442,7442,6898,7016,74745,-0.026907073509015222
1999-09-17,7045,7045,6743,6861,51049,-0.0220923603192702
1999-09-20,6882,7247,6875,7055,42096,0.028275761550794254
1999-09-21,7053,7239,7053,7055,62629,0.0
1999-09-22,6976,7130,6751,6783,59376,-0.03855421686746985
1999-09-27,6782,6897,6277,6474,44920,-0.04555506413091548
1999-09-28,6589,6589,6202,6357,56169,-0.01807228915662651
1999-09-29,6588,6588,6069,6087,78433,-0.0424728645587541
1999-09-30,5969,6185,5867,5955,34110,-0.02168555938886152
1999-10-01,5812,5890,5270,5651,52004,-0.05104953820319058
1999-10-04,5276,5726,5276,5427,50983,-0.03963900194655812
1999-10-05,5354,5501,5045,5046,43728,-0.07020453289110007
1999-10-06,5038,5348,4805,5349,70317,0.060047562425683765
1999-10-07,5424,5695,5200,5582,104126,0.04355954383997007
1999-10-08,5657,6082,5462,5961,117636,0.06789681117878898
1999-10-11,5952,6076,5735,5776,78790,-0.031035061231337036
1999-10-12,5587,5890,5587,5838,75358,0.010734072022160701
1999-10-13,5836,6069,5696,5946,73533,0.018499486125385323
1999-10-14,5812,6029,5812,5861,53861,-0.014295324587958236
1999-10-15,5928,5928,5616,5636,74160,-0.03838935335267024
1999-10-18,5424,5634,5355,5466,55171,-0.030163236337828248
1999-10-19,5285,5471,5285,5310,39701,-0.028540065861690445
1999-10-20,5347,5579,5347,5503,57920,0.036346516007532914
1999-10-21,5774,5774,5355,5358,62336,-0.026349264037797582
1999-10-22,5425,5580,5294,5325,27010,-0.006159014557670761
1999-10-25,5386,5386,5160,5194,24401,-0.02460093896713611
1999-10-26,5037,5247,5037,5186,15027,-0.0015402387370042625
1999-10-27,4997,5200,4997,5070,17166,-0.02236791361357504
1999-10-28,5044,5246,5044,5194,19190,0.024457593688362866
1999-10-29,5370,5526,5285,5349,34874,0.029842125529456975
1999-11-01,5618,5790,5386,5776,77449,0.07982800523462319
1999-11-02,5665,5735,5617,5660,46812,-0.020083102493074767
1999-11-03,5659,6202,5588,5931,106729,0.04787985865724376
1999-11-04,5822,6085,5822,5955,50347,0.004046535154274222
1999-11-05,5967,6044,5774,5799,56106,-0.026196473551637234
1999-11-08,5889,6340,5812,5815,114146,0.002759096395930305
1999-11-09,5811,6021,5734,6016,115981,0.034565778159931115
1999-11-10,6082,6889,6052,6706,297185,0.11469414893617014
1999-11-11,6595,6960,6595,6668,128526,-0.005666567253206134
1999-11-12,6976,7130,6704,6977,376548,0.0463407318536293
1999-11-15,6984,8023,6984,8025,388864,0.15020782571305724
1999-11-16,8021,8409,7285,7520,322482,-0.06292834890965737
1999-11-17,7750,7982,6480,7133,293870,-0.05146276595744681
1999-11-18,7363,7907,6682,7210,285026,0.01079489695780178
1999-11-19,7751,7829,6906,6985,202554,-0.03120665742024964
1999-11-22,6681,6891,6510,6659,174667,-0.04667143879742308
1999-11-23,6510,6782,6502,6544,82837,-0.017269860339390264
1999-11-24,6441,6473,6084,6257,95205,-0.04385696821515894
1999-11-25,6201,6511,6162,6280,107552,0.003675883011027725
1999-11-26,6208,6215,5735,5776,58992,-0.08025477707006368
1999-11-29,6084,6084,5465,5489,136996,-0.04968836565096957
1999-11-30,5518,6045,5518,5969,112736,0.08744762251776272
1999-12-01,5997,6160,5695,6047,67193,0.013067515496733018
1999-12-02,5826,6043,5656,5783,68628,-0.04365801223747312
1999-12-03,5619,5969,5619,5737,43222,-0.007954348953830181
