Date,Open,High,Low,Close,Volume,Change
1999-07-26,4209,4331,3924,4008,1145460,
1999-07-27,3976,4551,3976,4448,1619418,0.1097804391217565
1999-07-28,4440,4841,4265,4545,2342647,0.021807553956834536
1999-07-29,4847,4847,4621,4719,1904376,0.03828382838283839
1999-07-30,4712,4835,4589,4654,1799231,-0.01377410468319562
1999-08-02,4653,5099,4556,5016,5974863,0.07778255264288791
1999-08-03,5175,5765,5074,5764,4416037,0.14912280701754388
1999-08-04,5835,6538,5763,6001,7769233,0.04111727966689793
1999-08-05,6323,6604,5798,6044,7899317,0.007165472421263086
1999-08-06,6395,6468,5792,6016,3319719,-0.0046326935804102964
1999-08-09,5893,6216,5612,5757,3180062,-0.043051861702127714
1999-08-10,5757,6001,5634,5750,1343338,-0.0012159110647906868
1999-08-11,5541,5929,5541,5821,1655908,0.012347826086956504
1999-08-12,5763,6317,5735,5965,3075594,0.0247380175227625
1999-08-13,6052,6073,5469,5606,1221407,-0.060184409052808086
1999-08-16,5750,5785,5354,5355,1152990,-0.044773457010346074
1999-08-17,5461,5590,4886,4959,1125079,-0.07394957983193273
1999-08-18,5030,5173,4814,5023,1031129,0.012905827787860424
1999-08-19,5030,5345,4922,5246,1262455,0.044395779414692305
1999-08-20,5317,5461,5245,5390,1046045,0.027449485322150302
1999-08-23,5454,5569,5389,5534,1050720,0.026716141001855265
1999-08-24,5498,5585,5354,5462,1262844,-0.013010480664980117
1999-08-25,5397,5598,5325,5498,1838003,0.00659099231050897
1999-08-26,5605,5749,5505,5570,2047371,0.013095671153146693
1999-08-27,5583,5770,5389,5390,1281030,-0.032315978456014416
1999-08-30,5397,5462,5253,5254,784667,-0.0252319109461967
1999-08-31,5109,5324,5066,5246,860624,-0.0015226494099733756
1999-09-01,5181,5253,4994,5002,854892,-0.046511627906976716
1999-09-02,4887,4923,4686,4744,774537,-0.05157936825269893
1999-09-03,4744,4866,4635,4707,791526,-0.007799325463743623
1999-09-06,4742,5101,4713,5038,1466103,0.07032079881028253
1999-09-07,5101,5619,5066,5246,4206531,0.041286224692338225
1999-09-08,5440,5454,5138,5268,1440556,0.004193671368661889
1999-09-09,5389,5404,5124,5139,836399,-0.024487471526195903
1999-09-10,5068,5354,5068,5232,947144,0.01809690601284286
1999-09-13,5390,5699,5354,5606,3046443,0.07148318042813462
1999-09-14,5605,5741,5461,5555,1400414,-0.009097395647520545
1999-09-15,5462,5534,5297,5355,831266,-0.036003600360036025
1999-09-16,5260,5440,5066,5124,800292,-0.04313725490196074
1999-09-17,5030,5123,4929,5102,775900,-0.004293520686963315
1999-09-20,5138,5245,5102,5139,661609,0.0072520580164641135
1999-09-21,5030,5231,5030,5189,1579866,0.009729519361743488
1999-09-22,5275,5275,5037,5117,933772,-0.013875505877818495
1999-09-27,5016,5031,4815,4844,802102,-0.05335157318741446
1999-09-28,4851,4916,4743,4801,630747,-0.008876961189099863
1999-09-29,4742,4778,4527,4671,1195597,-0.027077692147469246
1999-09-30,4528,4635,4491,4499,810005,-0.03682295011774783
1999-10-01,4457,4528,3953,4312,869655,-0.041564792176039145
1999-10-04,4103,4377,4103,4147,857271,-0.03826530612244894
1999-10-05,4181,4261,3829,3831,948327,-0.07619966240655895
1999-10-06,3808,4074,3780,4053,977810,0.05794831636648401
1999-10-07,4032,4312,3952,4276,945376,0.0550209721194177
1999-10-08,4247,4341,4133,4176,805233,-0.023386342376052416
1999-10-11,4175,4246,3987,4060,634602,-0.02777777777777779
1999-10-12,4096,4233,4096,4212,823710,0.03743842364532024
1999-10-13,4168,4203,4096,4190,592831,-0.005223171889838563
1999-10-14,4169,4341,4111,4255,890916,0.015513126491646823
1999-10-15,4254,4369,4131,4226,1002634,-0.006815511163337229
1999-10-18,4096,4456,4059,4096,2081866,-0.03076194983435876
1999-10-19,4241,4291,3989,4025,841145,-0.017333984375
1999-10-20,4096,4282,4024,4283,1161381,0.06409937888198747
1999-10-21,4168,4282,4096,4096,892155,-0.04366098529068407
1999-10-22,4096,4132,3996,4017,463845,-0.019287109375
1999-10-25,3966,4017,3765,3773,743398,-0.06074184714961417
1999-10-26,3765,3844,3679,3738,563402,-0.00927643784786647
1999-10-27,3772,3823,3686,3694,712062,-0.011771000535045428
1999-10-28,3636,4117,3636,3816,3759923,0.03302652950730911
1999-10-29,3845,3873,3701,3773,1336770,-0.01126834381551367
1999-11-01,3830,3916,3772,3903,1118748,0.03445534057778965
1999-11-02,3816,3931,3809,3910,1205879,0.001793492185498291
1999-11-03,3909,3916,3809,3845,1284021,-0.01662404092071612
1999-11-04,3908,3988,3851,3917,1484651,0.018725617685305673
1999-11-05,4081,4110,3930,4039,1683123,0.031146285422517295
1999-11-08,4095,4131,3966,3974,1242418,-0.016093092349591442
1999-11-09,3973,4052,3924,3974,1095080,0.0
1999-11-10,3973,4003,3822,3831,1499887,-0.03598389531957724
1999-11-11,3845,3937,3758,3773,1749606,-0.015139650221874135
1999-11-12,3773,3845,3450,3590,5473450,-0.048502517890273045
1999-11-15,3521,3585,3377,3485,3035618,-0.029247910863509752
