Date,Open,High,Low,Close,Volume,Change
1999-07-14,1879,1879,1722,1771,30340,
1999-07-15,1775,1816,1775,1819,5517,0.02710333145115751
1999-07-16,1755,1892,1755,1868,5366,0.02693787795492031
1999-07-19,1858,1858,1789,1792,21020,-0.0406852248394004
1999-07-20,1755,1755,1665,1696,28153,-0.0535714285714286
1999-07-21,1721,1824,1693,1701,44421,0.002948113207547065
1999-07-22,1700,1700,1590,1591,13789,-0.06466784244562018
1999-07-23,1617,1680,1583,1585,26991,-0.0037712130735386706
1999-07-26,1445,1479,1445,1447,15687,-0.08706624605678237
1999-07-27,1466,1617,1466,1619,10142,0.11886662059433317
1999-07-28,1617,1617,1617,1619,17551,0.0
1999-07-29,1686,1721,1645,1722,7397,0.0636195182211241
1999-07-30,1734,1790,1617,1689,23090,-0.019163763066202044
1999-08-02,1721,1721,1541,1681,421,-0.004736530491415092
1999-08-03,1858,1858,1755,1757,1743,0.04521118381915534
1999-08-04,1707,1789,1707,1763,21020,0.0034149117814457064
1999-08-05,1728,1789,1728,1792,6529,0.016449234259784395
1999-08-06,1790,1816,1603,1605,17993,-0.1043526785714286
1999-08-09,1617,1713,1617,1619,9566,0.008722741433021763
1999-08-10,1617,1721,1617,1701,8272,0.05064854848672029
1999-08-11,1686,1755,1603,1722,22481,0.012345679012345734
1999-08-12,1775,1852,1775,1846,97804,0.07200929152148672
1999-08-13,1892,1892,1617,1826,41504,-0.010834236186348822
1999-08-16,1824,2017,1755,1997,125525,0.0936473165388827
1999-08-17,1997,2297,1997,2298,185749,0.15072608913370056
1999-08-18,2641,2641,1952,1954,134954,-0.14969538729329857
1999-08-19,1665,2030,1665,1763,50933,-0.0977482088024565
1999-08-20,1762,1968,1721,1722,50507,-0.023255813953488413
1999-08-23,1803,1980,1803,1980,33226,0.14982578397212554
1999-08-24,2275,2275,2275,2277,61230,0.1499999999999999
1999-08-25,2616,2616,2616,2619,37144,0.15019762845849804
1999-08-26,3009,3009,2724,3012,302283,0.15005727376861389
1999-08-27,3458,3458,2569,3431,632828,0.13911022576361232
1999-08-30,2916,3361,2916,2918,439251,-0.14951909064412705
1999-08-31,2892,3341,2631,3232,669978,0.10760795065113093
1999-09-01,3237,3444,2961,2963,958468,-0.08323019801980203
1999-09-02,2823,3327,2790,3101,1976427,0.046574417819777336
1999-09-03,3237,3237,2633,2636,681173,-0.14995162850693322
1999-09-06,2241,2241,2241,2244,13939,-0.14871016691957506
1999-09-07,1906,2025,1906,1909,860668,-0.14928698752228164
1999-09-08,1934,1989,1725,1747,460305,-0.08486118386589836
1999-09-09,1755,1803,1549,1609,346963,-0.07899255867200916
1999-09-10,1651,1651,1561,1600,270938,-0.005593536357986317
1999-09-13,1617,1625,1537,1547,307208,-0.03312499999999996
1999-09-14,1521,1776,1521,1779,358290,0.149967679379444
1999-09-15,1906,2038,1638,1779,613667,0.0
1999-09-16,1721,1721,1582,1600,188648,-0.10061832490163014
1999-09-17,1549,1624,1520,1550,103022,-0.03125
1999-09-20,1514,1617,1514,1529,134390,-0.013548387096774195
1999-09-21,1499,1596,1479,1503,117840,-0.017004578155657257
1999-09-22,1487,1487,1411,1426,118277,-0.05123087159015305
1999-09-27,1424,1424,1315,1319,69802,-0.07503506311360453
1999-09-28,1294,1479,1252,1444,185024,0.09476876421531455
1999-09-29,1514,1514,1324,1365,105639,-0.054709141274238204
1999-09-30,1348,1500,1348,1361,210134,-0.00293040293040292
1999-10-01,1445,1479,1328,1378,354229,0.012490815576781777
1999-10-04,1390,1583,1390,1585,369030,0.1502177068214805
1999-10-05,1617,1776,1344,1378,397753,-0.13059936908517356
1999-10-06,1203,1410,1203,1336,171085,-0.030478955007256947
1999-10-07,1335,1514,1335,1412,316193,0.05688622754491024
1999-10-08,1479,1479,1342,1420,159040,0.0056657223796034994
1999-10-11,1445,1627,1445,1630,591325,0.147887323943662
1999-10-12,1713,1869,1686,1871,630822,0.14785276073619635
1999-10-13,2147,2147,2064,2149,248428,0.148583645109567
1999-10-14,2444,2468,1831,1833,1129409,-0.14704513727315027
1999-10-15,1865,2103,1858,2105,646767,0.14839061647572294
1999-10-18,2368,2416,2271,2419,333324,0.1491686460807602
1999-10-19,2610,2778,2072,2781,1553720,0.1496486151302192
1999-10-20,2498,2822,2362,2481,1100692,-0.10787486515641853
1999-10-21,2720,2813,2498,2625,973418,0.058041112454655375
1999-10-22,2665,2789,2355,2523,749645,-0.03885714285714281
1999-10-25,2341,2519,2144,2147,724535,-0.14902893380895754
1999-10-26,1934,2306,1824,2081,609042,-0.030740568234746135
1999-10-27,2134,2234,1927,1972,297618,-0.05237866410379621
1999-10-28,1762,2059,1762,1800,366275,-0.08722109533468558
1999-10-29,1824,2030,1789,1919,418220,0.06611111111111101
