Date,Open,High,Low,Close,Volume,Change
2002-01-09,16929,17083,15446,15524,683647,
2002-01-10,14795,15404,14452,14839,241710,-0.04412522545735631
2002-01-11,14648,14758,13940,14078,246368,-0.05128377923040639
2002-01-14,14039,15179,13353,14174,507921,0.0068191504475068054
2002-01-15,14435,14624,13732,13888,164438,-0.020177790320304756
2002-01-16,13504,14173,13392,13393,175719,-0.03564228110599077
2002-01-17,13274,13389,12875,13242,105411,-0.011274546404838381
2002-01-18,13429,13429,13009,13032,73885,-0.015858631626642472
2002-01-21,13047,13618,12931,13374,129209,0.026243093922651894
2002-01-22,13314,13468,12992,13128,94444,-0.018393898609241788
2002-01-23,13313,13313,12931,12937,82029,-0.014549055453991433
2002-01-24,13274,13883,12892,13242,177260,0.023575790368709937
2002-01-25,13657,13696,13198,13336,79100,0.0070986255852589775
2002-01-28,15062,15328,13600,15334,467379,0.14982003599280147
2002-01-29,15137,15137,14185,14230,181471,-0.07199686970131736
2002-01-30,13885,14018,13238,13356,142507,-0.061419536191145485
2002-01-31,13085,13617,13085,13451,89045,0.007112908056304379
2002-02-01,13504,13868,13316,13393,67406,-0.00431194706713256
2002-02-04,13235,13788,13235,13546,89183,0.01142387814529977
2002-02-05,13733,13733,13179,13279,48647,-0.019710615679905508
2002-02-06,13275,13313,13030,13032,63495,-0.018600798252880524
2002-02-07,13124,13234,12665,12671,65213,-0.027701043585021456
2002-02-08,12665,12931,12648,12937,58335,0.020992818246389433
2002-02-14,12741,13085,12647,12671,80848,-0.020561181108448623
2002-02-15,12688,12932,12477,12557,52328,-0.00899692210559544
2002-02-18,12554,12666,12268,12290,65973,-0.021263040535159705
2002-02-19,12286,12437,11678,11796,102396,-0.04019528071602929
2002-02-20,11982,12015,11485,11663,93708,-0.01127500847745
2002-02-21,11523,11978,11523,11833,68814,0.01457600960301808
2002-02-22,11603,11791,11526,11719,48425,-0.009634074199273202
2002-02-25,11714,12820,11714,12290,154348,0.048724293881730496
2002-02-26,12289,12456,12018,12252,59330,-0.0030919446704638087
2002-02-27,12359,12951,12171,12747,137947,0.04040156709108711
2002-02-28,12860,13885,12860,13393,223463,0.05067859104102923
2002-03-04,13388,13692,13006,13660,137285,0.01993578735160151
2002-03-05,13697,14285,13088,13089,270182,-0.04180087847730596
2002-03-06,13086,13407,12931,12975,60373,-0.008709603483841422
2002-03-07,12744,13258,12744,12861,67120,-0.008786127167630053
2002-03-08,12876,13086,12627,12633,61068,-0.017728014928854674
2002-03-11,12626,12875,12172,12328,197038,-0.024143117232644618
2002-03-12,12556,13048,12401,13051,154402,0.05864698247890976
2002-03-13,13163,13236,12554,12633,204950,-0.03202819707302118
2002-03-14,12361,12726,12361,12633,121896,0.0
2002-03-15,12649,14266,12555,13698,283352,0.0843030159107101
2002-03-18,13733,14984,13733,14668,426469,0.07081325740984079
2002-03-19,15179,15218,14342,14554,238728,-0.007772020725388629
2002-03-20,14589,15064,14268,14268,161726,-0.01965095506389991
2002-03-21,13883,14835,13733,13774,304817,-0.03462293243622094
2002-03-22,13773,14112,13696,14002,139493,0.016552925802236107
2002-03-25,13770,14645,13770,14193,218625,0.013640908441651112
2002-03-26,14189,14266,13580,13698,136412,-0.03487634749524415
2002-03-27,13774,13846,13618,13698,157801,0.0
2002-03-28,14038,15749,13939,15467,599833,0.12914294057526643
2002-03-29,15865,16547,15025,15600,459625,0.008598952608779964
2002-04-01,15788,15938,14149,14821,294359,-0.049935897435897436
2002-04-02,14759,15788,14665,15258,320221,0.029485189933202927
2002-04-03,14858,15330,14531,14650,197790,-0.03984794861711893
2002-04-04,14835,14873,14247,14497,146287,-0.010443686006825992
2002-04-08,14358,14873,14341,14668,146204,0.011795543905635641
2002-04-09,14491,14646,14303,14497,113484,-0.011658031088082943
2002-04-10,14546,15099,13007,13184,399275,-0.09057046285438364
2002-04-11,13312,13882,13294,13622,133367,0.03322208737864085
2002-04-12,13311,13427,13123,13318,114449,-0.022316840405226857
2002-04-15,12743,13468,12743,13128,136732,-0.01426640636732246
2002-04-16,12932,13353,12895,13356,192224,0.017367458866544894
2002-04-17,13469,13847,13199,13736,247313,0.02845163222521707
2002-04-18,13770,14186,13504,14193,167440,0.033270238788584816
2002-04-19,14151,14417,13885,13965,110247,-0.016064257028112428
2002-04-22,13636,13829,13048,13698,100094,-0.01911922663802368
2002-04-23,13805,13805,13235,13242,75486,-0.0332895313184407
2002-04-24,13770,14263,13500,13584,419465,0.02582691436338913
2002-04-25,14074,14147,12590,13318,310981,-0.019581861012956447
2002-04-26,13085,13998,13028,13888,186264,0.04279921910196727
2002-04-29,13351,13711,12741,13242,121177,-0.046514976958525356
2002-04-30,12588,13235,12588,13146,121105,-0.0072496601721794285
2002-05-02,13049,13392,12993,13393,161693,0.018788985242659262
2002-05-03,13124,13312,12969,12975,57787,-0.03121033375643989
2002-05-06,12666,13237,12666,12823,75293,-0.011714836223506775
2002-05-07,12626,12931,12593,12937,69499,0.008890275286594473
2002-05-08,12821,13104,12782,12785,66952,-0.011749246347684927
2002-05-09,12860,13165,12860,13051,117714,0.02080563159953064
2002-05-10,12930,12930,12741,12842,60795,-0.01601409853651059
