Date,Open,High,Low,Close,Volume,Change
1999-07-26,31992,32219,28203,29143,119986,
1999-07-27,28203,29467,27038,28981,78475,-0.005558796280410339
1999-07-28,29466,30275,28332,28495,76422,-0.01676960767399327
1999-07-29,27879,29919,27879,28851,83351,0.012493419898227831
1999-07-30,29499,33029,29499,33029,294757,0.14481300474853565
1999-08-02,35295,37886,34000,37886,391148,0.14705259014805172
1999-08-03,38857,40152,35133,36267,215276,-0.04273346354854035
1999-08-04,37238,40152,35295,36267,228135,0.0
1999-08-05,35619,36267,30923,30924,127058,-0.14732401356605174
1999-08-06,31409,32866,30438,32219,133635,0.04187685939723185
1999-08-09,31442,33352,30762,31410,100784,-0.025109407492473368
1999-08-10,31474,32154,29822,30114,70271,-0.04126074498567334
1999-08-11,29822,31247,29791,30082,69056,-0.0010626286776914684
1999-08-12,30178,30762,29207,29564,46685,-0.017219599760654236
1999-08-13,29466,29563,27426,28495,55414,-0.03615884183466378
1999-08-16,27848,28787,27199,27362,43368,-0.03976136164239341
1999-08-17,27200,28009,24512,24610,80073,-0.10057744316935902
1999-08-18,23961,24609,21695,22667,64485,-0.07895164567249091
1999-08-19,23314,26066,23054,25581,104899,0.12855693298627968
1999-08-20,25581,26487,24997,25484,86559,-0.0037918767835503076
1999-08-23,25256,26875,25256,26228,77181,0.029194788887144885
1999-08-24,27199,27685,26551,26714,54554,0.018529815464389143
1999-08-25,26875,27490,25903,26714,48450,0.0
1999-08-26,27037,27846,26228,26228,49594,-0.018192707943400444
1999-08-27,25904,26553,24965,25419,42861,-0.0308448985816685
1999-08-30,25742,26228,24803,25127,33996,-0.011487470002753852
1999-08-31,24383,25095,24285,24383,27472,-0.029609583316750898
1999-09-01,24382,24544,22989,23022,42276,-0.055817577820612696
1999-09-02,22180,24253,22180,23314,33320,0.012683520111197888
1999-09-03,23022,23961,22439,22990,31581,-0.013897229132709965
1999-09-06,22861,24091,22861,23833,37663,0.03666811657242275
1999-09-07,24285,24382,23313,23638,20772,-0.008181932614442111
1999-09-08,23637,24447,23248,23346,36847,-0.012352990946780662
1999-09-09,23346,23638,22989,23152,23420,-0.008309774693737726
1999-09-10,23151,23767,23151,23411,27428,0.011186938493434662
1999-09-13,23411,24933,22990,24610,84590,0.05121524069881689
1999-09-14,24739,24836,23638,23703,41518,-0.036854937017472555
1999-09-15,23800,24901,23541,24124,57353,0.01776146479348606
1999-09-16,23638,26163,23638,24804,112695,0.0281876968993533
1999-09-17,24804,25095,23670,23833,37362,-0.039146911788421224
1999-09-20,24123,25872,23832,24836,60777,0.04208450467838709
1999-09-21,25580,25580,24382,24739,46552,-0.003905620872926452
1999-09-22,24738,25872,24317,25127,83833,0.015683738227090904
1999-09-27,25484,25872,24026,24059,30882,-0.04250407927727151
1999-09-28,24285,24868,23346,23735,29728,-0.013466893885863973
1999-09-29,23736,23736,22375,22505,30635,-0.05182220349694544
1999-09-30,22505,22667,21565,21728,31268,-0.034525660964230154
1999-10-01,21728,22018,19428,21728,36821,0.0
1999-10-04,21727,22018,20432,20432,28494,-0.05964653902798234
1999-10-05,20724,21047,18651,18651,28879,-0.08716718872357088
1999-10-06,18780,19590,17874,19590,47940,0.05034582596107451
1999-10-07,19752,20853,19104,20821,48735,0.06283818274629915
1999-10-08,21143,21403,20075,20367,36080,-0.021804908505835496
1999-10-11,20367,20723,19752,20108,23740,-0.012716649482005238
1999-10-12,19784,22180,19655,21371,73028,0.06281082156355677
1999-10-13,21014,21371,20399,20724,33093,-0.03027467128351502
1999-10-14,20724,21209,20400,20789,33542,0.0031364601428296446
1999-10-15,20788,21695,20399,21209,49363,0.02020299196690556
1999-10-18,21014,21014,19752,19752,35531,-0.06869725116695746
1999-10-19,20075,20399,19071,19104,38708,-0.03280680437424055
1999-10-20,19914,20237,19428,19493,34883,0.020362227805695188
1999-10-21,19590,19882,18781,18781,31148,-0.03652593238598467
1999-10-22,19104,19460,18457,18846,27402,0.0034609445716415888
1999-10-25,17873,19103,17776,17809,32703,-0.05502493897909366
1999-10-26,16546,17809,16546,17647,41310,-0.009096524229322278
1999-10-27,17615,17647,16935,16968,25195,-0.03847679492264977
1999-10-28,17032,18326,16675,18036,60929,0.06294200848656284
1999-10-29,18619,18684,18036,18360,34710,0.017964071856287456
1999-11-01,18715,19687,18359,19590,55988,0.06699346405228757
1999-11-02,19914,21630,19590,21112,95617,0.07769270035732512
1999-11-03,21371,21371,19947,20724,68702,-0.01837817355058735
1999-11-04,20918,21209,20399,21047,43327,0.015585794248214713
1999-11-05,20724,22018,20399,21339,84475,0.013873711217750717
1999-11-08,21371,23249,21371,22181,85347,0.03945826889732418
1999-11-09,22180,22731,21208,22083,65686,-0.004418195753122078
1999-11-10,22180,24123,21403,22829,110460,0.033781641987048916
1999-11-11,23637,26228,22828,26228,221661,0.14888957028341143
1999-11-12,27847,29791,24318,24610,217987,-0.06168979716333689
1999-11-15,24965,25646,23444,24610,76283,0.0
1999-11-16,24609,25192,23800,24156,63593,-0.01844778545306791
1999-11-17,23961,27005,23476,24286,128496,0.005381685709554551
1999-11-18,25256,25580,22375,22990,53763,-0.05336407806966981
1999-11-19,22667,23800,22667,22732,52267,-0.011222270552414093
1999-11-22,22407,23120,21857,22019,39663,-0.03136547598099593
1999-11-23,21533,22180,21079,21371,34111,-0.029429129388255593
1999-11-24,21371,22310,20756,21112,29835,-0.012119226989846021
1999-11-25,20755,22666,20755,21792,59037,0.032209170140204524
1999-11-26,22018,22440,19427,19590,41108,-0.10104625550660795
1999-11-29,18942,19914,18359,19590,29446,0.0
1999-11-30,19427,20464,19136,19914,39762,0.016539050535987698
1999-12-01,20075,20399,18780,18943,24376,-0.04875966656623476
1999-12-02,18457,19266,17874,18069,34178,-0.04613841524573725
1999-12-03,18164,18780,18132,18489,25374,0.02324423044994184
1999-12-06,18488,18683,17874,17874,24353,-0.033263021255881875
