Date,Open,High,Low,Close,Adj Close,Volume
2010-07-22,10.25,10.9,10.15,10.17,10.17,3434000
2010-07-23,10.3,10.35,10.0,10.06,10.06,845600
2010-07-26,10.04,10.07,9.34,9.93,9.93,399000
2010-07-27,9.88,10.1,9.56,10.0,10.0,375200
2010-07-28,10.06,10.08,9.8,10.0,10.0,269900
2010-07-29,10.0,10.16,9.99,10.15,10.15,166700
2010-07-30,10.16,10.16,9.95,10.0,10.0,76800
2010-08-02,10.0,10.15,10.0,10.13,10.13,73300
2010-08-03,10.01,10.07,10.0,10.0,10.0,79900
2010-08-04,9.95,10.07,9.9,10.07,10.07,138100
2010-08-05,10.0,10.05,10.0,10.0,10.0,103900
2010-08-06,10.0,10.03,9.95,10.0,10.0,119300
2010-08-09,10.0,10.05,9.9,10.0,10.0,55900
2010-08-10,10.0,10.1,10.0,10.0,10.0,137100
2010-08-11,10.03,10.1,10.0,10.09,10.09,47200
2010-08-12,10.1,10.25,10.05,10.11,10.11,74100
2010-08-13,10.04,10.05,10.0,10.0,10.0,18900
2010-08-16,10.02,10.1,10.0,10.03,10.03,22500
2010-08-17,10.0,10.1,10.0,10.05,10.05,42400
2010-08-18,9.95,10.1,9.95,10.05,10.05,37500
2010-08-19,10.0,10.15,9.99,10.1,10.1,153500
2010-08-20,10.15,11.74,10.08,11.23,11.23,415600
2010-08-23,11.58,12.33,11.34,11.5,11.5,370200
2010-08-24,11.5,12.0,11.0,11.59,11.59,112100
2010-08-25,11.48,11.67,11.17,11.55,11.55,64200
2010-08-26,11.38,11.55,10.64,10.95,10.95,143200
2010-08-27,10.8,11.31,10.8,11.25,11.25,51900
2010-08-30,11.25,11.96,11.24,11.44,11.44,129600
2010-08-31,11.57,12.39,11.4,12.18,12.18,497800
2010-09-01,12.44,12.45,11.79,11.87,11.87,157200
2010-09-02,11.95,12.45,11.55,12.25,12.25,103400
2010-09-03,12.25,13.18,12.1,12.94,12.94,242200
2010-09-07,12.85,12.88,12.6,12.71,12.71,64100
2010-09-08,12.8,13.19,12.53,12.8,12.8,97700
2010-09-09,12.87,13.27,12.6,13.05,13.05,122200
2010-09-10,13.2,13.39,12.91,13.13,13.13,137300
2010-09-13,13.4,14.1,13.17,14.0,14.0,112500
2010-09-14,14.17,14.17,13.64,13.74,13.74,157000
2010-09-15,13.77,13.88,13.35,13.65,13.65,83200
2010-09-16,13.5,13.83,12.55,13.15,13.15,229400
2010-09-17,13.15,13.21,12.69,13.0,13.0,60500
