Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,0.0,9.8125,9.6875,9.75,1.630657,3200
1980-01-03,0.0,9.75,9.5625,9.6875,1.620203,11400
1980-01-04,0.0,9.6875,9.625,9.625,1.60975,8000
1980-01-07,0.0,9.875,9.5625,9.8125,1.64111,7800
1980-01-08,0.0,9.875,9.75,9.75,1.630657,4400
1980-01-09,0.0,9.9375,9.8125,9.9375,1.662015,8000
1980-01-10,0.0,9.9375,9.8125,9.9375,1.662015,4200
1980-01-11,0.0,9.875,9.8125,9.875,1.651563,4400
1980-01-14,0.0,10.0,9.875,9.9375,1.662015,2200
1980-01-15,0.0,10.0625,9.9375,9.9375,1.662015,3000
1980-01-16,0.0,10.125,9.9375,10.0625,1.682921,5200
1980-01-17,0.0,10.125,10.0,10.125,1.693374,6200
1980-01-18,0.0,10.3125,10.125,10.1875,1.703827,8600
1980-01-21,0.0,10.125,10.0625,10.125,1.693374,4000
1980-01-22,0.0,10.25,9.875,10.0,1.672467,11200
1980-01-23,0.0,10.0,9.8125,9.8125,1.64111,3800
1980-01-24,0.0,9.875,9.625,9.75,1.630657,8600
1980-01-25,0.0,9.75,9.625,9.6875,1.620203,4000
1980-01-28,0.0,9.75,9.5625,9.625,1.60975,11000
1980-01-29,0.0,9.5,9.3125,9.4375,1.578392,9400
1980-01-30,0.0,9.5,9.25,9.5,1.588844,11600
1980-01-31,0.0,9.5,9.3125,9.4375,1.578392,7400
1980-02-01,0.0,9.4375,9.3125,9.3125,1.557487,6800
1980-02-04,0.0,9.8125,9.3125,9.6875,1.620203,18000
1980-02-05,0.0,9.6875,9.5,9.6875,1.620203,4800
1980-02-06,0.0,9.875,9.3125,9.875,1.651563,5000
1980-02-07,0.0,10.0,9.875,10.0,1.672467,7400
1980-02-08,0.0,10.3125,9.9375,10.3125,1.724733,30400
1980-02-11,0.0,10.0625,9.875,9.875,1.651563,6600
1980-02-12,0.0,10.0,9.9375,9.9375,1.662015,5000
1980-02-13,0.0,10.0,9.875,9.875,1.651563,3000
1980-02-14,0.0,9.9375,9.8125,9.8125,1.64111,2400
1980-02-15,0.0,9.9375,9.8125,9.8125,1.64111,4200
1980-02-19,0.0,9.875,9.6875,9.6875,1.620203,8600
1980-02-20,0.0,9.6875,9.5625,9.5625,1.599297,4200
1980-02-21,0.0,9.625,9.25,9.25,1.547032,6800
1980-02-22,0.0,9.4375,9.0625,9.0625,1.515674,8800
1980-02-25,0.0,9.1875,9.0,9.0,1.505221,5800
1980-02-26,0.0,9.0625,9.0,9.0,1.505221,3200
1980-02-27,0.0,9.125,9.0,9.0625,1.515674,6600
1980-02-28,0.0,9.125,9.0,9.0625,1.515674,7400
1980-02-29,0.0,9.1875,9.0,9.125,1.526127,6600
1980-03-03,0.0,9.1875,9.0625,9.0625,1.515674,4600
1980-03-04,0.0,9.1875,8.875,8.9375,1.494768,9800
1980-03-05,0.0,8.8125,8.5,8.5,1.421598,15400
