Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,2.666667,2.604167,2.666667,0.899344,9000
1980-03-18,0.0,2.729167,2.666667,2.729167,0.920422,8400
1980-03-19,0.0,2.833333,2.75,2.833333,0.955553,11400
1980-03-20,0.0,2.875,2.833333,2.833333,0.955553,6600
1980-03-21,0.0,2.958333,2.875,2.958333,0.997708,33000
1980-03-24,0.0,2.979167,2.875,2.875,0.969605,13800
1980-03-25,0.0,2.916667,2.875,2.875,0.969605,9600
1980-03-26,0.0,2.833333,2.833333,2.833333,0.955553,3000
1980-03-27,0.0,2.791667,2.645833,2.645833,0.892317,12000
1980-03-28,0.0,2.6875,2.645833,2.645833,0.892317,5400
1980-03-31,0.0,2.708333,2.625,2.625,0.885292,7200
1980-04-01,0.0,2.6875,2.625,2.645833,0.892317,6600
1980-04-02,0.0,2.666667,2.625,2.666667,0.899344,1800
1980-04-03,0.0,2.708333,2.645833,2.645833,0.892317,3600
1980-04-07,0.0,2.604167,2.583333,2.583333,0.871239,13200
1980-04-08,0.0,2.5625,2.541667,2.541667,0.857187,1800
1980-04-09,0.0,2.5625,2.520833,2.5625,0.864213,7800
1980-04-10,0.0,2.541667,2.541667,2.541667,0.857187,1200
1980-04-11,0.0,2.645833,2.541667,2.645833,0.892317,10800
1980-04-14,0.0,2.6875,2.645833,2.645833,0.892317,4200
1980-04-15,0.0,2.645833,2.625,2.625,0.885292,1200
1980-04-16,0.0,2.625,2.625,2.625,0.885292,1200
1980-04-17,0.0,2.583333,2.541667,2.541667,0.857187,4200
1980-04-18,0.0,2.541667,2.541667,2.541667,0.857187,600
1980-04-21,0.0,2.583333,2.520833,2.520833,0.85016,10200
1980-04-22,0.0,2.5625,2.520833,2.5625,0.864213,4800
1980-04-23,0.0,2.625,2.604167,2.625,0.885292,2400
1980-04-24,0.0,2.604167,2.5625,2.604167,0.878265,6000
1980-04-25,0.0,2.604167,2.5625,2.5625,0.864213,3600
1980-04-28,0.0,2.625,2.604167,2.625,0.885292,3000
1980-04-29,0.0,2.645833,2.541667,2.541667,0.857187,39600
1980-04-30,0.0,2.666667,2.583333,2.666667,0.899344,19800
1980-05-01,2.666667,2.666667,2.666667,2.666667,0.899344,0
1980-05-02,0.0,2.645833,2.604167,2.645833,0.892317,2400
1980-05-05,0.0,2.604167,2.583333,2.583333,0.871239,9000
1980-05-06,0.0,2.625,2.5625,2.604167,0.878265,7800
1980-05-07,0.0,2.625,2.583333,2.583333,0.871239,10800
1980-05-08,0.0,2.625,2.5625,2.583333,0.871239,9000
1980-05-09,0.0,2.583333,2.583333,2.583333,0.871239,7200
1980-05-12,0.0,2.583333,2.5625,2.5625,0.864213,10800
1980-05-13,0.0,2.604167,2.583333,2.583333,0.871239,3600
1980-05-14,0.0,2.604167,2.583333,2.583333,0.871239,12600
1980-05-15,0.0,2.604167,2.604167,2.604167,0.878265,600
1980-05-16,0.0,2.604167,2.583333,2.604167,0.878265,12000
1980-05-19,0.0,2.604167,2.520833,2.583333,0.871239,232800
1980-05-20,0.0,2.583333,2.520833,2.583333,0.871239,13800
1980-05-21,0.0,2.604167,2.583333,2.583333,0.871239,6600
1980-05-22,0.0,2.604167,2.583333,2.583333,0.871239,5400
1980-05-23,0.0,2.604167,2.583333,2.583333,0.871239,15000
1980-05-27,0.0,2.625,2.583333,2.583333,0.871239,16800
1980-05-28,0.0,2.604167,2.583333,2.583333,0.871239,7800
1980-05-29,0.0,2.583333,2.5625,2.5625,0.864213,4800
1980-05-30,0.0,2.583333,2.541667,2.5625,0.864213,4200
1980-06-02,0.0,2.5625,2.5625,2.5625,0.864213,1200
1980-06-03,0.0,2.583333,2.520833,2.520833,0.85016,10200
1980-06-04,0.0,2.541667,2.479167,2.541667,0.857187,22800
1980-06-05,0.0,2.541667,2.520833,2.541667,0.857187,9600
1980-06-06,0.0,2.5625,2.5,2.5625,0.864213,31800
1980-06-09,0.0,2.583333,2.520833,2.5625,0.864213,34800
1980-06-10,0.0,2.791667,2.666667,2.791667,0.9415,46200
1980-06-11,0.0,2.916667,2.8125,2.833333,0.955553,41400
1980-06-12,0.0,2.833333,2.75,2.75,0.927448,34200
1980-06-13,0.0,2.791667,2.708333,2.708333,0.913397,1800
1980-06-16,0.0,2.75,2.708333,2.75,0.927448,8400
1980-06-17,0.0,2.791667,2.729167,2.791667,0.9415,6600
1980-06-18,0.0,2.8125,2.729167,2.75,0.927448,18600
1980-06-19,0.0,2.75,2.708333,2.708333,0.913397,6600
1980-06-20,0.0,2.708333,2.666667,2.666667,0.899344,2400
1980-06-23,0.0,2.6875,2.645833,2.666667,0.899344,6600
1980-06-24,0.0,2.708333,2.666667,2.666667,0.899344,49800
1980-06-25,0.0,2.729167,2.6875,2.729167,0.920422,2400
1980-06-26,0.0,2.6875,2.666667,2.666667,0.899344,4200
1980-06-27,0.0,2.645833,2.604167,2.625,0.885292,10200
1980-06-30,0.0,2.583333,2.520833,2.5625,0.864213,23400
1980-07-01,0.0,2.645833,2.604167,2.645833,0.892317,9600
1980-07-02,0.0,2.666667,2.666667,2.666667,0.899344,7800
1980-07-03,0.0,2.666667,2.625,2.666667,0.899344,5400
1980-07-07,0.0,2.708333,2.645833,2.666667,0.899344,6600
1980-07-08,0.0,2.708333,2.666667,2.708333,0.913397,5400
1980-07-09,0.0,2.729167,2.6875,2.708333,0.913397,11400
1980-07-10,0.0,2.6875,2.6875,2.6875,0.90637,3000
1980-07-11,0.0,2.75,2.666667,2.75,0.927448,21000
1980-07-14,0.0,2.895833,2.791667,2.895833,0.976631,36600
1980-07-15,0.0,3.020833,2.895833,2.979167,1.004736,39000
1980-07-16,0.0,3.020833,2.9375,3.020833,1.018788,28200
1980-07-17,0.0,3.0625,3.020833,3.0625,1.032841,11400
1980-07-18,0.0,3.125,3.0625,3.125,1.053919,19200
1980-07-21,0.0,3.125,3.083333,3.083333,1.039867,54000
1980-07-22,0.0,3.104167,3.0625,3.083333,1.039867,9000
1980-07-23,0.0,3.125,3.083333,3.104167,1.046892,23400
1980-07-24,0.0,3.104167,3.083333,3.083333,1.039867,15000
1980-07-25,0.0,3.125,3.083333,3.125,1.053919,22200
1980-07-28,0.0,3.166667,3.104167,3.166667,1.067971,9600
1980-07-29,0.0,3.125,3.125,3.125,1.053919,3000
1980-07-30,0.0,3.1875,3.125,3.1875,1.074998,7800
1980-07-31,0.0,3.1875,3.166667,3.166667,1.067971,1800
1980-08-01,0.0,3.270833,3.1875,3.270833,1.103101,15600
1980-08-04,0.0,3.270833,3.229167,3.25,1.096076,3600
1980-08-05,0.0,3.3125,3.25,3.3125,1.117153,7800
1980-08-06,0.0,3.270833,3.229167,3.270833,1.103101,4800
1980-08-07,0.0,3.291667,3.25,3.25,1.096076,10200
1980-08-08,0.0,3.3125,3.270833,3.270833,1.103101,6600
1980-08-11,0.0,3.3125,3.270833,3.3125,1.117153,7200
1980-08-12,0.0,3.333333,3.291667,3.291667,1.110127,28800
1980-08-13,0.0,3.333333,3.25,3.333333,1.12418,39600
1980-08-14,0.0,3.395833,3.3125,3.395833,1.145258,15000
1980-08-15,0.0,3.416667,3.354167,3.395833,1.145258,7200
1980-08-18,0.0,3.458333,3.395833,3.416667,1.152284,30600
