Date,Open,High,Low,Close,Adj Close,Volume
1989-07-13,0.0,3.375,3.375,3.375,1.317136,5000
1989-07-14,0.0,3.375,3.375,3.375,1.317136,17500
1989-07-17,3.375,3.375,3.375,3.375,1.317136,0
1989-07-18,0.0,3.4,3.4,3.4,1.326893,500
1989-07-19,3.4,3.4,3.4,3.4,1.326893,0
1989-07-20,3.4,3.4,3.4,3.4,1.326893,0
1989-07-21,0.0,3.45,3.45,3.45,1.346405,1500
1989-07-24,3.45,3.45,3.45,3.45,1.346405,0
1989-07-25,3.45,3.45,3.45,3.45,1.346405,0
1989-07-26,3.45,3.45,3.45,3.45,1.346405,0
1989-07-27,3.45,3.45,3.45,3.45,1.346405,0
1989-07-28,3.45,3.45,3.45,3.45,1.346405,0
1989-07-31,3.45,3.45,3.45,3.45,1.346405,0
1989-08-01,3.45,3.45,3.45,3.45,1.346405,0
1989-08-02,3.45,3.45,3.45,3.45,1.346405,0
1989-08-03,3.45,3.45,3.45,3.45,1.346405,0
1989-08-04,3.45,3.45,3.45,3.45,1.346405,0
1989-08-07,0.0,3.6,3.6,3.6,1.404945,2500
1989-08-08,3.6,3.6,3.6,3.6,1.404945,0
1989-08-09,3.6,3.6,3.6,3.6,1.404945,0
1989-08-10,0.0,3.6,3.6,3.6,1.404945,5000
1989-08-11,0.0,3.6,3.6,3.6,1.404945,7500
1989-08-14,0.0,3.6,3.55,3.55,1.385432,3500
1989-08-15,0.0,3.525,3.525,3.525,1.375675,3000
1989-08-16,0.0,3.6,3.6,3.6,1.404945,5000
1989-08-17,0.0,3.5,3.5,3.5,1.365919,1000
1989-08-18,3.5,3.5,3.5,3.5,1.365919,0
1989-08-21,3.5,3.5,3.5,3.5,1.365919,0
1989-08-22,0.0,3.45,3.45,3.45,1.346405,2500
1989-08-23,0.0,3.4,3.4,3.4,1.326893,3500
1989-08-24,0.0,3.35,3.35,3.35,1.30738,5000
1989-08-25,0.0,3.375,3.375,3.375,1.317136,4000
1989-08-28,0.0,3.425,3.425,3.425,1.336649,3000
1989-08-29,3.425,3.425,3.425,3.425,1.336649,0
1989-08-30,3.425,3.425,3.425,3.425,1.336649,0
1989-08-31,0.0,3.375,3.375,3.375,1.317136,5000
1989-09-01,3.375,3.375,3.375,3.375,1.317136,0
1989-09-05,3.375,3.375,3.375,3.375,1.317136,0
1989-09-06,3.375,3.375,3.375,3.375,1.317136,0
1989-09-07,3.375,3.375,3.375,3.375,1.317136,0
1989-09-08,3.375,3.375,3.375,3.375,1.317136,0
1989-09-11,3.375,3.375,3.375,3.375,1.317136,0
1989-09-12,3.375,3.375,3.375,3.375,1.317136,0
1989-09-13,3.375,3.375,3.375,3.375,1.317136,0
1989-09-14,3.375,3.375,3.375,3.375,1.317136,0
1989-09-15,3.375,3.375,3.375,3.375,1.317136,0
1989-09-18,3.375,3.375,3.375,3.375,1.317136,0
1989-09-19,3.375,3.375,3.375,3.375,1.317136,0
1989-09-20,3.375,3.375,3.375,3.375,1.317136,0
1989-09-21,0.0,3.275,3.25,3.25,1.268353,9000
1989-09-22,3.25,3.25,3.25,3.25,1.278027,0
1989-09-25,0.0,3.4,3.4,3.4,1.337013,500
1989-09-26,3.4,3.4,3.4,3.4,1.337013,0
1989-09-27,3.4,3.4,3.4,3.4,1.337013,0
1989-09-28,3.4,3.4,3.4,3.4,1.337013,0
1989-09-29,3.4,3.4,3.4,3.4,1.337013,0
1989-10-02,3.4,3.4,3.4,3.4,1.337013,0
1989-10-03,3.4,3.4,3.4,3.4,1.337013,0
1989-10-04,3.4,3.4,3.4,3.4,1.337013,0
1989-10-05,3.4,3.4,3.4,3.4,1.337013,0
1989-10-06,3.4,3.4,3.4,3.4,1.337013,0
1989-10-09,3.4,3.4,3.4,3.4,1.337013,0
1989-10-10,3.4,3.4,3.4,3.4,1.337013,0
1989-10-11,3.4,3.4,3.4,3.4,1.337013,0
1989-10-12,3.4,3.4,3.4,3.4,1.337013,0
1989-10-13,3.4,3.4,3.4,3.4,1.337013,0
1989-10-16,0.0,3.375,3.375,3.375,1.327181,500
1989-10-17,3.375,3.375,3.375,3.375,1.327181,0
1989-10-18,3.375,3.375,3.375,3.375,1.327181,0
1989-10-19,3.375,3.375,3.375,3.375,1.327181,0
1989-10-20,3.375,3.375,3.375,3.375,1.327181,0
1989-10-23,3.375,3.375,3.375,3.375,1.327181,0
1989-10-24,3.375,3.375,3.375,3.375,1.327181,0
1989-10-25,3.375,3.375,3.375,3.375,1.327181,0
1989-10-26,0.0,3.5,3.5,3.5,1.376336,2500
1989-10-27,3.5,3.5,3.5,3.5,1.376336,0
1989-10-30,3.5,3.5,3.5,3.5,1.376336,0
1989-10-31,3.5,3.5,3.5,3.5,1.376336,0
1989-11-01,3.5,3.5,3.5,3.5,1.376336,0
1989-11-02,3.5,3.5,3.5,3.5,1.376336,0
1989-11-03,3.5,3.5,3.5,3.5,1.376336,0
1989-11-06,3.5,3.5,3.5,3.5,1.376336,0
1989-11-07,3.5,3.5,3.5,3.5,1.376336,0
1989-11-08,3.5,3.5,3.5,3.5,1.376336,0
1989-11-09,3.5,3.5,3.5,3.5,1.376336,0
1989-11-10,3.5,3.5,3.5,3.5,1.376336,0
1989-11-13,3.5,3.5,3.5,3.5,1.376336,0
1989-11-14,3.5,3.5,3.5,3.5,1.376336,0
1989-11-15,3.5,3.5,3.5,3.5,1.376336,0
1989-11-16,3.5,3.5,3.5,3.5,1.376336,0
1989-11-17,3.5,3.5,3.5,3.5,1.376336,0
1989-11-20,3.5,3.5,3.5,3.5,1.376336,0
1989-11-21,3.5,3.5,3.5,3.5,1.376336,0
1989-11-22,0.0,3.525,3.525,3.525,1.386168,500
1989-11-24,3.525,3.525,3.525,3.525,1.386168,0
