Date,Open,High,Low,Close,Adj Close,Volume
2015-06-19,21.0,22.25,20.5,20.851,15.691993,2636100
2015-06-22,21.25,21.799999,20.030001,20.030001,15.074125,821900
2015-06-23,19.67,20.0,17.731001,17.844999,13.429744,1500100
2015-06-24,17.5,17.5,16.549999,16.9,12.718558,1171400
2015-06-25,16.799999,16.959999,14.663,14.99,11.281136,2191400
2015-06-26,14.99,15.74,14.8,14.98,11.273608,1242300
2015-06-29,14.97,15.85,14.97,15.5,11.664949,1464600
2015-06-30,15.94,16.059999,15.31,16.0,12.041238,28855200
2015-07-01,16.0,16.68,14.6,16.51,12.425054,11615400
2015-07-02,16.43,16.51,15.9,16.51,12.425054,6632000
2015-07-06,16.0,16.18,15.66,16.040001,12.071342,3389400
2015-07-07,15.89,16.120001,14.8,14.99,11.281136,4827100
2015-07-08,14.07,14.1,12.32,13.02,9.798556,9970700
2015-07-09,13.04,13.23,11.81,11.81,8.887938,10485200
2015-07-10,11.92,12.25,11.145,11.66,8.775051,8528100
2015-07-13,11.23,11.66,11.06,11.4,8.579383,6951500
2015-07-14,11.24,12.76,11.24,12.66,9.527627,6311800
2015-07-15,12.72,13.63,12.5,12.99,9.775981,4837100
2015-07-16,12.82,13.17,12.76,13.11,9.866289,4385400
2015-07-17,13.04,13.1,12.92,13.04,9.813607,2720600
2015-07-20,12.86,12.93,12.39,12.49,9.39969,4101900
2015-07-21,12.37,12.55,12.33,12.38,9.316906,2186100
2015-07-22,12.15,12.45,11.64,12.04,9.061032,3387700
2015-07-23,12.06,12.21,11.73,11.85,8.918041,2225000
2015-07-24,11.7,11.76,11.24,11.31,8.51165,3445400
2015-07-27,11.24,11.25,10.655,10.75,8.090205,3738900
2015-07-28,10.35,11.31,9.86,11.3,8.504125,3192600
2015-07-29,11.04,12.3,10.958,12.19,9.173918,2757400
2015-07-30,11.55,11.94,11.248,11.59,9.134513,2405600
2015-07-31,11.48,11.5,10.82,10.92,8.60646,2664800
2015-08-03,10.89,10.95,10.46,10.64,8.385781,2471600
2015-08-04,10.5,10.671,9.86,9.97,7.857731,3585500
2015-08-05,9.76,10.16,9.33,9.47,7.463661,7573000
2015-08-06,9.56,12.26,9.51,11.1,8.748325,7461000
2015-08-07,11.21,11.28,10.25,11.01,8.677392,3591500
2015-08-10,11.06,11.5,10.8,11.1,8.748325,2923900
2015-08-11,11.0,11.14,10.46,10.69,8.425189,1639200
2015-08-12,10.26,10.65,9.76,10.02,7.897135,2453700
2015-08-13,9.91,11.23,9.62,10.79,8.504001,2375500
2015-08-14,10.62,11.0,10.27,10.61,8.362134,1290300
2015-08-17,10.58,11.123,10.56,10.98,8.653748,2151900
2015-08-18,10.78,10.79,9.862,10.02,7.897135,3776100
2015-08-19,9.93,9.96,9.62,9.76,7.692221,1829400
2015-08-20,10.03,10.03,9.34,9.62,7.581881,3043300
2015-08-21,9.5,9.75,9.06,9.2,7.250865,2015800
2015-08-24,8.83,9.585,8.3,9.2,7.250865,2239700
2015-08-25,9.44,9.52,8.3,8.31,6.549421,2859000
2015-08-26,8.54,9.14,8.36,9.12,7.187812,2748400
2015-08-27,9.22,9.73,9.14,9.57,7.542473,2765400
2015-08-28,9.05,9.71,9.05,9.68,7.629169,1947600
2015-08-31,9.37,9.82,9.37,9.67,7.621289,1878100
2015-09-01,9.28,9.65,9.26,9.37,7.384847,2239100
2015-09-02,9.2,9.42,8.64,8.67,6.833151,3103700
2015-09-03,8.8,10.03,8.71,9.39,7.400609,3929200
