Date,Open,High,Low,Close,Adj Close,Volume
2013-05-23,13.5,14.65,13.26,14.53,14.53,9415900
2013-05-24,14.94,15.0,14.7,14.82,14.82,2020500
2013-05-28,14.87,15.15,14.83,14.85,14.85,1747500
2013-05-29,14.84,14.98,14.6,14.63,14.63,462000
2013-05-30,14.74,14.82,14.65,14.78,14.78,556900
2013-05-31,14.7,14.85,14.7,14.7,14.7,414300
2013-06-03,14.9,15.18,14.72,15.01,15.01,558900
2013-06-04,15.01,15.64,14.95,15.06,15.06,580500
2013-06-05,15.0,15.09,14.9,14.98,14.98,261300
2013-06-06,14.95,15.1,14.93,14.95,14.95,128500
2013-06-07,14.98,15.16,14.98,15.04,15.04,188400
2013-06-10,15.0,15.17,14.96,15.11,15.11,227400
2013-06-11,14.92,15.09,14.75,14.82,14.82,575500
2013-06-12,14.99,15.09,14.82,14.88,14.88,227300
2013-06-13,14.95,15.02,14.9,14.95,14.95,173400
2013-06-14,14.95,15.15,14.94,15.15,15.15,344800
2013-06-17,15.26,15.26,14.95,15.03,15.03,315000
2013-06-18,15.0,15.25,15.0,15.21,15.21,229300
2013-06-19,15.21,15.62,15.13,15.43,15.43,308600
2013-06-20,15.23,15.6,15.16,15.46,15.46,565000
2013-06-21,15.54,15.54,15.26,15.32,15.32,292600
2013-06-24,15.2,15.35,14.78,15.15,15.15,470800
2013-06-25,15.26,15.26,14.93,14.98,14.98,675600
2013-06-26,15.07,15.26,14.94,15.1,15.1,402300
2013-06-27,15.18,16.0,15.09,15.88,15.88,360200
2013-06-28,15.91,16.469999,15.73,16.15,16.15,371200
2013-07-01,16.24,16.809999,16.129999,16.25,16.25,354800
2013-07-02,16.4,16.59,15.75,15.86,15.86,399000
2013-07-03,15.76,16.280001,15.76,16.18,16.18,29800
2013-07-05,16.299999,16.32,16.040001,16.32,16.32,40400
2013-07-08,16.43,16.65,16.4,16.540001,16.540001,254400
2013-07-09,16.68,16.85,16.299999,16.370001,16.370001,129900
2013-07-10,16.43,16.84,16.389999,16.83,16.83,208200
2013-07-11,17.09,17.690001,16.99,17.190001,17.190001,449700
2013-07-12,17.129999,17.219999,16.52,17.01,17.01,177700
2013-07-15,16.99,17.110001,16.85,17.1,17.1,18400
2013-07-16,17.16,17.629999,16.860001,17.18,17.18,224500
2013-07-17,17.139999,17.389999,16.75,16.959999,16.959999,165100
2013-07-18,17.0,17.450001,16.950001,17.450001,17.450001,74300
2013-07-19,17.5,17.639999,17.200001,17.35,17.35,57600
2013-07-22,17.49,17.93,17.299999,17.68,17.68,242000
2013-07-23,17.809999,17.82,17.030001,17.57,17.57,159100
2013-07-24,17.690001,17.709999,16.959999,17.120001,17.120001,97100
2013-07-25,17.059999,17.610001,16.73,17.5,17.5,376400
2013-07-26,17.5,18.290001,17.34,18.02,18.02,357200
2013-07-29,17.93,18.51,17.93,18.33,18.33,45400
2013-07-30,18.34,18.639999,17.700001,18.360001,18.360001,126000
2013-07-31,18.42,18.690001,17.879999,18.209999,18.209999,324800
2013-08-01,18.23,18.32,17.690001,18.110001,18.110001,95300
2013-08-02,18.120001,18.540001,18.120001,18.360001,18.360001,58000
2013-08-05,18.360001,19.120001,18.360001,18.66,18.66,251700
2013-08-06,18.639999,18.82,18.25,18.6,18.6,82000
2013-08-07,18.43,18.6,17.57,17.959999,17.959999,153200
2013-08-08,18.16,18.389999,17.870001,18.290001,18.290001,73700
2013-08-09,18.35,18.35,17.82,17.99,17.99,67600
2013-08-12,17.889999,17.889999,17.450001,17.66,17.66,77200
2013-08-13,17.690001,18.540001,17.459999,17.99,17.99,76200
2013-08-14,17.93,18.32,17.82,18.209999,18.209999,131000
2013-08-15,18.200001,18.68,17.9,18.02,18.02,177300
2013-08-16,18.139999,18.26,17.6,17.85,17.85,172000
2013-08-19,17.82,17.85,17.5,17.74,17.74,101000
2013-08-20,17.719999,18.280001,17.629999,17.67,17.67,230400
2013-08-21,17.74,18.030001,17.389999,17.610001,17.610001,58300
2013-08-22,17.91,17.91,17.52,17.65,17.65,54200
2013-08-23,17.49,17.940001,17.200001,17.620001,17.620001,33100
2013-08-26,17.610001,18.219999,17.5,18.110001,18.110001,135300
2013-08-27,18.07,18.5,17.99,18.040001,18.040001,222300
2013-08-28,17.98,18.76,17.82,18.190001,18.190001,136500
2013-08-29,18.07,18.360001,17.639999,17.83,17.83,199300
2013-08-30,17.870001,18.09,17.549999,17.700001,17.700001,227200
2013-09-03,17.92,18.950001,17.92,18.85,18.85,167800
2013-09-04,18.85,19.639999,18.66,19.549999,19.549999,492200
2013-09-05,19.459999,20.67,19.440001,19.9,19.9,416600
2013-09-06,20.190001,20.190001,19.73,19.879999,19.879999,91900
2013-09-09,20.0,20.200001,19.52,19.940001,19.940001,153000
2013-09-10,20.0,20.200001,19.790001,19.940001,19.940001,130400
2013-09-11,20.0,20.0,19.6,19.709999,19.709999,106200
2013-09-12,19.68,19.68,18.82,19.280001,19.280001,190700
2013-09-13,19.459999,19.559999,19.120001,19.52,19.52,219300
2013-09-16,19.700001,20.15,19.370001,19.4,19.4,649900
2013-09-17,19.459999,19.870001,19.34,19.440001,19.440001,90900
2013-09-18,19.51,20.23,19.129999,20.129999,20.129999,424600
2013-09-19,20.219999,20.530001,19.870001,20.030001,20.030001,260100
2013-09-20,20.200001,20.309999,19.66,19.73,19.73,37400
2013-09-23,19.67,19.719999,19.129999,19.450001,19.450001,60700
2013-09-24,19.42,19.59,19.07,19.32,19.32,50200
2013-09-25,19.4,19.42,17.92,18.879999,18.879999,223100
2013-09-26,18.9,19.17,18.870001,19.01,19.01,130800
2013-09-27,19.059999,19.18,18.620001,19.18,19.18,140000
2013-09-30,19.129999,19.530001,18.92,19.4,19.4,84700
2013-10-01,19.370001,19.68,18.4,18.57,18.57,218800
2013-10-02,18.450001,18.610001,17.709999,18.27,18.27,432300
2013-10-03,18.309999,18.58,17.969999,18.08,18.08,134200
2013-10-04,18.299999,18.610001,17.5,18.440001,18.440001,122400
2013-10-07,19.0,19.059999,18.25,18.360001,18.360001,264000
2013-10-08,18.5,18.870001,18.33,18.389999,18.389999,126100
2013-10-09,18.4,18.530001,17.620001,18.08,18.08,144200
2013-10-10,18.209999,18.84,18.190001,18.42,18.42,127500
2013-10-11,18.360001,19.049999,18.360001,18.66,18.66,130300
2013-10-14,18.540001,18.9,18.389999,18.709999,18.709999,29400
2013-10-15,18.700001,19.26,18.42,18.85,18.85,193400
2013-10-16,18.950001,19.43,18.879999,18.93,18.93,141900
2013-10-17,18.99,19.139999,18.610001,18.75,18.75,175000
2013-10-18,18.940001,18.940001,17.799999,17.9,17.9,533100
2013-10-21,17.9,17.969999,16.799999,17.450001,17.450001,901400
2013-10-22,17.49,18.360001,17.389999,18.15,18.15,363400
2013-10-23,18.129999,18.59,17.969999,18.280001,18.280001,203300
2013-10-24,18.190001,18.23,17.629999,18.049999,18.049999,312700
2013-10-25,18.09,18.65,17.99,18.559999,18.559999,56100
2013-10-28,18.5,19.299999,18.49,19.0,19.0,94700
2013-10-29,19.120001,19.389999,18.84,18.870001,18.870001,93400
2013-10-30,18.870001,19.52,18.290001,18.52,18.52,102200
2013-10-31,18.5,18.870001,18.24,18.469999,18.469999,42700
2013-11-01,18.5,18.77,18.48,18.75,18.75,71700
2013-11-04,18.76,18.879999,18.6,18.76,18.76,61600
2013-11-05,18.34,18.49,17.559999,18.07,18.07,459500
2013-11-06,18.040001,18.209999,16.6,16.690001,16.690001,1087600
2013-11-07,17.25,17.98,16.9,17.219999,17.219999,673700
2013-11-08,17.530001,18.98,17.5,18.85,18.85,5790200
2013-11-11,18.370001,19.129999,18.25,18.43,18.43,704000
2013-11-12,18.35,18.799999,18.049999,18.5,18.5,524600
2013-11-13,18.34,18.68,18.26,18.549999,18.549999,266200
2013-11-14,18.540001,20.450001,18.27,20.09,20.09,599000
2013-11-15,20.5,21.01,19.950001,20.15,20.15,387400
2013-11-18,20.200001,20.23,19.719999,19.99,19.99,271800
2013-11-19,20.0,20.360001,19.559999,20.0,20.0,205300
2013-11-20,20.01,20.4,19.860001,19.879999,19.879999,146200
2013-11-21,20.17,21.530001,20.030001,21.440001,21.440001,528300
2013-11-22,21.73,21.98,21.450001,21.93,21.93,264200
