Date,Open,High,Low,Close,Adj Close,Volume
2006-05-04,16.110001,17.15,16.1,16.25,10.307441,7249500
2006-05-05,16.280001,16.549999,16.26,16.42,10.415272,752700
2006-05-08,16.5,16.969999,16.48,16.83,10.675337,569400
2006-05-09,17.190001,17.26,16.85,16.950001,10.751451,412300
2006-05-10,17.15,17.35,17.030001,17.290001,10.967111,593800
2006-05-11,17.389999,17.709999,17.35,17.68,11.214491,848500
2006-05-12,17.85,17.99,17.700001,17.709999,11.233525,567500
2006-05-15,17.700001,17.700001,16.299999,16.389999,10.396239,560000
2006-05-16,16.4,16.75,16.030001,16.059999,10.186919,407200
2006-05-17,16.4,16.4,15.6,15.67,9.939543,285400
2006-05-18,15.77,16.0,15.6,15.6,9.895142,105400
2006-05-19,15.7,15.72,14.55,15.15,9.609699,361500
2006-05-22,15.15,15.2,14.93,15.14,9.603361,441900
2006-05-23,15.24,16.299999,15.24,16.0,10.148862,254000
2006-05-24,16.290001,16.4,15.35,15.75,9.990284,206400
2006-05-25,15.83,15.87,14.89,15.33,9.723875,312300
2006-05-26,15.33,15.33,15.11,15.15,9.609699,244300
2006-05-30,15.2,15.46,14.79,15.0,9.514558,406500
2006-05-31,15.0,15.14,14.77,14.8,9.387701,223000
2006-06-01,14.9,15.1,14.25,14.66,9.298894,307500
2006-06-02,14.75,15.12,14.6,15.0,9.514558,190200
2006-06-05,15.1,15.4,15.01,15.04,9.539929,275100
2006-06-06,14.81,14.89,14.12,14.35,9.102258,302700
2006-06-07,14.38,14.84,13.83,14.49,9.191061,301100
2006-06-08,14.6,14.67,13.87,14.16,8.981738,351600
2006-06-09,14.4,14.7,14.22,14.35,9.102258,182700
2006-06-12,14.25,14.3,12.97,13.2,8.37281,252100
2006-06-13,13.15,13.33,12.08,12.28,7.789249,549300
2006-06-14,12.5,12.6,12.3,12.49,7.922457,283700
2006-06-15,12.75,13.45,12.7,13.18,8.36013,436600
2006-06-16,13.18,13.93,13.01,13.75,8.721679,117100
2006-06-19,13.95,13.95,13.4,13.65,8.658246,163000
2006-06-20,13.75,14.07,13.0,14.0,8.880257,113900
2006-06-21,14.08,14.8,14.08,14.59,9.254492,230400
