Date,Open,High,Low,Close,Adj Close,Volume
2017-04-27,30.25,32.450001,29.370001,32.049999,32.049999,9424200
2017-04-28,31.639999,32.400002,31.0,32.400002,32.400002,978700
2017-05-01,32.400002,35.439999,32.400002,33.540001,33.540001,330000
2017-05-02,34.0,34.369999,33.299999,33.509998,33.509998,172200
2017-05-03,33.450001,38.493999,33.411999,36.360001,36.360001,814200
2017-05-04,36.5,37.630001,35.669998,36.93,36.93,359800
2017-05-05,37.209999,37.52,36.509998,36.73,36.73,234400
2017-05-08,36.380001,36.900002,35.169998,35.5,35.5,490000
2017-05-09,35.68,36.560001,35.529999,36.110001,36.110001,377900
2017-05-10,36.349998,37.490002,35.645,36.77,36.77,297600
2017-05-11,36.84,36.950001,36.0,36.73,36.73,161300
2017-05-12,36.93,37.950001,36.75,37.310001,37.310001,294400
2017-05-15,37.619999,39.490002,37.560001,37.91,37.91,369400
2017-05-16,38.139999,39.060001,36.549999,36.619999,36.619999,308500
2017-05-17,36.740002,36.986,35.610001,36.279999,36.279999,159000
2017-05-18,36.34,37.52,36.330002,37.25,37.25,90000
2017-05-19,37.439999,38.245998,36.59,37.049999,37.049999,134600
2017-05-22,37.23,37.349998,35.880001,36.279999,36.279999,325400
2017-05-23,36.450001,37.689999,36.349998,37.400002,37.400002,305400
2017-05-24,37.25,37.970001,36.029999,37.23,37.23,262500
2017-05-25,37.349998,39.499001,36.619999,38.139999,38.139999,578200
2017-05-26,39.0,43.099998,37.25,42.380001,42.380001,646200
2017-05-30,41.18,41.990002,39.099998,39.209999,39.209999,694800
2017-05-31,39.360001,39.779999,37.799999,38.709999,38.709999,274500
2017-06-01,38.560001,40.349998,38.530998,39.849998,39.849998,256800
2017-06-02,39.919998,40.932999,39.830002,40.0,40.0,190200
2017-06-05,40.189999,42.25,40.189999,41.5,41.5,358700
2017-06-06,41.599998,42.002998,39.959999,40.369999,40.369999,291700
2017-06-07,40.52,41.5,40.0,40.669998,40.669998,167100
2017-06-08,40.82,41.861,40.731998,41.279999,41.279999,100100
2017-06-09,41.02,42.939999,40.450001,41.099998,41.099998,222000
2017-06-12,40.98,41.209999,39.310001,39.43,39.43,266700
2017-06-13,39.73,40.73,39.27,39.59,39.59,160100
2017-06-14,39.450001,41.110001,39.450001,40.790001,40.790001,223300
2017-06-15,40.709999,41.139,39.759998,40.5,40.5,207200
2017-06-16,40.630001,41.66,40.101002,40.419998,40.419998,956700
2017-06-19,41.310001,45.599998,40.700001,43.139999,43.139999,1333500
2017-06-20,44.389999,46.32,43.599998,43.900002,43.900002,806600
2017-06-21,44.599998,46.950001,44.599998,46.310001,46.310001,653300
2017-06-22,46.82,46.82,44.279999,44.509998,44.509998,355000
