Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,10.15,10.31,10.1,10.31,10.31,92100
2021-02-02,10.25,10.49,10.12,10.43,10.43,232700
2021-02-03,10.45,10.65,10.43,10.65,10.65,391500
2021-02-04,10.65,10.77,10.37,10.4,10.4,117500
2021-02-05,10.55,10.65,10.45,10.6,10.6,213500
2021-02-08,10.7,10.87,10.55,10.79,10.79,254100
2021-02-09,10.8,10.84,10.635,10.78,10.78,231400
2021-02-10,10.75,10.75,10.67,10.71,10.71,97200
2021-02-11,10.73,10.82,10.57,10.79,10.79,112300
2021-02-12,10.8,10.81,10.68,10.68,10.68,170300
2021-02-16,10.78,10.78,10.6,10.72,10.72,158600
2021-02-17,10.75,10.75,10.64,10.73,10.73,148400
2021-02-18,10.67,10.78,10.67,10.71,10.71,70000
2021-02-19,10.75,10.8,10.697,10.79,10.79,249300
2021-02-22,10.79,10.87,10.7,10.74,10.74,151500
2021-02-23,10.68,10.68,10.48,10.6,10.6,255800
2021-02-24,10.61,10.7,10.52,10.55,10.55,92300
2021-02-25,10.58,10.62,10.16,10.26,10.26,252800
2021-02-26,10.39,10.4,10.15,10.27,10.27,196100
2021-03-01,10.28,10.36,10.19,10.25,10.25,194700
2021-03-02,10.23,10.23,10.0,10.09,10.09,168200
2021-03-03,10.09,10.19,10.04,10.19,10.19,769400
2021-03-04,10.11,10.187,9.75,9.95,9.95,615700
2021-03-05,9.96,10.09,9.9,10.09,10.09,1050900
2021-03-08,10.1,10.1,9.91,10.0,10.0,198000
2021-03-09,10.0,10.02,9.9,9.95,9.95,311400
2021-03-10,9.95,10.08,9.9,10.01,10.01,140100
2021-03-11,9.94,10.04,9.94,10.0,10.0,609700
2021-03-12,9.96,10.09,9.96,10.04,10.04,27400
2021-03-15,10.03,10.2,9.96,10.04,10.04,89200
2021-03-16,9.98,10.04,9.97,10.01,10.01,105800
2021-03-17,10.04,10.04,9.9,9.98,9.98,239600
2021-03-18,9.96,9.97,9.86,9.9,9.9,135300
2021-03-19,9.9,9.9,9.81,9.85,9.85,289400
2021-03-22,9.9,9.925,9.85,9.9,9.9,54200
2021-03-23,9.86,9.906,9.8,9.89,9.89,115900
2021-03-24,9.85,9.85,9.72,9.76,9.76,211600
2021-03-25,9.75,9.87,9.61,9.84,9.84,233700
2021-03-26,9.76,10.02,9.72,9.85,9.85,98800
2021-03-29,9.86,9.89,9.83,9.85,9.85,16300
2021-03-30,9.85,9.89,9.7,9.81,9.81,404100
2021-03-31,9.809,9.86,9.73,9.8,9.8,45700
2021-04-01,9.8,9.83,9.76,9.83,9.83,51500
2021-04-05,9.84,9.91,9.75,9.83,9.83,62000
2021-04-06,9.81,9.883,9.79,9.855,9.855,18400
2021-04-07,9.854,9.95,9.854,9.95,9.95,51900
2021-04-08,9.92,10.0,9.92,9.95,9.95,36200
2021-04-09,9.99,10.05,9.955,10.04,10.04,90000
2021-04-12,10.0,10.055,10.0,10.03,10.03,82700
2021-04-13,10.0,10.08,9.906,9.98,9.98,126900
2021-04-14,9.95,9.975,9.9,9.92,9.92,36000
2021-04-15,9.91,9.94,9.85,9.85,9.85,35800
2021-04-16,9.87,9.9,9.85,9.9,9.9,21900
2021-04-19,9.86,9.92,9.86,9.92,9.92,133200
2021-04-20,9.84,9.92,9.75,9.8,9.8,49300
2021-04-21,9.8,9.84,9.77,9.83,9.83,17400
2021-04-22,9.865,9.87,9.77,9.79,9.79,9700
2021-04-23,9.83,9.83,9.76,9.79,9.79,64700
2021-04-26,9.85,9.86,9.72,9.74,9.74,644200
2021-04-27,9.75,9.79,9.73,9.77,9.77,408400
2021-04-28,9.8,9.86,9.74,9.86,9.86,458200
2021-04-29,9.81,9.9,9.78,9.87,9.87,304500
2021-04-30,9.9,9.9,9.8,9.82,9.82,25500
2021-05-03,9.814,9.84,9.801,9.81,9.81,23900
2021-05-04,9.78,9.85,9.78,9.85,9.85,25400
2021-05-05,9.85,9.93,9.8,9.89,9.89,186000
2021-05-06,9.89,9.98,9.84,9.95,9.95,111900
2021-05-07,9.95,9.95,9.83,9.83,9.83,46500
2021-05-10,9.862,9.89,9.78,9.8,9.8,27500
2021-05-11,9.75,9.82,9.71,9.77,9.77,15700
2021-05-12,9.77,9.81,9.73,9.79,9.79,31200
2021-05-13,9.79,9.79,9.71,9.77,9.77,4900
2021-05-14,9.79,9.8,9.75,9.79,9.79,88000
2021-05-17,9.78,9.8,9.76,9.76,9.76,10400
2021-05-18,9.82,9.84,9.77,9.82,9.82,37000
2021-05-19,9.8,9.82,9.75,9.78,9.78,128000
2021-05-20,9.76,9.77,9.73,9.73,9.73,45600
2021-05-21,9.77,9.79,9.73,9.75,9.75,60600
2021-05-24,9.74,9.79,9.72,9.72,9.72,14400
2021-05-25,9.75,9.79,9.7,9.7,9.7,25400
2021-05-26,9.73,9.81,9.73,9.77,9.77,9500
2021-05-27,9.77,9.77,9.7,9.735,9.735,32900
2021-05-28,9.788,9.8,9.7,9.79,9.79,24500
2021-06-01,9.78,9.81,9.71,9.78,9.78,21100
2021-06-02,9.76,9.81,9.71,9.77,9.77,20800
2021-06-03,9.75,9.75,9.72,9.75,9.75,8800
2021-06-04,9.73,9.74,9.71,9.74,9.74,232500
2021-06-07,9.73,9.74,9.72,9.73,9.73,17400
2021-06-08,9.74,9.77,9.7,9.76,9.76,32100
2021-06-09,9.77,9.77,9.72,9.73,9.73,48500
2021-06-10,9.73,9.77,9.73,9.77,9.77,57000
2021-06-11,9.77,9.8,9.77,9.8,9.8,14300
2021-06-14,9.76,9.8,9.75,9.8,9.8,10700
2021-06-15,9.79,9.79,9.76,9.77,9.77,8300
2021-06-16,9.75,9.8,9.75,9.77,9.77,17600
2021-06-17,9.76,9.8,9.74,9.78,9.78,6800
2021-06-18,9.79,9.8,9.76,9.76,9.76,28000
2021-06-21,9.76,9.77,9.73,9.76,9.76,20000
2021-06-22,9.72,9.76,9.71,9.74,9.74,18100
2021-06-23,9.74,9.74,9.72,9.73,9.73,3400
2021-06-24,9.72,9.74,9.72,9.73,9.73,9700
2021-06-25,9.72,9.73,9.72,9.73,9.73,2000
2021-06-28,9.72,9.8,9.7,9.8,9.8,301000
2021-06-29,9.75,9.79,9.71,9.75,9.75,170800
2021-06-30,9.73,9.77,9.73,9.77,9.77,8400
2021-07-01,9.775,9.78,9.76,9.77,9.77,54400
2021-07-02,9.8,9.8,9.7,9.76,9.76,57000
2021-07-06,9.75,9.76,9.74,9.76,9.76,1900
2021-07-07,9.75,9.76,9.75,9.75,9.75,107100
2021-07-08,9.7,9.84,9.7,9.78,9.78,26700
2021-07-09,9.75,9.77,9.74,9.75,9.75,24900
2021-07-12,9.75,9.78,9.75,9.77,9.77,19200
2021-07-13,9.77,9.79,9.75,9.77,9.77,114600
2021-07-14,9.77,9.77,9.75,9.76,9.76,8700
2021-07-15,9.74,9.78,9.74,9.77,9.77,17300
2021-07-16,9.7,9.76,9.7,9.75,9.75,1900
2021-07-19,9.732,9.75,9.72,9.75,9.75,1700
2021-07-20,9.75,9.79,9.75,9.77,9.77,6500
2021-07-21,9.76,9.76,9.76,9.76,9.76,100
2021-07-22,9.75,9.75,9.75,9.75,9.75,400
2021-07-23,9.75,9.78,9.75,9.77,9.77,3200
2021-07-26,9.77,9.77,9.74,9.75,9.75,21400
2021-07-27,9.74,9.76,9.71,9.74,9.74,3800
2021-07-28,9.74,9.74,9.72,9.73,9.73,57600
2021-07-29,9.71,9.72,9.71,9.71,9.71,13700
2021-07-30,9.7,9.74,9.7,9.72,9.72,70600
2021-08-02,9.71,9.73,9.71,9.73,9.73,11400
2021-08-03,9.7,9.75,9.7,9.75,9.75,10700
2021-08-04,9.72,9.76,9.72,9.74,9.74,26500
2021-08-05,9.73,9.75,9.718,9.75,9.75,2600
2021-08-06,9.74,9.74,9.71,9.72,9.72,7300
2021-08-09,9.7,9.72,9.7,9.71,9.71,1800
2021-08-10,9.7,9.74,9.7,9.74,9.74,89300
2021-08-11,9.7,9.74,9.7,9.74,9.74,900
2021-08-12,9.7,9.73,9.7,9.73,9.73,27100
2021-08-13,9.7,9.72,9.7,9.72,9.72,2700
2021-08-16,9.7,9.75,9.7,9.74,9.74,16600
2021-08-17,9.73,9.73,9.68,9.7,9.7,26500
2021-08-18,9.7,9.73,9.7,9.7,9.7,10200
2021-08-19,9.68,9.73,9.64,9.68,9.68,383400
2021-08-20,9.67,9.7,9.67,9.69,9.69,546400
2021-08-23,9.73,9.73,9.68,9.69,9.69,25900
2021-08-24,9.68,9.72,9.68,9.7,9.7,3900
2021-08-25,9.67,9.72,9.67,9.72,9.72,129700
2021-08-26,9.72,9.72,9.71,9.72,9.72,1400
2021-08-27,9.71,9.71,9.68,9.7,9.7,7000
2021-08-30,9.68,9.73,9.68,9.72,9.72,133300
2021-08-31,9.71,9.73,9.7,9.73,9.73,13700
2021-09-01,9.71,9.75,9.71,9.74,9.74,7900
2021-09-02,9.74,9.75,9.73,9.73,9.73,7100
2021-09-03,9.74,9.75,9.72,9.73,9.73,38000
2021-09-07,9.73,9.73,9.71,9.73,9.73,11300
2021-09-08,9.69,9.74,9.69,9.73,9.73,12700
2021-09-09,9.73,9.73,9.711,9.72,9.72,3500
2021-09-10,9.71,9.74,9.71,9.74,9.74,11300
2021-09-13,9.85,9.9,9.85,9.89,9.89,9172700
2021-09-14,9.88,9.89,9.87,9.88,9.88,1415400
2021-09-15,9.9,9.9,9.86,9.88,9.88,881100
2021-09-16,9.86,9.89,9.86,9.87,9.87,117200
2021-09-17,9.9,9.9,9.87,9.888,9.888,45100
2021-09-20,9.87,9.9,9.85,9.86,9.86,122600
2021-09-21,9.87,9.9,9.85,9.88,9.88,463900
2021-09-22,9.88,9.9,9.869,9.87,9.87,73200
2021-09-23,9.88,9.9,9.86,9.87,9.87,105800
2021-09-24,9.87,9.9,9.86,9.89,9.89,176900
2021-09-27,9.87,9.88,9.86,9.86,9.86,13400
2021-09-28,9.86,9.9,9.85,9.9,9.9,365800
2021-09-29,9.9,9.9,9.86,9.9,9.9,90900
2021-09-30,9.9,9.9,9.87,9.9,9.9,47200
2021-10-01,9.873,9.9,9.86,9.88,9.88,71700
2021-10-04,9.89,9.89,9.85,9.86,9.86,837800
2021-10-05,9.83,9.89,9.83,9.87,9.87,398800
2021-10-06,9.88,9.88,9.851,9.86,9.86,114100
2021-10-07,9.87,9.9,9.87,9.88,9.88,77000
2021-10-08,9.94,9.94,9.89,9.9,9.9,1475500
2021-10-11,9.93,9.94,9.892,9.92,9.92,1427700
2021-10-12,9.92,9.92,9.9,9.9,9.9,168700
2021-10-13,9.9,9.91,9.89,9.91,9.91,648500
