Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,17.0,17.74,16.76,17.1,13.884594,299400
2021-10-20,17.200001,17.299999,16.700001,16.879999,13.705961,1031600
2021-10-21,16.879999,17.065001,16.77,16.85,13.681603,436900
2021-10-22,16.719999,17.25,16.709999,16.860001,13.689722,358100
2021-10-25,16.780001,17.09,16.780001,16.950001,13.7628,277800
2021-10-26,16.83,16.98,16.799999,16.85,13.681603,227200
2021-10-27,16.73,16.85,16.610001,16.709999,13.567925,260100
2021-10-28,16.709999,16.709999,16.4,16.58,13.462371,272400
2021-10-29,16.549999,16.58,16.360001,16.41,13.324339,362700
2021-11-01,16.35,16.52,16.24,16.33,13.259381,281400
2021-11-02,16.24,16.450001,16.129999,16.32,13.251262,181100
2021-11-03,16.280001,16.6,16.15,16.59,13.470492,195700
2021-11-04,16.530001,16.530001,16.25,16.27,13.210663,207000
2021-11-05,16.309999,16.58,16.24,16.549999,13.438012,238800
2021-11-08,16.540001,16.85,16.280001,16.84,13.673484,266500
2021-11-09,16.77,17.1,16.379999,17.1,13.884594,354000
2021-11-10,17.09,17.200001,16.83,17.08,13.868354,195000
2021-11-11,17.059999,17.17,16.85,17.09,13.876473,167400
2021-11-12,17.059999,17.17,16.870001,17.129999,13.908952,273200
2021-11-15,17.1,17.1,16.66,16.75,13.600406,342800
2021-11-16,16.709999,16.745001,16.450001,16.48,13.381175,421300
2021-11-17,16.41,16.450001,16.09,16.27,13.210663,344200
2021-11-18,16.219999,16.709999,16.17,16.6,13.478612,358400
2021-11-19,16.41,16.709999,16.299999,16.559999,13.446134,837800
2021-11-22,16.67,16.75,16.370001,16.4,13.316218,326100
2021-11-23,16.32,16.51,16.280001,16.370001,13.291861,96000
2021-11-24,16.18,16.42,16.15,16.32,13.251262,173000
2021-11-26,16.0,16.42,15.84,15.99,12.983313,140500
2021-11-29,16.08,16.219999,15.87,15.95,12.950833,289100
2021-11-30,15.82,15.9,15.27,15.34,12.455538,346500
2021-12-01,15.49,15.67,15.21,15.21,12.349981,304100
2021-12-02,15.2,15.79,15.2,15.71,12.755962,235300
2021-12-03,15.73,15.85,15.57,15.78,12.812799,251400
2021-12-06,15.94,16.620001,15.78,16.48,13.381175,841300
2021-12-07,16.530001,16.790001,16.5,16.629999,13.502969,386200
2021-12-08,16.540001,16.67,16.42,16.48,13.381175,383300
2021-12-09,16.360001,16.52,16.219999,16.219999,13.170065,210500
2021-12-10,16.16,16.32,16.049999,16.09,13.06451,260000
2021-12-13,15.98,16.030001,15.8,15.86,12.877757,381700
2021-12-14,15.76,15.95,15.56,15.61,12.674766,398700
2021-12-15,15.53,15.73,15.42,15.6,12.666647,665500
2021-12-16,15.6,15.76,15.32,15.36,12.471775,590400
2021-12-17,15.32,15.44,14.9,15.02,12.195707,3524000
2021-12-20,14.87,15.05,14.26,14.69,11.927759,415700
2021-12-21,14.7,15.285,14.686,15.12,12.276904,340600
2021-12-22,15.06,15.41,15.06,15.28,12.406819,301700
2021-12-23,15.31,15.465,15.23,15.38,12.488014,170200
2021-12-27,15.23,15.37,14.95,15.27,12.3987,180700
2021-12-28,15.32,15.54,15.31,15.32,12.439297,215100
2021-12-29,15.31,15.43,15.192,15.39,12.496134,206500
2021-12-30,15.1,15.31,15.035,15.06,12.458906,252700
2021-12-31,15.0,15.139,14.9,14.94,12.359632,199800
2022-01-03,14.92,15.34,14.92,15.27,12.632637,253900
2022-01-04,15.31,15.5,15.31,15.34,12.690547,167100
2022-01-05,15.34,15.61,15.27,15.33,12.682274,348000
2022-01-06,15.3,15.61,15.3,15.47,12.798094,269900
2022-01-07,15.45,15.51,15.32,15.33,12.682274,185600
2022-01-10,15.28,15.37,15.14,15.24,12.607818,186900
2022-01-11,15.14,15.34,14.98,15.24,12.607818,297900
2022-01-12,15.29,15.31,15.17,15.17,12.549908,323300
2022-01-13,15.17,15.29,15.04,15.06,12.458906,146200
2022-01-14,14.92,15.04,14.695,14.99,12.400996,170300
2022-01-18,14.88,14.9,14.63,14.75,12.202448,133000
2022-01-19,14.8,14.81,14.49,14.53,12.020445,176500
2022-01-20,14.55,14.74,14.34,14.34,11.86326,146100
2022-01-21,14.33,14.58,14.01,14.06,11.631622,483500
2022-01-24,13.99,14.05,13.45,13.79,11.408255,308800
2022-01-25,13.63,14.06,13.31,13.99,11.573711,378900
2022-01-26,14.11,14.33,13.8,13.97,11.557167,306000
2022-01-27,13.97,14.06,13.46,13.58,11.234525,452000
2022-01-28,13.55,13.58,13.12,13.54,11.201434,348400
2022-01-31,13.49,13.68,13.32,13.47,11.143523,496000
2022-02-01,13.49,13.56,13.08,13.32,11.01943,483500
2022-02-02,13.35,13.365,12.99,13.1,10.837428,586100
2022-02-03,13.05,13.44,13.0,13.27,10.978067,681900
2022-02-04,13.15,13.45,12.94,13.43,11.110434,396400
2022-02-07,13.41,13.51,13.41,13.46,11.135251,167500
2022-02-08,13.44,13.525,13.19,13.31,11.011159,257200
2022-02-09,13.27,13.35,13.13,13.29,10.994613,298300
2022-02-10,13.3,13.37,13.15,13.24,10.953248,449900
2022-02-11,13.35,13.452,13.158,13.37,11.060795,547600
2022-02-14,13.31,13.45,13.14,13.27,10.978067,276200
2022-02-15,13.33,13.55,13.33,13.48,11.151795,241700
2022-02-16,13.48,13.9,13.48,13.86,11.466166,414100
2022-02-17,13.86,13.9,13.27,13.44,11.118705,276500
2022-02-18,13.33,13.33,13.15,13.23,10.944975,189200
2022-02-22,13.21,13.33,12.78,12.88,10.655427,274600
2022-02-23,12.91,13.08,12.75,13.02,10.771246,349600
2022-02-24,12.75,13.085,12.53,12.99,10.746428,556300
2022-02-25,12.97,13.315,12.93,13.19,10.911883,321900
2022-02-28,13.05,13.47,12.955,13.2,10.920156,616200
2022-03-01,13.1,13.2,12.65,12.72,10.523061,282400
2022-03-02,12.81,13.07,12.75,12.98,10.738153,236100
2022-03-03,12.87,12.91,12.7,12.8,10.589243,365000
2022-03-04,12.74,12.77,12.45,12.55,10.382421,332000
2022-03-07,12.71,12.99,12.65,12.66,10.473423,740700
2022-03-08,12.71,13.05,12.66,12.81,10.597517,439500
2022-03-09,12.98,13.05,12.76,12.8,10.589243,161400
2022-03-10,12.79,13.06,12.73,13.04,10.787791,217500
2022-03-11,13.06,13.125,12.97,13.01,10.762972,393600
2022-03-14,13.02,13.17,12.84,12.93,10.696789,340100
2022-03-15,13.06,13.14,12.91,13.0,10.754701,336000
2022-03-16,13.0,13.08,12.82,13.0,10.754701,575400
2022-03-17,12.97,13.46,12.92,13.26,10.969793,1291000
2022-03-18,13.3,13.52,13.13,13.13,10.862247,539700
2022-03-21,13.13,13.35,13.0,13.01,10.762972,569500
2022-03-22,13.03,13.34,13.03,13.21,10.92843,467300
2022-03-23,13.3,13.41,13.09,13.09,10.829155,222000
2022-03-24,13.04,13.28,13.04,13.17,10.895338,424400
2022-03-25,13.41,13.77,13.21,13.77,11.391709,420700
2022-03-28,13.75,13.83,13.58,13.6,11.25107,224700
2022-03-29,13.67,14.1,13.67,14.03,11.606803,264000
2022-03-30,13.67,13.87,13.59,13.83,11.738361,354100
2022-03-31,13.77,14.065,13.77,13.98,11.865676,199400
2022-04-01,14.0,14.265,13.91,14.18,12.035428,350700
2022-04-04,14.14,14.41,14.0,14.4,12.222155,316400
2022-04-05,14.41,14.52,13.88,13.9,11.797774,374700
2022-04-06,13.87,14.15,13.74,13.97,11.857189,397900
2022-04-07,14.01,14.225,13.76,13.8,11.712898,227300
2022-04-08,13.97,13.97,13.6,13.61,11.551633,141200
2022-04-11,13.61,13.88,13.61,13.72,11.644999,172100
