Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,20.166668,16.916668,17.333332,15.749445,258000
1980-03-18,0.0,19.083332,16.416668,19.083332,17.339535,292200
1980-03-19,0.0,21.583332,20.0,21.583332,19.611088,239250
1980-03-20,0.0,22.666668,20.166668,20.75,18.853905,192000
1980-03-21,0.0,22.166668,20.166668,22.166668,20.141111,57750
1980-03-24,0.0,22.416668,18.916668,19.416668,17.642414,85050
1980-03-25,0.0,19.833332,18.833332,19.25,17.490973,70200
1980-03-26,0.0,18.75,17.166668,17.25,15.673729,114900
1980-03-27,0.0,15.25,13.416667,14.666667,13.326454,348750
1980-03-28,0.0,17.416668,15.583333,17.333332,15.749445,256800
1980-03-31,0.0,18.25,16.916668,17.333332,15.749445,181650
1980-04-01,0.0,18.083332,16.666668,17.166668,15.598012,120150
1980-04-02,0.0,17.0,16.166668,16.166668,14.68939,38250
1980-04-03,0.0,16.166668,15.583333,15.916667,14.462234,57000
1980-04-07,0.0,18.0,15.0,18.0,16.355196,67800
1980-04-08,0.0,19.333332,17.75,18.5,16.809502,147150
1980-04-09,0.0,19.333332,18.166668,18.5,16.809502,98850
1980-04-10,0.0,19.0,18.5,18.916668,17.188101,60900
1980-04-11,0.0,19.166668,18.666668,19.0,17.263811,40800
1980-04-14,0.0,19.333332,18.0,18.0,16.355196,58800
1980-04-15,0.0,18.5,17.333332,18.333332,16.65807,48450
1980-04-16,0.0,18.833332,17.666668,17.833332,16.203754,37500
1980-04-17,0.0,18.0,16.666668,17.583332,15.976599,45450
1980-04-18,0.0,17.666668,17.166668,17.25,15.673729,22200
1980-04-21,0.0,17.25,16.416668,16.666668,15.143702,52500
1980-04-22,0.0,17.583332,16.416668,17.083332,15.522291,71850
1980-04-23,0.0,17.666668,17.083332,17.5,15.900885,40050
1980-04-24,0.0,19.166668,17.75,18.833332,17.112377,75900
1980-04-25,0.0,19.333332,18.916668,19.0,17.263811,68250
1980-04-28,0.0,19.0,18.416668,18.666668,16.960953,81000
1980-04-29,0.0,18.583332,18.25,18.333332,16.65807,27600
1980-04-30,0.0,18.583332,17.25,17.833332,16.203754,68100
1980-05-01,0.0,17.75,17.166668,17.583332,15.976599,53100
1980-05-02,0.0,18.333332,17.583332,18.333332,16.65807,30900
1980-05-05,0.0,18.416668,18.0,18.0,16.355196,25800
1980-05-06,0.0,17.916668,17.416668,17.416668,15.825161,47250
1980-05-07,0.0,17.75,17.333332,17.5,15.900885,30000
1980-05-08,0.0,17.666668,17.25,17.416668,15.825161,14100
1980-05-09,0.0,17.083332,16.916668,16.916668,15.370863,13800
1980-05-12,0.0,16.833332,16.333332,16.5,14.992256,27750
1980-05-13,0.0,16.5,15.333333,16.0,14.537951,74400
1980-05-14,0.0,16.833332,15.916667,16.583332,15.067972,63150
1980-05-15,0.0,16.416668,16.083332,16.083332,14.613669,28350
1980-05-16,0.0,15.916667,15.25,15.25,13.856483,48600
