Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,37.099998,38.5,36.48,36.889999,36.889999,1282600
2023-06-07,37.09,40.57,37.060001,39.34,39.34,1368400
2023-06-08,38.0,41.98,38.0,40.98,40.98,754100
2023-06-09,41.0,43.959999,40.16,43.669998,43.669998,1309900
2023-06-12,43.139999,46.299999,43.139999,44.0,44.0,1276000
2023-06-13,44.0,46.200001,44.0,44.919998,44.919998,1108500
2023-06-14,44.900002,47.990002,44.48,46.389999,46.389999,1286400
2023-06-15,46.130001,47.630001,46.076,47.599998,47.599998,722500
2023-06-16,47.32,49.189999,45.740002,45.91,45.91,932500
2023-06-20,45.57,45.889999,44.473999,45.09,45.09,807700
2023-06-21,44.540001,47.470001,44.540001,46.860001,46.860001,593500
2023-06-22,46.529999,47.174999,45.23,45.459999,45.459999,447600
2023-06-23,45.09,46.41,44.009998,45.57,45.57,6308700
2023-06-26,44.799999,46.869999,44.720001,46.860001,46.860001,537400
2023-06-27,46.099998,47.459999,45.764999,47.200001,47.200001,300300
2023-06-28,46.880001,47.470001,45.639999,45.77,45.77,605400
2023-06-29,45.240002,46.25,43.639999,43.790001,43.790001,775400
2023-06-30,43.860001,44.68,43.459999,43.5,43.5,565300
2023-07-03,43.490002,45.330002,42.810001,45.009998,45.009998,261700
2023-07-05,43.389999,44.27,43.220001,43.369999,43.369999,815200
2023-07-06,42.73,42.73,41.529999,42.200001,42.200001,305200
2023-07-07,42.07,43.5,42.07,42.939999,42.939999,572500
2023-07-10,42.880001,43.82,42.794998,43.5,43.5,251000
2023-07-11,42.779999,43.220001,42.130001,43.150002,43.150002,350100
2023-07-12,43.5,44.139999,42.889999,43.0,43.0,242900
2023-07-13,43.279999,43.98,42.84,43.799999,43.799999,269600
2023-07-14,43.529999,43.779999,42.720001,43.75,43.75,325700
2023-07-17,43.5,43.73,42.869999,42.939999,42.939999,319400
2023-07-18,43.009998,44.630001,42.814999,44.32,44.32,523000
2023-07-19,44.32,44.93,42.540001,43.689999,43.689999,349600
2023-07-20,43.080002,43.330002,42.349998,42.869999,42.869999,337000
2023-07-21,42.869999,43.16,42.43,43.009998,43.009998,258100
2023-07-24,42.860001,44.18,42.630001,43.93,43.93,288700
2023-07-25,43.32,44.380001,42.740002,43.779999,43.779999,296600
2023-07-26,43.43,44.459999,43.23,44.299999,44.299999,431400
2023-07-27,44.25,45.240002,43.400002,43.580002,43.580002,434500
2023-07-28,43.939999,44.935001,43.639999,43.91,43.91,288800
2023-07-31,44.0,45.75,43.290001,43.470001,43.470001,313700
2023-08-01,43.34,44.049999,42.720001,43.77,43.77,314800
2023-08-02,43.200001,44.268002,43.0,44.18,44.18,320100
2023-08-03,43.830002,45.34,43.77,45.240002,45.240002,650100
2023-08-04,45.25,47.259998,45.25,46.290001,46.290001,431400
2023-08-07,46.41,47.720001,46.02,47.549999,47.549999,614600
2023-08-08,48.0,52.395,47.470001,51.5,51.5,1276400
2023-08-09,51.41,52.23,49.509998,49.939999,49.939999,468100
2023-08-10,49.849998,50.93,49.080002,50.330002,50.330002,347000
2023-08-11,50.650002,50.939999,49.860001,50.619999,50.619999,305900
2023-08-14,50.419998,51.34,50.310001,50.549999,50.549999,369900
2023-08-15,51.07,52.700001,50.700001,52.07,52.07,566300
2023-08-16,51.27,52.0,49.57,49.610001,49.610001,449500
2023-08-17,49.240002,50.0,48.66,48.73,48.73,422300
2023-08-18,48.400002,49.279999,47.490002,48.57,48.57,415000
2023-08-21,48.709999,49.779999,47.779999,49.700001,49.700001,499500
2023-08-22,49.709999,50.5,48.16,48.360001,48.360001,308600
2023-08-23,48.59,48.794998,47.759998,47.830002,47.830002,320400
2023-08-24,47.549999,48.34,47.150002,47.75,47.75,389200
2023-08-25,47.810001,48.389999,46.82,48.139999,48.139999,480500
2023-08-28,48.220001,50.02,48.193001,49.810001,49.810001,414100
2023-08-29,49.380001,50.509998,48.740002,50.509998,50.509998,315600
2023-08-30,50.360001,51.169998,50.360001,50.669998,50.669998,198300
2023-08-31,50.720001,51.540001,50.439999,51.459999,51.459999,419900
2023-09-01,52.07,53.095001,51.950001,52.580002,52.580002,437300
2023-09-05,52.189999,52.389999,48.959999,49.400002,49.400002,489300
2023-09-06,49.540001,49.779999,47.625,48.580002,48.580002,347800
2023-09-07,48.299999,49.889999,47.764999,49.599998,49.599998,397000
2023-09-08,49.130001,51.240002,48.349998,50.610001,50.610001,727000
2023-09-11,50.700001,52.709999,50.619999,52.700001,52.700001,1118400
2023-09-12,52.700001,53.259998,51.93,51.990002,51.990002,764900
2023-09-13,51.919998,52.41,51.279999,51.709999,51.709999,585900
2023-09-14,52.23,53.259998,50.990002,51.610001,51.610001,528500
2023-09-15,51.650002,52.34,49.490002,50.16,50.16,1361100
2023-09-18,50.290001,50.459999,49.169998,49.360001,49.360001,379700
2023-09-19,49.459999,49.880001,48.349998,49.240002,49.240002,443900
2023-09-20,49.459999,50.73,48.849998,50.299999,50.299999,467900
2023-09-21,50.119999,50.439999,47.669998,47.68,47.68,692800
2023-09-22,47.549999,48.759998,47.529999,48.099998,48.099998,376300
2023-09-25,47.919998,48.82,47.529999,48.700001,48.700001,389300
2023-09-26,48.57,48.91,47.639999,47.869999,47.869999,368100
2023-09-27,48.220001,48.445,47.200001,48.389999,48.389999,329200
2023-09-28,48.509998,49.959999,48.509998,49.650002,49.650002,261000
