Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,10.49,10.54,9.85,9.95,9.95,68300
2021-03-02,9.96,9.99,9.81,9.91,9.91,102500
2021-03-03,10.0,10.07,9.84,9.94,9.94,217300
2021-03-04,9.824,9.89,9.82,9.86,9.86,121300
2021-03-05,9.86,9.86,9.81,9.81,9.81,10500
2021-03-08,9.828,9.97,9.828,9.957,9.957,98300
2021-03-09,9.9,9.9,9.89,9.9,9.9,600
2021-03-10,9.82,9.89,9.8,9.89,9.89,15500
2021-03-11,9.87,9.945,9.8,9.9,9.9,66200
2021-03-12,9.89,9.89,9.82,9.89,9.89,900
2021-03-15,9.83,9.87,9.83,9.87,9.87,1100
2021-03-16,9.78,9.89,9.77,9.77,9.77,134200
2021-03-17,9.86,9.86,9.75,9.75,9.75,9800
2021-03-18,9.87,9.87,9.793,9.82,9.82,106600
2021-03-19,9.9,9.9,9.8,9.82,9.82,56800
2021-03-22,9.82,9.82,9.77,9.77,9.77,5400
2021-03-23,9.75,9.8,9.65,9.67,9.67,35000
2021-03-24,9.73,9.86,9.61,9.76,9.76,1400
2021-03-25,9.62,9.67,9.62,9.64,9.64,700
2021-03-26,9.83,9.83,9.66,9.66,9.66,10700
2021-03-29,9.75,9.75,9.67,9.71,9.71,3000
2021-03-30,9.71,9.71,9.5,9.59,9.59,10000
2021-03-31,9.73,9.74,9.68,9.72,9.72,96700
2021-04-01,9.85,9.85,9.75,9.75,9.75,1100
2021-04-05,9.76,9.83,9.75,9.77,9.77,3600
2021-04-06,9.73,9.78,9.72,9.75,9.75,7300
2021-04-07,9.71,9.76,9.71,9.74,9.74,64500
2021-04-08,9.785,9.79,9.765,9.79,9.79,1400
2021-04-09,9.75,9.75,9.75,9.75,9.75,3300
2021-04-12,9.8,9.98,9.8,9.86,9.86,9300
2021-04-13,9.83,9.98,9.75,9.98,9.98,153000
2021-04-14,9.88,9.92,9.79,9.91,9.91,13000
2021-04-15,9.91,9.91,9.91,9.91,9.91,0
2021-04-16,9.98,9.98,9.95,9.98,9.98,12800
2021-04-19,9.98,9.98,9.98,9.98,9.98,0
2021-04-20,9.81,9.839,9.76,9.76,9.76,1300
2021-04-21,9.84,9.84,9.76,9.77,9.77,4100
2021-04-22,9.76,9.8,9.76,9.8,9.8,5600
2021-04-23,9.8,9.8,9.8,9.8,9.8,200
2021-04-26,9.97,9.97,9.7,9.8,9.8,2400
2021-04-27,9.976,9.976,9.8,9.8,9.8,1000
2021-04-28,9.81,9.81,9.81,9.81,9.81,100
2021-04-29,9.84,9.85,9.84,9.85,9.85,9200
2021-04-30,9.77,9.775,9.76,9.76,9.76,88500
2021-05-03,9.74,9.79,9.68,9.68,9.68,28100
2021-05-04,9.72,9.72,9.69,9.69,9.69,44500
2021-05-05,9.74,9.74,9.74,9.74,9.74,3200
2021-05-06,9.75,9.84,9.737,9.84,9.84,7100
2021-05-07,9.82,9.83,9.78,9.82,9.82,3100
2021-05-10,9.797,9.797,9.797,9.797,9.797,700
2021-05-11,9.75,9.85,9.75,9.85,9.85,6200
2021-05-12,9.77,9.84,9.77,9.84,9.84,27900
2021-05-13,9.81,9.81,9.8,9.8,9.8,3900
2021-05-14,9.82,9.82,9.805,9.805,9.805,1900
2021-05-17,9.85,9.85,9.8,9.8,9.8,11100
2021-05-18,9.76,9.76,9.74,9.74,9.74,1700
2021-05-19,9.767,9.8,9.767,9.8,9.8,4200
2021-05-20,9.8,9.8,9.8,9.8,9.8,0
2021-05-21,9.84,9.84,9.8,9.8,9.8,400
2021-05-24,9.73,9.79,9.7,9.79,9.79,7500
2021-05-25,9.73,9.8,9.72,9.77,9.77,17400
2021-05-26,9.99,9.99,9.71,9.71,9.71,7700
2021-05-27,9.71,9.78,9.7,9.75,9.75,144400
2021-05-28,9.75,9.75,9.72,9.73,9.73,17800
2021-06-01,9.805,9.805,9.73,9.74,9.74,24600
2021-06-02,9.73,9.73,9.7,9.73,9.73,7300
2021-06-03,9.73,9.73,9.73,9.73,9.73,0
2021-06-04,9.72,9.72,9.72,9.72,9.72,200200
2021-06-07,9.71,9.77,9.71,9.77,9.77,2100
2021-06-08,9.77,9.77,9.77,9.77,9.77,0
2021-06-09,9.77,9.77,9.77,9.77,9.77,0
2021-06-10,9.67,9.8,9.67,9.77,9.77,6600
2021-06-11,9.78,9.8,9.7,9.75,9.75,94400
2021-06-14,9.75,9.75,9.75,9.75,9.75,0
2021-06-15,10.0,10.0,9.71,9.77,9.77,11900
2021-06-16,9.79,9.79,9.73,9.78,9.78,50700
2021-06-17,9.78,9.78,9.73,9.78,9.78,4100
2021-06-18,9.78,9.82,9.73,9.76,9.76,19700
2021-06-21,9.78,9.78,9.73,9.73,9.73,4000
2021-06-22,9.78,9.8,9.75,9.78,9.78,1600
2021-06-23,9.78,9.78,9.7,9.72,9.72,38200
2021-06-24,9.77,9.85,9.71,9.71,9.71,36000
2021-06-25,9.72,9.72,9.71,9.71,9.71,1400
2021-06-28,9.755,9.755,9.7,9.72,9.72,134500
2021-06-29,9.79,9.79,9.79,9.79,9.79,100
2021-06-30,9.715,9.715,9.715,9.715,9.715,6100
2021-07-01,9.7,9.76,9.66,9.72,9.72,49200
2021-07-02,9.71,9.71,9.68,9.7,9.7,19600
2021-07-06,9.7,9.7,9.7,9.7,9.7,0
2021-07-07,9.73,9.73,9.73,9.73,9.73,100
2021-07-08,9.73,9.73,9.73,9.73,9.73,0
2021-07-09,9.73,9.73,9.73,9.73,9.73,10500
2021-07-12,9.67,9.72,9.66,9.69,9.69,46500
2021-07-13,9.64,9.705,9.64,9.7,9.7,22000
2021-07-14,9.75,9.75,9.75,9.75,9.75,100
2021-07-15,9.75,9.75,9.75,9.75,9.75,0
2021-07-16,9.66,9.68,9.65,9.68,9.68,59500
2021-07-19,9.68,9.71,9.64,9.71,9.71,4300
2021-07-20,9.67,9.7,9.67,9.7,9.7,25700
2021-07-21,9.72,9.72,9.72,9.72,9.72,100
2021-07-22,9.728,9.728,9.728,9.728,9.728,200
2021-07-23,9.666,9.74,9.666,9.74,9.74,600
2021-07-26,9.75,9.75,9.7,9.74,9.74,400
2021-07-27,9.68,9.73,9.67,9.67,9.67,3600
2021-07-28,9.7,9.7,9.68,9.7,9.7,1400
2021-07-29,9.674,9.7,9.674,9.7,9.7,400
2021-07-30,9.62,9.7,9.62,9.7,9.7,38900
2021-08-02,9.71,9.72,9.64,9.66,9.66,27200
2021-08-03,9.71,9.71,9.7,9.7,9.7,1300
2021-08-04,9.63,9.69,9.61,9.66,9.66,93600
2021-08-05,9.66,9.66,9.66,9.66,9.66,0
2021-08-06,9.66,9.7,9.66,9.68,9.68,3200
2021-08-09,9.68,9.68,9.68,9.68,9.68,0
2021-08-10,9.68,9.68,9.68,9.68,9.68,200
2021-08-11,9.67,9.68,9.67,9.68,9.68,300
2021-08-12,9.63,9.65,9.63,9.65,9.65,922500
2021-08-13,9.62,9.645,9.62,9.63,9.63,86400
2021-08-16,9.63,9.66,9.63,9.66,9.66,3000
2021-08-17,9.63,9.68,9.63,9.66,9.66,2900
2021-08-18,9.67,9.67,9.66,9.66,9.66,400
2021-08-19,9.61,9.67,9.61,9.67,9.67,38700
2021-08-20,9.7,9.7,9.67,9.67,9.67,700
2021-08-23,9.66,9.66,9.65,9.65,9.65,1300
2021-08-24,9.685,9.7,9.65,9.68,9.68,18000
2021-08-25,9.61,9.68,9.61,9.68,9.68,700
2021-08-26,9.63,9.67,9.63,9.67,9.67,1300
2021-08-27,9.62,9.62,9.62,9.62,9.62,400
2021-08-30,9.68,9.7,9.62,9.68,9.68,1600
2021-08-31,9.69,9.7,9.675,9.7,9.7,4600
2021-09-01,9.7,9.7,9.69,9.69,9.69,500
2021-09-02,9.67,9.7,9.67,9.67,9.67,10300
2021-09-03,9.67,9.67,9.67,9.67,9.67,400
2021-09-07,9.64,9.68,9.64,9.68,9.68,700
2021-09-08,9.67,9.71,9.67,9.71,9.71,755300
2021-09-09,9.68,9.71,9.67,9.67,9.67,106400
2021-09-10,9.71,9.73,9.68,9.72,9.72,57500
2021-09-13,9.69,9.72,9.69,9.715,9.715,17700
2021-09-14,9.7,9.72,9.7,9.715,9.715,10800
2021-09-15,9.7,9.77,9.7,9.77,9.77,45400
2021-09-16,9.71,9.755,9.71,9.755,9.755,15100
2021-09-17,9.73,9.77,9.73,9.77,9.77,206300
2021-09-20,9.74,9.75,9.74,9.74,9.74,2200
2021-09-21,9.74,9.75,9.74,9.74,9.74,3800
2021-09-22,9.73,9.758,9.73,9.74,9.74,2100
2021-09-23,9.73,9.73,9.72,9.72,9.72,300
2021-09-24,9.72,9.74,9.72,9.74,9.74,1300
2021-09-27,9.7,9.74,9.7,9.74,9.74,2300
2021-09-28,9.74,9.74,9.74,9.74,9.74,0
2021-09-29,9.74,9.74,9.74,9.74,9.74,2900
2021-09-30,9.74,9.75,9.74,9.74,9.74,3600
2021-10-01,9.75,9.77,9.74,9.74,9.74,4600
2021-10-04,9.78,9.78,9.74,9.75,9.75,42500
2021-10-05,9.75,9.75,9.75,9.75,9.75,0
2021-10-06,9.74,9.74,9.72,9.73,9.73,36700
2021-10-07,9.8,9.8,9.74,9.75,9.75,6000
2021-10-08,9.75,9.75,9.74,9.75,9.75,17800
2021-10-11,9.78,9.78,9.78,9.78,9.78,200
2021-10-12,9.71,9.74,9.69,9.74,9.74,233200
2021-10-13,9.74,9.75,9.73,9.75,9.75,3800
2021-10-14,9.76,9.76,9.72,9.72,9.72,300
2021-10-15,9.72,9.75,9.72,9.72,9.72,2000
2021-10-18,9.73,9.75,9.73,9.73,9.73,1000
2021-10-19,9.748,9.75,9.74,9.75,9.75,2400
2021-10-20,9.75,9.75,9.75,9.75,9.75,0
2021-10-21,9.73,9.745,9.73,9.74,9.74,3700
2021-10-22,9.74,9.74,9.74,9.74,9.74,0
2021-10-25,9.73,9.76,9.73,9.76,9.76,2100
2021-10-26,9.81,9.81,9.75,9.76,9.76,2000
2021-10-27,9.753,9.76,9.75,9.76,9.76,900
2021-10-28,9.74,9.76,9.73,9.73,9.73,6400
2021-10-29,9.75,9.76,9.75,9.76,9.76,1800
2021-11-01,9.76,9.76,9.76,9.76,9.76,0
2021-11-02,9.755,9.78,9.755,9.78,9.78,51900
2021-11-03,9.75,9.77,9.74,9.77,9.77,400
2021-11-04,9.756,9.76,9.756,9.76,9.76,100100
2021-11-05,9.76,9.76,9.75,9.76,9.76,7900
2021-11-08,9.75,9.76,9.75,9.76,9.76,700
2021-11-09,9.82,9.82,9.75,9.75,9.75,800
2021-11-10,9.74,9.74,9.74,9.74,9.74,200
2021-11-11,9.78,9.78,9.73,9.77,9.77,11700
2021-11-12,9.77,9.77,9.77,9.77,9.77,100
2021-11-15,9.75,9.77,9.75,9.77,9.77,700
2021-11-16,9.74,9.78,9.74,9.78,9.78,400
2021-11-17,9.755,9.77,9.75,9.77,9.77,1300
2021-11-18,9.77,9.78,9.77,9.77,9.77,37200
2021-11-19,9.77,9.79,9.76,9.79,9.79,21400
2021-11-22,9.77,9.79,9.76,9.76,9.76,26200
2021-11-23,9.8,9.8,9.79,9.8,9.8,11200
2021-11-24,9.8,9.8,9.8,9.8,9.8,0
2021-11-26,9.8,9.8,9.8,9.8,9.8,100
2021-11-29,9.77,9.77,9.73,9.77,9.77,43200
2021-11-30,9.77,9.8,9.76,9.79,9.79,45500
2021-12-01,9.77,9.79,9.75,9.78,9.78,74800
2021-12-02,9.75,9.78,9.75,9.78,9.78,17100
2021-12-03,9.78,9.78,9.78,9.78,9.78,0
2021-12-06,9.77,9.8,9.77,9.79,9.79,283900
2021-12-07,9.775,9.79,9.76,9.79,9.79,3500
2021-12-08,9.8,9.82,9.76,9.79,9.79,15000
2021-12-09,9.76,9.79,9.76,9.77,9.77,3100
2021-12-10,9.76,9.76,9.76,9.76,9.76,300
2021-12-13,9.84,9.84,9.79,9.79,9.79,5700
2021-12-14,9.8,9.8,9.77,9.8,9.8,241400
2021-12-15,9.78,9.78,9.76,9.77,9.77,29200
2021-12-16,9.76,9.77,9.73,9.76,9.76,192200
2021-12-17,9.77,9.78,9.74,9.78,9.78,30900
2021-12-20,9.78,9.78,9.78,9.78,9.78,280300
2021-12-21,9.75,9.76,9.71,9.75,9.75,49900
2021-12-22,9.71,9.72,9.71,9.72,9.72,2400
2021-12-23,9.75,9.75,9.71,9.75,9.75,18600
2021-12-27,9.75,9.76,9.72,9.75,9.75,178700
2021-12-28,9.73,9.745,9.72,9.745,9.745,3200
2021-12-29,9.73,9.75,9.73,9.74,9.74,154000
2021-12-30,9.71,9.76,9.71,9.75,9.75,93400
2021-12-31,9.76,9.76,9.72,9.75,9.75,14600
2022-01-03,9.75,9.77,9.75,9.76,9.76,100300
2022-01-04,9.75,9.76,9.75,9.76,9.76,1100
2022-01-05,9.75,9.77,9.74,9.75,9.75,124600
2022-01-06,9.747,9.75,9.74,9.74,9.74,1400
2022-01-07,9.74,9.76,9.74,9.75,9.75,32300
2022-01-10,9.745,9.75,9.74,9.74,9.74,28900
2022-01-11,9.74,9.76,9.74,9.76,9.76,91400
