Date,Open,High,Low,Close,Adj Close,Volume
2007-11-15,23.0,28.450001,22.059999,26.1,23.581875,11770500
2007-11-16,25.98,25.98,23.6,24.959999,22.551855,1242900
2007-11-19,24.709999,25.75,24.530001,25.75,23.265648,469500
2007-11-20,25.42,29.209999,25.26,27.32,24.684168,522200
2007-11-21,27.0,27.129999,25.940001,26.65,24.078815,167500
2007-11-23,27.299999,28.33,26.82,27.4,24.756456,100700
2007-11-26,27.99,29.49,27.530001,27.799999,25.117857,438300
2007-11-27,28.23,28.75,26.280001,26.98,24.376972,305800
2007-11-28,27.120001,27.620001,26.68,27.299999,24.6661,273600
2007-11-29,26.610001,27.99,26.6,27.299999,24.6661,110600
2007-11-30,27.6,28.700001,27.1,27.65,24.982327,524000
2007-12-03,27.700001,28.200001,27.4,27.969999,25.271454,83600
2007-12-04,27.709999,29.75,27.24,29.35,26.518312,387400
2007-12-05,32.68,32.68,28.889999,29.280001,26.455061,207200
2007-12-06,29.0,29.42,28.440001,28.91,26.12077,97700
2007-12-07,29.059999,29.1,28.5,28.879999,26.09366,82500
2007-12-10,28.59,29.950001,28.59,29.0,26.202085,177900
2007-12-11,28.99,29.4,28.25,29.0,26.202085,236200
2007-12-12,29.360001,29.360001,28.299999,28.48,25.732254,64700
2007-12-13,27.93,29.0,27.93,28.940001,26.147865,78000
2007-12-14,28.83,28.940001,28.33,28.719999,25.9491,118200
2007-12-17,27.940001,29.059999,27.67,27.98,25.280487,128600
2007-12-18,28.0,28.799999,28.0,28.5,25.750324,132400
2007-12-19,28.559999,29.35,28.559999,28.950001,26.156904,197600
2007-12-20,28.950001,29.01,28.889999,28.889999,26.102692,197800
2007-12-21,29.5,34.330002,29.4,33.720001,30.466703,498600
2007-12-24,33.599998,34.400002,32.549999,33.919998,30.6474,142000
2007-12-26,33.919998,36.0,33.799999,34.349998,31.035913,228300
2007-12-27,34.349998,37.189999,33.799999,36.549999,33.023651,194600
2007-12-28,36.450001,38.27,36.0,37.32,33.719379,165900
2007-12-31,37.450001,38.400002,36.0,38.400002,34.695175,136200
2008-01-02,37.82,37.950001,33.119999,33.849998,30.584154,442900
2008-01-03,33.849998,33.849998,30.559999,30.790001,27.819382,395900
2008-01-04,28.74,31.0,28.110001,30.15,27.241127,354100
2008-01-07,29.75,29.75,27.75,28.139999,25.425058,383000
2008-01-08,28.0,28.15,26.01,26.629999,24.060741,183900
2008-01-09,27.299999,29.75,24.74,27.76,25.081718,383400
2008-01-10,29.299999,31.4,26.799999,29.639999,26.780338,531500
2008-01-11,29.42,32.77,29.209999,30.43,27.494118,121900
2008-01-14,30.1,30.5,29.75,30.5,27.557362,198300
2008-01-15,30.5,30.93,29.719999,30.709999,27.747107,74200
2008-01-16,30.76,30.76,28.5,29.299999,26.473139,123700
2008-01-17,29.450001,29.450001,28.65,28.99,26.193043,122400
2008-01-18,29.709999,29.75,29.0,29.32,26.491207,238900
2008-01-22,28.15,29.200001,27.33,28.9,26.111729,193000
2008-01-23,28.98,32.470001,28.379999,31.16,28.153685,193100
2008-01-24,30.780001,33.0,30.24,32.169998,29.066236,305000
2008-01-25,32.400002,32.580002,31.129999,31.780001,28.713875,148700
2008-01-28,31.299999,34.0,30.030001,33.060001,29.870375,222500
2008-01-29,32.669998,33.459999,32.349998,32.779999,29.617386,142600
2008-01-30,32.77,33.0,31.0,32.700001,29.545101,117300
2008-01-31,32.5,33.0,32.099998,32.970001,29.789057,114800
2008-02-01,32.970001,35.970001,32.400002,34.599998,31.261795,134600
2008-02-04,34.599998,34.900002,33.0,33.48,30.249846,75300
2008-02-05,33.48,33.48,31.98,32.869999,29.698709,109100
2008-02-06,32.700001,32.720001,31.09,31.370001,28.34343,146000
2008-02-07,31.4,32.0,29.52,29.709999,26.843588,128000
2008-02-08,30.15,31.33,30.139999,31.33,28.307283,103400
2008-02-11,31.35,31.950001,31.0,31.43,28.397646,94600
2008-02-12,31.25,31.940001,30.43,31.299999,28.280178,147800
2008-02-13,31.200001,33.869999,31.200001,33.830002,30.566082,114200
2008-02-14,33.59,33.799999,32.150002,33.279999,30.069147,103100
2008-02-15,33.279999,33.32,30.33,31.74,28.677731,142700
2008-02-19,31.700001,32.439999,30.360001,32.099998,29.002995,183500
2008-02-20,31.84,34.34,30.940001,32.209999,29.102383,181300
2008-02-21,32.299999,33.990002,31.6,33.599998,30.358271,207100
2008-02-22,33.5,34.150002,32.48,33.73,30.47574,123500
2008-02-25,33.75,34.169998,32.849998,33.09,29.89748,158500
2008-02-26,33.34,35.360001,32.619999,33.919998,30.6474,186100
2008-02-27,33.75,34.290001,31.32,32.0,28.912643,220300
2008-02-28,32.549999,32.549999,29.18,31.09,28.090439,344100
2008-02-29,32.360001,32.360001,29.33,29.73,26.861652,216900
2008-03-03,29.5,30.35,28.290001,29.07,26.265329,188100
2008-03-04,27.82,29.870001,27.190001,29.360001,26.527351,177400
2008-03-05,29.92,32.099998,29.719999,31.65,28.596403,221400
2008-03-06,31.639999,31.84,29.559999,29.860001,26.979113,214800
2008-03-07,29.76,30.209999,26.469999,28.26,25.533482,268800
2008-03-10,28.389999,28.389999,26.84,27.01,24.404079,85800
2008-03-11,27.49,30.34,27.25,30.290001,27.367622,166300
2008-03-12,30.059999,31.0,29.6,29.83,26.952003,194800
2008-03-13,29.6,30.360001,28.76,29.940001,27.05139,176700
2008-03-14,29.940001,29.940001,26.25,26.860001,24.268549,306100
2008-03-17,26.33,26.540001,23.290001,23.57,21.295969,367900
2008-03-18,25.780001,27.540001,23.73,27.0,24.395044,563900
2008-03-19,26.620001,27.75,25.9,26.690001,24.114943,275700
2008-03-20,26.440001,28.209999,25.9,28.209999,25.488297,171400
2008-03-24,28.360001,30.91,28.219999,30.07,27.168848,219600
2008-03-25,29.74,30.9,28.620001,30.389999,27.457972,163400
2008-03-26,30.49,30.790001,29.4,29.41,26.572527,242400
2008-03-27,29.700001,30.85,29.33,29.700001,26.834549,173700
2008-03-28,29.6,31.5,29.379999,31.25,28.235004,137600
2008-03-31,30.91,30.91,28.07,29.75,26.879728,230600
2008-04-01,29.82,31.51,29.66,30.889999,27.909735,116300
2008-04-02,31.0,32.25,29.68,31.77,28.70483,128100
2008-04-03,31.6,32.939999,30.700001,32.029999,28.939749,108400
2008-04-04,31.809999,33.639999,31.67,32.779999,29.617386,57700
2008-04-07,32.82,32.82,31.15,31.41,28.379564,47000
2008-04-08,31.280001,31.99,30.17,30.790001,27.819382,163300
2008-04-09,28.950001,29.379999,24.65,27.98,25.280487,835100
2008-04-10,30.139999,30.139999,27.57,28.49,25.741287,159500
2008-04-11,28.0,28.99,27.129999,27.93,25.235315,173800
2008-04-14,27.799999,28.290001,27.41,27.719999,25.045578,151000
2008-04-15,27.91,28.129999,26.76,27.17,24.548637,84500
2008-04-16,27.41,28.43,26.5,28.049999,25.343739,161000
2008-04-17,28.02,28.77,27.440001,28.549999,25.795498,138900
2008-04-18,28.83,29.42,28.1,28.73,25.958132,200000
2008-04-21,28.799999,28.959999,28.01,28.49,25.741287,288800
2008-04-22,28.26,28.620001,27.610001,28.6,25.840679,313800
2008-04-23,28.52,29.9,27.91,29.459999,26.617702,253800
