Date,Open,High,Low,Close,Adj Close,Volume
2009-07-24,20.0,20.0,20.0,20.0,20.0,1200
2009-07-27,20.0,20.0,20.0,20.0,20.0,0
2009-07-28,28.0,28.0,28.0,28.0,28.0,16400
2009-07-29,28.0,28.0,27.75,27.75,27.75,24900
2009-07-30,28.0,28.5,28.0,28.5,28.5,38700
2009-07-31,28.0,28.0,28.0,28.0,28.0,700
2009-08-03,29.0,29.0,29.0,29.0,29.0,500
2009-08-04,29.0,29.0,29.0,29.0,29.0,0
2009-08-05,30.0,30.0,30.0,30.0,30.0,500
2009-08-06,30.0,30.0,30.0,30.0,30.0,0
2009-08-07,30.0,30.0,30.0,30.0,30.0,0
2009-08-10,30.0,30.0,30.0,30.0,30.0,39200
2009-08-11,30.0,30.0,30.0,30.0,30.0,0
2009-08-12,30.0,30.0,30.0,30.0,30.0,0
2009-08-13,30.0,30.0,30.0,30.0,30.0,0
2009-08-14,30.0,30.0,30.0,30.0,30.0,0
2009-08-17,30.0,30.0,30.0,30.0,30.0,0
2009-08-18,39.0,40.450001,39.0,40.450001,40.450001,900
2009-08-19,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-20,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-21,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-24,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-25,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-26,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-27,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-28,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-08-31,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-09-01,40.450001,40.450001,40.450001,40.450001,40.450001,0
2009-09-02,35.0,35.0,34.0,34.0,34.0,300
2009-09-03,34.0,34.0,34.0,34.0,34.0,0
2009-09-04,30.0,30.0,30.0,30.0,30.0,500
2009-09-08,30.0,30.0,30.0,30.0,30.0,500
2009-09-09,30.0,30.0,30.0,30.0,30.0,500
2009-09-10,30.0,30.0,30.0,30.0,30.0,0
2009-09-11,32.0,37.0,30.0,37.0,37.0,107500
2009-09-14,37.0,37.0,37.0,37.0,37.0,0
2009-09-15,38.0,38.25,38.0,38.25,38.25,7600
2009-09-16,38.25,38.25,38.25,38.25,38.25,0
2009-09-17,38.25,38.25,38.25,38.25,38.25,0
2009-09-18,38.25,38.25,38.25,38.25,38.25,0
2009-09-21,38.25,38.25,38.25,38.25,38.25,0
2009-09-22,42.0,42.0,42.0,42.0,42.0,24200
2009-09-23,42.0,42.0,42.0,42.0,42.0,0
2009-09-24,42.0,42.0,42.0,42.0,42.0,0
2009-09-25,42.0,42.0,42.0,42.0,42.0,0
2009-09-28,42.0,42.0,42.0,42.0,42.0,0
2009-09-29,42.0,42.0,42.0,42.0,42.0,0
2009-09-30,38.0,38.0,38.0,38.0,38.0,300
2009-10-01,38.0,38.0,38.0,38.0,38.0,0
2009-10-02,37.0,37.0,37.0,37.0,37.0,207400
2009-10-05,37.0,37.0,37.0,37.0,37.0,0
2009-10-06,37.0,37.0,37.0,37.0,37.0,0
2009-10-07,37.0,37.0,37.0,37.0,37.0,0
2009-10-08,37.0,37.0,37.0,37.0,37.0,0
2009-10-09,37.0,37.0,37.0,37.0,37.0,171900
2009-10-12,37.0,37.0,37.0,37.0,37.0,0
2009-10-13,37.0,37.0,37.0,37.0,37.0,0
2009-10-14,37.0,37.0,37.0,37.0,37.0,0
2009-10-15,37.0,37.0,37.0,37.0,37.0,0
2009-10-16,37.0,37.0,37.0,37.0,37.0,0
2009-10-19,37.0,37.0,37.0,37.0,37.0,0
2009-10-20,37.0,37.0,37.0,37.0,37.0,0
2009-10-21,37.0,37.0,37.0,37.0,37.0,0
2009-10-22,34.880001,35.0,34.880001,35.0,35.0,47100
2009-10-23,34.75,35.0,34.75,35.0,35.0,5000
2009-10-26,35.0,35.0,35.0,35.0,35.0,0
2009-10-27,35.0,35.0,35.0,35.0,35.0,0
2009-10-28,35.0,35.0,35.0,35.0,35.0,0
2009-10-29,35.0,35.0,35.0,35.0,35.0,0
2009-10-30,35.0,35.0,35.0,35.0,35.0,0
2009-11-02,35.0,35.0,35.0,35.0,35.0,0
2009-11-03,35.0,35.0,35.0,35.0,35.0,0
2009-11-04,35.0,35.0,35.0,35.0,35.0,0
2009-11-05,35.0,35.0,35.0,35.0,35.0,0
2009-11-06,35.0,35.0,35.0,35.0,35.0,0
2009-11-09,35.0,35.0,35.0,35.0,35.0,0
2009-11-10,35.0,35.0,35.0,35.0,35.0,0
2009-11-11,35.0,35.0,35.0,35.0,35.0,0
2009-11-12,35.0,35.0,35.0,35.0,35.0,0
2009-11-13,35.0,35.0,35.0,35.0,35.0,0
2009-11-16,35.0,35.0,35.0,35.0,35.0,0
2009-11-17,35.0,35.0,35.0,35.0,35.0,3500
2009-11-18,35.0,35.0,35.0,35.0,35.0,0
2009-11-19,35.0,35.0,35.0,35.0,35.0,0
2009-11-20,35.0,35.0,35.0,35.0,35.0,0
2009-11-23,35.0,35.0,35.0,35.0,35.0,0
2009-11-24,35.0,35.0,35.0,35.0,35.0,0
2009-11-25,35.0,35.0,35.0,35.0,35.0,0
2009-11-27,35.0,35.0,35.0,35.0,35.0,0
2009-11-30,35.0,35.0,35.0,35.0,35.0,0
2009-12-01,35.0,35.0,35.0,35.0,35.0,0
2009-12-02,35.0,35.0,35.0,35.0,35.0,0
2009-12-03,35.0,35.0,35.0,35.0,35.0,0
2009-12-04,35.0,35.0,35.0,35.0,35.0,0
2009-12-07,32.25,33.25,32.200001,32.5,32.5,17300
2009-12-08,32.5,32.5,32.5,32.5,32.5,0
2009-12-09,32.5,32.5,32.5,32.5,32.5,0
2009-12-10,33.0,33.049999,33.0,33.0,33.0,18200
2009-12-11,33.0,33.0,33.0,33.0,33.0,0
2009-12-14,33.0,33.0,33.0,33.0,33.0,0
2009-12-15,32.0,32.0,32.0,32.0,32.0,400
2009-12-16,34.0,34.25,34.0,34.0,34.0,6300
2009-12-17,34.0,34.0,34.0,34.0,34.0,0
2009-12-18,36.5,36.5,36.25,36.25,36.25,100000
2009-12-21,36.25,36.25,36.25,36.25,36.25,0
2009-12-22,36.25,36.25,36.25,36.25,36.25,0
2009-12-23,36.25,36.25,36.25,36.25,36.25,0
2009-12-24,36.25,36.25,36.25,36.25,36.25,0
2009-12-28,36.25,36.25,36.25,36.25,36.25,0
2009-12-29,36.25,36.25,36.25,36.25,36.25,0
2009-12-30,36.25,36.25,36.25,36.25,36.25,0
2009-12-31,36.25,36.25,36.25,36.25,36.25,0
2010-01-04,36.25,36.5,36.25,36.5,36.5,2300
2010-01-05,36.25,36.5,36.25,36.5,36.5,6600
2010-01-06,36.25,37.5,36.25,37.5,37.5,222000
2010-01-07,37.5,37.5,37.5,37.5,37.5,0
2010-01-08,37.5,37.5,37.0,37.5,37.5,65700
2010-01-11,37.5,37.5,37.5,37.5,37.5,0
2010-01-12,37.5,37.5,37.5,37.5,37.5,0
2010-01-13,37.5,37.5,37.5,37.5,37.5,0
2010-01-14,37.5,37.5,37.5,37.5,37.5,0
2010-01-15,37.5,37.5,37.5,37.5,37.5,0
2010-01-19,37.5,37.5,37.5,37.5,37.5,0
2010-01-20,37.5,37.5,37.5,37.5,37.5,0
2010-01-21,37.5,37.5,37.5,37.5,37.5,0
2010-01-22,39.25,39.25,39.25,39.25,39.25,100000
2010-01-25,39.25,39.25,39.25,39.25,39.25,0
2010-01-26,39.25,39.25,39.25,39.25,39.25,0
2010-01-27,39.25,39.25,39.25,39.25,39.25,0
2010-01-28,39.25,39.25,39.25,39.25,39.25,0
2010-01-29,39.25,39.25,39.25,39.25,39.25,0
2010-02-01,39.25,39.25,39.25,39.25,39.25,0
2010-02-02,39.25,39.25,39.25,39.25,39.25,0
2010-02-03,40.0,40.5,40.0,40.5,40.5,74700
2010-02-04,40.5,40.5,40.5,40.5,40.5,0
2010-02-05,40.5,40.5,40.5,40.5,40.5,0
2010-02-08,40.5,40.5,40.5,40.5,40.5,0
2010-02-09,42.0,42.0,41.75,41.75,41.75,75000
2010-02-10,41.75,41.75,41.75,41.75,41.75,0
2010-02-11,41.75,41.75,41.75,41.75,41.75,0
2010-02-12,41.75,41.75,41.75,41.75,41.75,0
2010-02-16,41.75,41.75,41.75,41.75,41.75,0
2010-02-17,42.0,42.75,42.0,42.75,42.75,190300
2010-02-18,43.0,43.5,43.0,43.5,43.5,782000
2010-02-19,42.75,42.75,42.75,42.75,42.75,550000
2010-02-22,42.75,42.75,42.75,42.75,42.75,0
2010-02-23,42.0,42.0,42.0,42.0,42.0,1598800
2010-02-24,42.0,42.0,42.0,42.0,42.0,0
2010-02-25,42.0,42.0,42.0,42.0,42.0,0
2010-02-26,42.0,42.0,42.0,42.0,42.0,0
2010-03-01,42.0,42.0,42.0,42.0,42.0,0
2010-03-02,42.0,42.0,42.0,42.0,42.0,34900
2010-03-03,42.0,42.0,42.0,42.0,42.0,0
2010-03-04,42.25,42.25,42.25,42.25,42.25,94700
2010-03-05,42.25,42.25,42.25,42.25,42.25,0
2010-03-08,42.25,42.25,42.25,42.25,42.25,0
2010-03-09,42.25,42.25,42.25,42.25,42.25,0
