Date,Open,High,Low,Close,Adj Close,Volume
1982-09-20,0.0,1.7,1.7,1.7,0.882697,4000
1982-09-21,0.0,1.75,1.75,1.75,0.908659,2000
1982-09-22,0.0,1.85,1.7875,1.85,0.960582,39000
1982-09-23,1.85,1.85,1.85,1.85,0.960582,0
1982-09-24,0.0,1.825,1.7875,1.7875,0.92813,11000
1982-09-27,1.7875,1.7875,1.7875,1.7875,0.92813,0
1982-09-28,0.0,1.775,1.75,1.75,0.908659,7000
1982-09-29,0.0,1.75,1.75,1.75,0.908659,3000
1982-09-30,0.0,1.7125,1.7125,1.7125,0.889187,2000
1982-10-01,1.7125,1.7125,1.7125,1.7125,0.889187,0
1982-10-04,1.7125,1.7125,1.7125,1.7125,0.889187,0
1982-10-05,0.0,1.7125,1.7125,1.7125,0.889187,1000
1982-10-06,1.7125,1.7125,1.7125,1.7125,0.889187,0
1982-10-07,1.7125,1.7125,1.7125,1.7125,0.889187,0
1982-10-08,1.7125,1.7125,1.7125,1.7125,0.889187,0
1982-10-11,0.0,1.725,1.725,1.725,0.895678,3000
1982-10-12,0.0,1.725,1.725,1.725,0.895678,2000
1982-10-13,1.725,1.725,1.725,1.725,0.895678,0
1982-10-14,0.0,1.775,1.75,1.775,0.92164,15000
1982-10-15,1.775,1.775,1.775,1.775,0.92164,0
1982-10-18,0.0,1.775,1.775,1.775,0.92164,6000
1982-10-19,0.0,1.8,1.775,1.8,0.93462,27000
1982-10-20,0.0,1.775,1.65,1.65,0.856735,11000
1982-10-21,0.0,1.6375,1.575,1.575,0.817793,11000
1982-10-22,0.0,1.575,1.55,1.575,0.817793,8000
1982-10-25,0.0,1.55,1.5,1.5,0.77885,15000
1982-10-26,0.0,1.525,1.5,1.525,0.791831,2000
1982-10-27,0.0,1.5,1.5,1.5,0.77885,2000
1982-10-28,0.0,1.55,1.525,1.55,0.804812,18000
1982-10-29,1.55,1.55,1.55,1.55,0.804812,0
1982-11-01,0.0,1.575,1.575,1.575,0.817793,2000
1982-11-02,0.0,1.6,1.575,1.575,0.817793,4000
1982-11-03,0.0,1.7,1.6,1.7,0.882697,10000
1982-11-04,0.0,1.675,1.675,1.675,0.869716,1000
1982-11-05,0.0,1.625,1.625,1.625,0.843754,5000
1982-11-08,0.0,1.6,1.6,1.6,0.830774,8000
1982-11-09,1.6,1.6,1.6,1.6,0.830774,0
1982-11-10,0.0,1.65,1.625,1.65,0.856735,39000
1982-11-11,1.65,1.65,1.65,1.65,0.856735,0
1982-11-12,1.65,1.65,1.65,1.65,0.856735,0
1982-11-15,0.0,1.625,1.625,1.625,0.843754,70000
1982-11-16,0.0,1.65,1.6125,1.65,0.856735,16000
1982-11-17,0.0,1.625,1.6,1.625,0.843754,29000
1982-11-18,0.0,1.625,1.6125,1.6125,0.837264,9000
1982-11-19,0.0,1.675,1.6375,1.65,0.856735,35000
1982-11-22,1.65,1.65,1.65,1.65,0.856735,0
1982-11-23,0.0,1.65,1.625,1.625,0.843754,11000
1982-11-24,0.0,1.625,1.625,1.625,0.843754,1000
1982-11-26,1.625,1.625,1.625,1.625,0.843754,0
1982-11-29,0.0,1.65,1.625,1.65,0.856735,6000
1982-11-30,0.0,1.65,1.625,1.625,0.843754,6000
1982-12-01,1.625,1.625,1.625,1.625,0.843754,0
1982-12-02,0.0,1.625,1.625,1.625,0.843754,3000
1982-12-03,0.0,1.6,1.6,1.6,0.830774,2000
1982-12-06,0.0,1.6125,1.6,1.6,0.830774,15000
1982-12-07,0.0,1.6625,1.6,1.6125,0.837264,16000
1982-12-08,0.0,1.625,1.625,1.625,0.843754,1000
1982-12-09,0.0,1.65,1.6125,1.625,0.843754,16000
1982-12-10,0.0,1.625,1.625,1.625,0.843754,1000
1982-12-13,0.0,1.625,1.625,1.625,0.843754,3000
