Date,Open,High,Low,Close,Adj Close,Volume
2020-04-03,9.66,9.72,9.66,9.72,9.72,25100
2020-04-06,9.72,9.72,9.72,9.72,9.72,0
2020-04-07,9.75,9.75,9.731,9.75,9.75,4200
2020-04-08,9.75,9.81,9.75,9.8,9.8,50600
2020-04-09,9.8,9.8,9.8,9.8,9.8,0
2020-04-13,9.8,9.8,9.8,9.8,9.8,0
2020-04-14,9.85,9.9,9.79,9.81,9.81,1280700
2020-04-15,9.8,9.8,9.78,9.78,9.78,101000
2020-04-16,9.76,9.78,9.7,9.76,9.76,260500
2020-04-17,9.81,9.81,9.77,9.77,9.77,784200
2020-04-20,9.75,9.8,9.75,9.8,9.8,500
2020-04-21,9.8,9.8,9.8,9.8,9.8,0
2020-04-22,9.85,9.85,9.85,9.85,9.85,100
2020-04-23,9.85,9.85,9.8,9.82,9.82,8700
2020-04-24,9.75,9.85,9.75,9.84,9.84,250500
2020-04-27,9.95,9.95,9.95,9.95,9.95,2000
2020-04-28,9.94,9.94,9.94,9.94,9.94,1103000
2020-04-29,9.95,9.95,9.95,9.95,9.95,2100
2020-04-30,9.95,9.95,9.95,9.95,9.95,1100
2020-05-01,9.9,9.9,9.89,9.89,9.89,251700
2020-05-04,9.7,9.9,9.7,9.89,9.89,960600
2020-05-05,9.89,9.89,9.89,9.89,9.89,0
2020-05-06,9.85,9.86,9.85,9.86,9.86,404700
2020-05-07,9.86,9.86,9.86,9.86,9.86,0
2020-05-08,9.875,10.25,9.85,9.92,9.92,305600
2020-05-11,9.93,9.97,9.92,9.97,9.97,223400
2020-05-12,10.397,10.397,10.0,10.2,10.2,397700
2020-05-13,10.1,10.24,10.02,10.02,10.02,369700
2020-05-14,10.09,10.15,10.05,10.09,10.09,426100
2020-05-15,10.09,10.1,10.04,10.04,10.04,7300
2020-05-18,10.05,10.07,10.05,10.07,10.07,800
2020-05-19,10.065,10.1,10.065,10.09,10.09,702300
2020-05-20,10.05,10.24,10.05,10.1,10.1,523800
2020-05-21,10.076,10.12,10.076,10.1,10.1,10600
2020-05-22,10.1,10.1,10.1,10.1,10.1,2400
2020-05-26,10.14,10.18,10.05,10.1,10.1,16200
2020-05-27,10.15,10.2,10.078,10.14,10.14,54800
2020-05-28,10.11,10.2,10.1,10.2,10.2,21500
2020-05-29,10.17,10.36,10.15,10.25,10.25,153800
2020-06-01,10.25,10.25,10.03,10.23,10.23,39200
2020-06-02,10.3,10.3,10.135,10.2,10.2,23400
2020-06-03,10.22,10.23,10.042,10.19,10.19,21300
2020-06-04,10.24,10.24,10.06,10.19,10.19,419400
