Date,Open,High,Low,Close,Adj Close,Volume
2005-01-06,52.0,53.0,52.0,52.5,32.37933,20500
2005-01-07,53.5,54.0,53.5,54.0,33.304459,2600
2005-01-10,54.5,56.5,53.900002,53.900002,33.242786,8050
2005-01-11,54.5,54.5,53.200001,54.0,33.304459,1750
2005-01-12,54.0,54.0,52.5,52.5,32.37933,15110
2005-01-13,53.200001,54.0,53.200001,54.0,33.304459,750
2005-01-14,54.0,54.0,54.0,54.0,33.304459,0
2005-01-18,53.200001,53.5,53.200001,53.5,32.996082,1600
2005-01-19,54.099998,55.0,54.0,55.0,33.921211,3060
2005-01-20,54.799999,54.799999,53.5,54.200001,33.427807,8680
2005-01-21,54.700001,55.0,54.099998,54.900002,33.859531,4170
2005-01-24,55.0,55.299999,54.5,54.5,33.612835,4700
2005-01-25,54.200001,54.5,54.200001,54.5,33.612835,1850
2005-01-26,54.599998,54.599998,53.5,53.5,32.996082,7850
2005-01-27,53.5,54.0,52.5,54.0,33.304459,20370
2005-01-28,54.0,54.0,54.0,54.0,33.304459,0
2005-01-31,54.5,56.0,54.5,56.0,34.53796,16830
2005-02-01,56.0,56.0,55.0,55.0,33.921211,1450
2005-02-02,56.0,56.5,54.0,54.0,33.304459,1750
2005-02-03,55.0,56.0,55.0,56.0,34.53796,29530
2005-02-04,56.0,56.0,56.0,56.0,34.53796,1700
2005-02-07,56.5,57.5,56.5,57.5,35.463093,17320
2005-02-08,57.0,58.0,57.0,57.5,35.463093,7620
2005-02-09,57.5,59.5,57.5,59.0,36.388199,69360
2005-02-10,59.299999,62.0,59.0,59.0,36.388199,92470
2005-02-11,60.200001,60.400002,59.700001,60.099998,37.066624,19590
2005-02-14,60.099998,60.099998,59.799999,59.799999,36.881596,2850
2005-02-15,59.5,59.700001,58.5,58.5,36.079819,3350
2005-02-16,58.0,58.0,56.5,57.0,35.154705,19060
2005-02-17,57.5,58.0,57.5,57.900002,35.709793,7290
2005-02-18,58.0,58.0,57.5,57.5,35.463093,1270
2005-02-22,57.900002,58.5,57.799999,58.0,35.77145,11080
2005-02-23,58.0,59.0,58.0,59.0,36.388199,93760
2005-02-24,59.0,60.0,59.0,60.0,37.004948,9100
2005-02-25,60.0,60.0,59.5,59.5,36.696583,3630
2005-02-28,59.5,59.700001,58.5,59.700001,36.819931,2940
2005-03-01,59.5,63.5,59.299999,63.099998,38.916874,91480
2005-03-02,63.5,70.400002,63.5,66.900002,41.260532,173360
2005-03-03,66.900002,67.0,66.5,66.900002,41.260532,51100
2005-03-04,67.0,67.0,66.599998,66.699997,41.13718,13090
2005-03-07,66.599998,66.599998,64.0,64.5,39.780327,15550
2005-03-08,65.0,65.0,61.5,62.0,38.238449,21680
2005-03-09,62.0,62.5,62.0,62.400002,38.485153,17960
2005-03-10,62.0,62.400002,61.0,61.5,37.93008,7080
2005-03-11,61.0,61.299999,59.799999,60.599998,37.375,15250
2005-03-14,60.799999,60.799999,58.0,58.0,35.77145,7060
2005-03-15,58.700001,60.0,58.700001,60.0,37.004948,6400
2005-03-16,60.0,60.5,59.5,59.5,36.696583,1620
2005-03-17,59.400002,59.5,59.0,59.299999,36.573231,5950
2005-03-18,59.0,59.700001,59.0,59.5,36.696583,16510
2005-03-21,59.5,60.0,59.5,59.900002,36.943287,760
2005-03-22,59.900002,62.0,59.799999,61.5,37.93008,6600
2005-03-23,61.099998,61.099998,60.299999,61.0,37.621708,24190
2005-03-24,61.299999,61.299999,61.0,61.0,37.621708,1310
2005-03-28,61.0,61.0,59.0,59.5,36.696583,11630
2005-03-29,59.5,59.700001,59.099998,59.400002,36.634907,1990
2005-03-30,59.400002,59.400002,59.400002,59.400002,36.634907,0
2005-03-31,59.5,61.200001,59.5,60.700001,37.436676,13980
2005-04-01,61.0,61.0,59.599998,60.0,37.004948,4740
2005-04-04,60.200001,61.0,60.0,61.0,37.621708,1310
2005-04-05,60.5,60.5,60.0,60.0,37.004948,3790
2005-04-06,59.599998,59.799999,59.200001,59.700001,36.819931,650
2005-04-07,59.799999,60.0,59.099998,60.0,37.004948,3660
2005-04-08,60.0,61.0,60.0,61.0,37.621708,5490
2005-04-11,61.0,61.0,60.5,60.5,37.313324,120
2005-04-12,60.599998,60.599998,60.200001,60.200001,37.128296,400
2005-04-13,60.5,60.5,60.0,60.200001,37.128296,1640
2005-04-14,59.599998,59.599998,59.0,59.400002,36.634907,2190
2005-04-15,59.0,59.5,57.099998,58.0,35.77145,4440
2005-04-18,57.599998,57.700001,57.5,57.5,35.463093,3400
2005-04-19,57.700001,59.5,57.700001,59.299999,36.573231,8050
2005-04-20,59.5,61.0,59.0,60.0,37.004948,35300
2005-04-21,59.799999,61.5,59.799999,61.0,37.621708,35880
2005-04-22,61.0,61.700001,61.0,61.5,37.93008,18290
2005-04-25,61.700001,61.700001,60.5,60.5,37.313324,17410
2005-04-26,60.299999,61.0,59.5,60.5,37.313324,13240
2005-04-27,60.5,60.5,60.099998,60.099998,37.066624,780
2005-04-28,60.299999,60.299999,58.799999,58.799999,36.264854,4020
2005-04-29,58.5,60.099998,58.0,60.0,37.004948,23300
2005-05-02,60.0,60.0,58.5,58.799999,36.264854,5340
2005-05-03,58.599998,58.599998,57.099998,57.5,35.463093,9330
2005-05-04,57.200001,58.5,56.900002,58.5,36.079819,2250
2005-05-05,59.0,59.0,58.0,58.5,36.079819,270
2005-05-06,58.0,58.700001,57.0,58.700001,36.203178,1940
2005-05-09,58.5,59.0,57.0,59.0,36.388199,870
2005-05-10,59.0,59.0,59.0,59.0,36.388199,700
2005-05-11,59.299999,59.299999,58.0,58.0,35.77145,1020
2005-05-12,57.900002,57.900002,57.200001,57.200001,35.278057,500
2005-05-13,57.200001,58.5,57.099998,57.5,35.463093,4150
2005-05-16,57.5,57.5,56.0,56.0,34.53796,3080
2005-05-17,56.5,56.799999,56.0,56.799999,35.031353,20000
2005-05-18,56.799999,57.5,56.400002,57.299999,35.339741,18220
2005-05-19,57.099998,57.400002,56.400002,56.400002,34.78466,22590
2005-05-20,56.700001,58.099998,56.700001,57.5,35.463093,18800
2005-05-23,57.299999,57.299999,57.0,57.0,35.154705,150
2005-05-24,56.5,57.0,56.5,56.5,34.846329,9550
2005-05-25,56.599998,56.900002,55.799999,56.299999,34.72298,7410
2005-05-26,56.299999,57.0,55.700001,57.0,35.154705,6070
2005-05-27,58.0,58.0,57.900002,58.0,35.77145,670
2005-05-31,57.700001,58.0,57.5,57.700001,35.58643,2540
2005-06-01,57.5,57.5,57.5,57.5,35.463093,150
2005-06-02,57.299999,57.5,57.299999,57.5,35.463093,7700
2005-06-03,57.299999,57.5,57.200001,57.400002,35.401398,9380
2005-06-06,57.099998,57.299999,56.099998,56.299999,34.72298,32110
2005-06-07,56.299999,56.799999,56.200001,56.200001,34.661304,8400
2005-06-08,56.200001,56.799999,56.0,56.799999,35.031353,7060
2005-06-09,56.5,57.200001,56.5,57.200001,35.278057,3560
2005-06-10,57.200001,57.200001,57.0,57.0,35.154705,2650
2005-06-13,56.900002,57.0,56.799999,56.799999,35.031353,13760
2005-06-14,56.799999,56.799999,56.0,56.599998,34.907997,34150
2005-06-15,56.700001,56.900002,56.700001,56.799999,35.031353,15550
2005-06-16,56.799999,57.0,56.599998,56.799999,35.031353,16850
2005-06-17,56.799999,56.900002,56.5,56.700001,34.969696,1610
2005-06-20,56.900002,56.900002,56.599998,56.599998,34.907997,330
2005-06-21,56.599998,56.900002,56.200001,56.200001,34.661304,3960
2005-06-22,56.099998,57.0,54.599998,56.5,34.846329,14430
2005-06-23,56.5,56.900002,56.0,56.900002,35.093033,65920
2005-06-24,56.5,57.0,56.5,56.799999,35.031353,21450
2005-06-27,56.599998,56.799999,56.5,56.599998,34.907997,10370
2005-06-28,56.5,56.799999,56.099998,56.200001,34.661304,3720
2005-06-29,56.599998,56.599998,56.0,56.099998,34.59964,2970
2005-06-30,56.5,57.200001,56.5,57.0,35.154705,144710
2005-07-01,57.099998,57.299999,56.599998,57.299999,35.339741,2280
2005-07-05,57.299999,57.5,57.200001,57.400002,35.401398,3100
2005-07-06,57.5,59.299999,57.200001,59.0,36.388199,9320
2005-07-07,58.599998,59.0,58.400002,58.900002,36.326519,10200
2005-07-08,58.799999,59.099998,58.799999,59.0,36.388199,3360
2005-07-11,59.0,59.0,58.799999,59.0,36.388199,2820
2005-07-12,58.900002,59.0,58.700001,58.799999,36.264854,5550
2005-07-13,58.799999,59.200001,58.299999,59.200001,36.511559,3530
2005-07-14,59.0,59.0,58.0,58.0,35.77145,1150
2005-07-15,58.0,58.099998,56.5,58.0,35.77145,5410
2005-07-18,58.0,58.5,58.0,58.5,36.079819,1330
2005-07-19,58.5,58.599998,57.5,57.5,35.463093,1480
2005-07-20,57.299999,57.900002,57.299999,57.700001,35.58643,3820
2005-07-21,58.299999,59.0,58.0,58.700001,36.203178,19490
2005-07-22,58.799999,61.400002,58.5,61.400002,37.868401,17420
2005-07-25,61.900002,61.900002,59.5,60.5,37.313324,20370
2005-07-26,60.799999,60.799999,60.0,60.0,37.004948,33230
2005-07-27,59.700001,60.0,59.0,59.299999,36.573231,5770
2005-07-28,59.0,59.799999,57.099998,58.400002,36.018147,13290
2005-07-29,58.700001,59.099998,58.099998,59.0,36.388199,8360
2005-08-01,58.5,59.0,58.0,58.5,36.079819,9530
2005-08-02,58.5,58.5,58.099998,58.5,36.079819,5100
