Date,Open,High,Low,Close,Adj Close,Volume
2002-09-12,14.52,14.85,14.52,14.85,4.633625,16100
2002-09-13,14.83,14.83,14.66,14.66,4.574338,3400
2002-09-16,14.78,14.78,14.78,14.78,4.611783,700
2002-09-17,14.75,14.75,14.67,14.67,4.577462,2000
2002-09-18,14.77,14.77,14.44,14.44,4.505691,11200
2002-09-19,14.54,14.88,14.54,14.65,4.571217,7400
2002-09-20,14.71,14.75,14.71,14.75,4.602422,3000
2002-09-23,14.61,14.67,14.5,14.67,4.577462,12100
2002-09-24,14.65,14.65,14.6,14.6,4.555617,9100
2002-09-25,14.6,14.6,14.5,14.5,4.524414,4200
2002-09-26,14.75,14.76,14.75,14.75,4.602422,6100
2002-09-27,14.57,14.82,14.57,14.82,4.624262,13900
2002-09-30,14.82,14.9,14.61,14.72,4.59306,12400
2002-10-01,14.74,14.87,14.5,14.68,4.580577,22800
2002-10-02,14.69,14.74,14.5,14.63,4.564979,24600
2002-10-03,14.64,14.71,14.57,14.71,4.589941,6200
2002-10-04,14.7,14.75,14.63,14.63,4.564979,4300
2002-10-07,14.73,14.75,14.63,14.63,4.564979,9600
2002-10-08,14.65,14.8,14.62,14.77,4.60866,5500
2002-10-09,14.62,14.62,14.41,14.55,4.540014,18600
2002-10-10,14.57,14.6,14.27,14.35,4.499567,12100
2002-10-11,14.42,14.5,14.35,14.5,4.546597,9300
2002-10-14,14.54,14.58,14.44,14.44,4.527785,5400
2002-10-15,14.4,14.4,14.22,14.3,4.483886,16000
2002-10-16,14.33,14.34,14.33,14.34,4.49643,1100
2002-10-17,14.21,14.3,13.85,14.0,4.389819,20300
2002-10-18,14.0,14.0,13.9,13.91,4.361601,8200
2002-10-21,13.99,13.99,13.75,13.76,4.314568,20200
2002-10-22,13.7,13.7,13.52,13.52,4.239313,14300
2002-10-23,13.64,13.65,13.5,13.5,4.233044,15200
2002-10-24,13.5,13.6,13.5,13.6,4.264397,10100
2002-10-25,13.6,13.6,13.6,13.6,4.264397,3600
2002-10-28,13.59,13.6,13.5,13.5,4.233044,5000
2002-10-29,13.6,13.75,13.6,13.75,4.311429,4700
2002-10-30,13.79,13.8,13.52,13.53,4.242448,12400
2002-10-31,13.65,13.9,13.65,13.65,4.280076,10700
2002-11-01,13.82,13.94,13.68,13.94,4.371006,12900
2002-11-04,13.79,14.0,13.72,13.91,4.361601,16600
2002-11-05,13.8,13.95,13.8,13.81,4.330247,5000
2002-11-06,13.8,13.9,13.6,13.64,4.276942,22200
2002-11-07,13.66,13.72,13.66,13.72,4.302026,2600
2002-11-08,13.79,13.83,13.66,13.67,4.286347,10400
2002-11-11,13.74,13.9,13.71,13.9,4.358463,17400
2002-11-12,13.91,14.15,13.91,14.11,4.424313,15200
2002-11-13,14.0,14.12,13.86,14.12,4.449837,11000
2002-11-14,14.09,14.09,13.86,14.08,4.437235,16400
2002-11-15,13.86,13.86,13.86,13.86,4.367903,2600
2002-11-18,13.82,13.82,13.78,13.78,4.342691,4900
2002-11-19,13.8,13.8,13.76,13.8,4.348993,3500
2002-11-20,13.72,13.72,13.52,13.52,4.260753,19700
2002-11-21,13.5,13.59,13.35,13.35,4.207182,13500
2002-11-22,13.47,13.47,13.25,13.29,4.188269,15500
2002-11-25,13.27,13.37,13.15,13.16,4.1473,24200
2002-11-26,13.26,13.39,13.25,13.39,4.219784,7200
2002-11-27,13.44,13.47,13.4,13.4,4.222933,7000
