Date,Open,High,Low,Close,Adj Close,Volume
2006-06-28,14.5,15.5,13.89,15.5,15.5,3573300
2006-06-29,15.5,16.190001,15.26,15.9,15.9,354800
2006-06-30,16.110001,16.42,15.76,15.8,15.8,171600
2006-07-03,16.200001,16.25,15.78,16.110001,16.110001,43100
2006-07-05,16.200001,16.5,15.85,16.0,16.0,109000
2006-07-06,16.32,16.32,15.8,15.85,15.85,46500
2006-07-07,16.0,16.5,15.77,16.25,16.25,213100
2006-07-10,16.75,17.59,16.25,17.299999,17.299999,231800
2006-07-11,17.6,17.74,16.360001,16.690001,16.690001,60500
2006-07-12,16.75,16.92,16.18,16.450001,16.450001,63700
2006-07-13,16.9,16.9,16.0,16.030001,16.030001,106100
2006-07-14,16.0,16.09,15.8,16.0,16.0,79100
2006-07-17,15.72,16.110001,15.7,15.89,15.89,77300
2006-07-18,15.85,16.0,15.8,15.9,15.9,231500
2006-07-19,15.86,15.98,15.75,15.76,15.76,115500
2006-07-20,15.99,16.07,15.67,15.91,15.91,312200
2006-07-21,16.09,16.09,15.56,15.56,15.56,58800
2006-07-24,15.5,15.79,15.5,15.67,15.67,41500
2006-07-25,15.66,15.97,15.55,15.92,15.92,55100
2006-07-26,15.75,15.8,15.52,15.6,15.6,39800
2006-07-27,15.74,15.75,15.58,15.58,15.58,14400
2006-07-28,15.82,15.95,15.72,15.75,15.75,24600
2006-07-31,15.75,15.8,15.73,15.75,15.75,24200
2006-08-01,15.75,16.42,15.58,16.16,16.16,118500
2006-08-02,16.459999,16.6,16.16,16.5,16.5,79300
2006-08-03,17.0,18.84,16.809999,17.440001,17.440001,801000
2006-08-04,17.870001,17.959999,16.450001,16.85,16.85,174600
2006-08-07,16.950001,17.01,16.110001,16.15,16.15,88000
2006-08-08,16.02,16.65,15.87,16.01,16.01,106200
2006-08-09,16.17,16.17,15.62,15.62,15.62,123300
2006-08-10,15.61,15.71,15.05,15.15,15.15,161800
2006-08-11,15.14,15.21,14.78,14.99,14.99,117100
2006-08-14,15.29,15.29,14.07,14.6,14.6,130200
2006-08-15,14.94,15.2,14.1,14.66,14.66,87300
2006-08-16,14.75,14.93,13.85,14.15,14.15,113300
2006-08-17,14.1,14.91,14.1,14.5,14.5,155800
2006-08-18,14.5,14.55,14.15,14.5,14.5,85200
2006-08-21,14.5,14.55,14.09,14.1,14.1,32500
2006-08-22,14.05,14.26,13.86,13.9,13.9,70500
2006-08-23,13.99,14.05,12.6,12.89,12.89,355900
2006-08-24,12.96,13.8,12.66,13.78,13.78,296000
2006-08-25,13.77,14.45,13.6,13.86,13.86,63800
2006-08-28,13.89,14.33,13.84,14.27,14.27,61400
2006-08-29,14.23,14.55,14.01,14.33,14.33,54100
2006-08-30,14.6,14.8,14.36,14.4,14.4,115900
2006-08-31,14.45,14.75,14.25,14.75,14.75,74500
2006-09-01,14.76,15.38,14.64,15.26,15.26,75600
2006-09-05,15.31,15.72,15.11,15.54,15.54,77600
2006-09-06,15.54,15.69,15.12,15.33,15.33,43300
2006-09-07,15.33,15.56,14.5,14.91,14.91,69100
2006-09-08,14.91,15.2,14.85,14.85,14.85,13800
2006-09-11,14.85,15.08,14.5,14.62,14.62,54500
2006-09-12,15.04,15.15,14.62,14.73,14.73,29100
2006-09-13,14.75,14.9,14.64,14.9,14.9,46400
2006-09-14,14.9,15.07,14.64,14.78,14.78,31900
2006-09-15,14.99,14.99,14.55,14.92,14.92,39400
2006-09-18,15.05,15.41,14.58,15.2,15.2,99000
2006-09-19,15.26,15.26,14.77,15.17,15.17,70200
2006-09-20,14.53,15.44,14.53,15.44,15.44,33500
2006-09-21,15.4,15.55,14.74,14.78,14.78,203100
2006-09-22,14.73,14.97,14.73,14.92,14.92,33200
2006-09-25,14.88,15.05,14.77,15.0,15.0,221500
2006-09-26,14.95,15.47,14.95,15.12,15.12,215400
2006-09-27,15.12,15.4,15.12,15.18,15.18,114800
2006-09-28,15.05,15.3,14.55,14.69,14.69,206900
2006-09-29,14.66,14.8,13.89,14.06,14.06,733400
2006-10-02,14.16,14.34,13.96,14.12,14.12,131500
2006-10-03,14.06,14.11,13.9,13.96,13.96,135100
2006-10-04,13.9,14.01,13.44,13.63,13.63,159800
2006-10-05,13.67,13.7,13.23,13.33,13.33,286400
2006-10-06,13.26,13.44,12.76,12.91,12.91,315700
2006-10-09,12.96,14.16,12.96,14.13,14.13,106800
2006-10-10,14.09,14.94,14.05,14.35,14.35,521400
2006-10-11,14.35,14.39,13.85,14.16,14.16,301200
2006-10-12,14.12,14.75,13.99,14.62,14.62,306300
2006-10-13,14.65,14.87,14.51,14.75,14.75,119600
2006-10-16,14.7,14.84,14.45,14.82,14.82,109200
2006-10-17,14.75,14.82,14.34,14.62,14.62,120300
