Date,Open,High,Low,Close,Adj Close,Volume
2022-03-18,8.61,9.0,7.793,8.46,8.46,259300
2022-03-21,8.46,8.62,7.75,7.89,7.89,88100
2022-03-22,7.99,8.1,7.7,7.96,7.96,108100
2022-03-23,7.76,8.5,7.76,7.88,7.88,126100
2022-03-24,7.38,7.88,6.27,6.91,6.91,240200
2022-03-25,6.89,7.195,6.11,6.41,6.41,233700
2022-03-28,6.6,7.01,6.56,6.911,6.911,93700
2022-03-29,6.81,7.3,6.61,7.12,7.12,56000
2022-03-30,7.22,7.465,7.0,7.06,7.06,63200
2022-03-31,7.06,7.39,6.9,6.9,6.9,32600
2022-04-01,6.8,7.04,6.23,6.23,6.23,79100
2022-04-04,6.6,6.99,6.5,6.84,6.84,35500
2022-04-05,6.95,7.0,6.77,6.92,6.92,30900
2022-04-06,7.0,7.04,6.81,6.96,6.96,8800
2022-04-07,6.93,7.27,6.93,7.21,7.21,5300
2022-04-08,7.05,7.29,7.04,7.29,7.29,4600
2022-04-11,7.12,7.27,6.84,6.95,6.95,25600
2022-04-12,6.99,7.15,6.32,6.68,6.68,27900
2022-04-13,6.4,6.99,6.25,6.31,6.31,67800
2022-04-14,6.35,6.6,6.21,6.23,6.23,56000
2022-04-18,6.1,6.35,6.0,6.03,6.03,42800
2022-04-19,6.21,6.36,6.05,6.33,6.33,35700
2022-04-20,6.42,6.51,6.18,6.47,6.47,36700
2022-04-21,6.55,6.81,6.31,6.79,6.79,46500
2022-04-22,6.78,7.47,6.58,7.31,7.31,74800
2022-04-25,7.3,7.83,7.3,7.83,7.83,51000
2022-04-26,7.48,7.48,7.25,7.36,7.36,19300
2022-04-27,7.43,7.85,7.32,7.47,7.47,29200
2022-04-28,7.39,7.59,7.15,7.51,7.51,28900
2022-04-29,7.215,7.71,7.215,7.71,7.71,23500
2022-05-02,7.42,7.69,7.33,7.33,7.33,4400
2022-05-03,7.25,7.6,7.2,7.44,7.44,133700
2022-05-04,7.37,7.7,7.301,7.66,7.66,19000
2022-05-05,7.53,7.75,7.35,7.48,7.48,20300
2022-05-06,7.37,7.75,7.35,7.49,7.49,19800
2022-05-09,7.74,7.74,7.25,7.3,7.3,13000
2022-05-10,7.16,7.69,6.77,6.77,6.77,79600
2022-05-11,7.29,7.52,6.88,7.17,7.17,44500
2022-05-12,7.02,7.4,6.9,7.0,7.0,22700
2022-05-13,7.0,7.0,6.39,6.66,6.66,26800
2022-05-16,6.55,7.0,6.4,6.9,6.9,18800
2022-05-17,6.79,7.21,6.629,6.89,6.89,15100
2022-05-18,6.8,7.075,6.5,6.5,6.5,7600
2022-05-19,6.18,6.67,6.18,6.52,6.52,4700
2022-05-20,6.45,6.92,6.45,6.57,6.57,24700
2022-05-23,6.37,6.825,6.28,6.54,6.54,9100
2022-05-24,6.53,6.7,6.53,6.67,6.67,5100
2022-05-25,6.57,6.725,6.54,6.54,6.54,7500
2022-05-26,6.42,6.74,6.42,6.65,6.65,13200
2022-05-27,6.65,7.77,6.65,7.26,7.26,20500
2022-05-31,7.12,7.12,5.16,5.59,5.59,217200
2022-06-01,5.95,6.2,5.669,6.15,6.15,79300
2022-06-02,5.85,6.05,5.64,5.905,5.905,39400
2022-06-03,5.8,6.02,5.67,5.96,5.96,44000
2022-06-06,5.9,5.9,5.7,5.87,5.87,20200
2022-06-07,5.6,5.9,5.56,5.85,5.85,37000
2022-06-08,5.64,5.9,5.64,5.85,5.85,22300
2022-06-09,5.87,5.98,5.71,5.87,5.87,26400
2022-06-10,5.77,5.88,5.655,5.83,5.83,19700
2022-06-13,5.5,5.78,5.3,5.3,5.3,27400
2022-06-14,5.39,5.4,5.13,5.21,5.21,33600
2022-06-15,5.15,5.15,5.06,5.09,5.09,12100
2022-06-16,5.0,5.07,4.62,4.67,4.67,23500
2022-06-17,5.09,5.09,4.33,4.33,4.33,98100
2022-06-21,4.38,4.87,4.38,4.71,4.71,19700
2022-06-22,4.86,4.9,4.72,4.88,4.88,18900
2022-06-23,5.17,5.17,4.717,4.845,4.845,42100
2022-06-24,4.95,4.99,4.75,4.95,4.95,40700
2022-06-27,4.84,4.86,4.39,4.45,4.45,36800
2022-06-28,4.56,4.75,4.4,4.44,4.44,27500
2022-06-29,4.45,4.75,4.45,4.65,4.65,56800
2022-06-30,4.74,5.205,4.47,4.5,4.5,61100
2022-07-01,4.59,4.59,4.37,4.5,4.5,24600
2022-07-05,4.49,5.0,4.49,4.85,4.85,26300
2022-07-06,5.19,5.19,4.51,4.8,4.8,23200
2022-07-07,4.81,5.15,4.81,5.13,5.13,23200
2022-07-08,5.18,5.2,4.989,5.04,5.04,17200
2022-07-11,5.13,5.15,4.98,4.99,4.99,18400
2022-07-12,4.89,5.18,4.86,4.94,4.94,13700
2022-07-13,4.79,5.09,4.76,4.9,4.9,9800
2022-07-14,4.77,4.99,4.66,4.69,4.69,13000
2022-07-15,4.61,4.92,4.51,4.61,4.61,25500
2022-07-18,4.53,4.81,4.523,4.68,4.68,12700
2022-07-19,4.99,5.08,4.72,4.72,4.72,23100
2022-07-20,4.71,4.84,4.69,4.7,4.7,26200
2022-07-21,5.0,5.0,4.71,4.9,4.9,16900
2022-07-22,4.79,4.9,4.57,4.58,4.58,10200
2022-07-25,5.63,5.63,4.63,4.82,4.82,31900
2022-07-26,4.75,4.95,4.6,4.72,4.72,12400
2022-07-27,4.74,4.8,4.52,4.79,4.79,17900
2022-07-28,4.68,5.0,4.52,4.6,4.6,34200
2022-07-29,4.54,4.85,4.36,4.46,4.46,62900
2022-08-01,4.6,4.7,4.38,4.46,4.46,11100
2022-08-02,4.5,4.6,4.5,4.6,4.6,6200
2022-08-03,4.51,4.7,4.47,4.6,4.6,9200
2022-08-04,4.69,4.9,4.61,4.64,4.64,13400
2022-08-05,4.81,4.81,4.63,4.81,4.81,10000
2022-08-08,4.81,4.9,4.76,4.86,4.86,14500
2022-08-09,4.8,4.9,4.8,4.8,4.8,7400
2022-08-10,4.75,4.9,4.75,4.75,4.75,16900
2022-08-11,4.74,4.9,4.74,4.82,4.82,17800
2022-08-12,4.89,4.89,4.72,4.77,4.77,7600
2022-08-15,4.87,5.0,4.75,4.8,4.8,22100
2022-08-16,4.94,4.94,4.79,4.83,4.83,3300
2022-08-17,4.85,4.95,4.7,4.75,4.75,18700
2022-08-18,4.81,4.95,4.77,4.9,4.9,132000
2022-08-19,4.76,4.98,4.68,4.73,4.73,123700
2022-08-22,4.8,4.98,4.7,4.8,4.8,103400
2022-08-23,4.75,4.95,4.631,4.75,4.75,27300
2022-08-24,4.75,4.815,4.68,4.68,4.68,39100
2022-08-25,4.94,5.09,4.74,4.8,4.8,94000
2022-08-26,4.75,4.87,4.74,4.75,4.75,27900
2022-08-29,4.66,4.8,4.62,4.63,4.63,21900
2022-08-30,4.7,4.8,4.61,4.8,4.8,29900
2022-08-31,4.8,5.285,4.75,5.11,5.11,83000
2022-09-01,5.18,5.18,4.82,4.96,4.96,38400
2022-09-02,5.06,5.06,4.86,4.96,4.96,46700
2022-09-06,4.86,5.0,4.84,4.99,4.99,33700
2022-09-07,4.9,5.0,4.865,5.0,5.0,38900
2022-09-08,4.93,4.99,4.88,4.885,4.885,5500
2022-09-09,4.91,5.13,4.9,5.11,5.11,96800
2022-09-12,5.0,5.05,4.9,4.92,4.92,9100
2022-09-13,4.83,5.05,4.61,4.61,4.61,23000
2022-09-14,4.59,4.9,4.59,4.74,4.74,19900
2022-09-15,4.7,4.89,4.67,4.71,4.71,17700
2022-09-16,4.79,4.79,4.67,4.67,4.67,3300
2022-09-19,4.75,4.87,4.59,4.59,4.59,15700
2022-09-20,4.7,4.7,4.59,4.59,4.59,600
2022-09-21,4.71,4.75,4.48,4.48,4.48,29000
2022-09-22,4.61,4.75,4.31,4.42,4.42,24600
2022-09-23,4.52,4.69,4.23,4.23,4.23,54900
2022-09-26,4.34,4.55,4.11,4.2,4.2,30100
2022-09-27,4.32,4.56,4.29,4.47,4.47,31900
2022-09-28,4.37,4.6,4.37,4.49,4.49,40700
2022-09-29,4.4,4.6,4.4,4.47,4.47,20400
2022-09-30,4.5,4.55,4.48,4.48,4.48,14100
2022-10-03,4.5,4.6,4.49,4.5,4.5,7500
2022-10-04,4.45,4.6,4.45,4.52,4.52,29100
2022-10-05,4.59,4.593,4.5,4.53,4.53,11000
2022-10-06,4.48,4.72,4.48,4.72,4.72,13800
2022-10-07,4.52,4.59,4.46,4.46,4.46,14400
2022-10-10,4.44,4.6,4.44,4.55,4.55,22500
2022-10-11,4.55,4.58,4.51,4.55,4.55,32800
2022-10-12,4.52,4.59,4.49,4.49,4.49,5600
2022-10-13,4.5,4.67,4.48,4.5,4.5,67300
2022-10-14,4.57,4.57,4.5,4.52,4.52,11800
2022-10-17,4.48,4.55,4.34,4.46,4.46,21100
2022-10-18,4.5,4.54,4.42,4.5,4.5,24600
2022-10-19,4.5,4.67,4.47,4.5,4.5,56000
2022-10-20,4.5,4.63,4.455,4.54,4.54,51600
2022-10-21,4.5,4.56,4.38,4.38,4.38,35800
2022-10-24,4.38,4.55,4.38,4.38,4.38,19900
2022-10-25,4.46,4.81,4.436,4.67,4.67,16500
2022-10-26,4.65,4.82,4.65,4.75,4.75,11800
2022-10-27,4.8,4.82,4.8,4.82,4.82,1900
2022-10-28,4.86,5.05,4.7,4.7,4.7,16100
2022-10-31,4.75,5.14,4.75,5.01,5.01,1900
2022-11-01,5.1,5.94,5.03,5.37,5.37,40400
2022-11-02,5.4,5.51,5.32,5.38,5.38,3100
2022-11-03,5.47,5.7,5.403,5.53,5.53,10000
2022-11-04,5.51,5.79,5.445,5.57,5.57,8500
2022-11-07,5.57,5.75,5.56,5.58,5.58,3000
2022-11-08,5.58,5.6,5.29,5.46,5.46,8700
2022-11-09,5.26,5.415,5.25,5.25,5.25,3200
2022-11-10,5.31,5.38,4.92,5.17,5.17,20000
2022-11-11,5.06,5.33,5.06,5.19,5.19,4500
2022-11-14,5.17,5.28,4.87,4.96,4.96,8400
2022-11-15,4.95,5.05,4.85,4.96,4.96,6900
2022-11-16,5.217,5.25,5.14,5.14,5.14,1700
2022-11-17,5.25,5.25,4.83,4.95,4.95,2300
2022-11-18,5.21,5.21,4.81,5.15,5.15,8000
2022-11-21,4.83,5.16,4.817,5.15,5.15,12700
2022-11-22,4.846,5.1,4.846,5.06,5.06,3100
2022-11-23,5.0,5.05,4.97,4.99,4.99,21700
2022-11-25,4.99,5.01,4.86,4.92,4.92,38100
2022-11-28,4.88,4.98,4.81,4.95,4.95,18600
2022-11-29,4.9,4.99,4.83,4.89,4.89,15700
2022-11-30,4.9,5.245,4.825,5.15,5.15,69300
2022-12-01,4.95,5.04,4.95,5.0,5.0,28500
2022-12-02,5.01,5.1,4.985,5.1,5.1,27500
2022-12-05,5.01,5.1,4.95,5.0,5.0,9400
2022-12-06,5.0,5.005,5.0,5.0,5.0,2800
2022-12-07,5.0,5.01,4.82,5.0,5.0,11200
2022-12-08,4.99,5.13,4.99,5.1,5.1,31000
2022-12-09,5.05,5.15,5.04,5.15,5.15,41800
2022-12-12,5.05,5.05,4.975,4.975,4.975,2000
2022-12-13,5.05,5.05,4.95,4.985,4.985,2300
2022-12-14,4.93,4.99,4.85,4.85,4.85,1200
2022-12-15,4.99,4.99,4.93,4.93,4.93,5600
2022-12-16,4.8,5.035,4.8,4.97,4.97,30800
2022-12-19,4.9,4.9,4.81,4.86,4.86,2500
2022-12-20,4.81,4.862,4.81,4.862,4.862,2500
2022-12-21,4.81,4.84,4.503,4.6,4.6,9600
2022-12-22,4.55,4.717,4.42,4.42,4.42,7800
2022-12-23,4.4,4.53,4.35,4.35,4.35,19900
2022-12-27,4.03,4.347,4.03,4.068,4.068,9800
2022-12-28,4.13,4.29,4.08,4.27,4.27,27900
2022-12-29,4.2,4.385,4.2,4.28,4.28,31900
2022-12-30,4.25,4.4,4.23,4.31,4.31,17500
2023-01-03,4.27,4.4,4.27,4.4,4.4,1800
2023-01-04,4.47,4.6,4.47,4.58,4.58,2200
2023-01-05,4.375,4.568,4.375,4.4,4.4,3100
2023-01-06,4.36,4.39,4.36,4.36,4.36,1400
2023-01-09,4.44,4.6,4.44,4.536,4.536,5100
2023-01-10,4.44,4.53,4.44,4.525,4.525,1000
2023-01-11,4.42,4.42,4.39,4.4,4.4,4200
2023-01-12,4.55,4.56,4.55,4.55,4.55,1500
2023-01-13,4.6,4.626,4.483,4.483,4.483,2600
2023-01-17,4.57,4.57,4.45,4.52,4.52,4600
2023-01-18,4.48,4.5,4.44,4.44,4.44,1200
2023-01-19,4.38,4.52,4.25,4.45,4.45,7500
2023-01-20,4.52,4.52,4.32,4.32,4.32,2300
2023-01-23,4.27,4.4,4.188,4.39,4.39,3200
2023-01-24,4.37,4.37,4.34,4.34,4.34,1400
