Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,18.0,22.76,17.5,21.51,19.098539,111631600
2020-08-07,24.75,26.85,22.66,24.9,22.10849,89903400
2020-08-10,24.24,24.75,21.370001,21.67,19.240601,26126800
2020-08-11,21.1,21.6,20.040001,20.58,18.272799,18118200
2020-08-12,20.65,21.190001,19.25,20.0,17.757824,17365100
2020-08-13,19.200001,19.6,18.309999,18.74,16.63908,19121400
2020-08-14,20.299999,20.49,18.68,18.959999,16.834415,34817500
2020-08-17,19.389999,19.43,18.809999,19.040001,16.905449,8908400
2020-08-18,19.620001,20.799999,19.1,20.139999,17.882126,16284100
2020-08-19,20.08,21.66,20.0,21.4,19.000872,16762500
2020-08-20,22.5,24.450001,22.200001,23.790001,21.122932,35029100
2020-08-21,24.73,27.200001,24.42,25.889999,22.987501,39128700
2020-08-24,28.799999,29.959999,27.85,29.110001,25.846512,41478400
2020-08-25,29.299999,29.42,27.110001,28.610001,25.402565,36330700
2020-08-26,27.68,28.48,26.51,27.32,24.257187,21137500
2020-08-27,27.309999,28.969999,26.700001,27.1,24.06185,17824100
2020-08-28,27.5,28.98,27.177,28.42,25.233868,16363200
2020-08-31,29.33,29.639,26.75,28.0,24.860952,24922600
2020-09-01,28.200001,31.0,27.799999,30.709999,27.267138,30720700
2020-09-02,33.939999,34.423,30.610001,31.309999,27.799871,62243000
2020-09-03,28.02,29.15,25.799999,26.5,23.529116,41944500
2020-09-04,26.809999,27.0,22.559999,24.57,21.815485,32980800
2020-09-08,23.02,24.77,22.549999,22.74,20.190643,16893800
2020-09-09,23.870001,24.969999,23.25,23.389999,20.767773,15817000
2020-09-10,23.73,24.49,23.07,23.15,20.55468,10147900
2020-09-11,23.309999,23.49,22.370001,22.75,20.199524,8176800
2020-09-14,22.940001,24.15,22.923,23.700001,21.04302,8672100
2020-09-15,24.15,24.6,23.25,23.360001,20.741137,7339200
2020-09-16,23.15,23.540001,22.66,22.719999,20.172886,8880600
2020-09-17,22.0,23.540001,21.719999,22.57,20.039703,7994800
2020-09-18,22.709999,23.040001,22.18,22.27,19.773336,14445200
2020-09-21,21.5,22.09,21.110001,21.42,19.018629,8183400
2020-09-22,21.620001,22.059999,21.188,21.57,19.151812,7409700
2020-09-23,21.65,22.219,20.190001,20.299999,18.024189,11701000
2020-09-24,20.0,20.799999,19.370001,20.059999,17.811096,11048700
2020-09-25,20.35,21.190001,20.01,20.52,18.219528,8393000
2020-09-28,20.82,21.0,20.26,20.67,18.352711,6690800
2020-09-29,20.5,20.68,19.9,20.07,17.819975,7073100
2020-09-30,20.030001,20.356001,19.841,19.93,17.695671,6718300
2020-10-01,19.969999,22.93,19.9,22.66,20.119614,27027300
2020-10-02,21.379999,23.1,21.25,23.0,20.421495,17008700
2020-10-05,23.0,23.4,22.129999,22.559999,20.030823,12424600
2020-10-06,22.559999,22.879999,21.393999,21.719999,19.284994,8084000
2020-10-07,22.0,22.129999,21.52,21.700001,19.267239,5506700
2020-10-08,21.83,23.389999,21.66,22.73,20.181767,13169200
2020-10-09,23.690001,23.99,22.6,22.959999,20.385981,16426700
2020-10-12,22.77,23.48,22.26,23.139999,20.545801,12646900
2020-10-13,23.059999,23.93,22.950001,23.58,20.936474,13230100
2020-10-14,23.99,23.99,22.68,22.76,20.208403,8827200
2020-10-15,22.27,22.809999,21.91,22.35,19.844368,5943000
2020-10-16,22.49,22.84,21.82,21.91,19.453695,6171500
2020-10-19,22.01,22.129999,20.73,20.74,18.414862,7174600
2020-10-20,21.0,21.02,20.25,20.559999,18.255041,6737100
2020-10-21,20.48,20.610001,19.940001,20.01,17.766703,7742600
2020-10-22,20.110001,20.530001,19.77,20.25,17.979795,8436700
2020-10-23,20.34,21.07,19.950001,20.57,18.263922,8703500
2020-10-26,20.200001,20.584999,19.709999,19.879999,17.651276,7427800
2020-10-27,19.950001,20.715,19.66,20.110001,17.855492,9098500
2020-10-28,19.700001,19.870001,18.629999,18.65,16.55917,12631600
