Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,10.05,10.07,10.05,10.06,10.06,116400
2023-05-11,10.06,10.06,10.06,10.06,10.06,140100
2023-05-12,10.07,10.08,10.06,10.06,10.06,60800
2023-05-15,10.06,10.06,10.05,10.05,10.05,132900
2023-05-16,10.05,10.05,10.05,10.05,10.05,414300
2023-05-17,10.05,10.05,10.05,10.05,10.05,0
2023-05-18,10.05,10.07,10.05,10.07,10.07,1500
2023-05-19,10.07,10.07,10.07,10.07,10.07,0
2023-05-22,10.06,10.07,10.06,10.07,10.07,800
2023-05-23,10.07,10.07,10.07,10.07,10.07,0
2023-05-24,10.07,10.09,10.07,10.09,10.09,45100
2023-05-25,10.09,10.09,10.09,10.09,10.09,0
2023-05-26,10.09,10.09,10.09,10.09,10.09,0
2023-05-30,10.09,10.09,10.09,10.09,10.09,3700
2023-05-31,10.09,10.09,10.085,10.085,10.085,237500
2023-06-01,10.08,10.08,10.08,10.08,10.08,100
2023-06-02,10.1,10.1,10.08,10.09,10.09,121200
2023-06-05,10.1,10.1,10.085,10.085,10.085,105400
2023-06-06,10.1,10.1,10.09,10.09,10.09,272600
2023-06-07,10.08,10.09,10.08,10.09,10.09,300
2023-06-08,10.11,10.11,10.08,10.09,10.09,50700
2023-06-09,10.1,10.1,10.1,10.1,10.1,200
2023-06-12,10.09,10.09,10.09,10.09,10.09,400
2023-06-13,10.1,10.1,10.081,10.081,10.081,200
2023-06-14,10.09,10.1,10.09,10.09,10.09,45000
2023-06-15,10.09,10.09,10.08,10.08,10.08,106500
2023-06-16,10.08,10.08,10.08,10.08,10.08,0
2023-06-20,10.08,10.08,10.08,10.08,10.08,0
2023-06-21,10.09,10.09,10.08,10.08,10.08,46600
2023-06-22,10.11,10.11,10.08,10.08,10.08,6100
2023-06-23,10.08,10.08,10.08,10.08,10.08,0
2023-06-26,10.11,10.11,10.09,10.09,10.09,50500
2023-06-27,10.1,10.111,10.095,10.1,10.1,82600
2023-06-28,10.11,10.11,10.1,10.1,10.1,385600
2023-06-29,10.11,10.11,10.11,10.11,10.11,120400
2023-06-30,10.29,10.29,10.11,10.11,10.11,91100
2023-07-03,10.1,10.1,10.1,10.1,10.1,100
2023-07-05,10.1,10.1,10.1,10.1,10.1,0
2023-07-06,10.1,10.1,10.1,10.1,10.1,0
2023-07-07,10.1,10.1,10.1,10.1,10.1,0
2023-07-10,10.11,10.11,10.1,10.105,10.105,75500
2023-07-11,10.105,10.105,10.105,10.105,10.105,0
2023-07-12,10.11,10.11,10.11,10.11,10.11,1500
2023-07-13,10.12,10.12,10.11,10.11,10.11,117300
2023-07-14,10.12,10.13,10.11,10.13,10.13,388600
2023-07-17,10.13,10.13,10.124,10.124,10.124,10400
2023-07-18,10.13,10.13,10.13,10.13,10.13,100
2023-07-19,10.13,10.15,10.13,10.14,10.14,20400
2023-07-20,10.14,10.14,10.14,10.14,10.14,0
2023-07-21,10.14,10.14,10.14,10.14,10.14,400
2023-07-24,10.12,10.14,10.12,10.12,10.12,18500
2023-07-25,10.12,10.12,10.12,10.12,10.12,0
2023-07-26,10.12,10.12,10.12,10.12,10.12,0
2023-07-27,10.13,10.14,10.13,10.14,10.14,1200
2023-07-28,10.135,10.14,10.13,10.13,10.13,13500
2023-07-31,10.135,10.135,10.135,10.135,10.135,1000
2023-08-01,10.13,10.13,10.13,10.13,10.13,10600
2023-08-02,10.135,10.144,10.135,10.144,10.144,43400
2023-08-03,10.144,10.144,10.144,10.144,10.144,0
2023-08-04,10.15,10.15,10.15,10.15,10.15,23500
2023-08-07,10.15,10.15,10.15,10.15,10.15,100
2023-08-08,10.13,10.13,10.13,10.13,10.13,800
2023-08-09,10.15,10.15,10.15,10.15,10.15,100
2023-08-10,10.15,10.16,10.15,10.16,10.16,253400
2023-08-11,10.16,10.16,10.16,10.16,10.16,47200
2023-08-14,10.16,10.16,10.16,10.16,10.16,4300
2023-08-15,10.16,10.16,10.16,10.16,10.16,9500
2023-08-16,10.16,10.16,10.16,10.16,10.16,67100
2023-08-17,10.16,10.16,10.16,10.16,10.16,0
2023-08-18,10.17,10.17,10.16,10.17,10.17,77200
2023-08-21,10.17,10.17,10.17,10.17,10.17,500
2023-08-22,10.17,10.17,10.17,10.17,10.17,105100
2023-08-23,10.17,10.17,10.17,10.17,10.17,45000
2023-08-24,10.17,10.17,10.17,10.17,10.17,0
2023-08-25,10.177,10.177,10.177,10.177,10.177,1800
2023-08-28,10.177,10.177,10.177,10.177,10.177,0
2023-08-29,10.177,10.177,10.177,10.177,10.177,0
2023-08-30,10.177,10.177,10.177,10.177,10.177,0
2023-08-31,10.18,10.18,10.18,10.18,10.18,105000
2023-09-01,10.19,10.22,10.19,10.2,10.2,53200
2023-09-05,10.19,10.195,10.19,10.195,10.195,1300
2023-09-06,10.195,10.195,10.195,10.195,10.195,0
2023-09-07,10.19,10.21,10.19,10.21,10.21,25100
2023-09-08,10.2,10.2,10.19,10.19,10.19,400
2023-09-11,10.19,10.21,10.19,10.21,10.21,1200
2023-09-12,10.205,10.21,10.2,10.205,10.205,30900
2023-09-13,10.2,10.2,10.2,10.2,10.2,250500
2023-09-14,10.21,10.21,10.21,10.21,10.21,100
2023-09-15,10.2,10.2,10.2,10.2,10.2,800
2023-09-18,10.2,10.21,10.2,10.21,10.21,13700
2023-09-19,10.2,10.21,10.2,10.21,10.21,12500
2023-09-20,10.21,10.21,10.2,10.21,10.21,28600
2023-09-21,10.21,10.21,10.21,10.21,10.21,0
2023-09-22,10.21,10.23,10.21,10.23,10.23,4000
2023-09-25,10.23,10.23,10.23,10.23,10.23,0
2023-09-26,10.23,10.23,10.23,10.23,10.23,200
2023-09-27,10.225,10.23,10.225,10.23,10.23,31200
