Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,12.21,12.47,11.0,11.55,9.258597,4329500
2017-05-15,11.95,12.0,11.41,11.75,9.418921,575100
2017-05-16,11.88,12.25,11.62,12.03,9.643368,247400
2017-05-17,12.01,12.2,11.61,12.04,9.651386,263400
2017-05-18,12.02,12.07,11.76,12.0,9.619323,312100
2017-05-19,11.98,12.11,11.67,11.85,9.499082,166000
2017-05-22,11.95,12.05,11.75,11.83,9.483048,244900
2017-05-23,11.82,12.01,11.73,11.85,9.499082,149600
2017-05-24,11.81,12.01,11.72,12.0,9.619323,190200
2017-05-25,12.04,12.137,11.74,12.0,9.619323,284800
2017-05-26,11.96,12.015,11.77,11.98,9.60329,412700
2017-05-30,12.0,12.049,11.84,11.87,9.515114,436700
2017-05-31,11.79,11.94,11.3,11.5,9.218515,328800
2017-06-01,11.47,12.0,11.468,11.7,9.378839,171800
2017-06-02,11.67,11.85,11.63,11.67,9.354791,124200
2017-06-05,11.63,11.77,11.5,11.56,9.266616,167600
2017-06-06,11.8,11.9,11.44,11.54,9.250582,571500
2017-06-07,11.62,11.652,10.08,10.36,8.304679,738300
2017-06-08,10.34,10.55,9.895,10.04,8.048166,534700
2017-06-09,10.1,10.24,9.93,9.97,7.992054,437800
2017-06-12,10.05,10.55,10.05,10.39,8.328731,401100
2017-06-13,10.79,11.688,10.52,11.34,9.090259,558100
2017-06-14,11.27,11.35,10.9,11.16,8.945968,370700
2017-06-15,11.08,11.38,10.56,11.13,8.921921,243600
2017-06-16,11.08,11.48,11.0,11.25,9.018113,379300
2017-06-19,11.28,11.38,10.9,11.26,9.026129,172200
2017-06-20,11.19,11.19,10.6,10.71,8.585244,205200
2017-06-21,10.74,11.0,10.501,10.9,8.73755,143100
2017-06-22,10.83,11.05,10.11,10.31,8.2646,242200
2017-06-23,10.21,10.8,10.21,10.73,8.601275,1175600
2017-06-26,10.8,10.89,10.6,10.74,8.609292,105100
2017-06-27,10.74,11.5,10.74,11.1,8.897873,168800
2017-06-28,11.14,11.97,11.05,11.43,9.162405,168200
2017-06-29,11.33,11.86,11.33,11.77,9.434952,125900
2017-06-30,11.77,11.9,11.47,11.53,9.242562,103900
2017-07-03,11.46,11.81,11.46,11.62,9.314712,195200
2017-07-05,11.69,11.69,11.18,11.38,9.122322,140200
2017-07-06,11.4,11.96,11.181,11.61,9.306694,234900
2017-07-07,11.55,11.73,11.22,11.59,9.290662,177700
2017-07-10,11.6,12.01,11.04,11.98,9.60329,185700
2017-07-11,11.96,12.2,11.778,12.0,9.619323,165500
2017-07-12,12.08,12.1,11.5,11.71,9.386855,101000
2017-07-13,11.67,12.0,11.211,11.95,9.579241,109300
2017-07-14,11.87,12.24,11.53,12.09,9.691467,60300
2017-07-17,12.05,13.45,11.77,12.93,10.36482,347500
2017-07-18,13.02,13.16,12.8,12.88,10.324739,237700
2017-07-19,12.85,14.0,12.16,13.86,11.110317,396300
2017-07-20,14.02,14.067,12.58,12.71,10.188467,348000
2017-07-21,12.77,13.055,12.32,12.76,10.228544,121000
2017-07-24,12.75,12.89,12.36,12.72,10.196483,166600
2017-07-25,12.75,12.9,12.0,12.29,9.851789,154100
2017-07-26,12.26,13.0,12.153,12.78,10.244577,281600
