Date,Open,High,Low,Close,Adj Close,Volume
2003-12-04,27.209999,27.25,27.200001,27.209999,6.529248,2900
2003-12-05,27.16,27.23,27.16,27.200001,6.526846,1300
2003-12-08,27.299999,27.5,27.299999,27.5,6.598835,3600
2003-12-09,27.5,27.5,27.5,27.5,6.598835,0
2003-12-10,27.5,27.5,27.5,27.5,6.598835,0
2003-12-11,27.700001,27.9,27.700001,27.9,6.694821,2400
2003-12-12,27.790001,27.790001,27.780001,27.780001,6.666022,2900
2003-12-15,27.799999,27.799999,27.549999,27.549999,6.610832,1300
2003-12-16,27.799999,27.799999,27.799999,27.799999,6.670819,200
2003-12-17,27.799999,27.799999,27.549999,27.549999,6.610832,1000
2003-12-18,27.6,27.6,27.6,27.6,6.62283,400
2003-12-19,27.610001,27.610001,27.6,27.610001,6.625231,1300
2003-12-22,27.790001,27.799999,27.790001,27.799999,6.670819,700
2003-12-23,27.799999,27.799999,27.799999,27.799999,6.670819,0
2003-12-24,27.799999,27.799999,27.799999,27.799999,6.670819,0
2003-12-26,27.799999,27.799999,27.799999,27.799999,6.670819,0
2003-12-29,26.969999,26.969999,26.969999,26.969999,6.719656,500
2003-12-30,26.780001,26.860001,26.65,26.65,6.63993,2600
2003-12-31,26.66,27.049999,26.66,26.799999,6.677301,1100
2004-01-02,26.65,27.280001,26.65,27.280001,6.796894,2300
2004-01-05,27.299999,27.299999,27.299999,27.299999,6.801878,300
2004-01-06,27.299999,27.299999,26.879999,26.879999,6.697232,2300
2004-01-07,27.01,27.290001,27.01,27.290001,6.799387,800
2004-01-08,27.25,27.25,27.049999,27.049999,6.739588,300
2004-01-09,26.9,27.0,26.9,27.0,6.727133,300
2004-01-12,27.0,27.0,27.0,27.0,6.727133,0
2004-01-13,27.209999,27.209999,27.01,27.01,6.729622,500
2004-01-14,27.200001,27.450001,27.200001,27.209999,6.779452,3600
2004-01-15,27.41,27.51,27.41,27.49,6.849216,3900
2004-01-16,27.26,27.5,27.25,27.49,6.849216,1400
2004-01-20,27.73,27.959999,27.73,27.959999,6.966319,1900
2004-01-21,27.76,27.76,27.75,27.75,6.913997,900
2004-01-22,27.700001,27.940001,27.700001,27.940001,6.961337,1400
2004-01-23,27.700001,27.940001,27.700001,27.940001,6.961337,1100
2004-01-26,28.18,28.360001,28.18,28.360001,7.065979,800
2004-01-27,28.110001,28.24,28.0,28.23,7.033588,800
2004-01-28,28.26,28.290001,28.049999,28.290001,7.048539,2400
2004-01-29,28.26,28.26,28.25,28.25,7.038572,1300
2004-01-30,28.0,28.0,27.75,27.75,6.913997,2600
2004-02-02,28.0,28.01,27.75,28.0,6.976283,1500
2004-02-03,28.25,28.26,28.25,28.26,7.041065,800
2004-02-04,28.049999,28.200001,28.049999,28.200001,7.026115,2400
2004-02-05,28.200001,28.5,28.200001,28.5,7.100862,3400
2004-02-06,28.51,28.51,28.35,28.4,7.075945,1100
2004-02-09,28.5,28.51,28.5,28.5,7.100862,2700
2004-02-10,28.6,28.6,28.6,28.6,7.125777,500
2004-02-11,28.6,28.639999,28.6,28.639999,7.135743,1300
2004-02-12,28.5,28.6,28.5,28.6,7.125777,200
2004-02-13,28.799999,28.799999,28.799999,28.799999,7.175606,100
2004-02-17,29.040001,29.280001,28.549999,28.549999,7.113319,1200
2004-02-18,28.75,28.75,28.75,28.75,7.16315,100
2004-02-19,28.75,28.75,28.75,28.75,7.16315,0
2004-02-20,28.75,28.75,28.75,28.75,7.16315,0
2004-02-23,28.5,28.75,28.26,28.75,7.16315,1400
2004-02-24,28.9,28.9,27.99,28.16,7.016149,4300
2004-02-25,28.0,28.48,27.91,28.23,7.033588,3100
2004-02-26,28.469999,28.469999,28.23,28.23,7.033588,1400
2004-02-27,28.219999,28.219999,28.15,28.15,7.013658,1000
2004-03-01,28.1,28.1,28.09,28.09,6.998708,1600
2004-03-02,28.049999,28.16,28.049999,28.16,7.016149,500
2004-03-03,28.209999,28.4,28.209999,28.4,7.075945,2800
2004-03-04,28.48,28.48,28.48,28.48,7.095879,300
2004-03-05,28.24,28.24,28.24,28.24,7.036079,1000
2004-03-08,28.07,28.07,28.040001,28.040001,6.986252,2000
2004-03-09,28.049999,28.299999,28.049999,28.299999,7.051031,3400
2004-03-10,28.450001,28.49,28.450001,28.49,7.098369,2000
2004-03-11,28.49,28.49,28.49,28.49,7.098369,900
2004-03-12,28.25,28.299999,28.190001,28.190001,7.023623,2000
2004-03-15,28.309999,28.309999,28.190001,28.190001,7.023623,2000
2004-03-16,28.43,28.549999,28.299999,28.530001,7.108335,2500
2004-03-17,28.440001,28.440001,28.219999,28.25,7.038572,1300
2004-03-18,28.49,28.49,28.49,28.49,7.098369,300
2004-03-19,28.5,28.5,28.25,28.49,7.098369,1100
2004-03-22,28.24,28.5,28.049999,28.290001,7.048539,2900
2004-03-23,28.25,28.25,28.25,28.25,7.038572,600
2004-03-24,28.049999,28.1,28.049999,28.1,7.0012,1000
2004-03-25,28.1,28.16,28.1,28.16,7.016149,1000
2004-03-26,28.309999,28.309999,28.1,28.1,7.0012,1700
2004-03-29,28.200001,28.309999,28.200001,28.309999,7.053523,1900
2004-03-30,28.309999,28.309999,28.309999,28.309999,7.053523,0
2004-03-31,28.309999,28.58,28.309999,28.58,7.120793,1800
2004-04-01,28.700001,28.700001,28.15,28.5,7.100862,3400
2004-04-02,28.5,28.5,28.5,28.5,7.100862,800
2004-04-05,28.25,28.25,28.25,28.25,7.038572,200
2004-04-06,28.15,28.15,28.15,28.15,7.013658,1100
2004-04-07,28.25,28.25,28.25,28.25,7.038572,200
2004-04-08,28.16,28.16,27.9,28.0,6.976283,2800
2004-04-12,28.0,28.25,28.0,28.25,7.038572,1600
2004-04-13,28.0,28.0,27.75,27.75,6.913997,1300
2004-04-14,27.74,27.74,26.76,27.4,6.826791,3500
2004-04-15,27.15,27.25,27.15,27.25,6.789419,600
2004-04-16,27.4,27.4,27.25,27.25,6.789419,1200
2004-04-19,27.4,27.4,27.299999,27.4,6.826791,1300
2004-04-20,27.15,27.15,27.15,27.15,6.764504,600
2004-04-21,27.34,27.34,27.15,27.15,6.764504,700
2004-04-22,27.049999,27.1,27.049999,27.1,6.752047,2000
2004-04-23,27.049999,27.049999,26.6,26.6,6.627469,2300
2004-04-26,26.6,26.6,25.75,25.75,6.415691,6600
2004-04-27,25.76,26.26,25.76,26.26,6.542758,4000
2004-04-28,26.15,26.15,26.02,26.1,6.502895,4300
2004-04-29,25.85,25.85,25.6,25.65,6.390773,1400
2004-04-30,25.700001,25.85,25.700001,25.85,6.440604,3300
2004-05-03,25.65,25.65,25.65,25.65,6.390773,300
2004-05-04,25.700001,25.85,25.700001,25.74,6.413199,1200
2004-05-05,25.75,25.799999,25.51,25.65,6.390773,2500
2004-05-06,25.549999,25.700001,25.5,25.5,6.353403,3300
2004-05-07,25.5,25.5,25.5,25.5,6.353403,0
2004-05-10,25.25,25.25,25.25,25.25,6.291112,200
2004-05-11,25.299999,25.299999,25.049999,25.290001,6.30108,1600
2004-05-12,25.299999,25.299999,25.299999,25.299999,6.303572,1500
2004-05-13,25.299999,25.299999,25.299999,25.299999,6.303572,1000
2004-05-14,25.25,25.25,25.1,25.200001,6.278656,1100
2004-05-17,25.299999,25.6,25.299999,25.6,6.378317,6100
2004-05-18,25.84,26.1,25.84,26.1,6.502895,5000
2004-05-19,25.85,26.0,25.4,25.4,6.328486,3200
2004-05-20,25.459999,25.5,25.450001,25.459999,6.343436,3000
2004-05-21,25.4,25.450001,24.98,25.0,6.228825,16300
2004-05-24,25.120001,25.41,25.120001,25.41,6.330976,3200
2004-05-25,25.459999,25.620001,25.459999,25.620001,6.383301,2500
2004-05-26,25.370001,25.370001,25.309999,25.32,6.308554,1100
