Date,Open,High,Low,Close,Adj Close,Volume
2002-12-16,3.28,3.6,3.28,3.54,2.106542,556500
2002-12-17,3.56,3.68,3.48,3.5,2.08274,1523000
2002-12-18,3.53,3.53,3.49,3.508,2.0875,413500
2002-12-19,3.502,3.612,3.5,3.612,2.149387,1211500
2002-12-20,3.62,3.84,3.62,3.712,2.208893,1549000
2002-12-23,3.762,3.836,3.762,3.812,2.268401,501500
2002-12-24,3.772,3.86,3.772,3.86,2.296964,126000
2002-12-26,3.88,3.884,3.82,3.866,2.300534,317000
2002-12-27,3.866,3.866,3.818,3.852,2.292204,298000
2002-12-30,3.84,3.84,3.8,3.802,2.26245,119500
2002-12-31,3.81,3.844,3.81,3.844,2.287442,111000
2003-01-02,3.84,3.908,3.84,3.902,2.321957,328500
2003-01-03,3.89,3.98,3.87,3.98,2.368372,344000
2003-01-06,4.01,4.12,4.0,4.116,2.449301,866000
2003-01-07,4.11,4.27,4.1,4.254,2.531421,651500
2003-01-08,4.222,4.58,4.21,4.5,2.677808,1763500
2003-01-09,4.46,4.64,4.33,4.59,2.731364,2531000
2003-01-10,4.57,4.57,4.48,4.48,2.665906,950000
2003-01-13,4.46,4.46,4.36,4.39,2.61235,205000
2003-01-14,4.32,4.38,4.304,4.35,2.588547,447000
2003-01-15,4.34,4.34,4.304,4.336,2.580216,435500
2003-01-16,4.338,4.45,4.338,4.448,2.646864,617500
2003-01-17,4.4,4.4,4.25,4.262,2.536181,190000
2003-01-21,4.264,4.28,4.162,4.22,2.511188,354500
2003-01-22,4.15,4.154,4.06,4.1,2.43978,328000
2003-01-23,4.108,4.13,4.01,4.04,2.404076,216000
2003-01-24,4.04,4.044,3.922,3.938,2.343379,142000
2003-01-27,3.94,3.96,3.84,3.86,2.296964,559500
2003-01-28,3.86,4.0,3.85,3.9,2.320767,329500
2003-01-29,3.9,4.02,3.9,3.962,2.357661,549000
2003-01-30,3.906,3.992,3.898,3.95,2.35052,569000
2003-01-31,3.95,3.97,3.91,3.92,2.332668,780500
2003-02-03,3.912,4.16,3.908,4.16,2.475483,408500
2003-02-04,4.15,4.21,4.02,4.11,2.445731,988000
2003-02-05,4.12,4.13,3.994,4.042,2.405266,697000
2003-02-06,4.08,4.08,4.032,4.072,2.423118,436500
2003-02-07,4.03,4.08,3.988,4.08,2.427879,319000
2003-02-10,4.07,4.07,3.992,4.05,2.410027,563500
2003-02-11,4.04,4.212,4.04,4.21,2.505237,1532000
2003-02-12,4.18,4.302,4.18,4.284,2.549272,1424500
2003-02-13,4.286,4.332,4.286,4.302,2.559983,906000
2003-02-14,4.298,4.298,4.242,4.26,2.534991,903000
2003-02-18,4.26,4.338,4.258,4.3,2.558794,650000
2003-02-19,4.302,4.36,4.294,4.33,2.576646,1093500
2003-02-20,4.31,4.346,4.3,4.34,2.582597,347000
2003-02-21,4.34,4.384,4.32,4.376,2.604018,630500
2003-02-24,4.326,4.42,4.326,4.4,2.6183,1044500
2003-02-25,4.36,4.4,4.35,4.4,2.6183,511000
2003-02-26,4.4,4.448,4.4,4.44,2.642103,634000
2003-02-27,4.43,4.46,4.42,4.46,2.654004,730000
2003-02-28,4.46,4.544,4.45,4.478,2.664716,489000
2003-03-03,4.49,4.522,4.49,4.516,2.687329,823500
2003-03-04,4.504,4.514,4.42,4.45,2.648054,328000
2003-03-05,4.47,4.556,4.464,4.54,2.70161,416000
2003-03-06,4.54,4.54,4.44,4.44,2.642103,365000
2003-03-07,4.38,4.408,4.246,4.282,2.548082,737500
2003-03-10,4.27,4.32,4.22,4.28,2.546892,946000
2003-03-11,4.168,4.276,4.168,4.24,2.523089,501500
2003-03-12,4.24,4.388,4.24,4.34,2.582597,425500
2003-03-13,4.35,4.352,4.33,4.332,2.577836,75500
2003-03-14,4.332,4.34,4.258,4.26,2.534991,186500
2003-03-17,4.246,4.46,4.24,4.454,2.650434,265500
2003-03-18,4.45,4.45,4.36,4.416,2.627822,521000
2003-03-19,4.38,4.43,4.35,4.396,2.61592,505000
2003-03-20,4.36,4.4,4.36,4.4,2.6183,419500
2003-03-21,4.392,4.424,4.386,4.406,2.621871,393500
2003-03-24,4.406,4.408,4.38,4.408,2.62306,155000
2003-03-25,4.408,4.49,4.408,4.482,2.667096,362500
2003-03-26,4.444,4.48,4.44,4.48,2.665906,190500
2003-03-27,4.462,4.474,4.456,4.458,2.652814,182000
2003-03-28,4.434,4.458,4.394,4.394,2.61473,699000
2003-03-31,4.394,4.408,4.354,4.408,2.62306,421500
2003-04-01,4.4,4.45,4.392,4.41,2.624251,475000
2003-04-02,4.406,4.42,4.36,4.37,2.600449,287500
2003-04-03,4.376,4.44,4.376,4.38,2.606399,784000
2003-04-04,4.39,4.404,4.38,4.4,2.6183,559500
2003-04-07,4.39,4.4,4.38,4.392,2.61354,55000
2003-04-08,4.39,4.416,4.384,4.4,2.6183,596500
2003-04-09,4.41,4.418,4.36,4.402,2.61949,458500
2003-04-10,4.38,4.45,4.38,4.43,2.636152,844500
2003-04-11,4.43,4.47,4.43,4.46,2.654004,172500
2003-04-14,4.48,4.48,4.46,4.48,2.665906,315500
2003-04-15,4.47,4.49,4.444,4.48,2.665906,529000
2003-04-16,4.498,4.646,4.48,4.634,2.757546,1230000
2003-04-17,4.644,4.646,4.6,4.6,2.737314,194500
2003-04-21,4.612,4.712,4.612,4.704,2.799201,350500
2003-04-22,4.704,4.72,4.698,4.712,2.803962,316000
2003-04-23,4.728,5.0,4.728,4.82,2.868229,1157500
2003-04-24,4.75,4.764,4.72,4.76,2.832526,468000
2003-04-25,4.77,4.858,4.77,4.856,2.889652,664000
2003-04-28,4.85,4.85,4.5,4.55,2.707561,1467500
2003-04-29,4.59,4.666,4.58,4.666,2.776589,1058000
2003-04-30,4.666,4.712,4.61,4.7,2.796821,878000
2003-05-01,4.71,4.76,4.7,4.76,2.832526,167000
2003-05-02,4.766,4.858,4.762,4.858,2.890841,417500
2003-05-05,4.858,4.89,4.8,4.836,2.87775,231500
2003-05-06,4.85,4.85,4.76,4.77,2.838476,469500
2003-05-07,4.76,4.79,4.7,4.774,2.840857,545000
2003-05-08,4.776,4.81,4.71,4.794,2.852758,537000
2003-05-09,4.76,4.9,4.76,4.862,2.893221,927000
2003-05-12,4.88,4.888,4.72,4.744,2.823004,659500
2003-05-13,4.75,4.758,4.66,4.666,2.776589,493500
2003-05-14,4.68,4.688,4.57,4.58,2.725413,513500
2003-05-15,4.58,4.596,4.34,4.448,2.646864,1925500
2003-05-16,4.44,4.536,4.432,4.518,2.688518,1070000
2003-05-19,4.508,4.508,4.454,4.454,2.650434,862500
2003-05-20,4.454,4.5,4.454,4.478,2.664716,785500
2003-05-21,4.42,4.52,4.4,4.52,2.689709,479000
2003-05-22,4.52,4.56,4.52,4.546,2.70518,415500
2003-05-23,4.566,4.64,4.566,4.6,2.737314,104500
2003-05-27,4.61,4.63,4.574,4.58,2.725413,177500
2003-05-28,4.59,4.614,4.584,4.614,2.745645,498000
2003-05-29,4.612,4.656,4.604,4.64,2.761117,95500
2003-05-30,4.64,4.66,4.6,4.66,2.773018,515500
2003-06-02,4.66,4.66,4.63,4.642,2.762307,193500
2003-06-03,4.64,4.64,4.55,4.57,2.719462,173500
2003-06-04,4.56,4.604,4.54,4.604,2.739694,357000
2003-06-05,4.62,4.66,4.606,4.634,2.757546,406000
2003-06-06,4.64,4.712,4.64,4.654,2.769448,459500
2003-06-09,4.69,4.7,4.652,4.67,2.778969,146500
2003-06-10,4.65,4.7,4.65,4.66,2.773018,414000
2003-06-11,4.662,4.76,4.662,4.72,2.808722,325000
