Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,22.0,23.74,21.950001,22.0,22.0,13637300
2021-07-30,22.17,23.188,21.950001,22.209999,22.209999,2830100
2021-08-02,22.5,24.877001,22.059999,24.200001,24.200001,1893100
2021-08-03,24.51,27.48,24.5,27.07,27.07,1963400
2021-08-04,27.940001,27.950001,25.02,27.75,27.75,2690100
2021-08-05,28.0,30.75,27.85,29.4,29.4,2670300
2021-08-06,29.940001,30.844,28.129999,29.209999,29.209999,635300
2021-08-09,29.1,31.83,29.0,30.790001,30.790001,647900
2021-08-10,31.25,32.591,30.5,31.65,31.65,641100
2021-08-11,31.190001,31.469999,28.26,29.370001,29.370001,999000
2021-08-12,29.16,29.465,25.42,25.799999,25.799999,1205900
2021-08-13,26.030001,27.65,25.9,26.76,26.76,363400
2021-08-16,27.059999,27.1,25.719999,26.15,26.15,383200
2021-08-17,25.620001,25.867001,24.309999,25.27,25.27,771100
2021-08-18,25.09,26.334999,24.58,25.35,25.35,454600
2021-08-19,24.639999,27.5,24.500999,25.780001,25.780001,475000
2021-08-20,26.52,26.912001,24.559999,25.0,25.0,839200
2021-08-23,25.83,28.450001,25.610001,27.290001,27.290001,2181100
2021-08-24,27.52,27.99,24.6,24.719999,24.719999,1411900
2021-08-25,24.92,25.43,24.250999,24.76,24.76,588400
2021-08-26,24.5,25.719999,24.440001,25.530001,25.530001,354600
2021-08-27,25.77,27.0,25.639999,26.18,26.18,651200
2021-08-30,26.639999,27.120001,25.5,25.639999,25.639999,613500
2021-08-31,25.639999,26.1,25.09,25.139999,25.139999,381300
2021-09-01,25.459999,26.07,24.93,25.98,25.98,765900
2021-09-02,25.610001,26.65,25.530001,26.35,26.35,478100
2021-09-03,26.66,27.0,25.74,26.67,26.67,554500
2021-09-07,26.76,27.75,25.73,26.08,26.08,769500
2021-09-08,26.08,26.25,24.507999,25.030001,25.030001,799800
2021-09-09,24.860001,25.950001,24.4,25.559999,25.559999,1239700
2021-09-10,23.75,24.9,22.65,24.02,24.02,2645100
2021-09-13,24.01,24.120001,22.125,23.08,23.08,1084200
2021-09-14,22.950001,23.259001,21.299999,22.129999,22.129999,1010000
2021-09-15,22.129999,22.870001,21.780001,22.77,22.77,1632400
2021-09-16,22.809999,23.26,22.1,23.1,23.1,1155800
2021-09-17,22.84,23.440001,21.51,21.75,21.75,4829500
2021-09-20,21.120001,22.0,21.120001,21.950001,21.950001,807600
2021-09-21,22.25,22.389999,20.709999,21.17,21.17,844500
2021-09-22,21.17,21.49,20.385,20.639999,20.639999,1274600
2021-09-23,20.690001,23.51,20.6,23.09,23.09,1152100
2021-09-24,22.709999,23.15,22.25,22.74,22.74,1137700
2021-09-27,22.950001,23.540001,22.24,23.33,23.33,630600
2021-09-28,23.15,23.24,22.34,22.559999,22.559999,427300
