Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,9.98,9.99,9.98,9.99,9.9732,21000
2018-08-03,9.99,9.99,9.99,9.99,9.9732,0
2018-08-06,10.09,10.09,9.95,9.96,9.943251,6600
2018-08-07,9.95,9.95,9.95,9.95,9.933268,500
2018-08-08,9.95,9.95,9.95,9.95,9.933268,0
2018-08-09,9.9,9.9,9.9,9.9,9.883351,500
2018-08-10,9.9,10.36,9.85,9.85,9.833436,4100
2018-08-13,9.85,9.905,9.8,9.81,9.793503,710800
2018-08-14,10.75,10.77,9.8,9.8,9.78352,50100
2018-08-15,9.85,9.88,9.84,9.85,9.833436,524700
2018-08-16,9.85,9.86,9.85,9.86,9.843418,22900
2018-08-17,9.82,9.83,9.8,9.83,9.813469,402100
2018-08-20,9.83,9.83,9.83,9.83,9.813469,0
2018-08-21,9.8,9.8,9.8,9.8,9.78352,2100
2018-08-22,9.835,9.835,9.8,9.8,9.78352,24800
2018-08-23,9.81,9.85,9.75,9.81,9.793503,334300
2018-08-24,9.8,9.8,9.8,9.8,9.78352,100000
2018-08-27,9.8,9.8,9.75,9.75,9.733604,2381000
2018-08-28,9.76,9.76,9.72,9.75,9.733604,685100
2018-08-29,9.797,9.8,9.77,9.8,9.78352,52600
2018-08-30,9.8,9.8,9.8,9.8,9.78352,300
2018-08-31,9.75,9.8,9.73,9.73,9.713637,10600
2018-09-04,9.79,9.79,9.79,9.79,9.773536,100
2018-09-05,9.75,9.8,9.75,9.8,9.78352,2100
2018-09-06,9.8,9.8,9.8,9.8,9.78352,3800
2018-09-07,9.78,9.78,9.78,9.78,9.763553,4300
2018-09-10,9.75,9.87,9.75,9.87,9.853401,125100
2018-09-11,9.75,9.75,9.74,9.75,9.733604,179800
2018-09-12,9.75,9.8,9.75,9.8,9.78352,483000
2018-09-13,9.8,9.8,9.8,9.8,9.78352,0
2018-09-14,9.735,9.8,9.735,9.8,9.78352,600
2018-09-17,9.84,9.84,9.75,9.75,9.733604,264600
2018-09-18,9.77,9.77,9.75,9.77,9.753572,7200
2018-09-19,9.78,9.84,9.77,9.78,9.763553,280800
2018-09-20,9.75,9.78,9.73,9.73,9.713637,47900
2018-09-21,9.75,9.77,9.75,9.75,9.733604,74300
2018-09-24,9.78,9.78,9.77,9.77,9.753572,400
2018-09-25,9.741,9.77,9.741,9.77,9.753572,47300
2018-09-26,9.75,9.75,9.749,9.749,9.732605,2300
2018-09-27,9.75,9.77,9.75,9.75,9.733604,9000
2018-09-28,9.75,9.77,9.73,9.75,9.733604,65400
2018-10-01,9.749,9.75,9.715,9.75,9.733604,8200
2018-10-02,9.73,9.76,9.72,9.73,9.713637,359600
2018-10-03,9.733,9.733,9.733,9.733,9.716632,800
2018-10-04,9.74,9.76,9.72,9.76,9.743587,62800
2018-10-05,9.76,9.76,9.72,9.72,9.703655,41300
2018-10-08,9.72,9.75,9.72,9.75,9.733604,2000
2018-10-09,9.78,9.78,9.72,9.72,9.703655,3300
2018-10-10,9.72,9.74,9.7,9.74,9.72362,391300
2018-10-11,9.74,9.74,9.705,9.74,9.72362,15900
2018-10-12,9.73,9.75,9.73,9.75,9.733604,284400
2018-10-15,9.7,9.75,9.7,9.73,9.713637,6200
2018-10-16,9.75,9.75,9.7,9.74,9.72362,10100
2018-10-17,9.73,9.75,9.73,9.75,9.733604,19000
2018-10-18,9.757,9.76,9.757,9.76,9.743587,400
2018-10-19,9.77,9.82,9.74,9.82,9.803486,2600
2018-10-22,9.8,9.8,9.75,9.75,9.733604,4900
2018-10-23,9.76,9.76,9.703,9.76,9.743587,1300
2018-10-24,9.75,9.75,9.7,9.7,9.683688,2600
2018-10-25,9.7,9.76,9.7,9.76,9.743587,700
2018-10-26,9.75,9.75,9.7,9.7,9.683688,5300
2018-10-29,9.75,9.75,9.75,9.75,9.733604,1000
2018-10-30,9.767,9.767,9.74,9.74,9.72362,8900
2018-10-31,9.76,9.76,9.71,9.71,9.693671,1000
2018-11-01,9.71,9.71,9.71,9.71,9.693671,100
2018-11-02,9.76,9.76,9.71,9.75,9.733604,1200
