Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,3.75,3.8125,3.75,3.78125,3.78125,12706000
1995-11-20,3.75,3.78125,3.75,3.75,3.75,1213200
1995-11-21,3.75,3.78125,3.75,3.75,3.75,909600
1995-11-22,3.75,3.78125,3.75,3.75,3.75,1314800
1995-11-24,3.75,3.78125,3.75,3.75,3.75,275200
1995-11-27,3.75,3.78125,3.75,3.75,3.75,1011600
1995-11-28,3.625,3.625,3.3125,3.53125,3.53125,3952000
1995-11-29,3.5,3.5625,3.34375,3.4375,3.4375,708400
1995-11-30,3.4375,3.75,3.40625,3.6875,3.6875,1346000
1995-12-01,3.6875,3.6875,3.53125,3.5625,3.5625,790800
1995-12-04,3.53125,3.75,3.5,3.71875,3.71875,548000
1995-12-05,3.75,3.78125,3.6875,3.75,3.75,892800
1995-12-06,3.78125,3.90625,3.78125,3.8125,3.8125,521200
1995-12-07,3.8125,3.8125,3.71875,3.71875,3.71875,217600
1995-12-08,3.6875,3.78125,3.59375,3.75,3.75,265200
1995-12-11,3.75,3.78125,3.71875,3.75,3.75,392400
1995-12-12,3.78125,3.84375,3.71875,3.78125,3.78125,1363200
1995-12-13,3.90625,4.09375,3.84375,4.03125,4.03125,1664000
1995-12-14,4.0625,4.21875,4.0625,4.1875,4.1875,1551600
1995-12-15,4.1875,4.3125,4.15625,4.25,4.25,902800
1995-12-18,4.25,4.28125,3.96875,4.15625,4.15625,646400
1995-12-19,4.125,4.125,4.0,4.125,4.125,324400
1995-12-20,4.125,4.25,4.125,4.15625,4.15625,274000
1995-12-21,4.28125,4.5,4.21875,4.375,4.375,660000
1995-12-22,4.40625,4.5,4.375,4.40625,4.40625,422800
1995-12-26,4.4375,4.5,4.40625,4.40625,4.40625,156800
1995-12-27,4.4375,4.53125,4.375,4.5,4.5,230400
1995-12-28,4.5,4.5,4.4375,4.46875,4.46875,213200
1995-12-29,4.5,4.5625,4.4375,4.5625,4.5625,179600
1996-01-02,4.5,4.53125,4.28125,4.34375,4.34375,456800
1996-01-03,4.28125,4.40625,4.1875,4.40625,4.40625,147600
1996-01-04,4.46875,4.6875,4.46875,4.5625,4.5625,385200
1996-01-05,4.5,4.8125,4.5,4.6875,4.6875,620800
1996-01-08,4.65625,4.8125,4.65625,4.78125,4.78125,67600
1996-01-09,4.75,4.75,4.71875,4.71875,4.71875,192400
1996-01-10,4.71875,4.75,4.59375,4.59375,4.59375,305600
1996-01-11,4.625,4.65625,4.5625,4.5625,4.5625,369600
1996-01-12,4.59375,4.59375,4.25,4.375,4.375,232000
1996-01-15,4.375,4.5625,4.375,4.5,4.5,158400
1996-01-16,4.5,4.5625,4.4375,4.4375,4.4375,52000
1996-01-17,4.375,4.4375,4.28125,4.375,4.375,117600
1996-01-18,4.375,4.4375,4.3125,4.4375,4.4375,56000
1996-01-19,4.46875,4.6875,4.46875,4.6875,4.6875,1279200
1996-01-22,4.75,4.96875,4.75,4.75,4.75,1138400
1996-01-23,4.75,4.84375,4.75,4.78125,4.78125,170400
1996-01-24,4.84375,5.03125,4.8125,5.03125,5.03125,371200
1996-01-25,5.0,5.28125,5.0,5.0625,5.0625,771200
1996-01-26,5.0625,5.0625,4.8125,4.9375,4.9375,776400
1996-01-29,4.96875,5.15625,4.875,5.15625,5.15625,970800
1996-01-30,5.15625,5.21875,5.0625,5.125,5.125,222400
1996-01-31,5.15625,5.25,4.96875,4.96875,4.96875,294000
1996-02-01,4.96875,4.96875,4.90625,4.96875,4.96875,273600
1996-02-02,4.96875,4.96875,4.6875,4.8125,4.8125,175600
1996-02-05,4.78125,4.875,4.75,4.875,4.875,80400
1996-02-06,4.875,4.875,4.6875,4.71875,4.71875,898400
1996-02-07,4.75,4.75,4.59375,4.6875,4.6875,900800
1996-02-08,4.625,4.71875,4.59375,4.625,4.625,136800
1996-02-09,4.6875,4.78125,4.6875,4.75,4.75,302800
1996-02-12,4.78125,4.875,4.75,4.875,4.875,122800
1996-02-13,4.84375,4.96875,4.75,4.90625,4.90625,122400
1996-02-14,4.9375,4.9375,4.875,4.90625,4.90625,41200
1996-02-15,4.90625,4.90625,4.6875,4.75,4.75,83600
1996-02-16,4.78125,4.8125,4.65625,4.8125,4.8125,138000
1996-02-20,4.78125,4.9375,4.75,4.90625,4.90625,168400
1996-02-21,4.9375,5.1875,4.9375,5.09375,5.09375,284800
1996-02-22,5.15625,5.25,5.09375,5.21875,5.21875,472800
1996-02-23,5.21875,5.25,5.09375,5.15625,5.15625,694400
1996-02-26,5.1875,5.375,5.15625,5.3125,5.3125,184400
1996-02-27,5.375,5.375,5.125,5.1875,5.1875,131200
1996-02-28,5.15625,5.25,5.09375,5.15625,5.15625,134400
1996-02-29,5.125,5.1875,5.0625,5.0625,5.0625,212400
1996-03-01,5.125,5.1875,5.0625,5.15625,5.15625,246000
1996-03-04,5.1875,5.25,5.0,5.0,5.0,212000
1996-03-05,5.0,5.1875,5.0,5.0625,5.0625,137200
1996-03-06,5.03125,5.125,5.03125,5.125,5.125,37200
1996-03-07,5.15625,5.40625,5.15625,5.25,5.25,190800
1996-03-08,5.1875,5.40625,5.09375,5.1875,5.1875,298400
1996-03-11,5.125,5.625,5.125,5.5625,5.5625,286800
1996-03-12,5.59375,6.0,5.5625,6.0,6.0,513600
1996-03-13,6.0,6.125,5.96875,6.0,6.0,1179200
1996-03-14,6.03125,6.125,5.96875,6.0,6.0,326800
1996-03-15,6.03125,6.03125,5.84375,5.9375,5.9375,370000
1996-03-18,5.9375,6.0,5.75,5.78125,5.78125,439600
1996-03-19,5.71875,5.71875,5.53125,5.625,5.625,304400
1996-03-20,5.6875,5.875,5.6875,5.875,5.875,61600
1996-03-21,5.84375,6.0625,5.84375,5.9375,5.9375,112000
1996-03-22,5.9375,5.96875,5.6875,5.6875,5.6875,345200
1996-03-25,5.8125,5.875,5.8125,5.84375,5.84375,74000
1996-03-26,5.875,5.96875,5.84375,5.875,5.875,103200
1996-03-27,5.84375,5.84375,5.71875,5.78125,5.78125,99600
1996-03-28,5.78125,5.78125,5.65625,5.71875,5.71875,123200
1996-03-29,6.0625,6.15625,6.03125,6.0625,6.0625,637600
1996-04-01,6.09375,6.625,6.09375,6.625,6.625,466400
1996-04-02,6.625,6.90625,6.625,6.8125,6.8125,357200
1996-04-03,6.84375,7.125,6.6875,6.71875,6.71875,259600
1996-04-04,6.8125,7.0,6.6875,7.0,7.0,270400
1996-04-08,7.0,7.0625,6.84375,7.0,7.0,249200
1996-04-09,7.0625,7.15625,7.0625,7.09375,7.09375,981200
1996-04-10,7.09375,7.3125,7.09375,7.21875,7.21875,658400
1996-04-11,7.21875,7.28125,7.0625,7.0625,7.0625,430000
1996-04-12,7.09375,7.34375,7.03125,7.34375,7.34375,144000
1996-04-15,7.34375,7.34375,7.28125,7.28125,7.28125,220000
1996-04-16,7.375,7.46875,7.34375,7.40625,7.40625,298400
1996-04-17,7.375,7.40625,7.34375,7.375,7.375,238800
1996-04-18,7.375,7.5,7.375,7.46875,7.46875,294400
1996-04-19,7.375,7.375,7.15625,7.15625,7.15625,292400
1996-04-22,7.0,7.0,6.5625,6.96875,6.96875,598400
1996-04-23,6.96875,6.96875,6.875,6.875,6.875,127600
1996-04-24,6.78125,6.90625,6.75,6.90625,6.90625,133600
1996-04-25,6.875,7.03125,6.84375,6.9375,6.9375,730400
1996-04-26,7.0,7.125,6.875,6.875,6.875,225200
1996-04-29,6.90625,7.03125,6.875,7.0,7.0,68800
1996-04-30,6.96875,7.09375,6.96875,6.96875,6.96875,154000
1996-05-01,7.03125,7.03125,6.875,6.875,6.875,79200
1996-05-02,6.84375,6.875,6.71875,6.75,6.75,132000
1996-05-03,6.8125,6.9375,6.8125,6.875,6.875,50000
1996-05-06,7.0,7.09375,7.0,7.0625,7.0625,81200
1996-05-07,7.03125,7.25,6.9375,7.25,7.25,104000
1996-05-08,7.25,7.25,7.0,7.0625,7.0625,192400
