Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,25.85,26.09,25.75,26.0,23.767147,122100
2005-07-05,26.1,26.1,25.9,25.99,23.758005,69600
2005-07-06,26.299999,26.75,26.200001,26.6,24.315619,72600
2005-07-07,26.6,26.6,26.200001,26.25,23.995676,58900
2005-07-08,26.370001,26.370001,26.09,26.23,23.977398,76900
2005-07-11,26.5,26.5,26.34,26.4,24.132793,46100
2005-07-12,26.5,27.200001,26.4,27.15,24.818388,171800
2005-07-13,27.65,28.5,27.65,27.9,25.503979,92000
2005-07-14,27.950001,28.0,27.9,27.93,25.531399,89600
2005-07-15,28.0,28.1,27.85,27.9,25.503979,40800
2005-07-18,28.049999,28.139999,27.799999,27.85,25.458273,35500
2005-07-19,27.799999,27.799999,27.030001,27.040001,24.717831,43500
2005-07-20,27.139999,27.290001,26.809999,26.950001,24.635567,48300
2005-07-21,27.0,27.280001,26.559999,27.15,24.818388,90600
2005-07-22,27.25,27.49,27.15,27.25,24.9098,70000
2005-07-25,27.35,28.65,27.35,28.35,25.915333,29800
2005-07-26,28.450001,28.65,28.25,28.4,25.961039,46300
2005-07-27,28.9,30.950001,28.700001,30.75,28.109221,251700
2005-07-28,30.75,30.85,29.65,29.65,27.103687,75900
2005-07-29,29.65,30.950001,29.4,30.9,28.24634,64800
2005-08-01,30.9,30.950001,29.76,29.950001,27.377926,50600
2005-08-02,30.200001,30.75,30.0,30.75,28.109221,38100
2005-08-03,30.950001,31.5,30.799999,31.450001,28.749105,77800
2005-08-04,31.450001,31.5,30.5,30.6,27.972105,29300
2005-08-05,30.5,30.5,29.1,29.75,27.195105,70500
2005-08-08,29.9,29.950001,29.709999,29.75,27.195105,17400
2005-08-09,29.75,29.75,28.65,28.799999,26.326685,49100
2005-08-10,29.0,29.0,27.719999,27.74,25.357716,47100
2005-08-11,27.940001,28.85,27.049999,27.4,25.046915,71500
2005-08-12,27.75,28.799999,27.5,28.5,26.052452,54800
2005-08-15,28.6,28.75,28.5,28.5,26.052452,20600
2005-08-16,28.5,28.6,28.17,28.200001,25.778215,42100
2005-08-17,28.200001,28.75,28.200001,28.4,25.961039,15200
2005-08-18,28.309999,28.75,28.309999,28.65,26.189569,6600
2005-08-19,28.700001,28.75,28.5,28.75,26.280977,10100
2005-08-22,28.75,28.799999,28.6,28.799999,26.326685,33100
2005-08-23,28.85,29.65,28.82,29.51,26.97571,37900
2005-08-24,29.52,29.52,28.5,29.25,26.738039,27900
2005-08-25,29.200001,29.799999,29.1,29.799999,27.240808,17600
2005-08-26,29.82,29.99,29.799999,29.799999,27.240808,5000
2005-08-29,29.9,29.9,29.299999,29.549999,27.012278,13800
2005-08-30,29.700001,29.799999,28.5,28.700001,26.235273,19600
2005-08-31,28.9,29.5,28.9,29.5,26.966572,45700
2005-09-01,29.75,29.85,29.5,29.68,27.131115,15600
2005-09-02,29.780001,29.790001,29.549999,29.68,27.131115,4800
2005-09-06,29.700001,30.0,29.4,29.5,26.966572,8700
2005-09-07,29.41,29.75,29.4,29.5,26.966572,5100
2005-09-08,30.0,30.0,28.4,28.799999,26.326685,33500
2005-09-09,28.799999,28.889999,28.700001,28.700001,26.235273,9400
2005-09-12,28.620001,28.700001,28.299999,28.540001,26.089012,17100
2005-09-13,28.700001,29.0,28.65,28.85,26.372391,35100
2005-09-14,28.75,28.85,28.27,28.5,26.052452,14500
2005-09-15,28.6,28.6,28.0,28.200001,25.778215,11100
2005-09-16,28.200001,28.5,28.200001,28.360001,25.924475,14300
2005-09-19,28.450001,28.67,28.200001,28.35,25.915333,13100
2005-09-20,28.299999,28.6,28.200001,28.469999,26.025021,6100
2005-09-21,28.469999,28.6,28.200001,28.23,25.805634,11600
2005-09-22,28.1,28.299999,28.1,28.299999,25.869627,5200
2005-09-23,28.1,28.18,27.91,28.0,25.595388,16300
2005-09-26,28.0,28.15,27.9,27.9,25.503979,25200
2005-09-27,28.0,28.1,27.940001,28.0,25.595388,45000
2005-09-28,28.08,28.5,28.0,28.5,26.052452,19300
2005-09-29,28.450001,28.75,28.440001,28.75,26.280977,37600
2005-09-30,28.85,29.24,27.9,28.1,25.6868,201700
2005-10-03,28.0,28.280001,28.0,28.01,25.60453,25000
2005-10-04,28.1,28.15,28.01,28.139999,25.723364,17900
2005-10-05,28.049999,28.15,27.66,27.67,25.293732,22300
2005-10-06,27.65,27.959999,27.65,27.9,25.503979,19800
2005-10-07,27.950001,27.99,27.75,27.799999,25.412563,78300
2005-10-10,27.75,27.85,27.549999,27.57,25.202318,27400
2005-10-11,27.75,28.1,27.379999,27.379999,25.028629,27500
2005-10-12,27.280001,27.280001,25.799999,25.799999,23.584324,37400
2005-10-13,25.98,26.0,24.389999,25.0,22.853025,115000
2005-10-14,25.25,25.25,24.5,25.15,22.990147,94000
2005-10-17,25.299999,26.190001,25.299999,26.139999,23.895123,26700
2005-10-18,26.0,26.0,25.5,25.68,23.474627,8700
2005-10-19,25.6,26.01,25.530001,25.809999,23.593464,28800
2005-10-20,26.0,26.700001,25.75,26.700001,24.407036,18900
2005-10-21,26.700001,27.51,26.700001,27.51,25.14747,9700
2005-10-24,27.700001,28.0,27.690001,27.959999,25.558825,10000
2005-10-25,28.0,28.0,27.4,27.58,25.21146,16900
