Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,9.75,10.99,6.98,7.0,7.0,13234100
2020-10-01,7.21,7.34,6.26,6.92,6.92,2438800
2020-10-02,6.45,6.84,6.4,6.7,6.7,1169200
2020-10-05,6.7,6.7,6.27,6.6,6.6,1039000
2020-10-06,6.62,7.49,6.6,7.41,7.41,1866200
2020-10-07,7.6,8.48,7.6,8.08,8.08,2542100
2020-10-08,8.3,9.43,8.08,9.0,9.0,2189700
2020-10-09,9.3,9.33,8.15,8.6,8.6,2059400
2020-10-12,8.71,9.06,8.51,8.51,8.51,549200
2020-10-13,8.51,8.6,8.15,8.35,8.35,431500
2020-10-14,8.28,8.5,7.5,7.76,7.76,992400
2020-10-15,7.75,8.99,7.578,8.96,8.96,1498500
2020-10-16,9.0,9.05,8.58,8.91,8.91,1582700
2020-10-19,8.91,9.2,8.33,8.48,8.48,829400
2020-10-20,8.45,8.79,8.12,8.48,8.48,514800
2020-10-21,8.44,8.7,8.05,8.22,8.22,288100
2020-10-22,8.12,8.31,7.88,8.14,8.14,202300
2020-10-23,8.16,9.01,8.16,8.99,8.99,970100
2020-10-26,8.39,8.698,8.12,8.15,8.15,560200
2020-10-27,8.28,8.53,8.25,8.52,8.52,225100
2020-10-28,8.2,8.5,8.14,8.22,8.22,508600
2020-10-29,8.22,9.0,8.22,8.8,8.8,698500
2020-10-30,8.55,8.85,8.27,8.41,8.41,240600
2020-11-02,8.67,9.68,8.52,8.65,8.65,1533800
2020-11-03,8.76,9.08,8.65,8.84,8.84,528400
2020-11-04,9.0,9.5,8.31,8.52,8.52,2401300
2020-11-05,8.64,9.15,8.62,8.94,8.94,536700
2020-11-06,8.94,10.35,8.82,10.29,10.29,2024500
2020-11-09,11.09,11.88,10.29,11.53,11.53,2402600
2020-11-10,9.82,10.46,9.08,9.51,9.51,2076000
2020-11-11,10.05,10.08,9.12,9.21,9.21,1039100
2020-11-12,9.21,9.36,8.68,9.03,9.03,1723900
2020-11-13,9.03,9.03,8.6,9.0,9.0,767800
2020-11-16,9.0,9.3,8.5,8.66,8.66,979800
2020-11-17,8.73,9.6,8.68,9.56,9.56,1353100
2020-11-18,9.3,9.96,9.01,9.02,9.02,1279100
2020-11-19,9.2,9.59,9.08,9.22,9.22,531300
2020-11-20,9.23,9.772,9.15,9.6,9.6,910900
2020-11-23,9.82,10.8,9.7,10.65,10.65,2176500
2020-11-24,10.67,11.58,10.46,10.88,10.88,2195800
2020-11-25,10.7,11.04,10.05,10.5,10.5,1096100
2020-11-27,10.65,11.09,10.55,10.81,10.81,654500
2020-11-30,11.0,15.655,10.48,15.41,15.41,6590600
2020-12-01,15.4,15.585,13.02,13.35,13.35,5007500
2020-12-02,13.5,13.78,12.61,13.48,13.48,1839600
2020-12-03,13.79,15.0,13.75,14.58,14.58,2393300
2020-12-04,14.78,18.030001,14.58,17.139999,17.139999,5350800
2020-12-07,18.450001,18.51,16.219999,16.98,16.98,2794600
2020-12-08,17.129999,19.870001,17.030001,19.870001,19.870001,3276800
2020-12-09,19.49,23.18,17.51,18.68,18.68,6355800
2020-12-10,19.07,20.6,18.700001,20.15,20.15,2196800
2020-12-11,20.15,22.26,19.48,19.99,19.99,3132600
2020-12-14,20.24,20.24,17.83,18.67,18.67,2315900
2020-12-15,18.07,18.398001,15.84,16.15,16.15,3084900
2020-12-16,16.709999,17.5,16.35,16.98,16.98,1868200
2020-12-17,16.98,17.23,15.72,15.81,15.81,1713700
2020-12-18,15.97,18.85,15.89,17.9,17.9,3375900
2020-12-21,17.42,19.5,16.860001,17.9,17.9,3003800
2020-12-22,18.41,20.700001,18.0,18.15,18.15,2714500
2020-12-23,19.08,19.34,16.860001,17.48,17.48,2911900
2020-12-24,17.49,17.83,16.26,17.01,17.01,1341600
2020-12-28,17.299999,17.299999,15.01,16.5,16.5,2475000
2020-12-29,16.719999,16.719999,15.2,16.120001,16.120001,1459900
2020-12-30,16.51,16.51,15.1,15.25,15.25,1859800
2020-12-31,15.36,15.47,13.85,14.33,14.33,2019600
2021-01-04,14.14,15.979,14.01,15.2,15.2,1629400
2021-01-05,15.3,15.59,14.73,15.54,15.54,891000
2021-01-06,15.43,15.43,14.148,14.38,14.38,2136800
2021-01-07,14.6,15.75,14.21,15.5,15.5,1479200
2021-01-08,15.49,15.65,14.73,15.19,15.19,1086300
2021-01-11,15.2,18.6,14.68,17.709999,17.709999,4625600
2021-01-12,17.969999,18.190001,16.059999,17.790001,17.790001,2717400
2021-01-13,17.790001,19.469999,17.790001,18.1,18.1,2290500
2021-01-14,18.5,18.58,17.110001,17.34,17.34,1213700
2021-01-15,17.809999,18.1,16.200001,16.360001,16.360001,2028300
2021-01-19,16.77,17.85,16.02,17.02,17.02,1775600
2021-01-20,17.780001,19.0,17.17,18.57,18.57,2623200
2021-01-21,18.73,19.639999,17.85,18.01,18.01,2108800
2021-01-22,18.1,18.950001,17.68,18.6,18.6,1644000
2021-01-25,19.65,24.780001,19.450001,24.639999,24.639999,6814600
2021-01-26,24.629999,27.469999,21.799999,25.879999,25.879999,6304300
2021-01-27,24.200001,26.32,22.51,23.16,23.16,2612200
2021-01-28,24.280001,25.6,21.02,24.719999,24.719999,3755000
2021-01-29,23.76,28.4,23.75,25.49,25.49,3769000
2021-02-01,26.17,29.18,25.15,28.780001,28.780001,2850500
2021-02-02,30.0,31.0,28.01,29.379999,29.379999,2282200
2021-02-03,30.0,31.879999,28.75,28.98,28.98,2149200
2021-02-04,30.76,31.860001,28.200001,29.790001,29.790001,1777100
