Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,16.85,17.799999,15.0,15.4,15.4,1389200
2022-03-28,15.01,15.77,15.0,15.38,15.38,243000
2022-03-29,15.48,15.499,15.0,15.01,15.01,171500
2022-03-30,15.01,15.3,15.0,15.0,15.0,139700
2022-03-31,15.49,15.5,15.03,15.07,15.07,140500
2022-04-01,15.38,16.860001,15.02,15.79,15.79,164000
2022-04-04,15.97,16.184999,15.6,15.79,15.79,151100
2022-04-05,15.61,15.95,14.8,14.99,14.99,127800
2022-04-06,14.95,15.52,14.92,15.25,15.25,17500
2022-04-07,15.44,15.55,15.0,15.25,15.25,49600
2022-04-08,15.285,15.4,15.0,15.09,15.09,66900
2022-04-11,14.77,14.77,12.59,13.66,13.66,81400
2022-04-12,13.66,14.125,13.61,14.0,14.0,5400
2022-04-13,14.27,14.27,13.73,13.85,13.85,14100
2022-04-14,13.87,14.02,13.245,14.02,14.02,7000
2022-04-18,14.0,15.0,14.0,14.79,14.79,12900
2022-04-19,14.61,14.95,14.0,14.0,14.0,25700
2022-04-20,14.28,14.7,14.0,14.01,14.01,21900
2022-04-21,13.91,14.7,13.3,14.68,14.68,14000
2022-04-22,14.5,14.9,14.07,14.57,14.57,15600
2022-04-25,14.52,15.0,14.14,14.99,14.99,26600
2022-04-26,15.0,15.34,14.386,14.96,14.96,19400
2022-04-27,14.64,15.25,14.55,15.15,15.15,7200
2022-04-28,15.14,16.16,14.5,15.92,15.92,24600
2022-04-29,16.76,16.76,14.598,15.63,15.63,26900
2022-05-02,16.49,16.98,15.15,16.75,16.75,40100
2022-05-03,16.16,17.940001,16.049999,16.530001,16.530001,61500
2022-05-04,17.27,18.0,15.98,17.860001,17.860001,59300
2022-05-05,17.969999,19.6,17.0,18.24,18.24,95400
2022-05-06,18.24,19.200001,17.299999,18.82,18.82,75800
2022-05-09,18.780001,18.809999,13.71,15.12,15.12,130100
2022-05-10,16.27,16.58,12.463,16.16,16.16,107800
2022-05-11,15.71,17.450001,15.71,17.26,17.26,96000
2022-05-12,17.33,18.6,16.15,17.280001,17.280001,53100
2022-05-13,17.83,18.379999,16.4,17.68,17.68,82400
2022-05-16,17.969999,23.58,17.139999,18.43,18.43,96000
2022-05-17,18.790001,20.290001,12.5,12.74,12.74,153200
2022-05-18,13.5,14.56,11.445,11.94,11.94,81700
2022-05-19,11.61,12.75,10.83,11.3,11.3,77000
2022-05-20,11.25,11.93,9.475,10.4,10.4,61600
2022-05-23,10.2,11.715,9.875,11.22,11.22,51600
2022-05-24,11.3,12.3,10.5,11.71,11.71,41600
2022-05-25,11.7,13.0,11.0,11.99,11.99,47800
2022-05-26,12.1,15.9,12.1,13.38,13.38,86700
2022-05-27,13.19,15.5,11.99,14.59,14.59,76400
2022-05-31,14.57,15.54,14.22,15.0,15.0,33000
2022-06-01,15.35,16.65,13.47,15.01,15.01,75000
2022-06-02,14.79,15.97,14.334,15.42,15.42,47800
2022-06-03,15.41,16.145,15.0,15.68,15.68,53100
2022-06-06,15.8,17.132,12.74,13.2,13.2,70500
2022-06-07,13.05,13.4,9.0,10.54,10.54,91300
2022-06-08,10.01,11.44,10.01,11.0,11.0,34100
2022-06-09,10.78,11.36,10.029,10.15,10.15,50700
2022-06-10,10.0,10.927,9.0,9.63,9.63,60100
2022-06-13,9.79,9.82,7.51,7.7,7.7,94900
2022-06-14,7.6,8.85,7.43,8.15,8.15,145900
2022-06-15,8.84,9.485,8.2,9.14,9.14,80000
2022-06-16,8.74,10.165,8.65,10.02,10.02,119000
2022-06-17,10.07,11.015,8.51,8.51,8.51,233700
2022-06-21,8.88,9.11,7.95,8.12,8.12,107500
2022-06-22,8.08,8.59,7.97,8.12,8.12,61200
2022-06-23,8.3,9.16,8.205,8.78,8.78,84500
2022-06-24,8.65,9.86,8.41,8.75,8.75,432900
2022-06-27,8.69,9.09,8.28,8.39,8.39,42000
2022-06-28,8.439,8.95,8.09,8.14,8.14,69200
2022-06-29,8.0,8.83,7.805,7.91,7.91,47700
2022-06-30,7.93,8.2,6.879,7.75,7.75,48700
2022-07-01,7.68,8.73,7.41,8.16,8.16,32900
2022-07-05,7.5,8.7,7.49,8.31,8.31,53200
2022-07-06,7.87,8.95,7.87,8.8,8.8,27600
2022-07-07,8.79,9.24,8.59,8.75,8.75,25900
2022-07-08,8.07,9.12,8.07,8.99,8.99,35800
2022-07-11,8.83,9.19,7.77,8.01,8.01,52600
2022-07-12,7.9,8.21,7.5,8.02,8.02,20800
2022-07-13,7.96,8.17,7.56,8.0,8.0,25100
2022-07-14,7.96,7.97,7.58,7.76,7.76,21500
2022-07-15,8.01,8.97,7.71,8.9,8.9,30800
2022-07-18,9.37,9.94,8.885,9.46,9.46,45800
2022-07-19,9.61,10.55,9.475,9.69,9.69,26000
2022-07-20,9.77,10.45,8.8,9.12,9.12,40600
2022-07-21,9.11,9.11,8.19,8.48,8.48,31800
2022-07-22,8.32,8.56,7.75,8.23,8.23,19600
2022-07-25,8.11,8.22,7.4,7.72,7.72,15600
2022-07-26,7.79,8.09,7.43,7.86,7.86,29200
2022-07-27,7.82,8.55,7.67,8.27,8.27,34300
2022-07-28,8.0,8.55,7.91,8.37,8.37,22300
2022-07-29,8.37,8.74,8.22,8.56,8.56,22600
2022-08-01,8.36,8.36,7.405,7.61,7.61,21800
2022-08-02,7.3,8.04,7.3,7.77,7.77,10000
2022-08-03,7.45,8.41,7.265,8.25,8.25,27800
2022-08-04,8.33,8.81,7.81,8.74,8.74,20900
2022-08-05,9.03,10.25,8.735,10.19,10.19,33600
2022-08-08,10.98,11.3,9.22,10.5,10.5,50000
2022-08-09,10.28,11.49,9.54,11.29,11.29,36700
2022-08-10,11.183,11.46,10.9,11.06,11.06,11800
2022-08-11,11.33,11.82,11.1,11.77,11.77,12000
2022-08-12,11.8,22.26,11.53,19.379999,19.379999,264100
2022-08-15,19.540001,22.49,18.983999,22.290001,22.290001,100200
2022-08-16,22.0,22.280001,20.0,21.65,21.65,49200
2022-08-17,21.950001,21.950001,20.110001,21.08,21.08,38300
2022-08-18,21.35,21.75,20.190001,21.41,21.41,43600
2022-08-19,20.969999,21.542999,19.35,19.91,19.91,35500
2022-08-22,19.48,20.15,17.299999,17.51,17.51,49700
2022-08-23,17.4,17.9,16.139999,16.66,16.66,45300
2022-08-24,16.26,18.67,16.26,17.57,17.57,43600
2022-08-25,17.280001,18.16,16.49,16.950001,16.950001,35700
2022-08-26,17.07,17.52,15.71,15.71,15.71,62100
2022-08-29,15.94,15.94,13.63,14.11,14.11,55600
2022-08-30,14.5,15.99,13.22,15.23,15.23,55600
2022-08-31,15.0,17.290001,14.55,17.139999,17.139999,51000
2022-09-01,17.059999,17.26,14.34,14.56,14.56,32700
2022-09-02,14.4,15.51,12.31,12.78,12.78,40500
2022-09-06,12.68,13.25,8.38,8.57,8.57,65200
2022-09-07,8.81,9.4,8.665,9.28,9.28,45400
2022-09-08,9.35,9.69,8.01,8.37,8.37,32600
2022-09-09,8.35,9.5,8.35,9.45,9.45,31100
2022-09-12,9.4,9.92,8.02,8.3,8.3,37700
2022-09-13,8.01,9.36,8.0,8.39,8.39,39500
2022-09-14,8.24,8.93,8.13,8.65,8.65,16800
2022-09-15,8.83,9.15,8.18,8.5,8.5,28600
2022-09-16,8.62,8.96,8.22,8.83,8.83,17400
2022-09-19,8.58,10.02,8.58,9.61,9.61,13600
2022-09-20,9.58,10.67,8.97,9.11,9.11,36700
2022-09-21,9.21,9.965,8.95,9.51,9.51,13000
2022-09-22,9.63,11.94,9.55,11.2,11.2,23900
2022-09-23,11.35,11.37,10.01,11.2,11.2,59700
2022-09-26,11.35,12.86,11.35,11.82,11.82,12700
2022-09-27,12.9,16.402,12.42,15.5,15.5,69000
2022-09-28,15.75,17.705,15.56,16.51,16.51,76700
2022-09-29,15.7,17.0,14.86,15.32,15.32,37000
2022-09-30,15.4,17.860001,15.4,17.379999,17.379999,51200
2022-10-03,18.08,19.969999,17.736,18.5,18.5,63000
2022-10-04,18.84,20.5,18.6,19.67,19.67,76400
2022-10-05,19.790001,21.040001,18.000999,18.33,18.33,39900
2022-10-06,18.360001,18.474001,17.799999,18.110001,18.110001,26600
2022-10-07,18.110001,19.75,17.719999,17.889999,17.889999,21100
2022-10-10,17.809999,20.440001,17.334999,19.690001,19.690001,53800
2022-10-11,18.48,19.690001,16.99,17.43,17.43,53100
2022-10-12,17.02,19.025,17.02,18.5,18.5,38200
2022-10-13,18.07,19.15,17.66,18.5,18.5,44700
2022-10-14,19.15,19.42,17.5,17.879999,17.879999,31700
2022-10-17,18.35,18.889999,17.469999,18.639999,18.639999,37500
2022-10-18,19.120001,19.25,17.82,18.860001,18.860001,27000
2022-10-19,18.459999,18.459999,17.040001,17.280001,17.280001,19600
2022-10-20,17.0,17.110001,16.030001,16.620001,16.620001,24000
2022-10-21,16.73,17.76,15.669,16.41,16.41,36800
2022-10-24,16.4,16.643999,15.92,16.33,16.33,11900
2022-10-25,16.41,16.725,15.17,15.71,15.71,25100
2022-10-26,15.51,15.51,14.27,14.94,14.94,25900
2022-10-27,15.165,15.65,14.95,15.41,15.41,5700
2022-10-28,15.4,15.45,14.375,15.06,15.06,28000
2022-10-31,15.0,15.805,14.41,14.42,14.42,17400
2022-11-01,14.77,15.12,12.93,13.61,13.61,44600
2022-11-02,13.79,15.415,13.35,14.98,14.98,18300
2022-11-03,14.81,16.299999,14.81,15.94,15.94,58800
2022-11-04,16.02,16.02,15.123,15.97,15.97,38000
2022-11-07,15.76,16.950001,15.51,16.950001,16.950001,50800
2022-11-08,16.870001,17.290001,14.804,15.23,15.23,39300
2022-11-09,15.0,16.0,14.81,15.88,15.88,44200
2022-11-10,15.77,16.0,14.47,14.7,14.7,64000
2022-11-11,14.99,14.99,14.36,14.87,14.87,45300
2022-11-14,15.0,15.09,14.25,14.72,14.72,70400
2022-11-15,14.75,14.875,14.53,14.7,14.7,67800
2022-11-16,14.68,14.745,13.92,14.21,14.21,71400
2022-11-17,13.91,14.35,13.56,13.8,13.8,51800
2022-11-18,14.15,14.15,12.79,13.02,13.02,34100
2022-11-21,13.0,13.0,11.45,11.75,11.75,61000
2022-11-22,11.665,11.86,10.64,10.76,10.76,44000
2022-11-23,10.75,11.12,10.055,10.71,10.71,54900
2022-11-25,10.905,11.62,10.65,11.02,11.02,21100
2022-11-28,11.02,11.19,10.01,10.4,10.4,26800
2022-11-29,10.29,10.52,9.07,9.52,9.52,24300
2022-11-30,9.51,10.28,9.51,9.97,9.97,37100
2022-12-01,9.95,10.74,9.61,9.95,9.95,68600
2022-12-02,9.74,10.21,9.35,9.64,9.64,38100
2022-12-05,9.65,9.895,8.9,9.05,9.05,68100
2022-12-06,8.87,9.24,8.81,9.0,9.0,55700
2022-12-07,9.0,9.33,8.52,9.04,9.04,38700
2022-12-08,9.03,9.35,8.85,9.2,9.2,172200
2022-12-09,9.02,9.25,8.93,8.93,8.93,47700
2022-12-12,8.96,9.56,8.84,9.0,9.0,44700
2022-12-13,9.17,9.525,8.86,9.27,9.27,33300
2022-12-14,9.74,9.98,9.36,9.88,9.88,171100
2022-12-15,9.64,10.39,9.43,9.91,9.91,121100
2022-12-16,9.99,10.34,9.345,9.79,9.79,642800
2022-12-19,9.82,10.57,9.312,9.8,9.8,129800
2022-12-20,9.65,9.942,9.41,9.65,9.65,131900
2022-12-21,9.59,9.59,9.21,9.26,9.26,21400
2022-12-22,9.18,9.18,8.3,8.51,8.51,133100
2022-12-23,8.43,9.66,8.43,9.53,9.53,29900
2022-12-27,9.4,9.57,9.02,9.25,9.25,23600
2022-12-28,9.26,9.57,9.15,9.18,9.18,31600
2022-12-29,9.14,9.27,8.95,9.23,9.23,16700
2022-12-30,9.18,9.58,9.0,9.53,9.53,21200
2023-01-03,9.51,9.953,9.43,9.72,9.72,9400
2023-01-04,9.73,10.41,9.73,10.28,10.28,7600
2023-01-05,10.848,10.848,9.83,9.86,9.86,7400
2023-01-06,9.83,10.535,9.785,10.13,10.13,18400
2023-01-09,10.06,11.06,10.06,10.28,10.28,17100
2023-01-10,10.31,10.58,10.07,10.36,10.36,18600
2023-01-11,10.26,10.785,10.09,10.37,10.37,14000
2023-01-12,10.53,11.002,10.39,10.74,10.74,133200
2023-01-13,10.44,10.99,10.229,10.66,10.66,29000
2023-01-17,10.68,10.71,9.94,9.94,9.94,16100
2023-01-18,10.09,10.71,9.38,9.4,9.4,12500
2023-01-19,9.25,9.69,9.25,9.41,9.41,15900
2023-01-20,9.57,10.0,9.15,10.0,10.0,24500
2023-01-23,9.79,10.22,9.79,10.0,10.0,11400
2023-01-24,9.69,10.65,9.69,9.94,9.94,13500
2023-01-25,9.93,10.54,9.568,10.48,10.48,15900
2023-01-26,10.3,12.52,10.3,12.31,12.31,19900
2023-01-27,12.3,12.75,12.21,12.57,12.57,11000
2023-01-30,12.48,12.62,12.13,12.3,12.3,18800
2023-01-31,12.23,12.25,11.97,12.16,12.16,14800
2023-02-01,11.51,14.48,11.51,14.02,14.02,31300
2023-02-02,14.0,14.37,13.16,14.15,14.15,26300
2023-02-03,13.79,16.01,13.69,15.6,15.6,49100
2023-02-06,16.0,16.0,15.07,15.47,15.47,25000
2023-02-07,15.47,15.89,14.38,15.28,15.28,29700
2023-02-08,15.26,15.61,15.16,15.28,15.28,17800
