Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.637807,6.637807,6.421356,6.421356,3.446749,88358
1980-01-03,6.421356,6.589707,6.132756,6.517557,3.498385,114865
1980-01-04,6.517557,6.758057,6.469456,6.709957,3.60166,160603
1980-01-07,6.709957,6.758057,6.661857,6.661857,3.575839,190229
1980-01-08,6.661857,6.902357,6.661857,6.902357,3.704932,59771
1980-01-09,6.902357,7.046657,6.902357,6.902357,3.704932,94595
1980-01-10,6.878307,6.878307,6.734007,6.782107,3.640385,30665
1980-01-11,6.782107,6.830207,6.709957,6.758057,3.627478,30665
1980-01-14,6.758057,6.854257,6.589707,6.854257,3.679114,127339
1980-01-15,6.854257,6.854257,6.709957,6.782107,3.640385,76403
1980-01-16,6.782107,6.806157,6.565657,6.613757,3.550023,100312
1980-01-17,6.613757,6.709957,6.541607,6.613757,3.550023,73285
1980-01-18,6.613757,7.142857,6.565657,7.046657,3.782385,146050
1980-01-21,7.070707,7.335257,7.070707,7.239057,3.88566,97193
1980-01-22,7.239057,7.287157,6.998557,7.142857,3.834024,34304
1980-01-23,7.142857,7.383357,6.950457,7.383357,3.963115,96674
1980-01-24,7.383357,7.455507,7.118807,7.311207,3.924388,94075
1980-01-25,7.263107,7.263107,7.094757,7.094757,3.808207,27547
1980-01-28,7.094757,7.190957,6.854257,6.902357,3.704932,297817
1980-01-29,6.902357,7.022607,6.758057,6.902357,3.704932,306133
1980-01-30,6.902357,6.950457,6.758057,6.878307,3.692024,153326
1980-01-31,6.902357,7.046657,6.902357,6.998557,3.756566,136175
1980-02-01,6.974507,6.974507,6.902357,6.950457,3.73075,81601
1980-02-04,6.950457,7.094757,6.950457,6.950457,3.73075,70166
1980-02-05,6.950457,6.950457,6.878307,6.902357,3.704932,88358
1980-02-06,6.902357,7.623858,6.902357,7.599808,4.079299,188150
1980-02-07,7.599808,7.599808,7.287157,7.287157,3.911477,173597
1980-02-08,7.287157,7.335257,7.215007,7.335257,3.937299,216736
1980-02-11,7.335257,7.671958,7.287157,7.623858,4.092207,313409
1980-02-12,7.623858,7.816258,7.503608,7.816258,4.195479,331601
1980-02-13,7.816258,8.032708,7.647908,7.671958,4.118026,259355
1980-02-14,7.623858,7.623858,7.239057,7.311207,3.924388,116944
1980-02-15,7.311207,7.335257,7.263107,7.335257,3.937299,40021
1980-02-19,7.335257,7.647908,7.239057,7.647908,4.105115,91996
1980-02-20,7.647908,7.696008,7.527658,7.599808,4.079299,94075
1980-02-21,7.696008,8.441558,7.696008,7.984608,4.285846,445426
1980-02-22,7.984608,8.225108,7.888408,8.104858,4.350393,154366
1980-02-25,8.104858,8.128908,7.768158,7.768158,4.169662,152287
1980-02-26,7.768158,7.960558,7.671958,7.936508,4.260026,111746
1980-02-27,7.936508,7.984608,7.720058,7.720058,4.143845,75364
1980-02-28,7.720058,7.888408,7.696008,7.864358,4.2213,84200
1980-02-29,7.864358,7.912458,7.768158,7.840308,4.208387,36902
1980-03-03,7.792208,7.792208,7.599808,7.623858,4.092207,77443
1980-03-04,7.623858,7.696008,7.263107,7.335257,3.937299,186590
1980-03-05,7.383357,7.623858,7.383357,7.479557,4.014751,98233
1980-03-06,7.479557,7.479557,7.311207,7.311207,3.924388,63410
1980-03-07,7.215007,7.215007,6.854257,6.950457,3.73075,192827
1980-03-10,6.806157,6.806157,6.373256,6.565657,3.524205,172037
1980-03-11,6.565657,6.685907,6.565657,6.589707,3.537114,122141
1980-03-12,6.589707,6.709957,6.469456,6.565657,3.524205,80561
1980-03-13,6.565657,6.637807,6.517557,6.565657,3.524205,46258
1980-03-14,6.565657,6.661857,6.373256,6.661857,3.575839,129938
1980-03-17,6.589707,6.589707,6.156806,6.228956,3.343475,74324
1980-03-18,6.228956,6.325156,5.747956,6.325156,3.395112,280145
1980-03-19,6.325156,6.493506,6.325156,6.325156,3.395112,38462
1980-03-20,6.325156,6.349206,6.084656,6.156806,3.304747,90437
1980-03-21,6.156806,6.180856,6.060606,6.060606,3.253111,63410
1980-03-24,6.060606,6.132756,5.868206,5.916306,3.175656,102391
1980-03-25,5.820106,5.820106,5.411255,5.459355,2.930381,412162
1980-03-26,5.459355,5.579606,5.411255,5.411255,2.904563,82121
1980-03-27,5.170755,5.170755,4.016354,4.978355,2.672198,416320
1980-03-28,4.978355,5.146705,4.689755,4.930255,2.64638,243763
1980-03-31,4.930255,5.026455,4.858105,5.026455,2.698016,162682
1980-04-01,5.074555,5.315055,5.074555,5.146705,2.762561,69127
1980-04-02,5.146705,5.411255,5.122655,5.411255,2.904563,66008
1980-04-03,5.411255,5.411255,5.002405,5.122655,2.749653,264553
1980-04-07,5.122655,5.122655,4.713805,4.737855,2.543107,139813
