Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,10.03,10.06,10.02,10.06,10.06,11876300
2021-12-08,10.07,10.09,10.05,10.09,10.09,241000
2021-12-09,10.06,10.06,10.04,10.04,10.04,324100
2021-12-10,10.05,10.08,10.04,10.08,10.08,51500
2021-12-13,10.08,10.08,10.04,10.08,10.08,45000
2021-12-14,10.065,10.09,10.04,10.09,10.09,42900
2021-12-15,10.09,10.09,10.09,10.09,10.09,0
2021-12-16,10.1,10.1,10.1,10.1,10.1,200
2021-12-17,10.1,10.1,10.08,10.08,10.08,10800
2021-12-20,10.08,10.08,10.08,10.08,10.08,0
2021-12-21,10.05,10.05,10.05,10.05,10.05,500
2021-12-22,10.05,10.05,10.04,10.04,10.04,3900
2021-12-23,10.05,10.05,10.0,10.04,10.04,2900
2021-12-27,10.06,10.06,10.06,10.06,10.06,200
2021-12-28,10.09,10.09,10.09,10.09,10.09,400
2021-12-29,10.09,10.09,10.09,10.09,10.09,0
2021-12-30,10.06,10.06,10.05,10.05,10.05,400
2021-12-31,10.07,10.08,10.05,10.07,10.07,40800
2022-01-03,10.07,10.07,10.04,10.07,10.07,19100
2022-01-04,10.07,10.07,10.07,10.07,10.07,0
2022-01-05,10.07,10.07,10.07,10.07,10.07,0
2022-01-06,10.1,10.1,10.08,10.08,10.08,15200
2022-01-07,10.08,10.08,10.08,10.08,10.08,5000
2022-01-10,10.06,10.06,10.06,10.06,10.06,6500
2022-01-11,10.06,10.06,10.06,10.06,10.06,0
2022-01-12,10.06,10.06,10.06,10.06,10.06,0
2022-01-13,10.06,10.06,10.06,10.06,10.06,0
2022-01-14,10.06,10.06,10.06,10.06,10.06,0
2022-01-18,10.06,10.06,10.06,10.06,10.06,0
2022-01-19,10.06,10.06,10.04,10.04,10.04,14300
2022-01-20,10.04,10.04,10.04,10.04,10.04,0
2022-01-21,10.09,10.09,10.04,10.04,10.04,10900
2022-01-24,10.09,10.09,9.77,10.01,10.01,42600
2022-01-25,10.05,10.05,9.893,10.0,10.0,11400
2022-01-26,10.057,10.057,9.9,10.055,10.055,3500
2022-01-27,10.02,10.03,10.02,10.02,10.02,10300
2022-01-28,10.04,10.04,10.04,10.04,10.04,100000
2022-01-31,10.04,10.04,9.957,10.0,10.0,12500
2022-02-01,10.03,10.05,10.03,10.05,10.05,5500
2022-02-02,10.05,10.05,10.05,10.05,10.05,0
2022-02-03,10.1,10.1,10.1,10.1,10.1,100
2022-02-04,10.1,10.1,10.09,10.1,10.1,2300
2022-02-07,10.1,10.1,10.1,10.1,10.1,0
2022-02-08,10.1,10.1,10.1,10.1,10.1,0
2022-02-09,10.1,10.1,10.1,10.1,10.1,0
2022-02-10,10.1,10.1,10.1,10.1,10.1,100
