Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26,9.75,9.75,9.7,9.75,9.75,20400
2021-05-27,9.9,12.0,9.85,9.85,9.85,8900
2021-05-28,9.9,9.94,9.87,9.911,9.911,68500
2021-06-01,9.911,9.911,9.911,9.911,9.911,0
2021-06-02,9.911,9.911,9.911,9.911,9.911,0
2021-06-03,9.92,9.97,9.9,9.97,9.97,6200
2021-06-04,9.97,10.05,9.97,10.05,10.05,24000
2021-06-07,9.975,10.0,9.975,10.0,10.0,2700
2021-06-08,10.0,10.0,10.0,10.0,10.0,5600
2021-06-09,10.0,10.0,10.0,10.0,10.0,0
2021-06-10,10.0,10.03,10.0,10.0,10.0,176700
2021-06-11,10.0,10.0,10.0,10.0,10.0,1100
2021-06-14,10.0,10.0,10.0,10.0,10.0,1100
2021-06-15,10.01,10.01,10.0,10.0,10.0,138500
2021-06-16,9.99,10.03,9.99,10.03,10.03,3800
2021-06-17,10.01,10.025,10.01,10.025,10.025,2300
2021-06-18,10.025,10.025,10.025,10.025,10.025,0
2021-06-21,10.03,10.03,9.935,10.0,10.0,3400
2021-06-22,10.0,10.09,10.0,10.05,10.05,4300
2021-06-23,9.96,10.0,9.94,10.0,10.0,18700
2021-06-24,10.05,10.05,10.05,10.05,10.05,1800
2021-06-25,10.05,10.05,10.05,10.05,10.05,0
2021-06-28,10.05,10.05,10.05,10.05,10.05,0
2021-06-29,10.05,10.05,10.05,10.05,10.05,700
2021-06-30,10.05,10.05,10.05,10.05,10.05,400
2021-07-01,9.975,9.975,9.975,9.975,9.975,160000
2021-07-02,9.975,9.975,9.975,9.975,9.975,0
2021-07-06,10.05,10.05,10.05,10.05,10.05,100
2021-07-07,10.05,10.05,10.05,10.05,10.05,0
2021-07-08,10.05,10.05,10.05,10.05,10.05,0
2021-07-09,10.05,10.05,10.05,10.05,10.05,0
2021-07-12,10.05,10.05,10.05,10.05,10.05,0
2021-07-13,10.05,10.05,10.05,10.05,10.05,0
2021-07-14,10.05,10.05,10.05,10.05,10.05,100
2021-07-15,10.05,10.05,10.05,10.05,10.05,0
2021-07-16,10.05,10.05,10.05,10.05,10.05,200
2021-07-19,10.05,10.05,10.05,10.05,10.05,0
2021-07-20,10.05,10.05,10.05,10.05,10.05,0
2021-07-21,10.05,10.05,10.05,10.05,10.05,0
2021-07-22,10.05,10.05,10.05,10.05,10.05,0
2021-07-23,9.94,9.95,9.94,9.95,9.95,60000
2021-07-26,9.942,9.95,9.9,9.915,9.915,62500
2021-07-27,9.93,9.93,9.92,9.93,9.93,243600
2021-07-28,9.93,9.93,9.93,9.93,9.93,0
2021-07-29,9.93,9.93,9.93,9.93,9.93,0
2021-07-30,9.95,9.95,9.95,9.95,9.95,1900
2021-08-02,9.95,9.95,9.95,9.95,9.95,0
2021-08-03,9.95,9.95,9.95,9.95,9.95,0
2021-08-04,9.95,9.95,9.95,9.95,9.95,0
2021-08-05,9.95,9.95,9.95,9.95,9.95,0
2021-08-06,9.95,9.992,9.95,9.992,9.992,200
2021-08-09,9.992,9.992,9.992,9.992,9.992,0
2021-08-10,9.992,9.992,9.992,9.992,9.992,0
2021-08-11,9.992,9.992,9.992,9.992,9.992,0
2021-08-12,9.992,9.992,9.992,9.992,9.992,0
2021-08-13,9.992,9.992,9.992,9.992,9.992,0
2021-08-16,9.992,9.992,9.992,9.992,9.992,0
2021-08-17,10.04,10.04,10.04,10.04,10.04,100
2021-08-18,10.04,10.04,10.04,10.04,10.04,0
2021-08-19,10.04,10.04,10.04,10.04,10.04,0
2021-08-20,9.99,9.99,9.99,9.99,9.99,4000
2021-08-23,9.99,9.99,9.99,9.99,9.99,0
2021-08-24,9.99,9.99,9.99,9.99,9.99,0
2021-08-25,10.045,10.05,9.99,9.998,9.998,76600
2021-08-26,10.04,10.05,10.0,10.0,10.0,14300
2021-08-27,10.0,10.0,10.0,10.0,10.0,0
2021-08-30,10.0,10.0,10.0,10.0,10.0,900
2021-08-31,9.96,9.96,9.96,9.96,9.96,500
2021-09-01,10.03,10.03,9.96,9.984,9.984,1900
2021-09-02,9.98,9.98,9.98,9.98,9.98,5200
2021-09-03,9.98,9.98,9.98,9.98,9.98,100
2021-09-07,9.98,9.98,9.98,9.98,9.98,0
2021-09-08,10.047,10.05,10.047,10.05,10.05,300
2021-09-09,10.05,10.05,10.04,10.04,10.04,1300
2021-09-10,10.0,10.0,10.0,10.0,10.0,300
2021-09-13,10.0,10.0,10.0,10.0,10.0,0
2021-09-14,10.0,10.05,10.0,10.05,10.05,10200
2021-09-15,10.02,10.02,10.0,10.0,10.0,400
2021-09-16,10.0,10.0,10.0,10.0,10.0,0
2021-09-17,10.0,10.0,10.0,10.0,10.0,0
2021-09-20,10.0,10.08,10.0,10.08,10.08,3300
2021-09-21,10.05,10.05,10.05,10.05,10.05,100
2021-09-22,10.03,10.07,10.03,10.07,10.07,25700
2021-09-23,10.05,10.05,10.05,10.05,10.05,200
2021-09-24,10.07,10.07,10.07,10.07,10.07,5900
2021-09-27,10.07,10.07,10.07,10.07,10.07,0
2021-09-28,10.07,10.07,10.07,10.07,10.07,0
2021-09-29,10.07,10.07,10.07,10.07,10.07,6100
2021-09-30,10.1,10.1,10.04,10.05,10.05,3200
2021-10-01,10.16,10.16,10.105,10.16,10.16,800
2021-10-04,10.16,10.16,10.16,10.16,10.16,0
2021-10-05,10.14,10.14,10.13,10.13,10.13,600
2021-10-06,10.041,10.041,10.041,10.041,10.041,500
2021-10-07,10.1,10.1,10.1,10.1,10.1,5800
2021-10-08,10.17,10.17,10.17,10.17,10.17,100
2021-10-11,10.168,10.168,10.168,10.168,10.168,100
2021-10-12,10.07,10.07,10.07,10.07,10.07,200
2021-10-13,10.07,10.07,10.07,10.07,10.07,0
2021-10-14,10.052,10.052,10.052,10.052,10.052,100
2021-10-15,10.052,10.052,10.052,10.052,10.052,0
2021-10-18,10.16,10.17,10.16,10.17,10.17,1800
2021-10-19,10.17,10.17,10.17,10.17,10.17,0
2021-10-20,10.17,10.17,10.17,10.17,10.17,0
2021-10-21,10.17,10.17,10.17,10.17,10.17,0
2021-10-22,10.17,10.17,10.17,10.17,10.17,0
2021-10-25,10.17,10.17,10.17,10.17,10.17,0
2021-10-26,10.06,10.06,10.06,10.06,10.06,3500
2021-10-27,10.07,10.07,10.07,10.07,10.07,1600
2021-10-28,10.07,10.07,10.07,10.07,10.07,0
2021-10-29,10.15,10.15,10.148,10.148,10.148,900
2021-11-01,10.1,10.13,10.071,10.09,10.09,700
2021-11-02,10.09,10.09,10.09,10.09,10.09,0
2021-11-03,10.09,10.09,10.09,10.09,10.09,0
2021-11-04,10.09,10.09,10.09,10.09,10.09,2100
2021-11-05,10.09,10.09,10.09,10.09,10.09,100
2021-11-08,10.07,10.07,10.07,10.07,10.07,6000
2021-11-09,10.1,10.1,10.1,10.1,10.1,1000
2021-11-10,10.1,10.1,10.1,10.1,10.1,0
2021-11-11,10.1,10.1,10.1,10.1,10.1,0
2021-11-12,10.1,10.1,10.1,10.1,10.1,0
2021-11-15,10.1,10.1,10.1,10.1,10.1,0
2021-11-16,10.11,10.11,10.08,10.08,10.08,500
2021-11-17,10.08,10.08,10.08,10.08,10.08,0
2021-11-18,10.08,10.08,10.08,10.08,10.08,0
2021-11-19,10.08,10.08,10.08,10.08,10.08,0
2021-11-22,10.08,10.08,10.08,10.08,10.08,0
2021-11-23,10.08,10.08,10.08,10.08,10.08,0
2021-11-24,10.08,10.08,10.08,10.08,10.08,0
2021-11-26,10.08,10.08,10.08,10.08,10.08,0
2021-11-29,10.08,10.08,10.08,10.08,10.08,0
2021-11-30,10.08,10.08,10.08,10.08,10.08,0
2021-12-01,10.08,10.08,10.08,10.08,10.08,0
2021-12-02,10.1,10.1,10.1,10.1,10.1,100
2021-12-03,10.1,10.1,10.1,10.1,10.1,0
2021-12-06,10.12,10.14,10.12,10.14,10.14,1500
2021-12-07,10.14,10.15,10.07,10.07,10.07,21300
2021-12-08,10.07,10.07,10.07,10.07,10.07,5300
2021-12-09,10.07,10.07,10.07,10.07,10.07,100
2021-12-10,10.07,10.07,10.07,10.07,10.07,0
2021-12-13,10.07,10.07,10.07,10.07,10.07,0
2021-12-14,10.07,10.07,10.07,10.07,10.07,15200
2021-12-15,10.07,10.07,10.07,10.07,10.07,0
2021-12-16,10.074,10.074,10.074,10.074,10.074,7500
2021-12-17,10.074,10.074,10.074,10.074,10.074,0
2021-12-20,10.07,10.07,10.07,10.07,10.07,200
2021-12-21,10.07,10.07,10.07,10.07,10.07,500
2021-12-22,10.07,10.07,10.07,10.07,10.07,2000
2021-12-23,10.07,10.07,10.07,10.07,10.07,0
2021-12-27,10.125,10.125,10.125,10.125,10.125,100
2021-12-28,10.125,10.15,10.125,10.15,10.15,300
2021-12-29,10.15,10.15,10.15,10.15,10.15,0
2021-12-30,10.15,10.15,10.15,10.15,10.15,0
2021-12-31,10.15,10.15,10.15,10.15,10.15,0
2022-01-03,10.15,10.15,10.15,10.15,10.15,0
2022-01-04,10.15,10.15,10.15,10.15,10.15,0
2022-01-05,10.15,10.15,10.15,10.15,10.15,0
2022-01-06,10.15,10.15,10.15,10.15,10.15,0
2022-01-07,10.15,10.15,10.15,10.15,10.15,0
2022-01-10,10.15,10.15,10.15,10.15,10.15,0
2022-01-11,10.15,10.15,10.15,10.15,10.15,0
2022-01-12,10.15,10.15,10.15,10.15,10.15,0
2022-01-13,10.15,10.15,10.15,10.15,10.15,0
2022-01-14,10.115,10.115,10.115,10.115,10.115,1100
2022-01-18,10.115,10.115,10.115,10.115,10.115,1000
2022-01-19,10.115,10.115,10.115,10.115,10.115,0
2022-01-20,10.115,10.115,10.115,10.115,10.115,0
2022-01-21,10.115,10.115,10.115,10.115,10.115,0
2022-01-24,10.115,10.115,10.115,10.115,10.115,0
2022-01-25,10.115,10.115,10.115,10.115,10.115,0
2022-01-26,10.13,10.13,10.12,10.13,10.13,1400
2022-01-27,10.13,10.13,10.13,10.13,10.13,0
2022-01-28,10.13,10.13,10.13,10.13,10.13,0
2022-01-31,10.12,10.12,10.12,10.12,10.12,200
2022-02-01,10.12,10.135,10.12,10.135,10.135,7900
2022-02-02,10.135,10.135,10.135,10.135,10.135,0
2022-02-03,10.135,10.135,10.135,10.135,10.135,0
2022-02-04,10.135,10.135,10.135,10.135,10.135,0
2022-02-07,10.13,10.14,10.13,10.14,10.14,1200
2022-02-08,10.14,10.14,10.14,10.14,10.14,0
2022-02-09,10.14,10.14,10.14,10.14,10.14,0
2022-02-10,10.14,10.14,10.14,10.14,10.14,0
2022-02-11,10.14,10.14,10.14,10.14,10.14,0
2022-02-14,10.14,10.14,10.14,10.14,10.14,600
2022-02-15,10.14,10.14,10.14,10.14,10.14,0
2022-02-16,10.14,10.14,10.14,10.14,10.14,100
2022-02-17,10.14,10.14,10.14,10.14,10.14,0
